Date,Open,High,Low,Close,Volume,Status
2020-01-02,85.9,86.35,85.2,85.95,1392522,ok
2020-01-03,84.67,85.33,84.5,84.57,1118322,ok
2020-01-06,84.0,84.82,83.6,84.82,1993195,ok
2020-01-07,83.96,85.26,83.94,85.08,1723146,ok
2020-01-08,85.96,86.47,85.2,85.92,1847585,ok
2020-01-09,86.46,87.7,86.17,87.27,1912699,ok
2020-01-10,87.72,88.235,87.32,87.59,1417028,ok
2020-01-13,87.81,88.32,86.7384,87.46,1630160,ok
2020-01-14,87.27,88.21,86.7,87.99,1675253,ok
2020-01-15,87.63,89.11,87.55,88.62,1630364,ok
2020-01-16,89.12,89.49,88.86,89.46,1595891,ok
2020-01-17,89.97,90.28,89.205,90.12,3718336,ok
2020-01-21,89.8,90.15,89.46,89.61,2697372,ok
2020-01-22,89.94,90.64,89.842,90.13,1665822,ok
2020-01-23,89.62,89.98,88.66,89.07,1228291,ok
2020-01-24,89.45,89.46,87.58,88.26,1164489,ok
2020-01-27,86.54,87.17,86.21,86.56,1867959,ok
2020-01-28,86.85,87.48,86.19,87.18,1652210,ok
2020-01-29,87.55,88.36,87.15,87.24,1131523,ok
2020-01-30,84.9,85.03,83.6,84.38,3026658,ok
2020-01-31,84.03,84.335,82.34,82.56,2850446,ok
2020-02-03,83.29,83.69,82.11,82.15,1919771,ok
2020-02-04,82.85,83.9,82.78,83.52,1676020,ok
2020-02-05,84.53,85.5,84.39,84.93,2345127,ok
2020-02-06,85.31,85.39,84.58,84.82,835477,ok
2020-02-07,84.61,84.79,82.92,83.17,1447645,ok
2020-02-10,83.04,84.635,82.925,84.43,2066861,ok
2020-02-11,85.03,85.67,84.84,85.09,1543233,ok
2020-02-12,85.4,86.06,85.29,85.43,1464200,ok
2020-02-13,85.1,85.68,84.66,85.47,1596270,ok
2020-02-14,85.72,85.86,85.115,85.82,1965430,ok
2020-02-18,85.66,86.08,84.53,84.79,2873640,ok
2020-02-19,84.7,85.84,83.45,85.35,4741298,ok
2020-02-20,84.9,84.99,83.36,84.34,2543584,ok
2020-02-21,83.9,85.09,83.4025,85.07,1762536,ok
2020-02-24,82.22,82.59,80.02,80.5,2919380,ok
2020-02-25,80.7,80.88,77.69,77.95,2767995,ok
2020-02-26,78.66,80.27,78.09,78.11,2526026,ok
2020-02-27,76.68,80.3,76.37,77.43,2879719,ok
2020-02-28,74.97,77.07,74.17,77.07,3755580,ok
2020-03-02,77.31,82.0,77.235,81.97,3407549,ok
2020-03-03,81.89,85.0,79.28,80.32,3017230,ok
2020-03-04,81.77,84.43,80.72,84.35,1905295,ok
2020-03-05,82.14,83.25,79.7,80.46,2322637,ok
2020-03-06,77.95,78.9,76.495,78.56,2959913,ok
2020-03-09,72.59,74.19,70.17,70.75,4598185,ok
2020-03-10,73.05,73.62,69.66,72.91,3537258,ok
2020-03-11,70.76,71.73,67.565,68.84,4985886,ok
2020-03-12,64.0,67.14,62.155,63.42,5054974,ok
2020-03-13,66.53,69.51,63.75,69.2,3261168,ok
2020-03-16,63.41,66.62,61.13,64.13,4742810,ok
2020-03-17,66.02,70.53,63.94,70.44,3341896,ok
2020-03-18,65.19,69.88,65.18,68.87,4123865,ok
2020-03-19,68.54,68.59,64.17,65.76,3430844,ok
2020-03-20,65.99,71.0,64.96,66.46,3258446,ok
2020-03-23,66.8,67.5599,62.09,63.37,2989765,ok
2020-03-24,65.53,68.184,64.6,67.0,2868917,ok
2020-03-25,67.12,71.79,65.11,69.0,2628144,ok
2020-03-26,70.0,74.4465,69.65,73.72,3267458,ok
2020-03-27,71.55,73.21,70.28,70.91,1829770,ok
2020-03-30,71.06,73.18,71.06,72.67,1486203,ok
2020-03-31,72.34,72.8,70.5,71.62,1822122,ok
2020-04-01,69.47,70.23,68.15,68.92,2173595,ok
2020-04-02,68.27,72.45,68.14,72.29,1840311,ok
2020-04-03,71.71,72.325,69.66,70.42,2052649,ok
2020-04-06,72.97,74.99,72.245,74.36,2312033,ok
2020-04-07,76.61,77.56,74.02,74.03,2458009,ok
2020-04-08,74.17,77.17,72.75,76.69,2702975,ok
2020-04-09,76.43,78.72,76.2268,78.33,2399963,ok
2020-04-13,77.44,77.99,75.02,76.21,1533378,ok
2020-04-14,77.3,79.2,77.24,78.83,2650262,ok
2020-04-15,77.44,78.39,77.0,77.05,2721179,ok
2020-04-16,78.06,78.92,76.47,78.75,1969280,ok
2020-04-17,80.09,80.35,78.31,79.55,1313443,ok
2020-04-20,79.05,79.05,76.98,77.37,1679446,ok
2020-04-21,75.76,75.8,73.71,73.75,2848142,ok
2020-04-22,74.75,75.58,73.78,75.17,2347360,ok
2020-04-23,76.6,77.49,75.05,75.09,2097828,ok
2020-04-24,75.62,75.91,74.02,75.75,1654283,ok
2020-04-27,76.35,76.62,75.84,76.25,1295830,ok
2020-04-28,77.0,77.0,75.34,75.45,1855939,ok
2020-04-29,76.3,79.38,76.14,78.72,2409376,ok
2020-04-30,77.96,78.44,75.99,76.66,1795164,ok
2020-05-01,75.55,76.095,73.57,74.21,1618596,ok
2020-05-04,74.28,74.62,73.42,74.56,1555396,ok
2020-05-05,74.91,77.58,74.83,76.37,1476069,ok
2020-05-06,76.69,78.825,76.65,77.87,2303584,ok
2020-05-07,78.77,79.33,77.54,78.5,1190564,ok
2020-05-08,79.67,80.33,79.19,79.71,2255008,ok
2020-05-11,79.6,81.99,79.5,81.27,1691588,ok
2020-05-12,81.58,82.3,79.78,79.85,2278944,ok
2020-05-13,80.38,81.93,79.03,80.16,2664855,ok
2020-05-14,79.29,81.66,78.72,81.64,2285942,ok
2020-05-15,81.51,82.83,81.22,81.59,4529629,ok
2020-05-18,83.24,84.3899,82.29,83.66,2075974,ok
2020-05-19,83.23,83.54,81.89,81.97,2087591,ok
2020-05-20,82.98,82.98,81.475,81.71,2748256,ok
2020-05-21,81.72,82.19,80.46,80.75,2576482,ok
2020-05-22,85.0,87.67,84.2,84.98,5063406,ok
2020-05-26,86.23,86.79,85.64,86.13,3173416,ok
2020-05-27,86.3,86.48,84.37,86.18,1917594,ok
2020-05-28,86.87,87.85,86.06,86.69,1908676,ok
2020-05-29,87.17,88.49,86.465,88.14,2394576,ok
2020-06-01,88.04,89.98,87.94,89.91,2482239,ok
2020-06-02,90.0,90.63,89.11,90.29,1682945,ok
2020-06-03,90.65,91.14,90.26,90.49,1382690,ok
2020-06-04,89.82,91.74,89.815,91.14,2227462,ok
2020-06-05,92.13,93.04,90.09,90.38,2844690,ok
2020-06-08,89.31,90.589,89.06,90.29,1804747,ok
2020-06-09,90.09,90.51,89.32,89.77,1817258,ok
2020-06-10,90.32,90.58,89.46,89.81,1410326,ok
2020-06-11,88.63,88.63,85.02,85.03,2491313,ok
2020-06-12,86.83,87.3,83.99,86.11,1520001,ok
2020-06-15,84.4,87.28,83.71,86.96,1551405,ok
2020-06-16,88.88,89.235,86.51,87.44,1049239,ok
2020-06-17,87.85,88.75,87.46,87.92,900794,ok
2020-06-18,87.43,88.5,87.26,88.21,1491515,ok
2020-06-19,89.41,89.79,87.76,88.73,1784741,ok
2020-06-22,88.64,89.07,87.7675,88.53,1245512,ok
2020-06-23,89.19,89.7,88.66,89.28,1160309,ok
2020-06-24,89.08,89.08,86.32,86.56,1806600,ok
2020-06-25,86.43,87.35,84.8,87.26,1350229,ok
2020-06-26,87.23,87.56,85.52,85.9,2225790,ok
2020-06-29,86.56,87.36,86.11,87.29,1302474,ok
2020-06-30,87.33,88.88,87.235,88.37,1920184,ok
2020-07-01,88.89,88.89,87.3,88.11,1136989,ok
2020-07-02,88.83,89.49,88.55,88.68,1507700,ok
2020-07-06,89.02,90.64,89.02,89.31,1412249,ok
2020-07-07,88.84,90.04,88.6704,89.21,1441704,ok
2020-07-08,89.52,90.33,89.13,89.54,1069596,ok
2020-07-09,89.65,90.4,88.56,89.92,1133845,ok
2020-07-10,89.85,89.87,88.57,89.42,938092,ok
2020-07-13,89.97,91.24,88.65,89.26,1646220,ok
2020-07-14,88.83,90.79,88.07,90.69,1361240,ok
2020-07-15,91.74,93.06,91.08,92.88,1897108,ok
2020-07-16,92.98,93.21,92.06,92.86,1226388,ok
2020-07-17,93.41,94.51,92.69,94.37,3463585,ok
2020-07-20,94.91,96.22,94.76,95.21,1236926,ok
2020-07-21,95.57,96.45,95.16,96.02,2169138,ok
2020-07-22,96.36,96.88,95.81,96.35,1313240,ok
2020-07-23,96.59,98.09,96.315,96.66,1386266,ok
2020-07-24,95.98,96.22,93.87,94.81,1142825,ok
2020-07-27,94.96,97.54,94.9,97.27,1177050,ok
2020-07-28,96.98,97.25,95.2,95.3,1373722,ok
2020-07-29,95.81,97.66,95.52,97.1,1125314,ok
2020-07-30,96.12,96.36,94.97,95.93,1663364,ok
2020-07-31,95.94,96.41,94.725,96.33,1551785,ok
2020-08-03,96.94,99.36,96.94,99.09,1994325,ok
2020-08-04,98.71,98.985,96.89,97.53,779236,ok
2020-08-05,98.09,98.83,97.7,97.89,958344,ok
2020-08-06,97.72,98.25,95.81,97.45,1075476,ok
2020-08-07,97.07,97.84,96.87,97.78,897931,ok
2020-08-10,97.84,97.96,96.95,97.14,900865,ok
2020-08-11,97.22,97.63,96.2,96.3,1136985,ok
2020-08-12,96.66,98.28,96.52,97.63,1318189,ok
2020-08-13,97.55,99.12,97.175,98.77,1190775,ok
2020-08-14,98.45,98.83,96.9,97.37,957365,ok
2020-08-17,97.67,98.68,97.09,97.51,1989314,ok
2020-08-18,97.71,98.71,97.11,97.86,2008663,ok
2020-08-19,95.23,99.4025,94.5252,97.96,2830773,ok
2020-08-20,97.39,98.17,97.115,97.78,1428345,ok
2020-08-21,97.87,98.32,97.27,98.3,1269335,ok
2020-08-24,98.78,99.21,97.14,97.6,1154546,ok
2020-08-25,97.87,98.66,97.56,98.34,1061265,ok
2020-08-26,98.18,99.73,98.05,99.33,1072297,ok
2020-08-27,99.19,99.66,97.56,99.02,1236929,ok
2020-08-28,99.0,99.93,98.54,99.9,866211,ok
2020-08-31,99.9,101.04,99.75,100.42,1077021,ok
2020-09-01,100.92,101.29,100.25,101.12,1159749,ok
2020-09-02,101.0,103.66,100.46,103.42,1462471,ok
2020-09-03,103.09,103.205,99.04,99.64,1992844,ok
2020-09-04,100.07,100.11,95.66,96.84,1753874,ok
2020-09-08,96.11,96.47,94.76,95.14,1225579,ok
2020-09-09,96.1,98.47,95.86,97.93,954420,ok
2020-09-10,98.88,100.1,98.24,98.57,1933185,ok
2020-09-11,98.71,99.62,98.02,98.6,1368561,ok
2020-09-14,99.73,100.23,98.97,99.42,1207651,ok
2020-09-15,99.72,101.0,99.72,100.37,1053823,ok
