Date,Open,High,Low,Close,Volume,Status
2020-01-02,28.98,29.295,28.65,29.09,6275633,ok
2020-01-03,28.27,28.29,27.34,27.65,14020066,ok
2020-01-06,27.19,27.4901,27.08,27.32,6108646,ok
2020-01-07,27.56,27.68,27.06,27.22,6197079,ok
2020-01-08,27.1,28.09,27.07,27.84,10497296,ok
2020-01-09,28.09,28.23,27.71,27.95,6901065,ok
2020-01-10,27.96,27.99,27.25,27.32,8108419,ok
2020-01-13,27.32,27.53,27.155,27.39,5880251,ok
2020-01-14,27.91,28.4,27.35,27.53,8890948,ok
2020-01-15,27.45,28.06,27.32,27.58,5689926,ok
2020-01-16,27.79,28.26,27.76,28.23,6442847,ok
2020-01-17,28.3,28.72,28.06,28.4,7379424,ok
2020-01-21,27.97,27.99,27.05,27.2,16409419,ok
2020-01-22,27.51,27.91,27.3,27.32,9852593,ok
2020-01-23,27.39,28.99,26.04,28.8,25611121,ok
2020-01-24,28.85,28.8612,27.01,27.64,18067793,ok
2020-01-27,26.57,26.6,25.37,26.11,21573812,ok
2020-01-28,26.36,27.115,26.26,26.9,11939167,ok
2020-01-29,26.88,27.49,26.74,26.8,9094411,ok
2020-01-30,26.3,27.79,26.26,27.72,10685468,ok
2020-01-31,27.5,27.52,26.59,26.84,11027935,ok
2020-02-03,26.93,27.67,26.74,27.16,7631879,ok
2020-02-04,27.68,28.61,27.55,28.43,10832933,ok
2020-02-05,28.96,29.24,28.545,29.1,8959684,ok
2020-02-06,29.26,29.4498,28.14,28.3,8335783,ok
2020-02-07,28.06,28.55,27.78,28.38,6231754,ok
2020-02-10,28.19,28.81,27.98,28.79,15134344,ok
2020-02-11,29.06,29.94,28.97,29.84,8977738,ok
2020-02-12,30.0,30.78,29.99,30.47,9315375,ok
2020-02-13,30.03,30.4,29.73,30.09,9119433,ok
2020-02-14,30.01,30.27,29.14,29.2,5524788,ok
2020-02-18,29.04,29.345,28.49,28.63,10486462,ok
2020-02-19,28.84,28.88,28.31,28.33,8401025,ok
2020-02-20,28.24,28.9,28.2024,28.51,10093423,ok
2020-02-21,28.12,28.3,27.17,27.82,11256491,ok
2020-02-24,25.98,26.11,25.0,25.45,21713199,ok
2020-02-25,25.62,25.75,23.05,23.12,22296879,ok
2020-02-26,23.57,23.75,22.11,22.31,19631372,ok
2020-02-27,20.85,22.48,19.77,20.6,31897334,ok
2020-02-28,19.8,20.35,18.77,19.05,37166398,ok
2020-03-02,19.05,19.06,17.51,18.86,38737996,ok
2020-03-03,19.66,19.79,17.8,17.85,35402453,ok
2020-03-04,18.36,18.55,17.3,18.53,44362085,ok
2020-03-05,17.54,17.65,15.98,16.04,44656806,ok
2020-03-06,15.02,17.12,14.8,15.97,54504970,ok
2020-03-09,14.87,15.79,14.46,14.75,42558021,ok
2020-03-10,15.82,17.67,14.61,17.0,56972742,ok
2020-03-11,16.31,16.49,15.52,16.26,43778178,ok
2020-03-12,14.05,15.75,13.33,13.45,53968488,ok
2020-03-13,15.3,15.6,13.12,14.31,58376115,ok
2020-03-16,12.4065,16.2,12.0,15.92,84916838,ok
2020-03-17,15.785,18.49,14.79,15.58,58055816,ok
2020-03-18,14.24,14.28,10.17,11.65,78458779,ok
2020-03-19,11.6,12.16,10.01,10.29,71584495,ok
2020-03-20,10.6526,12.0,10.3,10.38,62681779,ok
2020-03-23,10.9,11.36,10.01,10.25,56427277,ok
2020-03-24,11.9565,14.81,11.5401,13.92,101553138,ok
2020-03-25,16.69,16.99,14.31,15.39,93795094,ok
2020-03-26,16.06,17.24,15.16,15.66,77627480,ok
2020-03-27,14.98,15.22,13.91,14.04,50783456,ok
2020-03-30,13.2,13.22,11.81,12.25,50516755,ok
2020-03-31,12.9,12.96,12.1,12.19,44851435,ok
2020-04-01,11.45,11.48,10.5,10.69,56854449,ok
2020-04-02,10.61,11.03,10.0,10.06,65534605,ok
2020-04-03,10.34,10.49,9.09,9.39,87018883,ok
2020-04-06,9.72,9.94,9.11,9.5,94272306,ok
2020-04-07,11.07,12.2,10.05,10.22,138060974,ok
2020-04-08,10.91,11.4,10.5,11.33,82718687,ok
2020-04-09,12.64,13.4,11.82,12.51,117592821,ok
2020-04-13,12.9,12.95,11.25,11.56,73385533,ok
2020-04-14,12.22,12.6,11.75,11.945,68039491,ok
2020-04-15,12.52,12.69,11.39,12.29,124719945,ok
2020-04-16,11.91,12.03,11.05,11.07,83626979,ok
2020-04-17,11.87,11.945,11.5,11.57,61279474,ok
2020-04-20,11.15,11.35,10.72,11.06,58984927,ok
2020-04-21,10.795,11.22,10.7,11.0,49882258,ok
