Date,Open,High,Low,Close,Volume,Status
2020-01-02,89.08,89.57,88.51,89.55,5162752,ok
2020-01-03,88.17,89.39,87.9,88.7,5989437,ok
2020-01-06,88.22,89.62,87.98,89.4,6786729,ok
2020-01-07,88.93,89.54,88.26,88.89,7257498,ok
2020-01-08,89.15,90.06,88.87,89.52,7697073,ok
2020-01-09,90.01,90.23,89.05,90.21,7518166,ok
2020-01-10,90.23,90.29,88.83,89.06,8583695,ok
2020-01-13,89.5,89.5,87.915,88.52,9298850,ok
2020-01-14,87.1,88.435,86.77,88.2,8877304,ok
2020-01-15,88.18,89.88,88.18,89.26,8490129,ok
2020-01-16,89.31,89.795,88.92,89.26,7073377,ok
2020-01-17,89.13,89.27,87.79,88.0,10122317,ok
2020-01-21,87.68,88.53,87.565,87.99,13552072,ok
2020-01-22,88.03,88.17,87.15,87.21,6438919,ok
2020-01-23,87.05,87.07,84.99,85.27,12266789,ok
2020-01-24,85.43,85.48,82.76,83.54,13215418,ok
2020-01-27,85.05,85.93,84.0,84.02,13832033,ok
2020-01-28,84.99,84.99,83.64,83.77,8614383,ok
2020-01-29,83.8,84.0,83.13,83.2,5704705,ok
2020-01-30,82.58,82.7935,81.18,81.78,10870022,ok
2020-01-31,81.54,81.72,80.4099,81.02,13870121,ok
2020-02-03,81.31,82.6,80.92,82.3,10146411,ok
2020-02-04,83.59,84.71,83.59,84.36,8251461,ok
2020-02-05,85.06,87.135,84.88,86.63,10020590,ok
2020-02-06,87.89,87.96,86.22,87.18,7769696,ok
2020-02-07,89.74,92.98,88.88,92.29,19090317,ok
2020-02-10,92.36,95.5,92.11,94.75,13998251,ok
2020-02-11,95.26,97.0801,95.01,96.0,10682776,ok
2020-02-12,95.98,97.86,95.71,97.79,10591004,ok
2020-02-13,96.85,97.36,95.23,95.35,10612995,ok
2020-02-14,95.23,95.3,93.77,94.05,11175783,ok
2020-02-18,93.67,94.5,93.26,93.61,9406845,ok
2020-02-19,93.77,94.79,93.02,94.14,6349082,ok
2020-02-20,93.93,94.39,92.59,94.23,5446168,ok
2020-02-21,93.96,95.5183,93.38,94.96,6678156,ok
2020-02-24,92.17,93.87,92.145,93.14,10705075,ok
2020-02-25,93.32,93.46,88.11,89.18,11366413,ok
2020-02-26,88.62,91.175,88.19,88.41,9789105,ok
2020-02-27,86.19,89.45,84.2035,85.42,14184058,ok
2020-02-28,82.79,85.71,81.58,85.71,18460266,ok
2020-03-02,86.0,88.78,83.55,88.69,12171084,ok
2020-03-03,89.44,90.9,85.66,87.57,12660859,ok
2020-03-04,89.27,91.86,88.95,91.75,16590377,ok
2020-03-05,90.06,91.712,89.43,90.61,9688386,ok
2020-03-06,88.73,89.76,87.26,88.82,12664556,ok
2020-03-09,84.0,87.34,82.43,85.27,15806151,ok
2020-03-10,88.19,88.22,83.76,87.53,12965837,ok
2020-03-11,85.8,86.64,83.57,84.85,10385830,ok
2020-03-12,78.85,81.29,77.06,78.61,19935694,ok
2020-03-13,83.36,86.32,80.695,85.37,21867670,ok
2020-03-16,79.0,82.18,73.58,74.27,20915998,ok
2020-03-17,75.71,77.71,69.99,73.02,23204986,ok
2020-03-18,70.0,71.39,64.685,71.03,23712811,ok
2020-03-19,69.1,74.85,65.33,71.06,19739932,ok
