Date,Open,High,Low,Close,Volume,Status
2020-01-02,85.64,85.8,84.335,85.08,817562,ok
2020-01-03,83.81,85.065,83.27,84.01,801538,ok
2020-01-06,83.68,85.31,83.01,85.24,767971,ok
2020-01-07,84.76,85.25,84.192,84.63,847797,ok
2020-01-08,84.56,85.815,84.53,85.45,1181999,ok
2020-01-09,85.62,86.73,84.82,86.66,795395,ok
2020-01-10,87.04,87.39,86.6,87.04,965097,ok
2020-01-13,86.97,87.25,85.5,86.15,1026160,ok
2020-01-14,86.6,88.98,86.02,88.83,1921783,ok
2020-01-15,88.79,91.64,88.68,91.37,1434944,ok
2020-01-16,91.9,91.9,90.54,91.46,1205004,ok
2020-01-17,91.0,91.58,90.41,91.06,1455485,ok
2020-01-21,90.82,91.37,90.2,91.25,1205591,ok
2020-01-22,91.57,92.42,91.17,92.03,1551598,ok
2020-01-23,92.19,92.19,90.67,91.16,1552870,ok
2020-01-24,91.54,91.54,86.08,88.92,2306845,ok
2020-01-27,87.94,88.25,86.53,87.52,1622666,ok
2020-01-28,88.29,89.7,87.8317,89.11,1144823,ok
2020-01-29,89.49,90.85,89.2,89.86,1691271,ok
2020-01-30,89.33,92.36,86.9,88.88,2138332,ok
2020-01-31,89.29,89.29,85.27,85.56,1217785,ok
2020-02-03,85.94,86.92,85.24,85.7,1014640,ok
2020-02-04,87.15,89.14,87.01,88.09,1498626,ok
2020-02-05,89.13,92.47,89.13,91.44,1608217,ok
2020-02-06,92.12,93.76,91.55,92.48,1246072,ok
2020-02-07,93.9,94.72,91.76,91.94,1467163,ok
2020-02-10,91.7,94.18,91.355,93.6,1371621,ok
2020-02-11,94.33,94.61,92.72,94.57,1156070,ok
2020-02-12,95.0,97.5,94.04,95.78,1315138,ok
2020-02-13,94.92,95.48,94.42,94.52,1155568,ok
2020-02-14,94.16,94.74,90.23,94.36,1602247,ok
2020-02-18,94.29,94.89,93.14,94.31,1566001,ok
2020-02-19,94.59,95.2,93.84,95.13,915843,ok
2020-02-20,95.0,96.99,93.95,96.53,1808103,ok
2020-02-21,96.15,97.39,95.3,97.0,1213731,ok
2020-02-24,94.72,96.04,94.0,94.93,1541696,ok
2020-02-25,95.36,95.77,92.78,92.93,2239370,ok
2020-02-26,93.8,95.0051,93.1439,93.71,1907067,ok
