Date,Open,High,Low,Close,Volume,Status
2020-01-02,210.86,211.92,208.81,210.15,2221991,ok
2020-01-03,208.5,210.625,207.0,209.8,1802087,ok
2020-01-06,208.27,208.79,206.81,208.43,2841444,ok
2020-01-07,203.2,206.26,203.19,203.93,3098925,ok
2020-01-08,204.0,205.45,203.53,204.33,2271506,ok
2020-01-09,205.5,207.28,205.16,206.15,2910619,ok
2020-01-10,206.93,208.31,206.725,207.66,1573086,ok
2020-01-13,207.49,209.84,207.49,209.59,2202982,ok
2020-01-14,209.55,211.0,207.03,207.73,2499150,ok
2020-01-15,208.0,208.435,206.73,207.26,1985994,ok
2020-01-16,208.14,209.095,207.9,208.98,2691624,ok
2020-01-17,210.0,210.65,208.35,209.2,2584508,ok
2020-01-21,207.5,210.16,207.0,209.15,2687176,ok
2020-01-22,210.2,211.86,209.35,209.41,1873641,ok
2020-01-23,209.4,210.81,208.865,210.68,2368512,ok
2020-01-24,211.0,211.59,208.05,208.57,2348904,ok
2020-01-27,205.18,207.84,204.85,206.55,1381344,ok
2020-01-28,207.87,210.9588,207.25,210.24,1810188,ok
2020-01-29,210.68,211.211,207.79,207.96,1491605,ok
2020-01-30,207.5,208.93,205.2,208.37,1579621,ok
2020-01-31,208.5,209.6275,204.0,205.21,1793599,ok
2020-02-03,205.34,208.42,205.25,207.8,2345746,ok
2020-02-04,210.0,213.79,209.745,212.53,2243007,ok
2020-02-05,213.89,214.46,210.41,212.22,2102667,ok
2020-02-06,213.0,214.38,212.31,214.16,1611488,ok
2020-02-07,213.34,213.39,211.09,211.58,1447728,ok
2020-02-10,210.19,212.97,210.19,212.55,1421591,ok
2020-02-11,213.38,213.98,211.76,212.14,1321019,ok
2020-02-12,212.2,212.87,211.54,211.99,1801311,ok
2020-02-13,209.87,213.54,209.3363,212.4,1721214,ok
2020-02-14,213.25,213.535,211.35,212.37,2096562,ok
2020-02-18,212.5,214.06,211.2,213.76,1699427,ok
2020-02-19,215.0,216.39,214.3757,215.92,1806042,ok
2020-02-20,215.88,216.32,211.61,213.9,1481699,ok
2020-02-21,212.59,213.55,210.49,211.89,2088815,ok
2020-02-24,204.47,207.869,203.45,204.36,2600408,ok
2020-02-25,204.78,205.48,195.86,197.1,2883563,ok
2020-02-26,198.67,201.445,194.7926,195.67,2671071,ok
2020-02-27,192.2,194.35,186.37,186.44,3040446,ok
2020-02-28,180.26,183.2,175.3,180.59,5785220,ok
2020-03-02,182.0,189.82,178.02,189.55,4317919,ok
2020-03-03,189.77,191.9,180.62,182.22,3514000,ok
2020-03-04,185.8,189.71,184.3,188.86,3875483,ok
2020-03-05,185.09,187.46,180.92,182.56,3548249,ok
2020-03-06,177.45,180.31,173.92,178.75,3284386,ok
2020-03-09,165.4,170.88,160.1,164.11,5112245,ok
2020-03-10,171.08,174.74,166.04,174.56,4349451,ok
2020-03-11,169.32,171.165,162.65,165.11,5188257,ok
2020-03-12,153.0,158.75,147.08,152.53,6357925,ok
2020-03-13,160.62,166.71,152.93,166.51,5742804,ok
2020-03-16,148.29,166.51,143.51,152.54,5324876,ok
2020-03-17,154.0,160.66,152.48,157.71,6081186,ok
2020-03-18,151.57,159.8,142.0,151.15,5860155,ok
2020-03-19,151.36,177.8,151.36,158.5,6338256,ok
2020-03-20,157.53,159.47,147.42,149.94,6449708,ok
2020-03-23,148.01,148.01,137.152,143.69,6173888,ok
2020-03-24,152.26,157.6262,149.49,156.85,4685083,ok
2020-03-25,156.44,159.69,148.11,151.82,4795680,ok
2020-03-26,153.4,171.6,150.0,171.34,5194535,ok
2020-03-27,165.0,169.29,160.61,162.88,3802537,ok
2020-03-30,164.12,170.37,163.78,169.82,2731346,ok
2020-03-31,167.43,169.88,162.16,163.26,2963228,ok
2020-04-01,158.57,160.8177,152.58,154.68,2973098,ok
2020-04-02,154.05,160.5,153.55,156.27,3030044,ok
2020-04-03,155.6,158.72,148.28,152.15,3766837,ok
2020-04-06,158.98,166.75,157.04,166.05,3089966,ok
2020-04-07,171.08,171.49,163.93,164.12,3002732,ok
2020-04-08,166.58,172.69,165.07,171.73,2466264,ok
2020-04-09,173.23,179.87,172.51,177.92,3743781,ok
2020-04-13,176.18,177.01,169.56,172.57,1918535,ok
2020-04-14,177.0,178.89,176.02,178.1,2874967,ok
2020-04-15,174.3,174.31,168.89,169.45,2504814,ok
2020-04-16,171.26,172.05,167.52,167.95,3051768,ok
2020-04-17,172.52,175.16,172.05,175.09,4759164,ok
2020-04-20,172.59,176.9,171.76,174.74,2511870,ok
2020-04-21,170.82,172.8,165.71,166.24,2711361,ok
2020-04-22,170.04,173.34,169.21,172.31,1921231,ok
2020-04-23,173.36,175.32,172.14,172.9,3027901,ok
2020-04-24,176.4,176.4,172.57,175.46,2121085,ok
2020-04-27,176.23,180.535,176.2,179.43,2457808,ok
2020-04-28,182.08,183.26,176.91,178.36,2160133,ok
2020-04-29,182.31,188.17,181.7,187.56,2957576,ok
2020-04-30,185.53,186.48,184.19,185.19,2740854,ok
2020-05-01,181.71,182.99,179.2599,180.09,2064179,ok
2020-05-04,177.98,180.6365,176.88,179.53,1710513,ok
2020-05-05,182.08,183.89,181.0,181.62,1621909,ok
2020-05-06,182.1,182.5,179.05,180.38,1474938,ok
2020-05-07,182.99,187.43,182.5,187.11,2295370,ok
2020-05-08,188.99,189.85,187.68,188.56,1779220,ok
2020-05-11,186.49,189.53,185.29,187.75,2013784,ok
2020-05-12,187.84,189.99,185.685,185.72,1912272,ok
2020-05-13,185.04,185.14,178.75,181.0,2349306,ok
2020-05-14,178.7,180.01,174.94,179.99,2773299,ok
2020-05-15,178.37,183.96,177.83,183.88,3630126,ok
2020-05-18,189.0,194.14,188.11,192.75,2254702,ok
2020-05-19,192.5,194.51,189.92,190.09,1784100,ok
2020-05-20,192.5,195.67,192.23,195.18,2294780,ok
2020-05-21,194.7,195.52,192.7,193.5,1372965,ok
2020-05-22,194.08,194.89,191.13,193.71,1317533,ok
2020-05-26,199.42,199.99,196.03,196.4,2408717,ok
2020-05-27,198.38,199.95,196.21,199.93,2000474,ok
2020-05-28,200.01,204.18,200.01,201.67,2280638,ok
2020-05-29,201.49,202.41,198.69,201.62,2535390,ok
2020-06-01,201.54,203.75,199.87,203.38,1530771,ok
2020-06-02,204.09,205.79,202.34,205.78,1939214,ok
2020-06-03,204.42,207.83,204.31,207.28,1605416,ok
2020-06-04,206.09,207.79,202.33,203.1,2451544,ok
2020-06-05,205.99,209.72,204.79,208.49,2538097,ok
2020-06-08,207.51,211.32,207.0,211.28,1627109,ok
2020-06-09,209.39,209.79,205.5001,207.34,2269815,ok
2020-06-10,207.26,210.83,205.9,209.43,2077205,ok
2020-06-11,205.52,205.95,195.88,195.95,4046643,ok
2020-06-12,201.1,202.43,197.31,201.59,2590135,ok
2020-06-15,196.49,200.74,194.83,199.79,2311520,ok
2020-06-16,203.36,206.88,202.12,204.4,2153970,ok
2020-06-17,206.03,206.33,203.65,205.2,1594775,ok
2020-06-18,201.73,203.17,199.29,202.93,2227958,ok
2020-06-19,207.54,208.285,201.52,201.55,3709867,ok
2020-06-22,200.8,204.0799,199.47,202.6,2454492,ok
2020-06-23,205.37,209.68,205.37,207.4,2204028,ok
2020-06-24,205.51,207.4,200.5,201.84,2753697,ok
2020-06-25,213.0,217.89,211.5,217.32,4690183,ok
2020-06-26,216.78,216.93,211.07,212.47,3348789,ok
2020-06-29,210.15,213.39,210.15,212.72,2247887,ok
2020-06-30,212.37,215.64,212.13,214.72,3136366,ok
2020-07-01,214.5,216.9,213.88,214.59,2124741,ok
2020-07-02,216.57,218.45,214.9,215.72,2006247,ok
2020-07-06,217.76,219.66,216.31,217.55,1934583,ok
2020-07-07,216.32,219.87,216.12,216.33,1783845,ok
2020-07-08,217.47,219.15,216.34,218.89,1750701,ok
2020-07-09,218.47,220.61,216.23,219.31,1756734,ok
2020-07-10,219.0,220.8625,217.6689,220.26,1373645,ok
2020-07-13,221.33,221.87,215.23,215.74,2090141,ok
2020-07-14,214.8,219.37,213.51,219.16,1747837,ok
2020-07-15,220.0,222.75,218.46,219.76,2193668,ok
2020-07-16,219.78,220.63,218.595,219.11,1408455,ok
2020-07-17,219.69,222.64,218.3,221.94,2069734,ok
2020-07-20,222.0,224.11,220.11,223.43,1371802,ok
2020-07-21,224.9,225.74,222.44,222.75,1546170,ok
2020-07-22,222.75,224.74,222.44,224.23,1488034,ok
2020-07-23,224.08,225.51,221.37,222.3,1444898,ok
2020-07-24,220.21,223.17,220.21,221.44,1542280,ok
2020-07-27,221.5,224.52,220.825,223.32,1523192,ok
2020-07-28,223.04,224.76,221.9,222.18,1422267,ok
2020-07-29,221.98,225.4,221.93,224.38,1474142,ok
2020-07-30,220.81,223.99,219.78,223.98,1408580,ok
2020-07-31,223.89,224.95,220.9,224.78,1495514,ok
2020-08-03,225.0,228.0043,224.46,227.18,1631729,ok
2020-08-04,226.29,227.78,225.55,227.15,1260453,ok
2020-08-05,227.94,229.4,227.46,228.7,1155421,ok
2020-08-06,227.68,230.97,227.68,230.89,1318042,ok
2020-08-07,229.25,231.87,228.72,231.56,1275413,ok
2020-08-10,229.69,231.26,229.52,230.34,1315745,ok
2020-08-11,230.58,232.51,228.16,228.57,1757172,ok
2020-08-12,230.3,231.32,229.25,229.75,1512854,ok
2020-08-13,229.59,232.3784,228.93,231.73,1745756,ok
2020-08-14,230.57,231.93,229.41,230.25,1130457,ok
2020-08-17,231.45,233.77,230.98,232.62,1395429,ok
2020-08-18,233.35,234.93,232.58,234.23,1475804,ok
2020-08-19,233.8,236.5034,233.8,234.63,1671516,ok
2020-08-20,233.94,236.95,233.58,236.61,1279294,ok
2020-08-21,236.86,238.3,235.0003,237.49,1976079,ok
2020-08-24,238.06,239.36,235.85,237.75,1293235,ok
2020-08-25,237.93,238.73,236.71,238.21,1501748,ok
2020-08-26,238.67,241.2548,238.11,240.45,2322181,ok
2020-08-27,242.37,242.77,240.0,240.87,1295301,ok
2020-08-28,241.97,243.22,240.26,242.99,1212222,ok
2020-08-31,243.3,243.535,239.1,239.93,2001139,ok
2020-09-01,238.49,240.02,237.2,240.02,1914529,ok
2020-09-02,241.9,247.82,240.84,247.18,1702838,ok
2020-09-03,245.1,246.1438,237.13,238.98,2350609,ok
2020-09-04,240.17,240.87,231.905,236.07,1946413,ok
2020-09-08,231.05,236.0,230.621,232.65,2361218,ok
2020-09-09,236.8,241.36,234.81,238.91,1670232,ok
2020-09-10,241.0,243.99,232.11,233.65,2024101,ok
2020-09-11,236.43,237.76,233.2454,234.77,1301052,ok
2020-09-14,237.6,240.99,236.81,238.83,1576394,ok
2020-09-15,240.37,242.8,239.0,240.2,1297452,ok
2020-09-16,241.46,244.9,239.17,239.42,1800765,ok
2020-09-17,237.4,239.09,233.8786,236.82,2002494,ok
2020-09-18,234.62,238.4,233.43,236.18,3676439,ok
2020-09-21,232.84,233.98,230.03,233.91,2305943,ok
2020-09-22,234.14,237.07,231.79,236.92,1786180,ok
2020-09-23,238.53,239.35,230.37,230.65,2688126,ok
2020-09-24,218.87,220.45,213.15,214.42,4828701,ok
2020-09-25,213.03,215.065,210.42,214.63,3691103,ok
2020-09-28,219.09,223.89,218.3005,222.78,2587689,ok
2020-09-29,223.37,225.17,222.31,224.08,2589025,ok
2020-09-30,225.27,228.295,224.62,225.99,2250157,ok
2020-10-01,227.36,229.24,224.03,225.18,1928782,ok
2020-10-02,222.05,224.92,221.35,222.4,1936069,ok
2020-10-05,224.37,224.94,222.04,223.49,1446008,ok
2020-10-06,223.59,225.27,220.09,220.35,2286278,ok
2020-10-07,221.9,224.63,220.05,223.45,2005752,ok
2020-10-08,226.04,226.79,223.97,225.61,1394410,ok
2020-10-09,225.86,229.09,225.8,228.69,1312471,ok
2020-10-12,229.69,231.765,227.58,230.59,1524276,ok
2020-10-13,230.72,231.9,228.81,229.38,1634008,ok
2020-10-14,228.88,231.9,228.32,229.43,1443841,ok
2020-10-15,225.59,230.68,225.26,228.77,1273410,ok
2020-10-16,229.03,231.94,228.68,230.05,1796451,ok
2020-10-19,230.23,233.25,225.72,226.24,1904489,ok
2020-10-20,226.7,232.285,226.45,230.39,1783836,ok
2020-10-21,229.9,234.38,229.055,233.1,1701797,ok
2020-10-22,233.1,234.705,227.85,228.14,1661281,ok
2020-10-23,227.7,229.8,226.93,229.7,1187637,ok
2020-10-26,225.36,227.99,218.35,219.23,2162125,ok
2020-10-27,220.63,223.0,220.21,220.66,1567844,ok
2020-10-28,216.81,217.93,212.92,213.94,2412275,ok
2020-10-29,215.51,218.53,212.45,216.44,1499126,ok
2020-10-30,215.28,217.81,213.64,216.91,1972663,ok
2020-11-02,219.17,223.16,218.32,220.19,2087153,ok
2020-11-03,222.0,227.77,221.43,225.71,1544039,ok
2020-11-04,225.0,230.9,224.4,227.92,1724972,ok
2020-11-05,233.37,236.12,232.415,233.99,1954847,ok
