Date,Open,High,Low,Close,Volume,Status
2020-01-02,120.11,120.65,118.74,120.43,1151468,ok
2020-01-03,118.0,119.67,117.73,118.31,1374372,ok
2020-01-06,116.25,117.32,115.61,116.92,1979387,ok
2020-01-07,118.9,120.88,118.4,119.58,2214839,ok
2020-01-08,120.31,121.455,119.69,120.66,2036477,ok
2020-01-09,121.63,121.69,119.74,120.66,1418485,ok
2020-01-10,120.8,120.81,118.37,118.57,1610520,ok
2020-01-13,118.78,119.64,118.22,119.06,1357586,ok
2020-01-14,118.98,120.59,118.7,119.53,1326776,ok
2020-01-15,119.41,119.41,117.23,117.51,1729207,ok
2020-01-16,118.48,119.22,118.01,119.13,1413598,ok
2020-01-17,119.75,119.92,119.02,119.47,2303296,ok
2020-01-21,118.19,119.67,118.0,119.31,2548371,ok
2020-01-22,119.64,121.045,119.28,120.42,1654714,ok
2020-01-23,120.42,121.07,118.85,120.86,2170308,ok
2020-01-24,121.78,122.2,116.9,117.57,1972168,ok
2020-01-27,114.65,114.98,112.2,112.21,2737804,ok
2020-01-28,114.03,114.59,113.05,114.31,2670469,ok
2020-01-29,114.31,114.465,112.6,113.23,3501466,ok
2020-01-30,112.23,113.5,110.96,112.37,2760980,ok
2020-01-31,111.66,111.72,109.2,109.75,3245433,ok
2020-02-03,110.7,111.61,109.55,110.0,2134777,ok
2020-02-04,112.26,113.38,111.62,112.46,2249780,ok
2020-02-05,115.08,117.06,114.11,116.68,2192425,ok
2020-02-06,116.94,117.19,115.35,115.79,1398262,ok
2020-02-07,115.0,115.14,112.11,112.27,1663795,ok
2020-02-10,110.91,112.9,110.45,112.9,1813906,ok
2020-02-11,113.45,117.765,113.45,116.88,2765514,ok
2020-02-12,117.41,119.05,117.29,118.81,1856037,ok
2020-02-13,118.23,119.04,116.95,118.88,2391089,ok
2020-02-14,119.05,119.37,116.7,117.65,1869020,ok
2020-02-18,116.23,118.89,116.07,118.57,3077811,ok
2020-02-19,125.06,127.3,122.39,123.89,4598958,ok
2020-02-20,124.4,125.57,122.37,124.55,3062435,ok
2020-02-21,122.92,123.97,120.81,122.76,2813765,ok
2020-02-24,119.34,119.69,116.97,117.36,3041587,ok
2020-02-25,118.54,118.78,113.38,114.66,3251681,ok
2020-02-26,115.98,117.385,114.2949,114.84,2896612,ok
