Date,Open,High,Low,Close,Volume,Status
2020-01-02,46.57,46.64,45.88,46.11,2995993,ok
2020-01-03,45.89,46.19,45.72,46.02,2259499,ok
2020-01-06,45.79,45.845,45.32,45.66,2831733,ok
2020-01-07,45.57,45.69,45.1,45.11,2301528,ok
2020-01-08,45.11,45.23,44.38,44.61,3346368,ok
2020-01-09,44.33,44.33,43.03,44.15,4080169,ok
2020-01-10,44.37,44.46,43.8,43.95,2311398,ok
2020-01-13,44.04,44.48,43.98,44.42,3167771,ok
2020-01-14,44.51,44.6399,44.08,44.5,4798491,ok
2020-01-15,44.35,44.84,44.01,44.39,2586664,ok
2020-01-16,44.65,45.46,44.585,45.34,2584955,ok
2020-01-17,45.4,45.55,45.11,45.25,2741675,ok
2020-01-21,45.1,45.385,44.87,45.12,2663411,ok
2020-01-22,45.24,45.31,44.89,44.93,2101386,ok
2020-01-23,44.74,45.04,44.51,44.97,1459888,ok
2020-01-24,45.05,45.06,43.98,44.3,2169271,ok
2020-01-27,43.76,43.9,43.365,43.53,2718508,ok
2020-01-28,43.7,44.105,43.525,43.92,2219424,ok
2020-01-29,44.06,44.1,43.66,43.68,2803504,ok
2020-01-30,45.62,46.0,44.7825,45.8,5958841,ok
2020-01-31,45.48,45.62,44.55,44.76,8398285,ok
2020-02-03,44.97,45.27,44.64,44.96,3939435,ok
2020-02-04,45.5,45.685,45.27,45.37,2567381,ok
2020-02-05,45.78,46.135,45.69,46.07,3038555,ok
2020-02-06,46.19,46.33,45.94,45.98,2387330,ok
2020-02-07,45.73,46.0,45.55,45.71,2289391,ok
2020-02-10,45.6,45.87,45.36,45.68,1695346,ok
2020-02-11,45.9,46.51,45.73,46.12,2200143,ok
2020-02-12,45.95,46.165,45.59,45.61,2280971,ok
2020-02-13,45.42,45.63,45.02,45.27,2317471,ok
2020-02-14,45.08,45.16,44.62,44.77,2513189,ok
2020-02-18,44.48,44.65,44.16,44.45,2512078,ok
2020-02-19,44.5,44.53,43.88,43.97,2257222,ok
2020-02-20,43.75,44.33,43.6756,44.23,1951031,ok
2020-02-21,44.09,44.15,43.58,43.9,2645815,ok
2020-02-24,42.76,43.01,42.5,42.82,3010970,ok
2020-02-25,42.89,42.9399,40.39,40.43,3364837,ok
2020-02-26,40.66,41.12,39.86,39.87,5252015,ok
2020-02-27,39.25,39.31,37.59,37.62,4476174,ok
2020-02-28,36.63,37.65,35.78,37.65,8056958,ok
2020-03-02,38.19,38.84,37.57,38.84,4829282,ok
2020-03-03,38.57,39.5989,37.84,38.06,4886647,ok
2020-03-04,38.77,39.39,38.33,39.37,2971270,ok
2020-03-05,38.38,38.855,38.01,38.33,2848466,ok
2020-03-06,36.95,38.11,36.9,37.64,4051157,ok
2020-03-09,35.49,37.54,34.98,35.3,6746975,ok
2020-03-10,36.46,37.15,34.66,37.12,7447284,ok
2020-03-11,35.71,36.33,34.57,35.07,4993461,ok
2020-03-12,32.97,33.76,31.46,31.54,7272714,ok
2020-03-13,33.01,34.69,31.33,34.64,6236577,ok
2020-03-16,31.1,34.59,31.01,32.68,5684975,ok
2020-03-17,33.53,35.28,33.1,35.26,4465180,ok
2020-03-18,33.13,33.33,31.06,33.02,4471637,ok
2020-03-19,32.92,35.0,31.6,33.46,3483901,ok
2020-03-20,33.89,33.89,30.43,30.61,5009887,ok
2020-03-23,30.22,31.0,28.92,29.31,4870422,ok
2020-03-24,30.85,32.49,30.5,32.32,5301801,ok
2020-03-25,32.38,34.035,31.88,32.7,3921497,ok
2020-03-26,33.12,34.79,32.83,34.46,3557034,ok
2020-03-27,33.5,34.43,33.15,33.5,3277729,ok
