Date,Open,High,Low,Close,Volume,Status
2020-01-02,19.97,20.1,19.88,20.03,2987561,ok
2020-01-03,19.89,20.04,19.74,19.8,5349469,ok
2020-01-06,19.75,20.04,19.74,20.03,4352088,ok
2020-01-07,20.02,20.12,19.88,20.1,3240685,ok
2020-01-08,20.14,20.25,19.89,20.06,4476360,ok
2020-01-09,20.07,20.42,20.07,20.26,4163175,ok
2020-01-10,20.23,20.33,20.14,20.18,2554994,ok
2020-01-13,20.14,20.42,20.14,20.31,3143707,ok
2020-01-14,20.3,20.41,20.2,20.4,3893404,ok
2020-01-15,20.35,20.58,20.26,20.46,3099173,ok
2020-01-16,20.45,20.58,20.35,20.57,2819620,ok
2020-01-17,20.51,20.5965,20.24,20.5,5006079,ok
2020-01-21,20.37,20.56,20.25,20.47,6399877,ok
2020-01-22,20.45,20.71,20.375,20.4,3833080,ok
2020-01-23,20.38,20.58,20.31,20.56,3144919,ok
2020-01-24,20.55,20.56,20.315,20.38,2052446,ok
2020-01-27,20.31,20.375,20.02,20.08,3593886,ok
2020-01-28,20.16,20.33,20.08,20.18,3129451,ok
2020-01-29,20.16,20.39,20.05,20.32,3345321,ok
2020-01-30,20.08,20.2,19.94,20.18,2355519,ok
2020-01-31,20.06,20.18,19.79,19.86,3644232,ok
2020-02-03,19.97,20.38,19.9,20.31,3843290,ok
2020-02-04,20.39,20.685,20.345,20.61,4225313,ok
2020-02-05,20.68,20.905,20.62,20.76,3629103,ok
2020-02-06,20.83,20.87,20.555,20.58,3115998,ok
2020-02-07,20.55,20.61,20.42,20.5,2206297,ok
2020-02-10,20.5,20.56,20.38,20.52,2505704,ok
2020-02-11,20.61,20.89,20.6,20.79,3166021,ok
2020-02-12,20.75,21.01,20.69,20.96,3134645,ok
2020-02-13,20.91,20.955,20.74,20.83,3407659,ok
2020-02-14,20.85,20.97,20.815,20.93,3469330,ok
2020-02-18,20.94,21.23,20.84,21.03,2535773,ok
2020-02-19,21.14,21.15,20.905,20.91,2224411,ok
2020-02-20,20.87,20.94,20.6581,20.8,2818950,ok
2020-02-21,20.8,20.9,20.695,20.75,3948989,ok
2020-02-24,20.33,20.49,20.13,20.25,3921957,ok
2020-02-25,20.31,20.32,19.36,19.38,5870984,ok
2020-02-26,19.49,19.53,18.68,18.69,4952992,ok
2020-02-27,18.56,19.06,18.25,18.29,8442891,ok
2020-02-28,16.0,17.39,15.75,16.73,12558230,ok
2020-03-02,16.77,18.24,16.475,18.22,8987994,ok
2020-03-03,18.01,18.43,17.41,17.43,11037924,ok
2020-03-04,17.68,17.91,17.3,17.83,5851345,ok
2020-03-05,17.53,17.535,16.58,16.73,6056817,ok
2020-03-06,16.13,16.93,15.89,16.82,9374075,ok
2020-03-09,15.65,15.8,14.49,14.58,6968044,ok
2020-03-10,15.1,15.28,14.29,15.21,7209431,ok
2020-03-11,14.76,14.955,14.04,14.16,7945713,ok
2020-03-12,13.06,13.14,11.7,12.18,7506574,ok
2020-03-13,12.99,13.23,11.98,13.0,7406358,ok
2020-03-16,11.55,12.7,10.99,10.99,6959314,ok
2020-03-17,11.3,11.72,9.835,11.56,7799060,ok
2020-03-18,11.15,11.15,8.11,9.56,9184289,ok
2020-03-19,9.5,11.27,9.0,10.99,8728874,ok
2020-03-20,11.21,12.13,10.84,11.87,12070673,ok
2020-03-23,11.98,12.99,11.53,11.87,10708596,ok
2020-03-24,12.65,13.42,12.15,12.66,7597198,ok
2020-03-25,12.75,13.585,11.81,12.82,7160874,ok
2020-03-26,12.93,13.68,12.7,13.5,7775886,ok
2020-03-27,12.85,13.83,12.68,13.45,5612390,ok
2020-03-30,13.75,13.96,13.28,13.66,7614514,ok
2020-03-31,13.5,13.925,13.18,13.6,6796388,ok
2020-04-01,13.0,13.27,12.34,12.8,7036166,ok
2020-04-02,12.66,13.57,12.48,13.04,6683706,ok
2020-04-03,12.75,13.08,12.125,12.24,6542576,ok
2020-04-06,12.9,13.775,12.8,13.62,5158046,ok
2020-04-07,14.33,14.61,13.2,13.23,6269821,ok
2020-04-08,13.21,14.27,13.16,14.13,4545621,ok
2020-04-09,14.45,14.99,14.4,14.72,7452961,ok
2020-04-13,14.63,14.63,13.92,14.19,3747490,ok
2020-04-14,14.41,14.49,13.76,14.01,5189999,ok
2020-04-15,13.31,13.65,12.66,12.69,10034265,ok
2020-04-16,12.7,12.88,12.01,12.16,10027963,ok
2020-04-17,12.59,13.185,12.48,13.12,7584472,ok
2020-04-20,12.87,13.1,12.56,12.7,4971706,ok
2020-04-21,12.4,12.5774,12.25,12.46,5763819,ok
2020-04-22,12.79,12.86,12.345,12.68,4492118,ok
2020-04-23,12.82,13.135,12.65,12.69,4019523,ok
2020-04-24,12.74,13.015,12.531,12.86,5041012,ok
2020-04-27,13.0,13.45,12.89,13.28,3550909,ok
2020-04-28,13.7,14.01,13.4,13.63,4307225,ok
2020-04-29,13.98,14.475,13.865,14.32,5761303,ok
2020-04-30,14.03,14.04,13.215,13.25,5606817,ok
2020-05-01,13.0,13.17,12.6,12.94,3957381,ok
2020-05-04,12.87,12.88,12.54,12.81,3618895,ok
2020-05-05,13.02,13.21,12.9,13.05,5684931,ok
2020-05-06,13.11,13.11,12.445,12.53,7499022,ok
2020-05-07,12.53,13.05,12.07,12.12,7777775,ok
2020-05-08,12.41,12.945,12.26,12.87,7503216,ok
2020-05-11,12.74,12.74,12.3202,12.4,5335028,ok
2020-05-12,12.4,12.61,12.35,12.47,6687104,ok
2020-05-13,12.36,12.39,11.51,11.61,9048980,ok
2020-05-14,11.43,11.825,11.0,11.82,7523116,ok
2020-05-15,11.72,11.83,11.56,11.75,7670046,ok
2020-05-18,12.22,13.13,12.2027,13.04,5725312,ok
2020-05-19,13.15,13.26,12.81,12.81,5433349,ok
2020-05-20,13.09,13.295,12.9,12.97,5266558,ok
2020-05-21,12.9,13.0,12.29,12.31,7769073,ok
2020-05-22,12.3,12.34,11.965,12.24,5943629,ok
2020-05-26,12.83,13.17,12.737,12.88,5538076,ok
2020-05-27,13.15,13.23,12.57,12.77,7715795,ok
2020-05-28,12.94,13.145,12.62,12.89,8437539,ok
2020-05-29,12.81,12.833,12.3,12.49,8118022,ok
2020-06-01,12.47,12.76,12.33,12.55,6524067,ok
2020-06-02,12.67,13.13,12.455,13.11,5416580,ok
2020-06-03,13.34,13.75,13.33,13.63,5803952,ok
2020-06-04,13.55,13.96,13.41,13.84,9202530,ok
2020-06-05,14.48,15.06,14.22,14.3,8321194,ok
2020-06-08,14.5,15.075,14.45,14.97,5488532,ok
2020-06-09,14.51,14.59,13.72,13.84,6287675,ok
2020-06-10,13.78,13.79,13.16,13.17,7941327,ok
2020-06-11,12.5,12.6,12.0,12.2,8830992,ok
2020-06-12,12.73,12.96,12.25,12.67,6952813,ok
2020-06-15,12.23,12.98,12.0304,12.88,5976498,ok
2020-06-16,13.58,13.8999,13.36,13.66,7945502,ok
2020-06-17,13.77,13.88,13.29,13.41,6822664,ok
2020-06-18,13.2,13.51,13.115,13.44,4560859,ok
2020-06-19,13.71,13.91,13.315,13.34,11285740,ok
2020-06-22,13.36,14.14,13.18,13.98,9029898,ok
2020-06-23,14.13,14.38,13.77,13.84,7689825,ok
2020-06-24,13.68,14.0058,13.48,13.84,8331520,ok
2020-06-25,13.74,13.96,13.57,13.88,9719485,ok
2020-06-26,13.82,13.9799,13.53,13.75,13077506,ok
2020-06-29,13.96,14.44,13.715,14.34,9840408,ok
2020-06-30,14.26,14.55,14.085,14.49,9237205,ok
2020-07-01,14.6,14.69,14.28,14.41,5702446,ok
2020-07-02,14.61,14.81,14.44,14.48,4701784,ok
2020-07-06,14.79,15.05,14.34,14.47,5526910,ok
2020-07-07,14.24,14.25,14.03,14.14,4165215,ok
2020-07-08,14.08,14.47,13.96,14.44,6383747,ok
2020-07-09,14.29,14.375,13.77,13.92,5579314,ok
2020-07-10,13.92,14.425,13.89,14.36,5158077,ok
2020-07-13,14.44,14.88,14.4,14.64,6735875,ok
2020-07-14,14.6,14.99,14.55,14.76,6563530,ok
2020-07-15,14.95,15.195,14.87,15.07,4961947,ok
2020-07-16,15.06,15.165,14.82,14.88,3706010,ok
2020-07-17,14.87,15.715,14.77,15.63,8239447,ok
2020-07-20,15.52,15.53,15.15,15.26,5592022,ok
2020-07-21,15.4,15.81,15.305,15.42,5172817,ok
2020-07-22,15.24,15.72,14.89,15.6,6716521,ok
2020-07-23,15.65,15.9,15.58,15.68,4130378,ok
2020-07-24,15.72,15.84,15.31,15.4,4226584,ok
2020-07-27,15.39,15.405,15.015,15.25,5329337,ok
2020-07-28,15.13,15.38,15.125,15.2,3343963,ok
2020-07-29,15.27,15.625,15.23,15.56,4142603,ok
2020-07-30,15.38,15.48,15.14,15.42,3175353,ok
2020-07-31,15.23,15.255,14.83,15.23,4069208,ok
2020-08-03,15.22,15.22,14.95,15.12,3456977,ok
2020-08-04,15.11,15.53,14.98,15.47,5566648,ok
2020-08-05,15.6,15.6704,15.21,15.4,6051907,ok
2020-08-06,15.35,16.81,15.25,16.55,9526863,ok
2020-08-07,16.43,17.3,16.37,17.16,8627785,ok
2020-08-10,17.33,17.72,16.92,17.59,5848720,ok
2020-08-11,17.73,17.86,16.96,16.98,5873685,ok
2020-08-12,16.99,17.625,16.775,17.26,5144376,ok
2020-08-13,17.29,17.99,17.16,17.79,7945746,ok
2020-08-14,17.71,17.71,17.44,17.57,4269273,ok
2020-08-17,17.6,17.8,17.485,17.67,4249584,ok
2020-08-18,17.59,17.89,17.49,17.74,4635073,ok
2020-08-19,17.74,17.97,17.58,17.62,2614785,ok
2020-08-20,17.4,18.0699,17.26,17.95,5172258,ok
2020-08-21,18.0,18.16,17.82,18.02,5183430,ok
2020-08-24,18.12,18.18,17.91,18.07,3912251,ok
2020-08-25,18.17,18.17,17.65,17.89,2839361,ok
2020-08-26,17.89,17.91,17.58,17.73,3181346,ok
2020-08-27,17.78,18.01,17.7,17.91,3515416,ok
2020-08-28,17.89,17.96,17.57,17.9,4775013,ok
2020-08-31,17.93,17.985,17.67,17.75,4074718,ok
2020-09-01,17.65,17.955,17.562,17.91,3914341,ok
2020-09-02,17.92,18.25,17.73,18.18,4967338,ok
2020-09-03,18.25,18.34,17.53,17.69,4419101,ok
2020-09-04,17.75,17.8,17.125,17.57,4318221,ok
2020-09-08,17.5,17.53,17.21,17.41,4264801,ok
2020-09-09,17.55,17.735,17.325,17.54,2988929,ok
2020-09-10,17.54,17.645,17.31,17.36,2736965,ok
2020-09-11,17.4,17.8499,17.255,17.8,7266184,ok
2020-09-14,17.89,18.08,17.72,17.95,4414186,ok
2020-09-15,18.09,18.135,17.62,17.79,3703311,ok
2020-09-16,17.81,18.13,17.73,18.06,4346285,ok
2020-09-17,17.88,18.59,17.605,18.43,6893627,ok
2020-09-18,18.47,19.12,18.45,18.79,11655510,ok
2020-09-21,18.42,18.53,17.98,18.36,4674856,ok
2020-09-22,18.36,18.46,18.0,18.24,4816309,ok
2020-09-23,18.37,18.45,17.76,17.76,5635964,ok
2020-09-24,17.85,18.13,17.42,17.96,7458016,ok
2020-09-25,18.01,18.07,17.72,17.99,3652737,ok
2020-09-28,18.28,18.45,17.85,17.87,5012716,ok
2020-09-29,18.06,18.23,17.82,18.0,4226866,ok
2020-09-30,18.04,18.27,17.96,18.11,6615591,ok
2020-10-01,18.24,18.31,17.68,17.92,4895918,ok
2020-10-02,17.53,18.545,17.46,18.54,6500237,ok
2020-10-05,18.65,18.78,18.545,18.58,3445046,ok
2020-10-06,18.59,18.84,18.42,18.66,3555525,ok
2020-10-07,18.76,18.93,18.585,18.75,3546920,ok
2020-10-08,18.87,19.48,18.78,19.44,8813767,ok
2020-10-09,19.5,19.57,18.98,19.32,7942812,ok
2020-10-12,19.32,19.61,19.21,19.52,5156630,ok
2020-10-13,19.31,19.607,19.27,19.55,5105677,ok
2020-10-14,19.55,19.74,19.47,19.63,3657849,ok
2020-10-15,19.34,19.95,19.28,19.86,3941689,ok
2020-10-16,19.93,20.03,19.65,19.9,3838879,ok
2020-10-19,19.9,20.095,19.68,19.9,8025448,ok
2020-10-20,20.17,20.385,19.95,20.0,4668234,ok
2020-10-21,19.97,20.27,19.935,20.21,5450742,ok
2020-10-22,20.2,20.45,20.04,20.41,4140940,ok
2020-10-23,20.55,20.76,20.3242,20.65,3881517,ok
2020-10-26,20.39,20.65,20.05,20.58,5676074,ok
2020-10-27,20.57,20.67,20.265,20.34,3718973,ok
2020-10-28,20.0,20.165,19.36,19.5,6373732,ok
2020-10-29,19.32,19.725,18.98,19.53,4772925,ok
2020-10-30,19.5,19.805,19.305,19.5,5949754,ok
2020-11-02,19.79,20.14,19.67,20.0,5621572,ok
2020-11-03,20.35,20.685,20.17,20.27,4908187,ok
2020-11-04,20.26,20.42,19.89,19.94,6436238,ok
2020-11-05,20.22,21.28,20.1,20.97,5604271,ok
2020-11-06,20.91,21.331,20.36,20.41,4317790,ok
2020-11-09,21.93,22.32,20.905,20.97,7283958,ok
2020-11-10,20.95,21.07,20.515,20.82,6543680,ok
2020-11-11,21.0,21.6,20.88,21.29,6061181,ok
2020-11-12,21.11,21.11,20.28,20.54,5706848,ok
2020-11-13,20.72,21.01,20.63,20.87,4756687,ok
2020-11-16,21.29,21.43,21.07,21.33,5490159,ok
2020-11-17,21.13,21.52,21.13,21.35,4546270,ok
2020-11-18,21.36,21.55,21.18,21.37,11402248,ok
2020-11-19,21.28,21.3,20.815,20.88,6364438,ok
2020-11-20,20.73,20.85,20.38,20.42,6956379,ok
2020-11-23,20.61,20.7,20.36,20.46,5701583,ok
2020-11-24,20.72,21.23,20.55,21.15,5722175,ok
2020-11-25,21.15,21.28,20.83,20.98,4538729,ok
2020-11-27,21.08,21.115,20.92,21.04,1924099,ok
2020-11-30,20.97,21.03,20.38,20.44,8001770,ok
2020-12-01,20.66,20.92,20.54,20.6,5935405,ok
2020-12-02,20.48,21.39,20.27,21.16,6780461,ok
2020-12-03,21.11,21.535,21.01,21.16,5008778,ok
2020-12-04,21.24,21.39,20.89,21.07,4094489,ok
2020-12-07,20.99,21.16,20.64,20.87,4224965,ok
2020-12-08,20.82,21.345,20.76,21.19,4626058,ok
2020-12-09,21.18,21.26,20.69,20.85,4848422,ok
2020-12-10,20.71,20.97,20.64,20.85,4779446,ok
2020-12-11,20.67,21.23,20.522,21.15,4495472,ok
2020-12-14,21.34,21.57,21.165,21.3,4860477,ok
2020-12-15,21.41,22.3,21.295,22.28,5430814,ok
2020-12-16,22.41,22.48,21.86,21.9,6260254,ok
2020-12-17,21.98,22.46,21.98,22.09,6010019,ok
2020-12-18,22.14,22.69,22.025,22.54,13712890,ok
2020-12-21,22.33,23.15,22.08,22.62,6095819,ok
2020-12-22,22.71,23.16,22.59,22.82,4833344,ok
2020-12-23,23.14,23.56,23.0,23.49,5114110,ok
2020-12-24,23.5,23.53,23.1,23.27,2859661,ok
2020-12-28,23.48,23.61,23.235,23.3,3892552,ok
2020-12-29,23.38,23.62,23.075,23.31,2818794,ok
2020-12-30,22.98,23.12,22.6601,22.78,8226344,ok
2020-12-31,22.91,23.555,22.83,23.5,4316368,ok
2021-01-04,23.71,23.99,23.02,23.24,6523449,ok
2021-01-05,23.21,24.19,23.2,24.02,6392645,ok
2021-01-06,24.28,25.215,24.1,24.98,6504520,ok
2021-01-07,25.2,25.295,24.73,24.73,6068317,ok
2021-01-08,24.89,25.445,24.75,25.42,4479375,ok
2021-01-11,25.09,25.545,25.02,25.46,6025999,ok
2021-01-12,25.53,26.115,25.47,26.02,5220058,ok
2021-01-13,26.11,27.06,26.04,26.88,8193780,ok
2021-01-14,26.88,27.58,26.88,27.45,5924666,ok
2021-01-15,27.27,27.815,27.16,27.6,5220709,ok
2021-01-19,28.05,28.405,27.75,28.06,6587179,ok
2021-01-20,27.99,28.675,27.88,28.02,6807956,ok
2021-01-21,28.03,28.08,27.17,27.28,7106885,ok
2021-01-22,27.14,27.28,26.93,27.1,5784705,ok
2021-01-25,26.86,27.2097,25.91,26.23,10717415,ok
2021-01-26,26.24,26.36,24.46,24.56,10506805,ok
2021-01-27,23.96,24.0,22.82,22.96,14199893,ok
2021-01-28,23.36,24.78,23.04,24.55,12017045,ok
2021-01-29,24.29,24.91,24.24,24.39,7250268,ok
2021-02-01,24.66,25.16,24.29,24.81,10704428,ok
2021-02-02,25.11,26.175,24.94,25.75,11209625,ok
2021-02-03,25.8,25.96,25.4101,25.85,5264369,ok
2021-02-04,25.75,26.22,25.63,26.17,4831754,ok
2021-02-05,26.42,27.1,26.26,26.86,4324620,ok
2021-02-08,27.15,27.96,26.95,27.68,8431896,ok
2021-02-09,27.59,27.92,27.32,27.91,5275104,ok
2021-02-10,28.08,28.13,27.08,27.64,7563836,ok
2021-02-11,27.8,28.2,27.65,28.0,5576717,ok
2021-02-12,28.0,28.54,27.95,28.53,4984242,ok
2021-02-16,28.6,29.07,28.44,28.91,7370112,ok
2021-02-17,28.8,29.01,28.53,28.76,4778840,ok
2021-02-18,28.61,28.815,27.3699,27.81,7614129,ok
2021-02-19,28.01,28.6,27.93,28.31,4352059,ok
2021-02-22,28.12,28.13,26.97,27.0,9607577,ok
2021-02-23,26.88,27.34,25.54,27.22,9793373,ok
2021-02-24,27.23,28.28,27.19,28.0,8671961,ok
2021-02-25,27.68,27.89,26.19,26.35,8306351,ok
2021-02-26,26.4,27.14,26.12,26.56,5892279,ok
2021-03-01,27.07,27.3,26.6009,27.0,6045842,ok
2021-03-02,26.98,27.1,26.6427,26.81,5638224,ok
2021-03-03,26.76,26.94,26.35,26.89,6996861,ok
2021-03-04,26.13,26.48,25.58,25.88,18935480,ok
2021-03-05,26.0,26.24,24.83,25.99,10636865,ok
2021-03-08,26.12,26.57,25.75,26.28,8455714,ok
2021-03-09,26.87,27.955,26.7,27.53,6344426,ok
2021-03-10,27.68,28.19,27.4,27.49,6911974,ok
2021-03-11,27.82,28.32,27.71,28.18,4632992,ok
2021-03-12,28.04,28.51,27.74,28.45,3393260,ok
2021-03-15,28.38,28.76,28.28,28.5,4336933,ok
2021-03-16,28.34,28.45,27.87,27.89,4547309,ok
2021-03-17,27.79,27.79,26.37,26.85,11942901,ok
2021-03-18,26.85,26.98,25.98,26.0,8796619,ok
2021-03-19,26.01,26.55,25.904,26.31,11160661,ok
2021-03-22,26.37,26.4592,25.89,25.96,7979776,ok
2021-03-23,25.97,26.015,25.41,25.58,6874227,ok
2021-03-24,25.56,26.405,25.56,25.65,5497074,ok
2021-03-25,25.38,26.25,25.17,26.12,5455916,ok
2021-03-26,26.17,26.38,25.895,26.32,5056676,ok
2021-03-29,26.19,26.32,25.975,26.07,3794887,ok
2021-03-30,26.11,26.88,26.05,26.88,4603085,ok
2021-03-31,27.08,27.31,26.77,26.81,5727952,ok
2021-04-01,27.04,27.32,26.9,27.07,6138253,ok
2021-04-05,27.43,27.53,26.96,27.34,6462600,ok
2021-04-06,27.26,28.015,27.13,27.82,5735767,ok
2021-04-07,27.79,27.86,26.92,27.09,6073249,ok
2021-04-08,27.26,27.745,27.255,27.68,4565771,ok
2021-04-09,27.5,27.78,26.945,27.72,5970801,ok
2021-04-12,27.69,27.85,27.55,27.68,3761149,ok
2021-04-13,27.73,28.27,27.47,28.24,4947521,ok
2021-04-14,28.13,28.585,28.12,28.37,3954949,ok
2021-04-15,28.5,28.71,28.36,28.53,4727813,ok
2021-04-16,28.78,28.85,28.51,28.63,5055165,ok
2021-04-19,28.57,28.695,28.09,28.34,5036826,ok
2021-04-20,28.21,28.55,28.03,28.25,5736856,ok
2021-04-21,28.03,28.43,27.84,28.39,3877996,ok
2021-04-22,28.67,28.86,28.295,28.32,4960589,ok
2021-04-23,28.23,28.5,28.17,28.3,3297148,ok
2021-04-26,28.44,28.44,27.985,28.21,3420139,ok
2021-04-27,28.27,28.29,27.71,27.8,2982376,ok
2021-04-28,27.77,28.02,27.72,27.97,3352225,ok
2021-04-29,27.97,28.31,27.78,27.9,5413807,ok
2021-04-30,27.65,27.94,27.54,27.82,5369055,ok
2021-05-03,28.0,28.083,27.34,27.35,5982116,ok
2021-05-04,27.25,27.25,26.56,26.71,8082166,ok
2021-05-05,26.9,26.73,26.3,26.47,6658887,ok
2021-05-06,25.98,26.365,24.8273,25.45,16044037,ok
2021-05-07,25.57,26.0,24.93,25.79,10752368,ok
2021-05-10,25.52,26.155,25.25,25.73,7076798,ok
2021-05-11,25.28,25.46,24.91,25.34,5084031,ok
2021-05-12,25.18,25.53,24.555,24.62,4838671,ok
2021-05-13,24.83,25.035,24.125,24.44,5314351,ok
2021-05-14,24.65,25.7,24.65,25.37,4893030,ok
2021-05-17,25.14,25.428,24.87,25.17,5523108,ok
2021-05-18,25.26,25.26,24.86,24.89,4574912,ok
2021-05-19,24.51,24.965,24.3401,24.94,7925072,ok
2021-05-20,25.0,25.57,24.9455,25.35,8464625,ok
2021-05-21,25.49,25.685,25.26,25.36,7333932,ok
2021-05-24,25.61,25.86,25.44,25.7,6359053,ok
2021-05-25,25.85,25.85,25.275,25.34,7456138,ok
2021-05-26,25.45,25.65,25.14,25.46,5827783,ok
2021-05-27,25.63,25.66,25.32,25.34,5363874,ok
2021-05-28,25.44,25.54,25.28,25.41,3574891,ok
2021-06-01,25.57,25.8,25.42,25.63,4035251,ok
2021-06-02,25.59,25.59,25.105,25.19,5187747,ok
2021-06-03,24.94,25.335,24.68,25.07,3554993,ok
2021-06-04,25.15,25.29,24.63,24.96,6034490,ok
2021-06-07,25.15,25.34,24.915,25.32,3692879,ok
2021-06-08,25.39,25.58,25.175,25.32,3198755,ok
2021-06-09,25.45,25.5,25.17,25.2,3357151,ok
2021-06-10,25.26,25.48,25.075,25.38,3485416,ok
2021-06-11,25.54,25.9,25.46,25.88,3660759,ok
2021-06-14,25.97,26.25,25.49,25.74,2618671,ok
2021-06-15,25.81,26.29,25.67,26.06,4043105,ok
2021-06-16,26.09,26.21,25.71,25.73,4970009,ok
2021-06-17,25.66,26.14,25.47,26.07,4101072,ok
2021-06-18,25.61,25.8,25.12,25.14,6538516,ok
2021-06-21,25.39,26.21,25.25,26.15,4941415,ok
2021-06-22,26.04,26.105,25.71,25.74,3566579,ok
2021-06-23,25.81,26.06,25.64,25.86,3178342,ok
2021-06-24,26.02,26.05,25.78,25.97,2949751,ok
2021-06-25,26.03,26.26,26.01,26.22,3341399,ok
2021-06-28,26.22,26.63,26.09,26.53,3359847,ok
2021-06-29,26.49,27.0,26.345,26.37,4447600,ok
2021-06-30,26.36,26.45,25.82,26.07,6329064,ok
2021-07-01,26.33,26.45,26.085,26.33,4103069,ok
2021-07-02,26.49,26.49,26.08,26.16,3312759,ok
2021-07-06,26.24,26.28,25.68,26.0,3579207,ok
2021-07-07,25.92,26.17,25.83,25.99,2948504,ok
2021-07-08,25.54,25.93,25.13,25.49,5596628,ok
2021-07-09,25.78,25.865,25.515,25.73,6073218,ok
2021-07-12,25.66,25.97,25.4,25.95,6083562,ok
2021-07-13,25.92,25.98,24.8803,24.92,6107602,ok
2021-07-14,25.02,25.395,24.935,24.95,3645252,ok
2021-07-15,24.73,24.9,24.39,24.58,5489251,ok
2021-07-16,24.67,24.83,24.21,24.36,6356777,ok
2021-07-19,23.91,24.05,23.43,23.58,7643943,ok
2021-07-20,23.67,24.28,23.61,24.1,6737402,ok
2021-07-21,24.28,24.52,24.2,24.36,4618970,ok
2021-07-22,24.48,24.49,23.94,24.02,5477329,ok
2021-07-23,24.13,24.255,23.66,23.9,5729492,ok
2021-07-26,23.91,24.18,23.835,24.0,4904264,ok
2021-07-27,23.87,24.31,23.68,24.31,5488464,ok
2021-07-28,24.45,24.49,24.015,24.22,2984293,ok
2021-07-29,24.34,24.465,24.21,24.27,3328048,ok
2021-07-30,23.89,24.22,23.65,23.7,5208863,ok
2021-08-02,23.92,23.92,23.52,23.57,5567492,ok
2021-08-03,23.65,24.12,23.52,23.92,10843580,ok
2021-08-04,23.74,23.9,23.45,23.64,4894522,ok
2021-08-05,24.3,25.26,23.83,24.85,10640792,ok
2021-08-06,25.13,25.48,24.555,24.6,7489806,ok
2021-08-09,24.55,24.59,24.16,24.17,5950573,ok
2021-08-10,24.21,24.735,24.1,24.34,4612800,ok
2021-08-11,24.37,24.93,24.37,24.89,4700627,ok
2021-08-12,24.78,25.2,24.78,25.11,4353850,ok
2021-08-13,25.0,25.19,24.75,24.79,3286050,ok
2021-08-16,24.66,24.78,24.36,24.36,2682663,ok
2021-08-17,24.18,24.24,23.74,24.09,3452259,ok
2021-08-18,24.16,24.195,23.74,23.76,4970624,ok
2021-08-19,23.6,23.935,23.5218,23.64,5192591,ok
2021-08-20,23.58,24.36,23.5289,24.32,5292621,ok
2021-08-23,24.4,24.48,24.0,24.25,5704254,ok
2021-08-24,24.43,24.43,24.02,24.2,5848680,ok
2021-08-25,24.18,24.52,24.08,24.26,6158337,ok
2021-08-26,24.2,24.255,23.86,23.87,3919846,ok
2021-08-27,23.76,24.19,23.71,24.19,4578684,ok
2021-08-30,24.3,24.33,24.075,24.1,2120012,ok
2021-08-31,24.16,24.23,23.765,23.87,6436321,ok
2021-09-01,24.08,24.44,24.03,24.12,3940932,ok
2021-09-02,24.13,24.54,24.11,24.53,3283637,ok
2021-09-03,24.48,24.73,24.4,24.64,7179332,ok
2021-09-07,24.47,24.59,24.275,24.45,7112050,ok
2021-09-08,24.44,24.56,24.12,24.15,4804903,ok
2021-09-09,24.19,24.29,23.99,24.06,4377719,ok
2021-09-10,24.17,24.19,23.76,23.77,3686803,ok
2021-09-13,24.0,24.04,23.71,23.87,5941405,ok
2021-09-14,24.03,24.14,23.695,23.82,4703237,ok
2021-09-15,23.78,24.18,23.66,24.11,4909498,ok
2021-09-16,24.15,24.36,24.01,24.28,5230663,ok
2021-09-17,24.52,24.845,24.48,24.6,10357780,ok
