Date,Open,High,Low,Close,Volume,Status
2020-01-02,131.52,132.39,131.1509,132.36,317430,ok
2020-01-03,131.01,133.05,131.01,132.99,280281,ok
2020-01-06,132.29,133.11,131.91,133.11,235101,ok
2020-01-07,133.0,133.18,132.18,132.21,255547,ok
2020-01-08,132.42,133.84,132.42,132.71,265139,ok
2020-01-09,133.06,134.73,132.86,134.64,281587,ok
2020-01-10,134.51,134.89,132.34,132.44,324041,ok
2020-01-13,132.74,132.98,131.6,132.47,326492,ok
2020-01-14,132.15,132.195,129.71,130.0,496278,ok
2020-01-15,129.93,131.66,129.93,130.73,484221,ok
2020-01-16,131.44,132.29,130.97,131.57,466543,ok
2020-01-17,131.79,133.8,131.43,133.77,457967,ok
2020-01-21,133.31,133.57,131.43,131.53,376198,ok
2020-01-22,132.02,132.24,130.96,131.29,260562,ok
2020-01-23,130.53,130.53,128.52,130.33,410076,ok
2020-01-24,130.34,130.42,128.2875,129.18,337982,ok
2020-01-27,127.55,128.35,126.88,128.0,433860,ok
2020-01-28,128.57,130.02,128.505,129.49,296271,ok
2020-01-29,130.27,131.04,129.745,130.17,278496,ok
2020-01-30,129.14,131.6,128.9,131.51,282679,ok
2020-01-31,130.95,132.8,130.0503,130.56,383486,ok
2020-02-03,131.62,133.47,131.25,132.75,487673,ok
2020-02-04,133.9,135.09,133.655,134.32,319912,ok
2020-02-05,135.21,136.87,135.21,136.83,335882,ok
2020-02-06,137.33,137.83,136.18,136.29,276544,ok
2020-02-07,135.74,136.86,135.41,136.36,234248,ok
2020-02-10,135.9,137.14,135.68,137.11,318017,ok
2020-02-11,137.46,140.03,137.46,139.61,507681,ok
2020-02-12,137.0,139.59,132.55,136.69,748508,ok
2020-02-13,136.69,140.82,136.69,140.34,384666,ok
2020-02-14,140.44,142.56,140.3,142.52,298152,ok
2020-02-18,141.94,142.61,141.1955,141.8,361774,ok
2020-02-19,142.11,142.17,140.5,140.68,372413,ok
2020-02-20,140.54,142.33,140.49,141.57,498978,ok
2020-02-21,140.59,141.58,139.3801,140.1,431111,ok
2020-02-24,137.26,139.12,136.44,137.24,507976,ok
2020-02-25,137.02,137.86,133.69,133.86,639478,ok
2020-02-26,134.43,135.59,132.02,132.51,520524,ok
2020-02-27,131.03,132.53,126.84,126.89,956015,ok
2020-02-28,124.05,125.585,117.93,120.59,1207362,ok
2020-03-02,120.8,127.95,120.605,127.89,553208,ok
2020-03-03,127.37,129.6505,122.88,123.25,553057,ok
2020-03-04,125.26,126.96,122.7492,126.85,533365,ok
2020-03-05,123.15,123.92,118.79,120.8,445504,ok
2020-03-06,116.16,120.3,115.91,119.69,468323,ok
2020-03-09,113.0,115.5,107.74,109.05,723326,ok
2020-03-10,112.67,114.01,108.87,113.89,498962,ok
2020-03-11,110.69,111.93,107.09,108.38,457743,ok
2020-03-12,100.15,104.28,95.37,96.61,716517,ok
2020-03-13,102.35,104.72,97.565,104.53,573695,ok
2020-03-16,93.0,100.15,83.33,83.9,968836,ok
2020-03-17,86.48,94.8637,83.73,92.5,1063680,ok
2020-03-18,86.32,90.3,79.1,80.41,868569,ok
2020-03-19,79.66,85.47,76.27,83.44,883881,ok
2020-03-20,83.39,93.86,80.26,91.05,1082642,ok
2020-03-23,91.6,98.02,88.46,93.18,793573,ok
2020-03-24,97.23,100.57,94.68,98.12,695734,ok
2020-03-25,96.89,103.575,96.33,99.64,597383,ok
2020-03-26,99.17,106.05,98.87,105.35,477527,ok
2020-03-27,102.12,108.31,101.1,104.7,409371,ok
2020-03-30,104.55,108.66,99.5,107.33,358710,ok
2020-03-31,106.36,106.44,102.32,104.09,754931,ok
2020-04-01,100.5,103.29,100.21,102.12,578613,ok
2020-04-02,100.99,104.96,98.81,100.06,609485,ok
2020-04-03,98.88,100.87,97.555,98.75,288327,ok
2020-04-06,102.81,104.67,99.87,103.93,527247,ok
2020-04-07,107.1,110.63,103.85,104.09,420844,ok
2020-04-08,105.11,107.52,103.84,106.72,310922,ok
2020-04-09,108.26,114.74,107.0048,112.39,353691,ok
2020-04-13,111.81,112.0,108.49,108.57,321107,ok
2020-04-14,110.9,112.61,106.15,107.69,377881,ok
2020-04-15,105.1,105.74,100.87,101.41,365198,ok
2020-04-16,101.02,102.59,99.465,100.58,472065,ok
2020-04-17,104.08,106.1,103.35,105.81,468230,ok
2020-04-20,103.75,104.77,101.18,103.02,468784,ok
2020-04-21,100.75,103.91,100.5,101.15,405564,ok
2020-04-22,104.08,104.9,100.345,103.0,684797,ok
2020-04-23,103.5,104.185,100.79,101.25,416755,ok
2020-04-24,103.0,105.45,101.33,104.65,445011,ok
2020-04-27,105.09,109.78,105.09,108.37,528852,ok
2020-04-28,110.63,112.56,109.47,109.58,429746,ok
2020-04-29,112.0,112.285,109.66,109.73,300178,ok
2020-04-30,107.09,109.33,106.09,106.24,375635,ok
2020-05-01,104.34,105.42,101.515,102.32,440496,ok
2020-05-04,102.13,102.29,98.69,100.0,450792,ok
2020-05-05,101.05,103.66,101.02,102.09,721356,ok
2020-05-06,104.92,105.5,97.35,97.92,850916,ok
2020-05-07,98.68,102.53,98.26,98.59,520914,ok
2020-05-08,100.93,101.4199,97.89,98.8,521929,ok
2020-05-11,97.7,99.13,95.47,98.4,477853,ok
2020-05-12,98.45,98.845,93.085,93.1,536702,ok
2020-05-13,92.26,92.42,86.78,87.76,1018788,ok
2020-05-14,86.39,89.3,83.89,89.05,669718,ok
2020-05-15,88.01,91.18,86.75,91.11,1931241,ok
2020-05-18,94.89,99.155,94.695,98.29,719239,ok
2020-05-19,97.85,100.41,97.28,97.98,776784,ok
