Date,Open,High,Low,Close,Volume,Status
2020-01-02,95.61,95.86,94.62,95.51,724494,ok
2020-01-03,94.5,95.52,94.29,95.31,678181,ok
2020-01-06,95.05,95.75,94.53,95.75,1024658,ok
2020-01-07,95.56,95.75,94.66,94.72,627848,ok
2020-01-08,94.75,95.775,94.7,94.85,795674,ok
2020-01-09,95.3,95.95,95.15,95.78,635527,ok
2020-01-10,95.83,96.18,95.33,95.44,675244,ok
2020-01-13,95.47,95.75,95.03,95.37,556852,ok
2020-01-14,95.16,95.51,94.83,95.09,673833,ok
2020-01-15,94.97,95.99,94.77,95.81,618355,ok
2020-01-16,96.19,96.425,95.76,96.05,633302,ok
2020-01-17,96.33,96.7,96.12,96.45,629103,ok
2020-01-21,96.17,96.5,96.0666,96.19,495710,ok
2020-01-22,96.3,96.69,96.06,96.27,568341,ok
2020-01-23,95.84,97.17,95.26,96.99,782841,ok
2020-01-24,97.23,97.3,96.23,96.86,479539,ok
2020-01-27,95.8,96.99,95.78,96.19,700381,ok
2020-01-28,96.58,98.93,96.25,98.37,822092,ok
2020-01-29,98.76,99.45,98.43,98.82,506401,ok
2020-01-30,98.32,100.36,97.48,100.2,942292,ok
2020-01-31,103.0,105.67,102.27,102.57,1874437,ok
2020-02-03,103.24,104.66,103.125,104.26,1035674,ok
2020-02-04,104.8,105.4,104.01,104.7,915121,ok
2020-02-05,105.36,105.49,104.51,105.08,696169,ok
2020-02-06,105.23,105.61,104.97,105.12,773780,ok
2020-02-07,105.12,105.77,104.8,104.93,578096,ok
2020-02-10,104.73,106.79,104.65,106.78,591476,ok
2020-02-11,107.2,107.94,107.0,107.4,680432,ok
2020-02-12,107.16,107.75,106.55,106.65,640716,ok
2020-02-13,106.6,108.25,106.4412,108.2,424503,ok
2020-02-14,108.21,109.19,108.05,109.16,606422,ok
2020-02-18,109.12,109.46,108.13,108.51,612381,ok
2020-02-19,108.74,109.14,108.16,108.78,565500,ok
2020-02-20,108.51,108.51,106.64,108.17,689430,ok
2020-02-21,107.89,108.2,106.74,107.83,800486,ok
2020-02-24,106.81,107.76,105.82,106.21,799183,ok
2020-02-25,106.59,106.6,103.63,103.87,1005993,ok
2020-02-26,104.39,105.53,103.4,103.84,2080962,ok
2020-02-27,102.7,103.35,99.03,99.08,1357472,ok
2020-02-28,96.92,98.0,93.91,97.49,2218798,ok
2020-03-02,97.82,103.59,97.82,103.51,1815498,ok
