Date,Open,High,Low,Close,Volume,Status
2020-01-02,73.5,73.88,72.19,72.61,1620838,ok
2020-01-03,71.41,72.39,71.22,71.57,1337602,ok
2020-01-06,71.0,72.17,70.1887,71.49,1330518,ok
2020-01-07,71.65,73.49,71.131,72.43,1576372,ok
2020-01-08,70.6,71.5,69.61,71.18,2029494,ok
2020-01-09,71.32,73.07,70.73,72.74,1301126,ok
2020-01-10,73.01,73.825,71.845,72.1,1493309,ok
2020-01-13,72.95,76.0,72.89,75.86,2668075,ok
2020-01-14,76.22,78.87,75.6,78.18,3835783,ok
2020-01-15,78.9,80.93,78.0,80.12,3101763,ok
2020-01-16,80.36,81.5,78.51,80.42,2178729,ok
2020-01-17,80.98,81.3,79.7753,80.9,2151394,ok
2020-01-21,80.79,81.42,80.58,81.32,2312720,ok
2020-01-22,81.18,81.955,80.77,81.38,2138379,ok
2020-01-23,80.33,82.1,79.51,81.9,1654935,ok
2020-01-24,82.0,82.1293,80.38,81.18,1409564,ok
2020-01-27,78.63,79.66,78.01,78.94,2060836,ok
2020-01-28,79.7,81.22,79.51,80.2,1130911,ok
2020-01-29,80.83,81.61,79.74,80.73,1086129,ok
2020-01-30,80.09,80.98,79.38,80.78,1261406,ok
2020-01-31,79.8,80.36,78.72,80.28,5675980,ok
2020-02-03,80.79,81.28,79.72,80.79,2287252,ok
2020-02-04,82.5,91.93,82.42,90.43,4739821,ok
2020-02-05,88.76,89.0,85.55,87.58,3418667,ok
2020-02-06,87.57,87.99,85.54,86.95,1849579,ok
2020-02-07,85.52,85.716,82.1,82.54,2337772,ok
2020-02-10,83.11,84.7,83.11,83.25,1553820,ok
2020-02-11,83.77,85.39,83.26,84.71,1311071,ok
2020-02-12,87.02,88.09,86.1,86.83,1311807,ok
2020-02-13,85.94,88.67,85.1,87.93,1725472,ok
2020-02-14,88.54,90.54,88.49,89.64,2105605,ok
2020-02-18,88.79,89.5799,86.69,88.7,1449140,ok
2020-02-19,89.0,90.7,88.69,89.34,2041284,ok
2020-02-20,89.0,99.4,88.35,94.31,4973615,ok
2020-02-21,92.15,93.32,90.46,92.43,2263619,ok
2020-02-24,87.87,90.53,87.21,89.61,1682221,ok
2020-02-25,90.39,91.17,85.68,85.83,2195608,ok
2020-02-26,85.19,87.78,84.31,85.65,1583916,ok
2020-02-27,83.11,84.94,80.74,80.8,2530266,ok
2020-02-28,78.11,82.0,76.67,81.85,2580248,ok
2020-03-02,82.49,84.3,80.15,84.3,1661390,ok
2020-03-03,83.71,85.24,80.88,82.79,1932306,ok
2020-03-04,85.06,86.37,83.27,86.27,1198018,ok
2020-03-05,83.83,86.78,83.51,84.77,1490247,ok
2020-03-06,82.36,83.96,80.64,82.6,1490928,ok
2020-03-09,75.5,76.35,69.59,72.96,2627494,ok
2020-03-10,77.11,77.63,72.22,75.19,2771420,ok
2020-03-11,73.38,73.38,69.06,70.07,2059329,ok
2020-03-12,63.97,68.56,60.5661,64.79,2619611,ok
2020-03-13,69.46,69.78,62.12,68.01,2067848,ok
2020-03-16,61.34,63.0215,58.93,58.96,2388272,ok
2020-03-17,60.29,68.26,57.3103,67.06,3062418,ok
2020-03-18,62.41,69.11,58.62,68.64,2762401,ok
2020-03-19,66.55,67.83,60.25,61.94,2016208,ok
2020-03-20,62.68,63.41,53.02,53.45,2963641,ok
2020-03-23,52.38,54.38,48.8901,50.9,2507501,ok
2020-03-24,53.89,57.87,53.05,56.03,1839895,ok
2020-03-25,56.39,63.86,55.38,60.02,2295584,ok
2020-03-26,60.0,60.72,57.2009,60.46,2245139,ok
2020-03-27,58.0,58.0,54.75,55.02,2439630,ok
2020-03-30,55.61,56.49,54.51,55.6,2045810,ok
2020-03-31,55.52,57.73,55.11,56.37,2585897,ok
2020-04-01,54.26,57.0397,53.62,54.84,2253925,ok
2020-04-02,54.88,59.01,52.95,53.66,1911448,ok
2020-04-03,53.63,55.38,52.69,52.7,1749720,ok
2020-04-06,55.13,57.68,54.48,56.93,1725868,ok
2020-04-07,58.31,60.35,56.49,57.0,1952049,ok
2020-04-08,57.61,62.43,57.32,61.82,1705992,ok
2020-04-09,62.35,67.235,62.17,67.02,1775485,ok
2020-04-13,66.78,67.35,61.67,63.31,1678629,ok
2020-04-14,64.75,65.84,63.25,63.68,1068431,ok
2020-04-15,61.44,61.716,57.86,58.25,1336089,ok
2020-04-16,58.26,58.92,56.7001,58.57,1618137,ok
2020-04-17,60.58,62.79,60.5,61.47,1011020,ok
2020-04-20,60.0,61.675,59.5,60.0,1270971,ok
2020-04-21,58.5,59.24,57.71,57.86,1381621,ok
2020-04-22,58.96,60.08,58.6,59.45,684848,ok
2020-04-23,60.67,62.245,60.26,60.66,816498,ok
2020-04-24,61.11,61.96,59.68,61.53,1027095,ok
2020-04-27,61.82,62.83,61.65,62.25,736814,ok
2020-04-28,64.0,65.7,63.25,64.31,1087681,ok
2020-04-29,64.06,66.37,64.06,64.67,1447888,ok
2020-04-30,63.8,64.1493,61.11,61.43,2007577,ok
2020-05-01,60.5,60.5,56.94,57.44,1924882,ok
2020-05-04,56.82,57.815,55.75,57.26,1275409,ok
2020-05-05,58.37,60.335,58.305,58.47,1108984,ok
2020-05-06,59.17,60.24,57.8,57.93,1885512,ok
2020-05-07,59.9,61.855,57.39,59.74,2206567,ok
2020-05-08,60.63,64.5,60.2,64.25,1514524,ok
2020-05-11,63.16,65.72,62.88,64.41,1471567,ok
2020-05-12,63.0,63.71,59.01,59.26,1881879,ok
2020-05-13,59.02,60.3,57.77,59.92,1770022,ok
2020-05-14,59.0,59.78,56.17,59.71,1333388,ok
2020-05-15,59.5,61.62,59.415,61.35,1427963,ok
2020-05-18,64.0,65.32,63.245,63.93,1289274,ok
2020-05-19,63.82,65.29,63.0004,63.51,1329977,ok
2020-05-20,65.19,68.605,65.01,68.14,1641556,ok
2020-05-21,67.82,69.79,67.41,67.97,1428412,ok
2020-05-22,67.8,68.42,66.87,68.11,825430,ok
2020-05-26,70.66,75.75,70.51,74.93,2391613,ok
2020-05-27,76.39,79.13,74.04,75.04,1592546,ok
2020-05-28,76.48,78.43,75.55,75.93,1408648,ok
2020-05-29,75.45,77.32,74.3501,76.52,1589836,ok
2020-06-01,76.66,78.6,76.52,77.42,1061881,ok
2020-06-02,78.32,79.4404,77.03,78.59,1268275,ok
2020-06-03,79.63,80.955,78.85,78.94,1685476,ok
2020-06-04,78.0,80.0,77.73,79.97,1493724,ok
2020-06-05,81.72,84.97,80.78,84.31,1949991,ok
2020-06-08,84.62,86.91,84.2501,86.74,1304114,ok
2020-06-09,85.0,86.0,84.065,85.0,962413,ok
2020-06-10,85.32,85.6,83.7,83.86,957913,ok
2020-06-11,78.95,80.04,74.02,74.52,1656673,ok
2020-06-12,78.0,78.67,75.36,77.32,1219887,ok
2020-06-15,74.18,77.72,74.0,76.41,1134908,ok
2020-06-16,79.77,80.31,77.26,79.23,1060031,ok
