Date,Open,High,Low,Close,Volume,Status
2020-01-02,112.97,113.0,111.66,112.82,1212402,ok
2020-01-03,111.84,113.095,111.77,112.83,1047144,ok
2020-01-06,112.34,113.21,112.04,113.16,1214837,ok
2020-01-07,112.68,112.99,112.16,112.19,1640983,ok
2020-01-08,112.55,113.83,112.435,112.5,1748857,ok
2020-01-09,113.0,113.91,112.72,113.78,1462006,ok
2020-01-10,113.96,114.16,113.18,113.45,1431212,ok
2020-01-13,113.48,114.49,113.45,114.48,1526091,ok
2020-01-14,114.35,114.39,113.44,113.8,1899079,ok
2020-01-15,113.62,114.625,113.05,114.26,1692535,ok
2020-01-16,114.54,116.16,114.27,116.15,1902984,ok
2020-01-17,116.4,117.62,115.85,117.55,1725663,ok
2020-01-21,117.15,118.27,117.06,117.8,1314122,ok
2020-01-22,118.24,118.69,117.585,117.65,1274111,ok
2020-01-23,117.06,118.39,116.1025,118.15,1502433,ok
2020-01-24,118.24,118.75,117.48,118.28,2152165,ok
2020-01-27,117.0,117.93,116.56,116.58,1135196,ok
2020-01-28,116.88,118.145,116.88,117.54,1496518,ok
2020-01-29,118.5,118.72,117.67,118.36,1878790,ok
2020-01-30,117.59,119.98,117.57,119.88,1289419,ok
2020-01-31,119.21,120.11,118.27,118.54,1754476,ok
2020-02-03,119.0,120.07,118.8,119.05,1439702,ok
2020-02-04,120.16,121.16,119.91,119.95,1848480,ok
2020-02-05,121.07,124.94,121.07,124.67,2718384,ok
2020-02-06,124.77,125.425,123.79,123.89,1506724,ok
2020-02-07,123.87,124.76,123.605,124.43,1331592,ok
2020-02-10,124.34,124.83,123.27,123.95,1534299,ok
2020-02-11,123.9,125.4115,123.72,125.1,1739604,ok
2020-02-12,125.25,125.25,122.945,123.78,1549109,ok
2020-02-13,123.65,124.92,123.2,124.89,1367476,ok
2020-02-14,124.93,125.59,124.65,125.57,1110898,ok
2020-02-18,125.4,125.92,124.11,124.3,1663721,ok
2020-02-19,124.6,125.0,123.85,124.26,1414649,ok
2020-02-20,123.99,124.48,123.05,123.46,2146134,ok
2020-02-21,123.29,124.03,122.9222,123.62,1477670,ok
2020-02-24,121.45,122.37,120.18,120.54,1745582,ok
2020-02-25,120.75,120.8,117.14,117.31,2046443,ok
2020-02-26,117.96,119.01,115.72,115.73,2479025,ok
2020-02-27,114.59,115.03,109.87,109.92,2367068,ok
2020-02-28,106.58,107.9,102.91,105.25,4179813,ok
2020-03-02,104.59,112.76,104.59,112.67,2794625,ok
2020-03-03,112.43,113.58,108.0,109.2,2810344,ok
2020-03-04,111.33,114.89,110.17,114.51,1905902,ok
2020-03-05,111.15,112.09,107.04,108.46,2459881,ok
2020-03-06,104.21,107.71,103.91,107.14,3277466,ok
2020-03-09,99.57,100.16,94.02,95.61,2527123,ok
2020-03-10,99.36,100.2,94.58,99.26,2511182,ok
2020-03-11,96.25,96.68,90.55,92.77,2661990,ok
2020-03-12,86.04,90.38,83.72,83.8,4397735,ok
2020-03-13,89.46,93.06,83.1,92.77,3606114,ok
2020-03-16,78.0,90.535,78.0,84.98,3607740,ok
2020-03-17,87.16,90.65,85.2692,87.94,2917937,ok
2020-03-18,81.64,83.75,64.13,75.55,3617445,ok
2020-03-19,74.13,78.52,70.73,74.69,2475797,ok
2020-03-20,76.36,78.66,70.76,73.87,3911134,ok
2020-03-23,71.74,75.92,68.865,73.23,3181239,ok
2020-03-24,78.1,79.18,75.7,77.92,3197668,ok
2020-03-25,77.86,86.71,75.01,83.0,3539566,ok
2020-03-26,83.11,90.51,83.01,89.5,3563478,ok
2020-03-27,86.11,92.587,85.13,88.46,2662532,ok
2020-03-30,88.28,95.29,85.48,94.64,2745374,ok
2020-03-31,93.4,94.19,91.21,91.73,2534960,ok
2020-04-01,86.49,88.8,85.35,86.4,2683991,ok
2020-04-02,86.27,89.73,84.04,85.79,2579951,ok
2020-04-03,85.09,86.99,83.7548,85.96,3264330,ok
2020-04-06,90.53,94.63,88.6401,93.52,2408457,ok
2020-04-07,97.6,99.57,92.26,92.53,2677473,ok
2020-04-08,94.04,98.37,91.5,97.25,1951966,ok
2020-04-09,98.94,102.19,97.8,100.34,2714203,ok
2020-04-13,101.82,102.25,97.38,98.0,2225674,ok
2020-04-14,100.11,103.11,99.11,102.44,2393745,ok
2020-04-15,98.73,99.9,97.47,97.94,2036621,ok
2020-04-16,97.77,100.24,97.61,99.93,2168652,ok
2020-04-17,103.0,105.79,100.12,104.92,3991040,ok
2020-04-20,103.18,105.27,101.49,102.72,2378988,ok
2020-04-21,99.28,102.27,98.42,100.09,1731765,ok
2020-04-22,101.88,102.85,99.89,101.99,1828642,ok
2020-04-23,102.64,103.29,99.42,99.45,1672186,ok
2020-04-24,100.71,101.75,99.25,101.44,1801128,ok
2020-04-27,101.81,103.58,101.65,103.09,1639772,ok
2020-04-28,105.19,106.74,101.68,101.84,2058358,ok
2020-04-29,104.55,106.72,102.77,105.82,2661101,ok
2020-04-30,103.62,104.98,101.22,101.72,2468661,ok
2020-05-01,99.97,100.59,98.9,99.74,2186061,ok
2020-05-04,98.98,100.74,98.16,100.34,1548412,ok
2020-05-05,101.15,103.32,101.15,102.15,2006917,ok
2020-05-06,102.33,104.29,101.03,101.48,2471513,ok
2020-05-07,102.58,104.05,100.16,100.85,2408662,ok
2020-05-08,102.6,102.8,100.64,100.79,2217672,ok
2020-05-11,99.87,102.42,98.78,101.84,2079094,ok
2020-05-12,102.07,102.5556,97.53,97.55,1634126,ok
2020-05-13,96.93,97.39,91.445,92.08,2798216,ok
2020-05-14,91.18,94.15,89.51,93.92,1690374,ok
2020-05-15,93.08,95.61,92.05,95.38,2439681,ok
2020-05-18,98.29,100.03,98.06,99.04,1611824,ok
2020-05-19,98.37,99.39,97.22,97.27,1180413,ok
2020-05-20,98.57,98.94,96.75,96.99,2386792,ok
2020-05-21,96.49,96.835,92.08,94.13,2972322,ok
2020-05-22,94.43,95.06,92.69,94.82,1510228,ok
2020-05-26,97.9,98.12,93.87,94.05,2756818,ok
2020-05-27,96.41,97.75,94.53,97.73,2711629,ok
2020-05-28,98.59,99.31,96.92,98.26,1932684,ok
2020-05-29,97.69,98.03,96.1,97.81,2112427,ok
2020-06-01,98.36,99.59,97.97,99.07,1601077,ok
2020-06-02,99.4,99.715,98.34,99.0,1586047,ok
2020-06-03,100.25,100.905,99.71,100.41,1673395,ok
2020-06-04,99.9,102.09,99.25,101.86,1980848,ok
2020-06-05,106.45,106.6,102.86,105.47,2313491,ok
2020-06-08,105.65,107.08,104.77,106.99,2240196,ok
2020-06-09,105.41,105.88,102.81,103.21,1654895,ok
2020-06-10,102.98,104.0,101.69,101.98,2013080,ok
2020-06-11,99.73,100.23,94.78,94.79,2295456,ok
2020-06-12,97.34,97.5,93.26,95.7,2198847,ok
2020-06-15,93.09,98.405,92.7,97.83,2049011,ok
2020-06-16,100.63,101.08,97.21,99.12,1850157,ok
