Date,Open,High,Low,Close,Volume,Status
2020-01-02,243.0,243.19,238.98,240.1,1901323,ok
2020-01-03,237.1635,240.26,236.2435,238.47,1879024,ok
2020-01-06,237.2,240.45,236.56,240.3,1802823,ok
2020-01-07,239.31,240.0,237.59,238.04,1522109,ok
2020-01-08,237.93,239.58,236.61,238.22,2214850,ok
2020-01-09,239.69,239.69,237.97,238.93,1628950,ok
2020-01-10,238.68,240.93,237.61,238.26,1777614,ok
2020-01-13,238.26,238.33,234.79,236.92,2004364,ok
2020-01-14,235.8,240.68,235.17,240.0,2239061,ok
2020-01-15,240.67,242.6,240.05,241.7,1920726,ok
2020-01-16,242.18,243.85,239.845,240.5,2085686,ok
2020-01-17,242.11,242.14,239.27,241.49,2582849,ok
2020-01-21,240.97,242.01,237.26,237.6,3094208,ok
2020-01-22,238.75,239.7,235.755,236.75,1998233,ok
2020-01-23,237.06,237.06,233.07,235.04,2088691,ok
2020-01-24,235.8,235.88,224.5,225.59,5020236,ok
2020-01-27,223.68,224.93,221.17,222.95,2843551,ok
2020-01-28,223.57,226.7,222.85,224.84,2103970,ok
2020-01-29,225.5,228.93,225.0,227.15,2001389,ok
2020-01-30,226.0,226.97,223.31,226.15,2581606,ok
2020-01-31,218.7635,219.08,210.01,216.05,5968931,ok
2020-02-03,216.39,219.62,215.56,216.88,2565440,ok
2020-02-04,220.77,223.85,220.48,221.81,2765342,ok
2020-02-05,223.74,234.64,223.74,231.94,3669477,ok
2020-02-06,233.72,233.89,229.34,231.45,2007526,ok
2020-02-07,231.41,232.18,227.67,229.33,2295149,ok
2020-02-10,228.15,228.96,226.26,227.42,2144696,ok
2020-02-11,227.7,229.465,226.795,228.96,1934539,ok
2020-02-12,229.47,230.23,225.88,227.0,2501250,ok
2020-02-13,224.99,226.52,222.82,223.04,1946511,ok
2020-02-14,222.93,223.49,221.34,223.48,1611960,ok
2020-02-18,224.15,224.35,220.92,221.69,1936402,ok
2020-02-19,222.94,224.05,222.05,222.96,1322884,ok
2020-02-20,223.2,223.4795,218.51,222.14,1637976,ok
2020-02-21,222.24,223.8,220.99,222.79,2047484,ok
2020-02-24,219.88,223.99,215.76,217.88,3049587,ok
2020-02-25,218.08,219.56,209.82,210.38,3915518,ok
2020-02-26,216.18,216.7,212.02,214.54,3313975,ok
2020-02-27,214.92,215.28,203.22,203.5,4071060,ok
2020-02-28,198.05,203.0,195.18,199.73,5316456,ok
