Date,Open,High,Low,Close,Volume,Status
2020-01-02,167.54,169.24,166.69,169.23,775406,ok
2020-01-03,167.98,168.21,165.79,167.12,581317,ok
2020-01-06,165.42,167.8,165.215,167.67,748741,ok
2020-01-07,166.49,167.31,165.57,165.65,1009165,ok
2020-01-08,165.91,168.7,165.91,167.14,657733,ok
2020-01-09,169.1,169.65,167.83,168.87,594405,ok
2020-01-10,168.92,169.932,167.5,169.16,749010,ok
2020-01-13,169.82,170.8,168.9,169.73,692645,ok
2020-01-14,169.73,170.31,167.91,168.42,588198,ok
2020-01-15,167.46,169.475,167.02,168.29,581862,ok
2020-01-16,169.34,171.95,169.34,171.95,748478,ok
2020-01-17,172.49,173.75,171.64,172.43,777068,ok
2020-01-21,171.25,172.09,170.16,170.25,540328,ok
2020-01-22,171.46,172.33,171.0,171.14,526053,ok
2020-01-23,169.97,171.47,168.02,171.38,751311,ok
2020-01-24,171.4,171.48,166.5007,167.57,558929,ok
2020-01-27,163.56,164.78,162.045,162.4,754502,ok
2020-01-28,164.03,165.76,163.47,165.12,619737,ok
2020-01-29,166.19,167.87,165.37,166.04,711092,ok
2020-01-30,167.24,170.77,165.65,170.51,886951,ok
2020-01-31,168.96,168.96,164.72,165.41,932875,ok
2020-02-03,166.98,169.72,166.4566,167.46,864943,ok
2020-02-04,171.4,174.4484,171.4,173.28,681168,ok
2020-02-05,175.0,176.59,173.68,176.06,649827,ok
2020-02-06,177.51,177.51,175.17,175.91,521896,ok
2020-02-07,174.52,176.31,174.15,175.32,461208,ok
2020-02-10,174.46,175.874,173.96,175.77,454523,ok
2020-02-11,176.65,179.35,176.23,177.63,462473,ok
2020-02-12,178.59,179.57,178.03,178.64,409294,ok
2020-02-13,176.53,178.62,175.86,178.4,514128,ok
2020-02-14,178.12,179.0117,177.55,178.82,525122,ok
2020-02-18,177.9,179.48,175.75,177.29,994914,ok
2020-02-19,178.55,179.42,177.82,179.04,559064,ok
2020-02-20,178.26,180.854,177.98,179.72,654863,ok
2020-02-21,178.64,178.95,174.67,175.43,595324,ok
2020-02-24,168.52,169.38,163.29,164.47,846823,ok
2020-02-25,164.89,165.3399,155.025,156.23,1085821,ok
2020-02-26,156.39,160.36,156.0,156.0,1031948,ok
2020-02-27,151.58,153.93,146.1169,146.18,1487175,ok
2020-02-28,139.31,142.835,136.49,141.3,2050441,ok
2020-03-02,142.13,150.89,139.49,150.86,1482611,ok
2020-03-03,149.47,150.3432,139.44,140.56,1433545,ok
2020-03-04,143.41,145.36,139.22,144.46,1243531,ok
2020-03-05,138.36,139.41,132.635,134.51,1455991,ok
2020-03-06,128.26,131.33,123.765,126.6,1588889,ok
2020-03-09,114.16,118.395,107.6321,109.13,1498380,ok
2020-03-10,114.85,119.54,110.5,119.28,1738693,ok
2020-03-11,114.78,116.06,108.42,110.78,1535612,ok
2020-03-12,101.18,104.68,92.02,92.42,1968258,ok
2020-03-13,99.18,113.54,98.185,113.34,1810507,ok
2020-03-16,90.78,99.955,85.95,86.34,1888742,ok
2020-03-17,89.48,97.97,82.1101,97.94,1930512,ok
2020-03-18,89.53,94.04,80.01,93.91,1803305,ok
2020-03-19,91.82,99.1599,86.58,95.43,1601830,ok
2020-03-20,97.28,98.0,86.505,89.83,1608746,ok
2020-03-23,87.96,89.21,82.03,82.88,1449741,ok
2020-03-24,89.56,100.76,86.99,100.06,1485930,ok
2020-03-25,102.89,111.41,97.52,103.6,1375756,ok
2020-03-26,105.53,111.88,100.6249,110.87,1298054,ok
2020-03-27,105.0,108.58,102.88,103.33,1152707,ok
2020-03-30,102.81,109.85,100.028,109.15,992198,ok
2020-03-31,108.46,109.1,100.0,102.48,1281352,ok
2020-04-01,95.89,99.48,93.16,94.31,1205914,ok
2020-04-02,93.55,100.43,91.99,94.05,922510,ok
2020-04-03,93.55,94.46,88.55,90.32,937906,ok
2020-04-06,96.28,103.86,93.84,102.58,1064944,ok
2020-04-07,109.17,112.23,102.41,103.48,1302911,ok
2020-04-08,104.48,112.48,102.28,111.69,996338,ok
2020-04-09,113.64,124.61,113.64,120.47,1608619,ok
2020-04-13,116.88,117.84,113.11,114.92,827085,ok
2020-04-14,118.37,118.47,111.725,114.3,1049181,ok
2020-04-15,108.74,109.68,103.705,104.15,728672,ok
2020-04-16,103.6,104.3435,100.11,101.69,861521,ok
2020-04-17,107.04,111.62,106.82,110.95,1077257,ok
2020-04-20,107.27,110.3862,105.61,110.11,1097575,ok
2020-04-21,106.0,107.59,102.0,103.45,1239445,ok
2020-04-22,106.56,107.546,104.2,104.91,626493,ok
2020-04-23,105.59,107.77,103.69,104.35,504966,ok
2020-04-24,105.77,108.4,103.74,107.48,730824,ok
