Date,Open,High,Low,Close,Volume,Status
2020-01-02,51.42,51.808775,50.775,51.18,2498756,ok
2020-01-03,50.0,50.9575,49.62,50.2125,3067648,ok
2020-01-06,49.6975,50.7925,49.5,50.715,2065432,ok
2020-01-07,50.715,51.3575,50.325,51.2125,2133496,ok
2020-01-08,51.2125,51.9475,51.1575,51.745,2695700,ok
2020-01-09,52.125,52.225,51.4825,51.7,1901520,ok
2020-01-10,51.8,52.415,51.535,51.865,1839712,ok
2020-01-13,52.0125,52.875,51.975,52.7875,2429128,ok
2020-01-14,52.9775,53.5875,52.7775,53.2625,2587840,ok
2020-01-15,52.755,54.0475,52.68,53.3475,2324732,ok
2020-01-16,53.9975,54.8525,53.6425,54.8125,2558160,ok
2020-01-17,55.0,55.68,54.793775,55.4675,3984948,ok
2020-01-21,55.3275,56.0,54.825,55.31,2480236,ok
2020-01-22,55.5,56.4775,55.4175,55.68,1809488,ok
2020-01-23,56.035,57.745,55.37,57.515,3388396,ok
2020-01-24,58.6875,60.4725,58.585,59.5125,6435348,ok
2020-01-27,57.525,59.1775,56.855725,58.7425,4803824,ok
2020-01-28,58.86,59.46,58.6875,59.18,2465120,ok
2020-01-29,59.46,59.755,58.63,58.7625,1808524,ok
2020-01-30,57.2775,58.4075,57.0375,57.935,2765996,ok
2020-01-31,57.635,57.635,55.71,55.835,4004668,ok
2020-02-03,56.4125,56.845,55.91,56.3175,2257552,ok
2020-02-04,57.1375,57.9175,56.98,57.83,1974220,ok
2020-02-05,58.45,58.6575,57.38875,57.4775,2632544,ok
2020-02-06,57.69,58.335,57.2575,58.13,1859772,ok
2020-02-07,57.645,58.3525,57.62125,57.9425,1881596,ok
2020-02-10,57.525,58.63875,57.3775,58.1025,3241800,ok
2020-02-11,58.4525,58.655,57.565,57.875,2838648,ok
2020-02-12,57.9575,58.795,57.7575,58.615,3345224,ok
2020-02-13,58.125,60.3375,58.1,59.405,6124932,ok
2020-02-14,54.375,56.75,54.2501,55.8675,8458192,ok
2020-02-18,55.795,56.575,55.0975,56.4475,3444164,ok
2020-02-19,56.4925,56.86,55.7575,56.255,2876192,ok
2020-02-20,56.1,57.19,55.91,57.07,2988180,ok
2020-02-21,55.8725,56.1425,55.0675,55.865,3858032,ok
2020-02-24,52.4975,54.09,52.3375,53.4375,4122320,ok
2020-02-25,54.095,54.3725,50.6275,51.4975,5115396,ok
2020-02-26,51.775,52.2825,50.7025,50.785,3290232,ok
2020-02-27,49.7625,50.8675,48.2625,48.295,4397288,ok
2020-02-28,46.7525,49.0275,46.445,48.28,4868952,ok
2020-03-02,48.67,49.295,47.5375,49.1475,3665988,ok
2020-03-03,49.1225,49.7125,47.155,47.9375,2795004,ok
2020-03-04,49.4325,50.465,48.32,50.4075,2856932,ok
2020-03-05,49.2325,50.49,48.975,49.14,2240372,ok
2020-03-06,47.89,48.8275,46.6975,47.695,3861380,ok
2020-03-09,44.3475,47.405,44.3475,46.4225,4710668,ok
2020-03-10,47.3775,50.10875,46.1175,49.99,5439660,ok
2020-03-11,48.67,49.0225,45.28875,45.55,5840968,ok
2020-03-12,42.165,43.5475,40.645,40.7225,8270496,ok
2020-03-13,42.8675,44.2625,39.3575,44.19,4294520,ok
2020-03-16,40.29,42.8075,39.2225,39.26,4118948,ok
2020-03-17,40.2275,43.065,39.413375,42.05,5978748,ok
2020-03-18,39.4325,46.33,39.4325,44.25,7952124,ok
2020-03-19,43.9325,47.43,43.1625,44.47,3732080,ok
2020-03-20,45.1325,46.94175,40.8775,41.12,4575296,ok
2020-03-23,40.9875,41.9125,39.1575,40.47,3926824,ok
2020-03-24,42.93,47.3825,42.5,46.64,5895212,ok
2020-03-25,46.875,49.172025,46.2575,47.0825,6058228,ok
2020-03-26,47.1675,50.665,46.63375,50.1425,4749936,ok
2020-03-27,48.305,49.04,47.44625,47.8225,3661108,ok
2020-03-30,47.7525,51.735,47.27,51.4325,4160596,ok
2020-03-31,51.095,52.15455,49.805,50.6375,4532496,ok
2020-04-01,48.6475,49.89,47.2475,48.1925,3425856,ok
2020-04-02,47.5625,49.5325,47.265,48.525,2654112,ok
2020-04-03,48.4225,49.4275,48.045,48.66,3377504,ok
2020-04-06,50.075,52.1425,49.68,51.9,3994444,ok
2020-04-07,53.25,53.86,51.8425,52.285,3406588,ok
2020-04-08,53.0325,53.9675,52.5775,53.6475,3177192,ok
2020-04-09,52.805,53.125,51.5875,52.4775,5537428,ok
2020-04-13,52.25,52.75,50.1675,50.52,3501296,ok
2020-04-14,51.7025,52.6575,51.25,51.8275,2925700,ok
2020-04-15,51.0625,51.6375,50.38,51.0475,1909060,ok
2020-04-16,51.25,52.69,50.75,51.3025,3095748,ok
2020-04-17,52.4925,52.955,51.3625,52.505,2857924,ok
2020-04-20,52.2975,53.51,52.005,52.9975,2417120,ok
2020-04-21,52.52,52.68,50.0,50.0125,2879936,ok
2020-04-22,51.72,53.2025,51.2575,52.8425,2317896,ok
2020-04-23,52.815,53.415,52.0625,52.3075,1559952,ok
2020-04-24,52.835,54.23,52.652625,54.2025,2517444,ok
2020-04-27,54.75,55.1525,53.93625,54.4775,2539972,ok
2020-04-28,55.0,55.4225,54.2875,54.5075,2605104,ok
2020-04-29,55.4575,56.0,55.1275,55.51,4322732,ok
2020-04-30,55.2,55.335,54.2725,54.825,2977740,ok
2020-05-01,53.965,54.0075,51.43,51.91,3047468,ok
2020-05-04,51.7,52.75,51.3775,52.75,2449700,ok
2020-05-05,53.4125,55.3875,53.1275,55.11,5024156,ok
2020-05-06,51.625,53.0625,50.3125,52.0025,9961912,ok
2020-05-07,53.055,53.635,52.41,52.6075,4417432,ok
2020-05-08,53.32,54.6925,52.9825,54.5025,4339792,ok
2020-05-11,54.2825,56.39,53.83,56.145,3231712,ok
2020-05-12,57.0275,57.3775,55.1725,55.275,3731604,ok
2020-05-13,55.205,55.965,52.2725,53.43,4165700,ok
2020-05-14,52.46,53.137475,50.65,51.3975,3148868,ok
2020-05-15,50.8825,52.745,50.74125,52.6125,3290484,ok
2020-05-18,53.8175,54.7975,53.5,53.905,2186396,ok
