Date,Open,High,Low,Close,Volume,Status
2020-01-02,302.67,302.8199,297.2,300.87,1186195,ok
2020-01-03,293.68,299.53,293.68,296.88,986799,ok
2020-01-06,295.75,300.56,294.77,300.45,1308650,ok
2020-01-07,299.2,300.28,294.61,299.54,1313711,ok
2020-01-08,300.89,308.76,298.51,307.48,2067797,ok
2020-01-09,307.83,309.0,305.79,306.41,1439908,ok
2020-01-10,307.94,309.1,306.43,307.74,1049867,ok
2020-01-13,306.88,307.0,296.34,296.74,1756534,ok
2020-01-14,296.04,298.05,294.82,296.88,1067742,ok
2020-01-15,297.26,304.8,297.22,301.55,1401215,ok
2020-01-16,302.92,305.24,302.09,305.05,704236,ok
2020-01-17,305.07,305.65,300.08,305.39,1312630,ok
2020-01-21,303.94,308.23,303.17,305.99,992428,ok
2020-01-22,306.68,306.68,302.14,303.51,998038,ok
2020-01-23,303.46,305.36,301.285,304.4,1089312,ok
2020-01-24,304.84,305.58,295.42,297.28,1088693,ok
2020-01-27,293.63,293.805,278.95,283.79,2399865,ok
2020-01-28,285.0,293.62,284.13,290.32,1985903,ok
2020-01-29,279.5,282.33,272.16,272.91,4450976,ok
2020-01-30,269.26,270.44,261.694,265.89,2738461,ok
2020-01-31,265.68,268.555,264.01,265.28,2206930,ok
2020-02-03,266.11,270.645,262.79,266.43,1925713,ok
2020-02-04,269.9,277.37,269.9,273.37,1413799,ok
2020-02-05,275.36,293.18,275.36,287.33,2448937,ok
2020-02-06,288.78,288.78,280.03,282.33,1760034,ok
2020-02-07,279.7,281.84,276.28,276.48,1597510,ok
2020-02-10,275.88,278.03,274.02,276.55,1149181,ok
2020-02-11,277.04,279.94,273.78,279.91,1777129,ok
2020-02-12,286.27,296.73,286.27,296.0,2763319,ok
2020-02-13,294.73,299.52,294.555,298.87,1931282,ok
2020-02-14,299.29,300.86,295.46,297.82,1433772,ok
2020-02-18,297.45,304.34,295.77,302.45,1972513,ok
2020-02-19,302.01,304.52,299.295,304.06,1338842,ok
2020-02-20,301.38,301.68,293.69,293.94,1889542,ok
2020-02-21,292.03,296.79,290.17,294.71,1111009,ok
2020-02-24,283.49,283.5,276.58,277.5,2518812,ok
2020-02-25,279.21,279.48,264.49,267.4,1954896,ok
2020-02-26,269.84,274.03,262.71,268.15,1733219,ok
2020-02-27,263.06,268.08,257.47,257.86,2329027,ok
2020-02-28,249.94,260.55,249.35,257.09,2984016,ok
2020-03-02,259.6,272.19,250.38,271.27,3317679,ok
2020-03-03,270.13,280.72,255.88,256.38,3017715,ok
2020-03-04,286.55,297.52,285.34,296.42,5162150,ok
2020-03-05,287.65,288.275,281.25,287.16,2868570,ok
2020-03-06,278.18,284.13,268.93,282.19,3414629,ok
2020-03-09,264.0,276.36,260.81,269.82,2712913,ok
2020-03-10,278.33,288.11,273.0,286.05,2611638,ok
2020-03-11,278.6,289.16,275.14,281.69,3416190,ok
2020-03-12,262.03,278.69,253.46,256.21,3100233,ok
2020-03-13,267.5,271.36,251.05,270.34,3027411,ok
2020-03-16,226.5,247.981,216.27,224.04,2815367,ok
2020-03-17,229.76,246.71,224.92,238.32,3100791,ok
2020-03-18,224.45,230.0,186.61,206.96,3649862,ok
2020-03-19,206.22,212.62,193.475,200.87,3321964,ok
2020-03-20,204.29,217.94,185.69,191.59,4780250,ok
2020-03-23,188.54,189.575,171.03,174.68,3236699,ok
2020-03-24,183.98,201.0,181.115,196.84,3130601,ok
2020-03-25,190.09,226.84,187.04,216.37,3521376,ok
2020-03-26,221.28,238.79,215.0,235.67,2705284,ok
2020-03-27,217.61,228.5,217.16,222.96,2585280,ok
2020-03-30,224.66,233.88,220.16,230.58,2095953,ok
2020-03-31,235.28,235.83,223.895,227.04,2956436,ok
2020-04-01,217.01,221.55,210.41,214.3,2225894,ok
2020-04-02,210.53,219.4999,203.99,211.39,2625614,ok
2020-04-03,208.89,210.93,199.165,203.3,1776960,ok
2020-04-06,215.51,227.52,212.18,225.72,2648649,ok
2020-04-07,235.7,236.567,220.94,224.05,2450006,ok
2020-04-08,227.15,248.83,226.41,247.02,2415226,ok
2020-04-09,240.94,248.055,239.93,242.46,2191212,ok
2020-04-13,240.78,243.49,237.65,240.53,1036724,ok
2020-04-14,245.76,254.19,245.24,252.01,2145570,ok
2020-04-15,249.15,254.35,245.11,250.47,2424610,ok
2020-04-16,254.51,273.39,250.62,271.84,2717330,ok
2020-04-17,279.01,279.905,263.21,267.82,1954766,ok
2020-04-20,262.48,273.21,261.19,263.2,1597880,ok
2020-04-21,255.0,259.9,249.3,249.37,1618127,ok
2020-04-22,255.09,265.5,254.8,262.96,1174099,ok
2020-04-23,264.71,266.24,258.44,261.55,1587417,ok
2020-04-24,265.48,267.23,260.57,264.12,1390682,ok
2020-04-27,267.56,271.74,263.01,270.06,1794229,ok
2020-04-28,274.22,276.8,262.002,268.22,1789909,ok
2020-04-29,280.0,282.35,264.0,280.61,2080755,ok
2020-04-30,278.74,285.98,276.2,280.73,2098671,ok
2020-05-01,275.34,277.0,264.65,269.57,1240788,ok
2020-05-04,268.0,273.51,265.05,271.0,1241697,ok
2020-05-05,274.5,278.82,269.81,275.07,1177038,ok
2020-05-06,276.27,277.86,270.0,270.62,908810,ok
2020-05-07,273.87,274.2,265.01,265.73,1003565,ok
2020-05-08,270.5,274.76,268.81,274.33,969011,ok
2020-05-11,270.94,276.72,270.91,272.37,1157453,ok
2020-05-12,275.88,280.78,272.96,272.96,1311803,ok
2020-05-13,271.08,272.9,262.235,267.8,1711391,ok
2020-05-14,265.17,274.26,263.29,273.28,1300731,ok
2020-05-15,271.06,279.83,270.58,278.09,1174098,ok
2020-05-18,284.97,287.77,278.9,279.96,1324539,ok
2020-05-19,280.0,286.0,277.99,281.1,1013151,ok
2020-05-20,285.0,285.0,278.16,280.0,1122195,ok
2020-05-21,278.95,283.14,277.07,278.68,1084269,ok
2020-05-22,279.1,279.74,275.58,277.11,889794,ok
2020-05-26,283.77,285.99,280.56,283.42,1248149,ok
2020-05-27,286.25,287.64,277.565,287.25,1348419,ok
2020-05-28,290.0,296.685,288.6112,291.37,1303074,ok
2020-05-29,291.89,294.88,286.76,294.11,1859174,ok
2020-06-01,293.23,293.99,285.22,290.03,1471060,ok
2020-06-02,291.18,296.405,287.57,294.2,1219886,ok
2020-06-03,296.0,299.32,287.91,289.27,1388683,ok
2020-06-04,286.84,288.475,279.54,282.09,1511553,ok
2020-06-05,283.35,290.52,282.12,287.89,1730099,ok
2020-06-08,286.35,301.66,286.1,300.59,1829801,ok
2020-06-09,300.0,300.0,290.0,291.01,1356045,ok
2020-06-10,293.0,293.14,286.53,288.54,1185420,ok
2020-06-11,283.9,284.17,262.27,264.54,2126854,ok
2020-06-12,272.56,274.27,259.3,265.74,1464441,ok
2020-06-15,257.83,264.76,250.875,262.33,2096715,ok
2020-06-16,273.0,273.177,264.54,267.43,1428476,ok
2020-06-17,268.66,269.53,264.1745,265.72,1181584,ok
2020-06-18,263.92,265.91,260.19,265.53,1062297,ok
2020-06-19,270.27,272.65,266.33,266.43,1820450,ok
2020-06-22,265.0,266.53,261.58,265.21,997341,ok
2020-06-23,268.23,270.605,265.15,268.99,890205,ok
2020-06-24,265.08,266.0,254.851,257.31,1497874,ok
2020-06-25,256.71,261.36,253.27,261.0,1469585,ok
2020-06-26,259.85,264.65,254.43,255.65,1997465,ok
2020-06-29,258.15,262.29,257.36,259.27,1365899,ok
2020-06-30,259.75,264.6,256.74,262.98,1195614,ok
2020-07-01,267.19,270.1,264.53,268.68,1110059,ok
2020-07-02,270.95,273.93,266.97,267.0,1007995,ok
2020-07-06,271.37,271.63,267.11,269.0,859594,ok
2020-07-07,266.52,268.88,264.42,264.89,862863,ok
2020-07-08,266.27,266.93,260.43,262.54,1110149,ok
2020-07-09,262.22,264.04,254.55,255.0,1265741,ok
2020-07-10,256.93,257.0,253.75,255.0,982178,ok
2020-07-13,256.39,262.4,256.01,257.58,1325477,ok
2020-07-14,256.44,263.88,256.09,263.47,1754146,ok
2020-07-15,263.25,268.385,259.9,267.28,1557446,ok
2020-07-16,267.28,269.22,263.68,264.09,1131253,ok
2020-07-17,266.12,268.33,264.89,266.37,1035971,ok
2020-07-20,266.12,267.37,258.84,259.0,1309849,ok
