Date,Open,High,Low,Close,Volume,Status
2020-01-02,47.91,47.98,47.205,47.77,1034018,ok
2020-01-03,47.16,47.5,46.75,47.35,883209,ok
2020-01-06,47.13,47.67,46.76,47.65,1088383,ok
2020-01-07,47.4,47.74,47.14,47.33,884197,ok
2020-01-08,47.42,47.81,47.185,47.26,1119134,ok
2020-01-09,47.5,47.52,46.67,47.05,1065788,ok
2020-01-10,47.14,48.005,46.95,47.62,1707116,ok
2020-01-13,47.77,48.59,47.64,48.54,1448036,ok
2020-01-14,48.41,48.57,47.2,47.24,2156258,ok
2020-01-15,47.08,47.21,46.18,46.61,2630834,ok
2020-01-16,47.0,47.7,47.0,47.63,1687944,ok
2020-01-17,47.82,47.94,46.9,46.93,1815794,ok
2020-01-21,46.84,47.37,45.85,47.02,2663149,ok
2020-01-22,47.32,48.15,46.5,46.5,2142782,ok
2020-01-23,46.42,47.005,46.09,46.71,2146592,ok
2020-01-24,46.75,47.03,45.2,45.43,2235435,ok
2020-01-27,45.17,45.23,43.72,43.81,3440517,ok
2020-01-28,44.74,46.29,44.455,45.49,6386925,ok
2020-01-29,45.61,46.36,44.16,44.31,2517121,ok
2020-01-30,43.25,43.92,42.29,43.45,2195333,ok
2020-01-31,43.42,43.72,42.58,42.69,2789215,ok
2020-02-03,43.07,43.14,42.23,42.28,2547185,ok
2020-02-04,42.99,43.56,42.75,42.79,1287945,ok
2020-02-05,43.33,43.96,43.14,43.8,1189522,ok
2020-02-06,44.08,44.19,43.06,43.3,1285553,ok
2020-02-07,42.92,43.02,41.96,41.99,1361014,ok
2020-02-10,41.84,43.15,41.635,43.0,1269006,ok
2020-02-11,43.29,44.39,43.25,44.01,1475618,ok
2020-02-12,44.23,44.7,43.72,44.29,1420979,ok
2020-02-13,43.88,44.2,43.72,44.0,884963,ok
2020-02-14,44.0,44.34,43.7178,43.93,1157039,ok
2020-02-18,43.8,44.22,43.23,43.98,1733878,ok
2020-02-19,44.0,44.56,43.9,44.1,1070262,ok
2020-02-20,44.1,44.69,43.9,44.52,937350,ok
2020-02-21,44.22,44.29,43.89,44.09,1218359,ok
2020-02-24,42.68,43.42,42.26,42.84,2262606,ok
2020-02-25,41.21,41.93,40.51,40.95,3753835,ok
2020-02-26,40.71,41.18,39.49,39.6,4449703,ok
2020-02-27,38.82,42.56,38.76,40.12,3528393,ok
2020-02-28,39.37,40.46,38.87,39.55,4720035,ok
2020-03-02,39.73,41.03,38.7,41.0,3068224,ok
2020-03-03,40.76,41.86,38.58,38.7,2740252,ok
2020-03-04,39.38,40.58,38.09,40.57,4984043,ok
2020-03-05,39.37,41.83,39.17,41.63,4313625,ok
2020-03-06,40.49,42.86,40.41,42.69,4555625,ok
2020-03-09,40.72,42.81,40.45,40.95,3661878,ok
2020-03-10,41.83,42.24,39.75,42.19,3242969,ok
2020-03-11,41.19,41.19,39.82,39.97,2325847,ok
2020-03-12,38.03,40.49,38.0,38.73,6776115,ok
2020-03-13,40.18,41.57,38.69,41.49,5280597,ok
2020-03-16,37.16,39.57,37.16,37.99,3434416,ok
2020-03-17,38.65,39.435,36.82,39.13,2883873,ok
2020-03-18,37.13,39.46,34.77,38.43,2297856,ok
2020-03-19,37.78,38.03,35.63,36.85,2806750,ok
2020-03-20,37.13,37.15,34.12,34.75,2301353,ok
2020-03-23,34.38,35.98,33.805,35.6,3217564,ok
2020-03-24,36.83,37.47,35.69,36.49,2655749,ok
2020-03-25,36.65,37.81,35.04,36.89,2858205,ok
2020-03-26,37.24,38.17,36.76,37.28,1775873,ok
2020-03-27,36.29,37.7,35.64,36.85,1809948,ok
2020-03-30,36.84,38.89,36.4,38.6,1780085,ok
2020-03-31,38.25,39.06,37.58,37.81,2031027,ok
2020-04-01,36.81,36.99,35.22,35.61,2217068,ok
2020-04-02,35.59,37.07,35.18,35.94,2000486,ok
2020-04-03,36.1,36.93,35.56,35.87,1262587,ok
2020-04-06,37.0,38.51,36.52,38.22,3000919,ok
2020-04-07,39.0,40.44,38.41,39.66,3942241,ok
2020-04-08,39.89,40.91,39.45,40.22,1502079,ok
2020-04-09,40.52,41.42,39.64,40.21,1849286,ok
2020-04-13,39.97,40.44,39.09,39.63,1155851,ok
2020-04-14,40.19,41.14,40.04,40.67,1505363,ok
2020-04-15,40.04,40.5,39.54,40.08,1501657,ok
2020-04-16,40.05,40.21,39.21,39.9,1443735,ok
2020-04-17,40.81,41.38,40.31,41.08,1296691,ok
2020-04-20,40.45,40.99,39.75,40.35,1086055,ok
2020-04-21,39.68,39.95,38.62,38.72,1240138,ok
2020-04-22,39.35,39.52,37.92,38.77,1398800,ok
2020-04-23,39.18,40.12,39.18,39.64,1546086,ok
2020-04-24,39.52,40.46,39.12,40.39,1236551,ok
2020-04-27,40.63,42.69,40.63,42.53,1599760,ok
2020-04-28,43.14,44.03,43.04,43.36,1325920,ok
2020-04-29,43.9,44.18,43.58,44.06,1818771,ok
2020-04-30,43.6,43.67,42.1311,42.38,2208732,ok
2020-05-01,41.94,42.53,41.42,41.65,1197133,ok
2020-05-04,41.23,42.06,40.93,41.98,2002297,ok
2020-05-05,42.42,42.69,41.305,42.16,1460544,ok
2020-05-06,43.01,44.37,42.73,43.65,1370491,ok
2020-05-07,43.83,43.96,42.69,43.31,1308078,ok
2020-05-08,43.91,44.99,43.8701,44.79,1156876,ok
2020-05-11,44.36,44.36,43.795,43.94,893828,ok
2020-05-12,43.96,43.96,42.05,42.08,1545540,ok
2020-05-13,41.86,41.94,39.73,39.98,1763485,ok
2020-05-14,39.54,40.35,38.51,40.28,1651404,ok
2020-05-15,40.0,41.58,40.0,40.41,4775295,ok
2020-05-18,41.75,43.79,41.73,43.5,1576727,ok
2020-05-19,43.34,43.375,41.96,41.98,1637957,ok
2020-05-20,42.51,42.75,42.095,42.46,1269438,ok
2020-05-21,42.27,42.94,42.25,42.68,835324,ok
2020-05-22,42.81,42.81,41.9,42.22,1103520,ok
2020-05-26,43.24,45.21,43.13,44.83,1639206,ok
2020-05-27,45.43,47.31,45.37,47.21,2183297,ok
2020-05-28,47.44,47.74,46.37,46.59,2323242,ok
2020-05-29,46.49,47.57,46.01,47.5,2662033,ok
2020-06-01,47.51,47.635,46.96,47.32,1067096,ok
2020-06-02,47.47,47.88,47.2,47.88,1017829,ok
2020-06-03,48.26,49.99,48.17,49.85,1224811,ok
2020-06-04,49.27,50.6,49.26,50.57,1705073,ok
2020-06-05,51.58,52.4,51.46,52.0,2078491,ok
2020-06-08,51.87,52.7,50.74,50.88,1618599,ok
2020-06-09,50.11,50.52,49.12,49.27,1709556,ok
2020-06-10,49.23,49.3,48.36,48.39,1302594,ok
2020-06-11,47.45,47.69,46.66,46.82,1167213,ok
2020-06-12,48.03,48.16,45.88,46.95,1163500,ok
2020-06-15,45.93,47.91,45.76,47.65,940414,ok
2020-06-16,48.82,49.48,47.34,47.88,1079013,ok
2020-06-17,48.22,48.34,47.6,47.69,825891,ok
2020-06-18,47.45,48.24,47.185,47.93,1102475,ok
2020-06-19,48.62,48.8,46.81,47.29,1458066,ok
2020-06-22,47.12,47.58,46.35,47.19,667416,ok
2020-06-23,47.65,47.855,47.28,47.47,967032,ok
2020-06-24,47.07,47.19,45.11,45.11,1369949,ok
2020-06-25,44.94,44.98,43.88,44.74,1552237,ok
2020-06-26,44.46,45.2,44.11,44.45,2639296,ok
2020-06-29,44.89,46.68,44.86,46.44,1030970,ok
2020-06-30,46.24,47.44,46.14,47.12,1091634,ok
2020-07-01,47.36,47.36,46.17,46.3,938209,ok
2020-07-02,46.99,47.77,46.735,47.32,1072848,ok
2020-07-06,48.04,48.595,47.78,48.04,779431,ok
2020-07-07,47.57,48.3,47.54,47.9,962697,ok
2020-07-08,48.05,48.22,47.51,47.84,874212,ok
2020-07-09,47.66,48.07,47.22,47.57,1013417,ok
2020-07-10,47.8,48.705,47.685,48.27,866189,ok
2020-07-13,48.52,49.02,48.34,48.47,1042998,ok
2020-07-14,48.39,49.94,48.1,49.93,729816,ok
2020-07-15,50.54,50.99,50.12,50.63,1303161,ok
2020-07-16,50.69,51.17,50.25,50.81,823542,ok
2020-07-17,50.99,51.095,50.44,50.53,607583,ok
2020-07-20,50.42,50.73,50.31,50.5,636236,ok
