Date,Open,High,Low,Close,Volume,Status
2020-01-02,25.7,25.93,25.13,25.36,3265529,ok
2020-01-03,25.71,26.14,25.53,25.69,5940788,ok
2020-01-06,25.94,25.98,25.165,25.64,4471810,ok
2020-01-07,29.93,32.58,29.5,32.51,37100071,ok
2020-01-08,32.51,33.21,32.04,32.73,13506968,ok
2020-01-09,32.61,32.7,31.55,32.6,7590118,ok
2020-01-10,32.35,32.53,32.04,32.38,4642751,ok
2020-01-13,32.5,32.6,31.85,32.01,4581507,ok
2020-01-14,32.14,33.77,32.13,33.59,6103153,ok
2020-01-15,33.23,33.69,32.99,33.54,4440301,ok
2020-01-16,33.69,33.71,32.98,33.1,4458079,ok
2020-01-17,33.08,33.241,32.5686,32.67,4551822,ok
2020-01-21,32.14,32.74,31.7,31.74,5215858,ok
2020-01-22,31.29,31.45,30.845,30.87,4710746,ok
2020-01-23,30.27,30.625,29.87,30.27,4816342,ok
2020-01-24,30.0,30.08,29.37,29.98,3472111,ok
2020-01-27,29.08,29.49,28.615,28.85,4242846,ok
2020-01-28,29.19,29.27,28.535,28.73,4140836,ok
2020-01-29,28.98,29.065,27.975,28.09,4514596,ok
2020-01-30,27.46,28.25,27.37,28.18,3922485,ok
2020-01-31,27.58,27.67,26.95,27.44,5312463,ok
2020-02-03,27.26,27.69,27.1,27.56,4022412,ok
2020-02-04,28.19,28.55,28.06,28.14,4419930,ok
2020-02-05,28.81,29.4361,28.62,28.9,5835341,ok
2020-02-06,28.95,29.23,28.28,28.94,3738887,ok
2020-02-07,28.28,28.58,27.99,28.11,3167554,ok
2020-02-10,27.88,28.015,27.455,27.97,3010302,ok
2020-02-11,28.58,28.81,28.14,28.17,2070366,ok
2020-02-12,28.93,29.027,28.43,28.48,3219753,ok
2020-02-13,28.37,28.51,27.83,27.92,3498215,ok
2020-02-14,28.05,28.075,27.24,27.36,4292301,ok
2020-02-18,27.05,28.215,26.95,28.11,2974564,ok
2020-02-19,28.4,28.68,27.97,28.47,2951182,ok
2020-02-20,28.59,29.21,28.44,28.58,2347067,ok
2020-02-21,28.14,28.475,27.516,28.4,3148467,ok
2020-02-24,26.96,27.025,26.41,26.75,3025812,ok
2020-02-25,27.24,27.29,25.34,25.5,4462310,ok
2020-02-26,25.5,25.86,24.395,24.43,5516308,ok
2020-02-27,23.81,26.96,23.38,25.07,8816996,ok
2020-02-28,24.0,25.52,23.83,24.92,10240481,ok
2020-03-02,25.49,25.89,24.65,25.52,8986968,ok
2020-03-03,25.7,26.57,24.75,24.99,7364266,ok
2020-03-04,25.36,25.62,24.53,25.13,4376244,ok
2020-03-05,24.43,25.21,24.03,24.34,5725451,ok
2020-03-06,23.42,23.51,20.22,20.7,10198118,ok
2020-03-09,13.42,13.7,9.32,9.55,28073151,ok
2020-03-10,11.37,11.5,9.4,10.79,22820560,ok
2020-03-11,10.1,10.11,7.9525,8.25,19683329,ok
2020-03-12,6.93,8.3,6.6,7.76,19844699,ok
2020-03-13,8.5,8.59,6.95,8.07,24978844,ok
2020-03-16,6.73,6.92,5.45,5.46,18546781,ok
2020-03-17,5.69,5.71,4.4,4.46,19718042,ok
2020-03-18,4.16,4.75,3.8,4.44,16461785,ok
2020-03-19,4.55,5.4,4.07,4.95,14529962,ok
2020-03-20,5.16,5.47,4.65,4.83,17519837,ok
2020-03-23,4.81,4.9,4.3,4.31,14154698,ok
2020-03-24,4.81,5.84,4.68,5.58,16021854,ok
2020-03-25,6.13,6.67,5.31,5.89,19289724,ok
2020-03-26,5.94,6.6,5.61,5.76,18500603,ok
2020-03-27,5.38,5.4,4.76,4.86,18508836,ok
2020-03-30,4.76,4.77,4.0,4.11,26494596,ok
2020-03-31,4.41,4.58,4.11,4.18,31240233,ok
2020-04-01,4.04,4.16,3.86,4.02,22611167,ok
2020-04-02,4.75,5.3,4.31,4.69,53257953,ok
2020-04-03,5.44,5.63,4.56,5.38,51801390,ok
2020-04-06,5.2,6.0,5.13,5.87,28007901,ok
2020-04-07,6.6,7.24,6.36,6.52,39030522,ok
2020-04-08,6.83,7.62,6.72,7.58,35954754,ok
2020-04-09,9.11,10.065,7.13,8.2,92823757,ok
2020-04-13,8.79,8.99,8.025,8.38,35821075,ok
2020-04-14,8.2,8.3125,7.62,8.08,26955155,ok
2020-04-15,7.12,8.07,7.08,7.94,24475585,ok
2020-04-16,7.96,7.98,7.38,7.49,13094972,ok
2020-04-17,7.45,8.5,7.415,8.49,26718184,ok
2020-04-20,7.64,8.85,7.51,8.48,26625858,ok
2020-04-21,8.19,8.81,8.0601,8.57,22556474,ok
