Date,Open,High,Low,Close,Volume,Status
2020-01-02,54.2,54.615,53.89,54.615,2343062,ok
2020-01-03,53.8,54.15,53.72,54.045,1397820,ok
2020-01-06,53.64,53.78,53.34,53.765,2196418,ok
2020-01-07,54.01,54.2675,53.79,54.055,1668498,ok
2020-01-08,54.0,54.47,53.695,54.185,1615832,ok
2020-01-09,54.5,54.71,54.24,54.375,2376814,ok
2020-01-10,54.415,54.49,54.015,54.16,1512192,ok
2020-01-13,54.235,54.57,54.165,54.555,1442564,ok
2020-01-14,54.445,55.12,54.375,54.75,2055024,ok
2020-01-15,54.965,55.0,54.09,54.355,1399002,ok
2020-01-16,54.685,54.895,54.41,54.895,1181536,ok
2020-01-17,54.56,55.03,54.0,54.725,2550676,ok
2020-01-21,54.375,54.87165,54.055,54.13,3428130,ok
2020-01-22,53.58,54.565,52.555,53.315,5750794,ok
2020-01-23,52.895,53.22,52.165,53.17,3510080,ok
2020-01-24,53.53,53.74,52.45,52.68,2284760,ok
2020-01-27,51.69,51.945,51.3,51.315,3466840,ok
2020-01-28,51.77,52.185,51.575,51.705,3150592,ok
2020-01-29,52.01,52.69,51.655,51.71,2087872,ok
2020-01-30,51.17,51.63,50.455,50.935,2474656,ok
2020-01-31,50.695,50.885,49.475,49.735,3107450,ok
2020-02-03,50.11,50.515,49.87,49.975,2971256,ok
2020-02-04,50.925,51.955,50.855,51.92,3097790,ok
2020-02-05,52.83,52.83,52.03,52.315,2005044,ok
2020-02-06,52.435,52.435,51.785,51.98,1409818,ok
2020-02-07,51.615,51.755,51.225,51.68,2788980,ok
2020-02-10,51.305,51.585,51.235,51.4,3578524,ok
2020-02-11,51.58,52.1,51.295,51.31,2750562,ok
2020-02-12,51.825,52.015,51.555,51.775,1987190,ok
2020-02-13,51.37,52.32,51.285,52.185,1924038,ok
2020-02-14,52.19,52.3431,51.81,52.035,1368170,ok
2020-02-18,51.64,51.705,50.5,50.695,2979584,ok
2020-02-19,51.0,51.725,50.895,51.555,2109442,ok
2020-02-20,51.39,51.9225,51.26,51.855,2390730,ok
2020-02-21,51.45,51.695,50.585,50.875,2369038,ok
2020-02-24,49.0,49.75,48.025,48.835,4392166,ok
2020-02-25,49.215,49.525,47.6,47.735,5057244,ok
2020-02-26,48.185,49.015,47.695,47.835,4919540,ok
2020-02-27,46.765,47.8,46.28,46.29,4252154,ok
2020-02-28,45.225,46.215,44.595,45.84,5989526,ok
2020-03-02,46.205,47.475,45.305,47.465,5079670,ok
2020-03-03,47.31,48.82,46.36,46.485,3626484,ok
2020-03-04,47.265,48.53,46.835,48.5,2529960,ok
2020-03-05,47.18,47.77,46.375,46.71,3362034,ok
2020-03-06,45.11,46.485,45.04,46.28,3171508,ok
2020-03-09,43.335,49.05,42.5,42.765,4654216,ok
2020-03-10,44.17,45.255,42.3,45.245,5789316,ok
2020-03-11,43.77,43.935,41.185,42.135,4916568,ok
2020-03-12,39.42,41.155,37.555,37.56,7278496,ok
2020-03-13,39.61,40.43,36.72125,39.8,8463842,ok
2020-03-16,34.94,36.92,32.05,34.17,7034652,ok
2020-03-17,34.805,36.57,33.375,35.665,5788924,ok
2020-03-18,32.78,34.225,31.525,34.205,5912206,ok
2020-03-19,33.655,34.75,32.16,34.38,6141826,ok
2020-03-20,34.4,36.345,34.305,35.02,6267958,ok
2020-03-23,34.47,35.94,32.5,34.5,7425200,ok
2020-03-24,36.24,37.495,35.805,37.075,5871622,ok
2020-03-25,37.22,38.98,36.0025,37.46,5200870,ok
2020-03-26,37.49,40.05,37.255,39.585,5165070,ok
2020-03-27,37.99,38.66,37.025,37.135,3811822,ok
2020-03-30,37.28,38.095,36.785,37.915,5402900,ok
2020-03-31,37.935,38.005,36.195,36.44,4667450,ok
2020-04-01,35.075,36.01,34.6975,34.76,5700866,ok
2020-04-02,34.835,35.2625,33.73,34.38,8609632,ok
2020-04-03,34.19,34.68,33.795,34.21,4222520,ok
2020-04-06,36.09,37.885,35.73,37.67,7581426,ok
2020-04-07,39.535,39.86,37.77,37.855,4974804,ok
2020-04-08,38.13,40.04,38.005,39.81,4419492,ok
2020-04-09,40.145,41.56,40.13975,40.955,3571076,ok
2020-04-13,40.18,40.7855,39.9525,40.33,3222306,ok
2020-04-14,40.98,41.81,40.635,41.235,4733268,ok
2020-04-15,40.185,40.65,39.68035,40.185,4328324,ok
2020-04-16,40.19,40.585,39.795,40.43,3092064,ok
2020-04-17,41.33,42.435,41.305,42.11,4437042,ok
2020-04-20,40.665,41.45,40.34,40.625,3665160,ok
2020-04-21,40.01,40.385,38.1375,38.46,8209396,ok
2020-04-22,39.33,41.25,38.655,40.835,6698180,ok
2020-04-23,41.915,43.075,41.307,41.99,5800842,ok
2020-04-24,42.21,43.265,42.125,43.085,2834642,ok
2020-04-27,43.315,44.065,43.315,43.765,2834026,ok
2020-04-28,44.9,45.285,43.98,44.17,3374336,ok
2020-04-29,45.0,46.37,44.88,46.08,2816414,ok
2020-04-30,45.465,45.61,44.1025,44.13,3848908,ok
2020-05-01,43.095,43.33,42.155,42.75,3238040,ok
2020-05-04,42.345,42.4925,41.61,41.96,3367072,ok
2020-05-05,42.48,43.595,42.48,43.125,1993196,ok
2020-05-06,43.44,43.7275,42.875,43.04,2092108,ok
2020-05-07,43.7,44.265,43.47,43.62,2103262,ok
2020-05-08,44.39,44.785,44.215,44.78,2147480,ok
2020-05-11,44.205,44.205,43.52,43.55,2270734,ok
2020-05-12,43.795,43.99,42.1,42.135,2524404,ok
2020-05-13,42.16,42.2,40.2625,40.91,2962686,ok
2020-05-14,40.23,41.655,40.08,41.64,3302600,ok
2020-05-15,41.255,41.6675,40.675,41.155,3250358,ok
2020-05-18,42.42,44.48,42.39,44.22,3089724,ok
2020-05-19,44.045,45.215,43.975,44.56,2225416,ok
2020-05-20,45.29,46.025,45.1825,45.48,2037674,ok
2020-05-21,45.34,45.62,44.885,45.105,2939478,ok
2020-05-22,45.065,45.45,44.6,45.4,3184122,ok
2020-05-26,46.575,47.24,46.475,46.995,4110418,ok
2020-05-27,47.5,48.015,47.15,47.765,3320710,ok
2020-05-28,48.175,48.285,47.42,47.675,2877230,ok
2020-05-29,47.525,48.39,47.05,48.28,4123282,ok
2020-06-01,48.115,49.165,47.965,48.865,2753590,ok
2020-06-02,49.095,49.61,48.525,49.47,3808634,ok
2020-06-03,50.0,51.67,49.755,51.595,3968602,ok
2020-06-04,51.0,51.68995,50.48,50.785,4249966,ok
2020-06-05,52.08,54.18,52.08,53.5,7194540,ok
2020-06-08,53.38,53.595,51.97,52.04,5319890,ok
2020-06-09,51.275,51.555,50.7,50.86,3039798,ok
2020-06-10,51.25,51.25,49.835,50.17,2215046,ok
2020-06-11,48.88,49.11375,47.245,47.255,3431524,ok
2020-06-12,48.735,48.875,46.625,47.505,2926198,ok
2020-06-15,46.6,48.265,45.905,48.24,2539754,ok
2020-06-16,49.685,50.39,48.47,49.285,2614636,ok
2020-06-17,49.595,49.8325,48.81,49.235,2196254,ok
2020-06-18,48.865,49.425,48.65,48.98,1629110,ok
2020-06-19,50.46,50.46,48.435,48.515,4801938,ok
2020-06-22,48.42,48.985,47.94,48.78,1922656,ok
2020-06-23,49.485,49.8,48.575,48.575,2155406,ok
2020-06-24,48.245,48.4,46.845,47.305,3444848,ok
2020-06-25,47.1,47.63,46.295,47.6,1804892,ok
2020-06-26,47.5,47.58,46.5,46.985,6133226,ok
2020-06-29,47.545,47.86,47.145,47.615,2513810,ok
2020-06-30,47.605,48.245,47.535,47.905,4223544,ok
2020-07-01,48.075,48.425,47.31,47.54,2931042,ok
2020-07-02,48.375,48.67,47.6525,47.935,2541584,ok
2020-07-06,48.765,49.195,48.505,49.07,2077146,ok
2020-07-07,48.585,48.987,48.045,48.11,1839284,ok
2020-07-08,48.095,48.25,47.1625,47.525,2992730,ok
2020-07-09,47.395,47.705,46.81,47.245,3387250,ok
2020-07-10,47.325,47.66,46.76,47.465,2313278,ok
2020-07-13,47.935,48.10335,47.09,47.23,3772766,ok
2020-07-14,47.265,48.735,47.08,48.7,3962542,ok
2020-07-15,49.145,50.39,49.145,50.22,4723642,ok
2020-07-16,50.225,50.66,50.1275,50.455,2234466,ok
2020-07-17,50.76,51.275,50.555,51.01,2472774,ok
2020-07-20,50.855,51.0025,50.295,50.74,2909142,ok
2020-07-21,51.06,51.59,50.935,51.05,2507622,ok
2020-07-22,52.0,53.155,50.97135,51.635,3837170,ok
2020-07-23,52.23,52.99,51.915,52.8,4446340,ok
2020-07-24,52.575,52.785,51.88,52.195,2935570,ok
2020-07-27,52.21,53.215,52.01,53.085,2459008,ok
2020-07-28,52.965,53.07,52.01,52.105,2376138,ok
2020-07-29,52.26,53.095,52.045,52.915,2727904,ok
2020-07-30,52.35,52.715,52.06,52.585,2380738,ok
2020-07-31,52.485,52.945,52.02,52.88,2362874,ok
2020-08-03,52.98,53.87,52.98,53.695,2219096,ok
2020-08-04,53.565,54.27,53.5,54.21,2202090,ok
2020-08-05,54.365,54.75,54.045,54.325,1618322,ok
2020-08-06,54.09,54.415,53.935,54.175,1550246,ok
2020-08-07,53.985,54.22,53.57,53.98,2178732,ok
2020-08-10,53.845,54.47,53.805,54.06,4535814,ok
2020-08-11,54.355,55.0,54.28,54.405,3328002,ok
