Date,Open,High,Low,Close,Volume,Status
2020-01-02,95.94,96.34,95.01,96.31,1655326,ok
2020-01-03,94.25,94.825,93.6,94.1,960556,ok
2020-01-06,93.18,93.18,91.74,92.35,1575832,ok
2020-01-07,92.33,92.5,90.85,91.19,2100942,ok
2020-01-08,91.43,93.47,90.96,93.09,2295689,ok
2020-01-09,94.11,94.35,91.685,91.73,1087943,ok
2020-01-10,91.73,91.73,89.39,89.51,1323567,ok
2020-01-13,89.42,89.42,88.63,88.87,2065489,ok
2020-01-14,88.84,89.73,88.51,89.01,2264950,ok
2020-01-15,88.73,89.33,87.59,87.89,1531056,ok
2020-01-16,88.39,91.42,88.39,91.2,1916498,ok
2020-01-17,90.9,92.185,90.475,91.53,1766744,ok
2020-01-21,91.04,91.91,90.465,91.0,1467465,ok
2020-01-22,91.84,92.405,90.89,91.15,942880,ok
2020-01-23,90.54,92.4,89.25,92.33,1424126,ok
2020-01-24,92.81,92.84,90.75,91.54,1546240,ok
2020-01-27,89.16,89.6,88.19,88.6,1677164,ok
2020-01-28,89.57,90.295,88.7,89.64,1453887,ok
2020-01-29,90.33,91.05,89.5,89.88,1563564,ok
2020-01-30,85.0,88.14,84.51,87.68,2534156,ok
2020-01-31,86.74,87.065,84.59,84.79,1617792,ok
2020-02-03,85.57,87.56,85.25,86.72,1647827,ok
2020-02-04,88.31,91.02,88.2301,90.51,1525160,ok
2020-02-05,91.82,92.5,90.28,90.52,1108092,ok
2020-02-06,90.97,90.99,87.68,88.24,1131359,ok
2020-02-07,87.47,87.49,86.63,87.13,1250731,ok
2020-02-10,86.95,87.35,86.025,87.3,933543,ok
2020-02-11,87.65,91.1,87.11,90.78,1397433,ok
2020-02-12,91.69,92.3,90.88,91.51,878764,ok
2020-02-13,90.4,91.1,89.74,90.52,724273,ok
2020-02-14,90.41,90.52,88.09,88.32,1010085,ok
2020-02-18,88.06,89.48,87.57,88.02,979386,ok
2020-02-19,88.32,90.87,87.78,90.71,1403634,ok
2020-02-20,89.97,92.04,89.97,91.09,1395340,ok
2020-02-21,90.15,90.46,88.91,90.07,1203947,ok
2020-02-24,86.73,87.18,83.72,83.98,2084087,ok
2020-02-25,84.77,84.84,79.91,81.11,2525178,ok
2020-02-26,82.11,83.44,80.8,81.1,1691672,ok
2020-02-27,80.52,81.71,77.35,77.98,3477207,ok
2020-02-28,75.32,79.39,73.8,78.11,3533963,ok
2020-03-02,78.71,82.18,77.63,82.17,2572226,ok
2020-03-03,82.41,84.87,79.83,80.57,2685668,ok
2020-03-04,82.15,83.15,80.265,83.1,1900954,ok
2020-03-05,80.35,81.67,77.93,78.5,1699228,ok
2020-03-06,75.36,77.96,74.3,76.29,2398664,ok
2020-03-09,70.6,71.57,68.12,68.91,2767735,ok
2020-03-10,72.29,73.35,69.62,72.84,2677309,ok
2020-03-11,70.59,71.63,66.97,67.23,2660749,ok
2020-03-12,62.87,64.79,58.97,59.4,3380326,ok
2020-03-13,62.8,66.5,60.16,66.47,2733877,ok
2020-03-16,59.01,59.01,51.08,51.12,3218340,ok
2020-03-17,52.39,52.855,45.6501,48.31,4193537,ok
2020-03-18,44.38,45.7,29.22,33.55,5891260,ok
2020-03-19,33.23,45.36,29.33,40.58,7381952,ok
2020-03-20,42.05,49.61,41.73,45.17,5598834,ok
2020-03-23,44.36,48.64,42.11,46.5,4476733,ok
2020-03-24,50.18,52.12,47.55,49.52,2802826,ok
