Date,Open,High,Low,Close,Volume,Status
2020-01-02,112.04,112.04,109.42,110.38,888555,ok
2020-01-03,110.06,111.32,110.06,111.11,724241,ok
2020-01-06,110.96,111.68,110.89,110.96,823264,ok
2020-01-07,112.0,112.02,110.425,111.7,876723,ok
2020-01-08,111.71,111.71,110.6593,110.74,905124,ok
2020-01-09,110.58,111.51,110.55,111.1,834648,ok
2020-01-10,111.38,111.7874,111.19,111.39,543350,ok
2020-01-13,111.4,112.82,111.4,112.54,403395,ok
2020-01-14,112.61,112.88,112.09,112.81,601440,ok
2020-01-15,113.02,113.97,112.98,113.75,561851,ok
2020-01-16,114.03,114.955,113.74,114.71,784975,ok
2020-01-17,114.8,115.09,114.04,114.98,602061,ok
2020-01-21,115.14,116.11,114.55,115.92,925467,ok
2020-01-22,116.66,116.73,115.72,116.09,690900,ok
2020-01-23,116.04,116.93,115.8814,116.88,672311,ok
2020-01-24,117.06,117.66,116.59,117.38,699424,ok
2020-01-27,117.17,117.98,115.93,116.39,1026840,ok
2020-01-28,116.54,117.84,116.05,116.31,598967,ok
2020-01-29,116.31,116.635,115.64,116.31,607734,ok
2020-01-30,116.24,117.52,115.9101,117.38,577185,ok
2020-01-31,116.97,117.73,115.82,117.03,3787721,ok
2020-02-03,117.4,118.74,117.0,118.67,1290145,ok
2020-02-04,118.5,119.2,117.22,117.22,973987,ok
2020-02-05,116.52,118.96,115.0,118.28,1167623,ok
2020-02-06,118.62,118.62,117.13,117.66,1362927,ok
2020-02-07,117.81,118.14,117.15,117.59,817281,ok
2020-02-10,117.92,118.35,117.69,118.31,656360,ok
2020-02-11,118.62,119.68,118.48,119.36,502056,ok
2020-02-12,118.88,119.22,117.67,117.94,957246,ok
2020-02-13,117.93,119.56,117.82,119.5,618903,ok
2020-02-14,118.83,120.53,117.2,120.45,1290784,ok
2020-02-18,120.66,121.08,120.26,120.57,939298,ok
2020-02-19,120.47,120.48,119.6,119.6,693755,ok
2020-02-20,119.74,119.78,118.84,119.23,894529,ok
2020-02-21,118.82,119.64,118.53,118.7,967021,ok
2020-02-24,117.93,118.28,116.09,116.22,967112,ok
2020-02-25,116.62,117.1,113.69,113.74,830160,ok
2020-02-26,113.98,115.235,112.05,112.09,1023215,ok
2020-02-27,111.77,113.12,107.2,107.2,1163007,ok
2020-02-28,104.83,105.66,101.73,103.25,2349523,ok
2020-03-02,103.71,108.31,103.31,107.89,1877489,ok
2020-03-03,107.62,109.37,105.69,106.54,1146661,ok
2020-03-04,107.94,113.15,107.94,112.9,1106307,ok
2020-03-05,111.02,111.9,110.19,111.13,1204571,ok
2020-03-06,107.6,111.67,106.5,111.25,1557789,ok
2020-03-09,107.11,107.4699,103.33,105.13,1519812,ok
