Date,Open,High,Low,Close,Volume,Status
2022-05-10,72.3,72.72,67.79,69.09,1681949,ok
2022-05-11,68.38,71.1,67.11,67.28,2683439,ok
2022-05-12,67.18,70.74,67.18,69.26,2182791,ok
2022-05-13,69.61,71.5,68.85,69.75,6389143,ok
2022-05-16,70.23,72.54,69.49,71.71,2176100,ok
2022-05-17,75.32,75.32,72.5,73.3,2464468,ok
2022-05-18,72.89,73.63,70.46,71.21,2784241,ok
2022-05-19,69.92,71.12,69.12,69.7,3929390,ok
2022-05-20,70.05,70.91,67.75,68.98,2928713,ok
2022-05-23,69.77,70.93,69.06,70.81,2120715,ok
2022-05-24,70.91,70.78,68.7114,70.21,783659,ok
