Date,Open,High,Low,Close,Volume,Status
2020-01-02,85.0,85.87,84.18,85.87,2957832,ok
2020-01-03,84.48,85.76,84.39,85.5,1871712,ok
2020-01-06,85.3,85.59,84.15,85.29,3501721,ok
2020-01-07,84.71,85.93,84.6996,85.49,4803158,ok
2020-01-08,85.61,86.99,85.54,86.73,3576601,ok
2020-01-09,86.61,87.08,85.86,86.54,2098938,ok
2020-01-10,86.97,87.05,85.65,85.9,3118879,ok
2020-01-13,87.47,90.3,87.1,89.37,5007745,ok
2020-01-14,88.76,89.27,87.89,89.21,3836286,ok
2020-01-15,89.2,89.95,88.69,89.56,2561016,ok
2020-01-16,90.0,90.0,89.32,89.99,2243904,ok
2020-01-17,89.84,89.93,89.21,89.73,4474921,ok
2020-01-21,89.52,91.865,89.31,91.07,4284864,ok
2020-01-22,91.61,91.86,90.58,91.16,2815351,ok
2020-01-23,91.03,91.43,90.53,91.1,2129415,ok
2020-01-24,91.24,91.47,90.51,90.78,1610778,ok
2020-01-27,89.68,90.96,89.12,90.53,2222430,ok
2020-01-28,90.7,90.94,90.26,90.55,1952233,ok
2020-01-29,90.71,91.17,90.48,90.5,1548201,ok
2020-01-30,89.85,90.7,89.27,90.64,1608469,ok
2020-01-31,90.28,90.32,89.05,89.22,1796691,ok
2020-02-03,89.98,90.64,89.65,89.69,1498465,ok
2020-02-04,90.66,91.62,90.07,90.87,2213329,ok
2020-02-05,91.33,91.65,90.45,91.31,3184991,ok
2020-02-06,93.9,95.0,92.75,93.3,3888352,ok
2020-02-07,92.71,92.96,91.18,91.25,2306038,ok
2020-02-10,90.7,91.39,90.245,91.28,2597683,ok
2020-02-11,91.83,92.3,91.42,91.85,1706516,ok
2020-02-12,91.86,92.19,91.1061,91.43,1590927,ok
2020-02-13,91.36,92.89,90.99,92.57,2146496,ok
2020-02-14,92.9,93.43,91.9,93.14,1740189,ok
2020-02-18,92.59,92.65,91.04,92.22,1820615,ok
2020-02-19,92.36,93.57,92.21,93.16,1616311,ok
2020-02-20,93.1,93.5,92.41,93.06,1778209,ok
2020-02-21,92.67,93.16,92.24,92.67,1529456,ok
2020-02-24,90.77,91.33,89.19,89.53,2380637,ok
2020-02-25,89.82,90.23,86.2,86.99,2620356,ok
2020-02-26,87.79,88.7,86.88,87.03,3126905,ok
2020-02-27,85.25,87.02,84.23,84.27,3004349,ok
2020-02-28,81.81,83.59,80.59,83.47,4659608,ok
2020-03-02,83.37,87.234,82.9,87.18,3370530,ok
2020-03-03,86.92,88.98,84.56,85.91,3240754,ok
2020-03-04,87.26,91.14,87.09,91.06,4342596,ok
2020-03-05,89.04,89.94,86.42,87.65,3821839,ok
2020-03-06,85.09,86.19,82.95,85.38,3442818,ok
2020-03-09,80.65,81.73,78.1,78.4,4109051,ok
2020-03-10,80.51,83.31,78.7319,82.98,3490474,ok
2020-03-11,80.92,81.9,76.38,77.97,3685420,ok
2020-03-12,73.1,77.26,71.28,75.47,6982509,ok
2020-03-13,78.55,81.32,73.59,80.99,5774162,ok
2020-03-16,72.66,77.14,69.1,71.57,4351916,ok
2020-03-17,73.36,81.28,72.8795,80.51,5921725,ok
2020-03-18,76.2,85.22,75.95,84.59,7524253,ok
2020-03-19,85.18,85.2,77.16,78.17,6492212,ok
2020-03-20,76.85,78.74,74.04,75.75,6097484,ok
2020-03-23,74.85,75.09,69.69,71.81,4664013,ok
2020-03-24,73.07,75.73,72.1,73.91,4685491,ok
2020-03-25,72.78,74.86,72.21,73.57,5993799,ok
2020-03-26,74.43,80.74,73.91,80.17,4465717,ok
2020-03-27,78.0,80.67,76.37,79.79,4446268,ok
2020-03-30,80.87,82.985,80.31,82.19,2371219,ok
2020-03-31,81.66,84.355,80.755,81.19,2767713,ok
2020-04-01,78.77,80.85,77.82,78.66,3017812,ok
2020-04-02,78.35,82.361,77.98,82.22,3161139,ok
2020-04-03,81.43,82.69,80.2,81.42,3271170,ok
