Date,Open,High,Low,Close,Volume,Status
2021-08-03,64.5035,66.23,62.22,66.0,6044262,ok
2021-08-04,64.66,65.5,61.41,61.94,5994895,ok
2021-08-05,62.8,63.4,61.01,62.32,3979473,ok
2021-08-06,62.65,62.65,60.8593,61.67,3275784,ok
2021-08-09,61.38,62.08,60.6,61.48,3126105,ok
2021-08-10,61.53,63.7,60.52,62.51,3130893,ok
2021-08-11,63.78,64.19,61.67,63.25,3873473,ok
2021-08-12,62.93,64.43,62.04,62.52,2959316,ok
2021-08-13,62.58,62.875,60.51,60.8,3645683,ok
2021-08-16,60.97,62.38,59.62,61.96,3425560,ok
2021-08-17,61.12,61.68,58.28,59.17,3738365,ok
2021-08-18,59.32,60.69,58.765,59.44,4160677,ok
2021-08-19,63.81,66.12,62.35,65.51,8623452,ok
2021-08-20,64.57,66.47,64.32,66.26,3995424,ok
2021-08-23,66.64,67.96,65.59,67.59,4120584,ok
2021-08-24,68.27,69.13,67.55,68.35,4454598,ok
2021-08-25,68.625,69.1,67.78,68.18,2345365,ok
2021-08-26,67.86,67.98,66.18,67.84,2553809,ok
2021-08-27,68.34,69.47,68.3,68.54,1877491,ok
2021-08-30,68.93,69.14,67.75,69.03,1562938,ok
2021-08-31,68.83,68.9,66.9,67.48,2953811,ok
2021-09-01,67.72,68.54,65.22,66.24,4360994,ok
2021-09-02,66.28,66.93,65.28,65.62,2183410,ok
2021-09-03,65.43,66.7,64.39,65.6,2114478,ok
2021-09-07,65.15,66.02,64.32,64.98,2554704,ok
2021-09-08,64.6,65.19,63.66,64.48,3082764,ok
2021-09-09,64.49,65.25,64.15,64.53,1801711,ok
2021-09-10,64.91,65.0,63.57,63.64,2020869,ok
2021-09-13,64.28,64.37,63.06,63.89,3276896,ok
2021-09-14,64.24,64.66,63.13,63.41,2522919,ok
2021-09-15,63.06,65.49,62.67,65.12,3184557,ok
2021-09-16,65.64,67.14,65.6,66.51,2217445,ok
2021-09-17,66.33,67.93,65.88,66.34,6159770,ok
2021-09-20,64.31,65.58,63.115,64.43,2105037,ok
2021-09-21,65.86,66.43,64.38,64.43,2008627,ok
2021-09-22,64.63,66.9,64.63,66.42,2430389,ok
2021-09-23,66.68,68.35,66.68,67.42,1550231,ok
2021-09-24,66.71,67.6,66.01,67.39,1675169,ok
2021-09-27,68.2,68.92,67.4,68.63,2198068,ok
2021-09-28,68.09,69.09,67.1501,67.25,2260589,ok
2021-09-29,67.76,68.44,67.11,67.43,1985108,ok
2021-09-30,66.39,67.0,62.84,63.03,4117723,ok
2021-10-01,63.3,64.71,62.12,64.0,2819679,ok
2021-10-04,63.67,64.8,63.06,63.39,2196717,ok
2021-10-05,63.85,64.66,63.0,63.69,2879053,ok
2021-10-06,63.385,63.755,61.3,62.38,2695477,ok
2021-10-07,63.26,64.67,62.88,63.72,2518380,ok
2021-10-08,63.28,64.02,62.81,63.66,1372705,ok
2021-10-11,63.46,64.27,62.48,62.52,1438489,ok
2021-10-12,62.78,63.99,61.945,63.41,2055379,ok
2021-10-13,63.31,64.95,62.99,64.66,1812897,ok
2021-10-14,64.67,65.93,64.22,65.71,2811230,ok
2021-10-15,66.26,66.97,64.74,64.89,2426647,ok
2021-10-18,64.58,66.55,64.23,66.27,2491810,ok
2021-10-19,66.46,67.075,65.61,66.1,1834361,ok
2021-10-20,66.35,68.27,66.35,67.73,2067878,ok
2021-10-21,68.06,70.19,68.06,69.05,2453073,ok
2021-10-22,68.87,69.75,68.25,69.55,2014159,ok
2021-10-25,70.02,71.38,69.92,70.94,3499313,ok
2021-10-26,71.97,72.56,70.58,71.17,2019664,ok
2021-10-27,70.77,70.77,68.415,68.52,1760749,ok
2021-10-28,68.8,69.53,68.65,69.26,1577977,ok
2021-10-29,68.75,69.64,68.29,69.09,1840246,ok
2021-11-01,69.53,72.5,69.53,71.64,2139958,ok
2021-11-02,71.49,72.5164,70.29,72.17,2355775,ok
2021-11-03,72.53,75.26,72.53,75.0,3422333,ok
2021-11-04,75.23,76.58,74.75,75.89,2761507,ok
2021-11-05,77.37,77.44,75.1,75.31,1975671,ok
2021-11-08,75.51,76.2,74.87,74.99,1741322,ok
2021-11-09,75.1,76.13,74.89,75.25,2642078,ok
2021-11-10,75.05,75.88,73.94,74.32,1766025,ok
2021-11-11,75.08,76.33,75.02,75.64,3089880,ok
2021-11-12,75.41,75.68,73.91,74.85,1993705,ok
2021-11-15,75.01,75.57,73.39,74.81,1929473,ok
2021-11-16,74.84,75.905,74.84,75.78,2420242,ok
2021-11-17,76.5,76.78,74.34,74.6,4750015,ok
2021-11-18,81.0,82.0,76.45,78.37,4986755,ok
2021-11-19,77.96,78.56,75.9,76.41,2945857,ok
2021-11-22,76.6,76.77,74.8,75.19,4770293,ok
2021-11-23,75.0,75.74,72.94,75.53,3308057,ok
2021-11-24,74.37,75.02,73.37,74.81,3447726,ok
2021-11-26,73.12,75.5,72.66,74.61,1867449,ok
2021-11-29,75.84,76.48,74.45,75.87,2565779,ok
2021-11-30,75.48,75.66,72.34,75.13,4999020,ok
2021-12-01,76.6,77.91,71.59,71.6,3083452,ok
2021-12-02,71.86,74.94,71.86,74.51,2972845,ok
2021-12-03,74.5,75.45,71.46,72.96,1967080,ok
2021-12-06,74.21,75.74,73.49,74.16,2013572,ok
2021-12-07,74.76,77.47,74.7,75.95,2029379,ok
2021-12-08,76.04,76.95,75.45,76.4,1474501,ok
2021-12-09,75.74,77.11,74.93,75.03,1937873,ok
2021-12-10,75.71,76.66,74.4,76.47,1501417,ok
2021-12-13,76.15,76.17,71.85,72.79,1739747,ok
2021-12-14,72.77,74.11,72.5,73.45,1891666,ok
2021-12-15,73.25,73.42,70.38,72.92,2968253,ok
2021-12-16,73.25,73.55,69.05,69.49,2771902,ok
2021-12-17,68.82,70.96,68.07,69.85,3228023,ok
2021-12-20,67.25,68.48,66.82,67.98,2672672,ok
2021-12-21,68.835,69.55,68.1,68.39,4090397,ok
2021-12-22,68.42,69.0,67.15,68.58,4095965,ok
