Date,Open,High,Low,Close,Volume,Status
2020-01-03,2056.48,2056.48,2056.48,2056.48,615,ok
2020-01-06,2047.61,2048.1,2047.61,2048.1,827,ok
2020-01-07,2066.77,2066.77,2066.77,2066.77,993,ok
2020-01-08,2061.28,2061.28,2061.28,2061.28,757,ok
2020-01-09,2083.09,2083.09,2083.09,2083.09,806,ok
2020-01-10,2089.47,2089.47,2089.47,2089.47,944,ok
2020-01-13,2077.59,2077.59,2077.59,2077.59,539,ok
2020-01-14,2073.84,2079.51,2073.84,2077.205,1336,ok
2020-01-15,2075.56,2078.0,2065.39,2065.39,1719,ok
2020-01-16,2062.2,2062.2,2047.0,2054.1,2385,ok
2020-01-21,1974.44,1994.82,1974.44,1990.46,1334,ok
2020-01-22,2009.99,2009.99,2003.48,2003.48,584,ok
2020-01-24,1995.47,1995.47,1960.0,1960.0,906,ok
2020-01-27,1884.3,1884.3,1879.0,1879.0,1081,ok
2020-01-28,1916.88,1916.88,1916.88,1916.88,453,ok
2020-01-29,1896.86,1896.86,1896.86,1896.86,295,ok
2020-01-30,1876.38,1876.38,1876.38,1876.38,491,ok
2020-01-31,1859.06,1859.06,1829.28,1831.41,1091,ok
2020-02-03,1832.0,1836.72,1832.0,1836.72,694,ok
2020-02-04,1882.14,1882.14,1882.14,1882.14,735,ok
2020-02-05,1918.8,1938.23,1918.8,1938.23,1411,ok
2020-02-06,1955.69,1960.45,1955.69,1960.45,1035,ok
2020-02-07,1910.5,1910.5,1910.5,1910.5,838,ok
2020-02-10,1912.59,1912.59,1885.02,1885.02,1374,ok
2020-02-11,1908.48,1913.11,1906.21,1908.85,1425,ok
2020-02-12,1937.11,1963.84,1937.11,1959.49,2304,ok
2020-02-14,2005.0,2018.0,2005.0,2018.0,2083,ok
2020-02-18,1976.11,1976.11,1975.37,1975.37,626,ok
2020-02-19,1983.74,1983.74,1969.0,1969.0,1262,ok
2020-02-24,1815.0,1815.0,1780.0,1803.8,1574,ok
2020-02-25,1789.9,1794.26,1719.24,1719.24,3708,ok
2020-02-26,1677.0,1681.07,1662.12,1679.3,3128,ok
2020-02-27,1616.69,1713.15,1616.69,1671.33,4676,ok
2020-02-28,1684.46,1692.55,1677.96,1681.82,2933,ok
2020-03-02,1680.3,1681.36,1680.04,1681.36,1790,ok
2020-03-03,1714.24,1714.24,1690.67,1690.67,673,ok
2020-03-04,1691.25,1733.08,1678.75,1733.08,1041,ok
2020-03-05,1652.07,1657.13,1636.85,1636.85,3138,ok
