Date,Open,High,Low,Close,Volume,Status
2020-01-02,510.0,510.0,504.92,508.98,520448,ok
2020-01-03,501.72,506.701,501.5205,503.57,337321,ok
2020-01-06,500.17,504.77,498.51,504.0,411307,ok
2020-01-07,502.88,509.82,502.88,507.22,454223,ok
2020-01-08,507.77,510.14,502.24,507.1,726510,ok
2020-01-09,513.88,514.82,510.6,513.1,477148,ok
2020-01-10,514.51,515.24,510.41,512.18,483959,ok
2020-01-13,513.27,523.45,513.27,523.11,651831,ok
2020-01-14,520.15,525.0,516.52,518.32,924358,ok
2020-01-15,518.5,531.62,518.5,530.26,1005148,ok
2020-01-16,536.91,536.91,530.25,535.0,778150,ok
2020-01-17,537.06,539.195,533.23,535.24,669121,ok
2020-01-21,532.01,534.15,527.76,529.14,775987,ok
2020-01-22,532.53,539.63,531.3359,536.86,778123,ok
2020-01-23,533.6,544.0,532.88,541.94,804476,ok
2020-01-24,544.42,547.35,532.76,536.84,751151,ok
2020-01-27,522.0,530.33,519.61,523.81,516527,ok
2020-01-28,527.96,533.77,525.15,529.97,496575,ok
2020-01-29,534.45,542.17,532.37,536.49,434731,ok
2020-01-30,531.04,540.26,528.91,539.69,510956,ok
2020-01-31,537.94,539.09,525.18,527.35,646420,ok
2020-02-03,530.23,537.1499,529.8,530.08,503076,ok
2020-02-04,538.17,540.32,531.45,535.24,851764,ok
2020-02-05,543.84,546.6809,537.47,543.48,942967,ok
2020-02-06,548.07,555.235,541.3301,554.67,824432,ok
2020-02-07,550.0,556.01,549.495,555.74,712908,ok
2020-02-10,553.44,561.25,553.3036,561.1,744099,ok
2020-02-11,564.05,571.31,563.875,570.44,598959,ok
2020-02-12,574.84,576.81,570.01,572.48,426314,ok
2020-02-13,568.69,572.75,567.37,568.55,479675,ok
2020-02-14,565.74,568.92,562.71,565.94,472391,ok
2020-02-18,565.0,565.215,562.31,564.81,403248,ok
2020-02-19,567.98,573.0,566.19,572.07,383200,ok
2020-02-20,570.0,572.95,560.6187,566.92,475404,ok
2020-02-21,563.41,564.85,555.0,557.0,494166,ok
2020-02-24,536.05,541.3101,527.65,528.0,1063898,ok
2020-02-25,530.26,531.13,502.47,506.0,1064637,ok
2020-02-26,508.17,517.96,505.49,508.47,959697,ok
2020-02-27,495.64,500.86,475.78,475.82,1286083,ok
2020-02-28,459.25,465.41,449.02,463.01,2039371,ok
2020-03-02,467.14,488.18,461.57,487.94,1278217,ok
2020-03-03,488.34,503.98,476.1826,482.07,1589823,ok
2020-03-04,488.09,497.77,479.295,495.31,1175004,ok
2020-03-05,477.37,482.395,464.58,472.47,1022212,ok
