Date,Open,High,Low,Close,Volume,Status
2020-01-02,124.69,124.89,122.97,123.78,391226,ok
2020-01-03,122.01,123.99,121.9,123.88,359154,ok
2020-01-06,123.15,125.01,122.7884,125.0,401451,ok
2020-01-07,125.0,125.47,124.2098,124.56,585420,ok
2020-01-08,124.86,126.2176,124.025,125.36,486151,ok
2020-01-09,125.98,128.5,125.81,128.1,752343,ok
2020-01-10,128.07,128.12,126.78,127.59,643966,ok
2020-01-13,127.86,128.8399,127.47,128.49,430407,ok
2020-01-14,128.23,128.8338,127.355,128.1,469957,ok
2020-01-15,128.49,129.29,127.91,128.28,398777,ok
2020-01-16,129.09,129.96,129.07,129.35,374345,ok
2020-01-17,129.82,131.15,129.14,131.0,523773,ok
2020-01-21,130.27,132.83,130.27,132.57,683219,ok
2020-01-22,133.29,134.3,132.5,132.53,729397,ok
2020-01-23,132.6,132.83,130.64,131.26,447754,ok
2020-01-24,131.97,132.39,130.23,131.03,369858,ok
2020-01-27,128.73,130.39,128.121,129.41,399545,ok
2020-01-28,129.74,130.65,129.25,129.77,424131,ok
2020-01-29,130.57,130.764,129.52,129.54,415103,ok
2020-01-30,128.69,129.81,127.84,129.46,946354,ok
2020-01-31,120.49,121.43,115.39,119.15,2180914,ok
2020-02-03,120.67,121.01,116.2,116.43,1291611,ok
2020-02-04,117.98,118.41,115.8,117.34,1030853,ok
2020-02-05,117.91,121.57,117.91,120.7,1475112,ok
2020-02-06,121.14,121.63,119.59,119.73,859144,ok
2020-02-07,119.11,120.2,117.53,117.85,677244,ok
2020-02-10,117.93,118.88,117.53,118.24,949337,ok
2020-02-11,119.25,119.88,118.63,119.81,575049,ok
2020-02-12,120.37,123.72,119.9,123.43,1140147,ok
2020-02-13,122.73,123.81,122.19,122.37,701446,ok
2020-02-14,122.8,123.79,121.61,122.28,633650,ok
2020-02-18,122.09,122.67,121.693,122.51,637727,ok
2020-02-19,123.32,123.61,122.06,122.88,554910,ok
2020-02-20,122.77,122.77,118.06,121.38,1505491,ok
2020-02-21,121.12,121.12,119.1057,119.61,577637,ok
2020-02-24,116.36,117.87,115.55,116.44,565340,ok
2020-02-25,116.77,117.64,112.32,112.45,826060,ok
2020-02-26,113.93,115.37,112.51,112.54,1676578,ok
2020-02-27,110.29,111.76,107.69,107.69,1324435,ok
2020-02-28,106.06,108.09,102.91,104.36,3048485,ok
2020-03-02,105.51,107.215,103.585,106.25,2429063,ok
2020-03-03,106.51,106.72,102.14,102.52,2486867,ok
2020-03-04,104.51,106.21,103.05,106.15,1175725,ok
2020-03-05,103.56,104.28,99.691,101.39,1098538,ok
2020-03-06,98.08,100.99,95.55,100.36,1282077,ok
2020-03-09,93.71,95.73,91.24,91.52,1241763,ok
2020-03-10,94.61,100.24,93.8,99.49,1904981,ok
2020-03-11,96.9,98.81,95.34,97.67,1616376,ok
2020-03-12,90.99,99.1,90.46,95.71,2707121,ok
2020-03-13,99.61,103.74,95.12,103.68,1887901,ok
2020-03-16,92.34,103.4255,91.4,99.63,1554615,ok
2020-03-17,101.61,107.14,97.63,104.82,2142595,ok
2020-03-18,99.52,104.7728,95.79,100.9,1522599,ok
2020-03-19,100.08,100.275,92.54,93.44,1332841,ok
2020-03-20,93.84,97.675,89.81,90.77,1151552,ok
2020-03-23,89.86,89.86,81.9,84.26,1246828,ok
2020-03-24,87.84,94.88,87.0,94.83,871068,ok
2020-03-25,94.17,96.35,88.89,93.94,1898935,ok
2020-03-26,94.92,97.8,93.47,96.93,1308641,ok
2020-03-27,94.9,95.0,91.31,91.57,947370,ok
2020-03-30,92.31,97.38,90.58,96.94,1036023,ok
2020-03-31,95.55,97.26,93.63,94.83,1001345,ok
2020-04-01,91.77,93.0,90.08,91.32,1122975,ok
2020-04-02,90.4,93.94,90.38,92.1,784044,ok
2020-04-03,91.36,94.46,91.12,92.39,561734,ok
2020-04-06,96.63,99.31,95.545,98.61,1126237,ok
2020-04-07,101.06,103.51,99.43,100.76,941832,ok
2020-04-08,101.41,103.34,99.575,102.1,956957,ok
2020-04-09,102.53,106.37,101.4,105.91,1271388,ok
2020-04-13,105.27,105.9,101.32,102.59,502348,ok
2020-04-14,105.0,107.19,102.98,106.95,952786,ok
2020-04-15,105.55,107.69,104.945,106.57,1016913,ok
2020-04-16,107.24,108.74,105.25,107.05,953319,ok
2020-04-17,109.01,110.14,108.51,109.94,707353,ok
2020-04-20,108.7,110.62,107.965,109.79,618987,ok
2020-04-21,108.43,108.69,105.385,107.36,740528,ok
2020-04-22,109.1,110.52,108.03,109.41,566658,ok
2020-04-23,110.0,111.19,108.91,110.25,814387,ok
2020-04-24,110.78,111.6,109.485,111.44,698151,ok
2020-04-27,112.31,114.62,112.3,114.34,535474,ok
2020-04-28,115.61,116.585,112.28,112.47,863567,ok
2020-04-29,113.91,116.99,113.75,115.52,614835,ok
2020-04-30,114.8,116.57,114.34,116.0,481051,ok
2020-05-01,114.2,114.7216,111.87,113.06,503503,ok
2020-05-04,112.35,114.06,111.75,113.85,544909,ok
2020-05-05,115.07,116.1,114.655,115.35,598391,ok
2020-05-06,115.42,116.85,114.6,116.0,573536,ok
2020-05-07,117.51,118.5,116.15,116.69,797264,ok
2020-05-08,119.0,119.19,115.615,116.81,888168,ok
2020-05-11,116.16,119.74,115.59,119.26,710211,ok
2020-05-12,119.23,120.44,117.85,117.85,885427,ok
2020-05-13,117.94,118.56,112.62,114.11,885965,ok
2020-05-14,113.32,114.93,110.74,114.87,801392,ok
2020-05-15,112.98,116.29,112.98,115.55,1776617,ok
2020-05-18,118.58,120.39,118.09,119.44,602794,ok
2020-05-19,119.01,121.37,119.01,119.57,564480,ok
2020-05-20,120.73,122.74,120.5,120.96,452326,ok
2020-05-21,120.61,120.61,117.68,117.79,514632,ok
2020-05-22,117.81,117.98,116.22,116.81,553913,ok
2020-05-26,119.4,119.87,116.76,117.12,680092,ok
2020-05-27,118.07,118.845,116.02,116.7,1119363,ok
2020-05-28,117.19,120.525,117.13,119.26,546222,ok
