Date,Open,High,Low,Close,Volume,Status
2020-01-02,227.51,228.39,226.71,228.39,3767253,ok
2020-01-03,225.69,227.43,225.48,226.18,3024008,ok
2020-01-06,224.99,227.13,224.7,226.99,4263359,ok
2020-01-07,227.26,227.26,225.44,225.92,3530280,ok
2020-01-08,226.03,227.84,225.87,225.99,3782033,ok
2020-01-09,226.92,228.85,226.92,228.65,3497724,ok
2020-01-10,228.5,228.5308,226.59,226.62,2573152,ok
2020-01-13,227.05,228.47,226.1251,228.45,3287976,ok
2020-01-14,227.85,228.3899,226.88,227.17,3356233,ok
2020-01-15,226.8,228.64,226.78,228.35,2664870,ok
2020-01-16,229.34,230.03,228.52,229.73,3037238,ok
2020-01-17,230.13,231.61,229.55,230.2,6603956,ok
2020-01-21,229.85,231.13,227.95,228.63,5842158,ok
2020-01-22,229.0,230.38,228.41,229.54,3164373,ok
2020-01-23,229.43,229.77,227.3492,229.38,4750042,ok
2020-01-24,229.4,229.41,226.04,226.86,4024035,ok
2020-01-27,223.7,223.9,221.11,222.45,5455063,ok
2020-01-28,223.44,225.35,223.16,224.03,3613154,ok
2020-01-29,224.75,226.4,224.31,224.5,2311394,ok
2020-01-30,223.11,228.08,222.48,227.88,3355343,ok
2020-01-31,226.49,226.97,223.43,224.43,3948507,ok
2020-02-03,225.48,226.32,223.0,223.47,3525322,ok
2020-02-04,226.15,226.94,224.79,225.08,3643707,ok
2020-02-05,226.91,228.68,226.75,228.65,3364133,ok
2020-02-06,229.56,230.08,228.53,229.61,2801166,ok
2020-02-07,228.07,228.62,226.67,227.38,2886854,ok
2020-02-10,227.17,227.7503,225.13,227.11,2945177,ok
2020-02-11,228.59,228.59,227.02,227.33,2918511,ok
2020-02-12,227.6,228.84,226.91,227.44,3786174,ok
2020-02-13,226.53,227.4,226.1,226.47,2838906,ok
2020-02-14,226.49,227.14,225.52,226.8,2506699,ok
2020-02-18,226.39,227.38,225.27,226.77,3153466,ok
2020-02-19,227.68,229.71,226.93,229.24,3189102,ok
2020-02-20,229.76,229.79,227.15,228.17,3549133,ok
2020-02-21,227.53,230.07,226.98,229.33,4702108,ok
2020-02-24,221.31,223.94,220.27,221.69,7933733,ok
2020-02-25,222.2,223.24,216.76,218.05,8560131,ok
2020-02-26,219.65,220.63,215.94,216.06,6907568,ok
2020-02-27,212.9,214.38,207.28,207.67,10945542,ok
2020-02-28,201.92,206.44,199.68,206.34,15149589,ok
2020-03-02,207.25,218.8,204.4339,217.63,10408117,ok
2020-03-03,217.39,218.15,206.2,208.81,10717122,ok
2020-03-04,212.14,218.34,209.26,217.86,7409199,ok
2020-03-05,212.55,212.75,207.01,208.96,8114450,ok
2020-03-06,203.48,207.41,202.35,205.98,9443910,ok
2020-03-09,195.0,198.479,192.26,193.13,13986192,ok
2020-03-10,201.35,202.86,195.0517,202.73,10931656,ok
2020-03-11,197.32,198.13,192.87,194.64,9586080,ok
2020-03-12,183.6,187.6699,175.0,175.97,22303501,ok
2020-03-13,187.45,196.5,178.41,196.4,14867020,ok
2020-03-16,174.0,188.38,173.62,177.77,14171802,ok
2020-03-17,181.88,187.81,177.0,187.6,15081851,ok
2020-03-18,177.29,181.39,167.0,172.44,16682838,ok
2020-03-19,170.21,176.18,166.0,174.68,12492309,ok
2020-03-20,176.3,177.18,167.2945,170.06,15218821,ok
2020-03-23,165.3,166.69,159.5,162.13,16512831,ok
2020-03-24,170.91,179.14,169.53,178.2,14093996,ok
2020-03-25,180.01,189.07,175.17,180.47,13856492,ok
2020-03-26,181.29,184.96,179.59,183.9,14145128,ok
2020-03-27,178.5,184.24,176.72,179.66,10264577,ok
2020-03-30,180.04,184.11,178.0,183.18,7674376,ok
2020-03-31,182.05,186.17,180.57,182.83,8999502,ok
2020-04-01,176.18,178.67,174.19,175.95,8684977,ok
2020-04-02,175.0,180.31,174.225,179.73,7276305,ok
2020-04-03,178.59,180.22,175.44,178.34,6645402,ok
2020-04-06,184.61,186.41,180.49,185.24,9943688,ok
2020-04-07,191.99,192.0,184.9,185.25,8151274,ok
2020-04-08,187.55,191.42,185.14,191.01,6112986,ok
2020-04-09,194.0,197.23,191.45,193.84,10525209,ok
2020-04-13,193.85,193.85,186.08,188.77,7897317,ok
2020-04-14,193.32,194.16,190.82,192.94,7033292,ok
2020-04-15,188.56,189.59,187.47,188.57,6143064,ok
2020-04-16,188.9,188.99,185.8,187.96,6257017,ok
2020-04-17,192.89,192.9,189.02,191.2,8275774,ok
2020-04-20,188.72,189.35,187.3,188.75,6475978,ok
2020-04-21,184.17,185.78,183.28,183.48,5886829,ok
2020-04-22,186.46,187.37,185.34,186.58,5473376,ok
2020-04-23,186.99,187.35,184.5,185.63,6214098,ok
2020-04-24,187.08,187.28,184.42,186.52,5206780,ok
2020-04-27,187.78,189.37,186.35,187.46,6625074,ok
2020-04-28,190.54,191.0,187.0,187.12,6679292,ok
2020-04-29,190.64,192.68,188.93,189.61,7654591,ok
2020-04-30,188.3,189.87,186.71,187.36,8224394,ok
2020-05-01,185.21,185.89,181.64,182.67,7516538,ok
2020-05-04,179.78,180.36,176.3401,177.95,9455779,ok
2020-05-05,180.045,180.23,175.93,176.03,9019874,ok
2020-05-06,176.94,177.04,172.34,172.38,9016047,ok
2020-05-07,173.4,175.38,173.05,173.48,6702275,ok
2020-05-08,176.71,177.26,174.28,176.83,5798965,ok
2020-05-11,175.23,175.96,173.61,174.64,9239404,ok
2020-05-12,175.2,175.7149,172.73,172.81,6483703,ok
2020-05-13,172.0,172.61,169.44,170.57,10262672,ok
2020-05-14,168.8,171.4,167.0401,170.93,7016473,ok
2020-05-15,169.82,170.66,168.52,169.25,5941213,ok
2020-05-18,174.0,176.87,172.3091,175.46,7463845,ok
2020-05-19,174.12,174.87,172.34,172.49,5580754,ok
2020-05-20,174.61,176.87,174.29,176.02,5459007,ok
2020-05-21,175.74,176.65,174.47,174.94,4062440,ok
2020-05-22,174.86,175.12,173.21,174.93,3589844,ok
2020-05-26,179.99,181.69,178.68,180.34,7110034,ok
2020-05-27,184.665,185.98,183.8,185.77,7416421,ok
2020-05-28,187.24,187.28,183.92,185.1,6315543,ok
2020-05-29,183.08,185.87,182.53,185.58,10631071,ok
2020-06-01,185.53,185.71,183.185,183.84,5722581,ok
2020-06-02,183.99,186.44,183.99,185.94,5806026,ok
2020-06-03,188.75,191.62,187.81,190.82,6710121,ok
2020-06-04,190.41,192.11,189.69,192.05,5818236,ok
2020-06-05,197.88,201.49,196.22,200.66,10400938,ok
2020-06-08,202.34,203.33,199.56,201.56,6706518,ok
2020-06-09,197.15,198.79,195.83,196.07,7735857,ok
2020-06-10,195.85,196.34,191.37,191.51,7351508,ok
2020-06-11,185.0,186.9296,177.93,178.02,15387904,ok
2020-06-12,184.02,184.02,178.22,181.21,9479915,ok
2020-06-15,177.0,181.7699,176.05,181.55,8111656,ok
2020-06-16,186.55,186.7,179.75,182.3,9414597,ok
2020-06-17,183.03,183.15,180.11,180.86,6458205,ok
2020-06-18,179.9,181.36,179.04,180.73,4924460,ok
2020-06-19,183.5,183.88,179.01,179.72,8765108,ok
2020-06-22,179.55,181.8,178.87,180.17,5822331,ok
2020-06-23,181.87,182.39,180.4,181.01,6382428,ok
2020-06-24,179.61,179.65,177.26,177.53,8086306,ok
2020-06-25,176.58,179.7195,176.06,178.85,6385076,ok
2020-06-26,176.71,178.7,174.63,175.37,14776382,ok
2020-06-29,175.9,177.22,175.33,177.19,5222730,ok
2020-06-30,176.75,179.12,176.51,178.51,6766502,ok
2020-07-01,178.41,180.45,177.34,177.99,4623976,ok
2020-07-02,180.45,180.94,178.24,178.83,5165918,ok
2020-07-06,183.1,183.52,181.59,182.72,6449353,ok
2020-07-07,182.02,182.49,180.6,181.15,4956616,ok
2020-07-08,180.42,182.3119,179.77,181.2,5557679,ok
2020-07-09,181.79,181.88,177.77,178.8,5424922,ok
2020-07-10,178.26,182.96,178.09,182.9,5487025,ok
2020-07-13,183.81,185.82,183.31,184.13,7888833,ok
2020-07-14,182.42,190.08,182.42,189.71,14687111,ok
2020-07-15,192.64,193.05,188.75,190.56,7558957,ok
2020-07-16,188.32,191.93,188.32,191.01,4773368,ok
2020-07-17,191.77,192.12,190.4686,190.76,5187529,ok
2020-07-20,190.02,191.23,189.48,190.48,4092175,ok
2020-07-21,190.4,193.45,190.4,192.27,5257941,ok
2020-07-22,191.78,192.24,190.63,192.1,4184472,ok
2020-07-23,191.71,193.39,191.48,193.25,6039644,ok
2020-07-24,193.25,196.28,193.05,194.52,5143693,ok
2020-07-27,193.83,193.99,191.77,192.14,4312003,ok
2020-07-28,190.9,194.46,190.61,194.12,4412796,ok
2020-07-29,194.03,196.67,193.73,196.41,4069954,ok
2020-07-30,193.43,194.57,192.25,194.3,4834570,ok
2020-07-31,195.06,196.0,193.33,195.78,5943185,ok
2020-08-03,197.28,200.68,196.0,199.26,6253519,ok
2020-08-04,198.97,200.31,198.11,200.24,3839089,ok
2020-08-05,201.44,204.69,201.0,203.62,5269199,ok
2020-08-06,203.0,205.39,202.7,205.02,3387477,ok
2020-08-07,204.2,209.75,204.0,209.48,6191783,ok
2020-08-10,211.34,212.92,209.4,212.58,6635745,ok
2020-08-11,214.74,215.6,212.24,212.66,5689794,ok
2020-08-12,213.1,214.39,212.31,213.24,4792657,ok
2020-08-13,212.93,213.33,211.66,211.98,4537189,ok
2020-08-14,211.04,211.97,210.25,210.96,3444703,ok
2020-08-17,210.05,210.82,206.34,206.78,5486419,ok
2020-08-18,206.95,209.76,206.8,208.33,3501913,ok
2020-08-19,209.19,210.21,206.66,207.21,5831268,ok
2020-08-20,205.17,206.79,204.51,206.12,4134384,ok
2020-08-21,205.52,208.4,205.52,207.43,4786825,ok
2020-08-24,209.23,213.3,208.91,212.61,5040022,ok
2020-08-25,213.56,214.0,212.85,213.35,3676863,ok
2020-08-26,212.98,215.83,212.3,214.66,4640785,ok
2020-08-27,214.99,217.98,214.76,216.87,4814583,ok
2020-08-28,217.51,218.81,215.7297,218.55,4291213,ok
2020-08-31,218.62,219.45,217.65,218.04,6134606,ok
2020-09-01,216.92,218.59,216.62,218.55,4134939,ok
2020-09-02,218.13,222.09,218.13,221.68,5495005,ok
2020-09-03,222.0,223.2399,216.43,218.15,7095354,ok
2020-09-04,219.95,221.48,215.06,218.32,6042649,ok
2020-09-08,217.28,219.19,215.3393,217.8,7001501,ok
2020-09-09,218.95,221.62,218.52,219.63,5418297,ok
2020-09-10,220.54,220.68,217.15,217.8,3838665,ok
2020-09-11,218.0,219.265,216.92,217.93,3437465,ok
2020-09-14,219.0,221.32,218.3,219.94,4070857,ok
2020-09-15,220.08,221.57,218.45,218.94,3864321,ok
2020-09-16,220.28,222.26,219.19,219.59,5663404,ok
2020-09-17,218.46,218.68,216.5,218.05,6942515,ok
