Date,Open,High,Low,Close,Volume,Status
2020-01-02,44.0,44.05,43.35,43.95,1189342,ok
2020-01-03,42.99,43.35,42.22,42.36,1050687,ok
2020-01-06,42.0,42.29,41.605,42.18,848091,ok
2020-01-07,42.1,42.705,41.92,42.44,1383320,ok
2020-01-08,42.48,42.995,42.09,42.7,1071965,ok
2020-01-09,42.92,42.9264,41.92,41.93,1190853,ok
2020-01-10,41.84,41.95,41.3,41.42,827084,ok
2020-01-13,41.3,41.495,41.055,41.38,1703700,ok
2020-01-14,41.32,42.12,41.32,41.73,1516776,ok
2020-01-15,41.33,41.7058,41.01,41.29,1075542,ok
2020-01-16,41.5,41.88,41.26,41.88,1393926,ok
2020-01-17,41.84,42.18,41.22,41.53,1426336,ok
2020-01-21,41.25,41.3319,40.465,40.5,1423310,ok
2020-01-22,40.48,40.71,40.07,40.29,1197293,ok
2020-01-23,39.96,40.64,39.31,40.56,1411467,ok
2020-01-24,40.5,40.635,39.13,39.24,853358,ok
2020-01-27,38.25,38.62,37.71,38.36,1651951,ok
2020-01-28,35.5,36.57,34.88,35.43,15579023,ok
2020-01-29,36.1,36.38,35.235,35.29,6307914,ok
2020-01-30,35.0,35.48,34.65,35.06,4135775,ok
2020-01-31,34.89,35.0,34.09,34.29,4540789,ok
2020-02-03,34.62,35.17,34.37,34.38,3269713,ok
2020-02-04,35.0,35.08,34.34,34.43,4049345,ok
2020-02-05,34.89,35.155,34.59,35.04,3742553,ok
2020-02-06,35.25,35.25,33.76,33.76,3665375,ok
2020-02-07,33.5,33.73,33.25,33.57,2213955,ok
2020-02-10,33.57,33.77,33.15,33.28,1975894,ok
2020-02-11,33.25,34.44,33.17,34.11,2776514,ok
2020-02-12,34.54,35.0,33.98,34.69,4740528,ok
2020-02-13,34.31,35.36,33.56,35.08,5660491,ok
2020-02-14,34.75,34.96,33.43,34.15,5008448,ok
2020-02-18,34.16,34.81,33.95,34.34,3505975,ok
2020-02-19,34.27,34.92,34.22,34.79,3027932,ok
2020-02-20,34.62,35.4,34.55,35.15,2623949,ok
2020-02-21,35.05,35.08,33.9,33.98,2478944,ok
2020-02-24,32.79,32.85,31.81,32.16,5983220,ok
2020-02-25,32.25,32.44,30.76,30.77,6578626,ok
2020-02-26,31.22,31.725,30.17,30.21,3492460,ok
2020-02-27,29.66,31.38,28.98,30.59,6592885,ok
2020-02-28,29.48,31.63,29.42,31.6,6634583,ok
2020-03-02,31.5,32.33,30.89,32.33,4148158,ok
2020-03-03,32.05,32.64,30.78,31.24,5201035,ok
2020-03-04,31.58,31.63,30.42,31.54,4169168,ok
2020-03-05,30.59,30.77,29.57,29.9,3744924,ok
2020-03-06,29.0,29.67,28.515,28.87,5598801,ok
2020-03-09,27.16,27.9,26.03,26.05,4257151,ok
2020-03-10,27.23,27.8,26.22,27.79,5597180,ok
2020-03-11,27.06,27.39,26.21,26.79,5441682,ok
2020-03-12,24.43,27.8,23.25,24.62,4710853,ok
2020-03-13,25.7,26.38,23.72,25.66,4991141,ok
2020-03-16,23.36,24.59,22.755,23.05,4210796,ok
2020-03-17,23.37,23.7065,20.7,22.29,5951643,ok
2020-03-18,20.84,21.88,17.0,19.73,3967639,ok
2020-03-19,18.96,22.08,18.26,21.01,4971781,ok
2020-03-20,21.41,22.51,19.53,20.5,4303013,ok
2020-03-23,20.44,21.69,19.58,21.15,3872631,ok
2020-03-24,22.86,23.565,21.22,22.79,4834678,ok
2020-03-25,23.48,24.675,21.19,23.72,5211612,ok
2020-03-26,23.92,25.05,23.13,24.94,4196473,ok
2020-03-27,23.59,24.18,22.51,23.7,3271745,ok
2020-03-30,23.4,24.74,22.61,24.58,3810951,ok
2020-03-31,25.58,26.73,24.25,24.37,7920610,ok
2020-04-01,23.07,23.62,22.45,22.66,4577123,ok
2020-04-02,22.35,23.49,21.8,22.28,4104256,ok
2020-04-03,22.4,22.7,21.15,21.29,4128794,ok
2020-04-06,22.56,24.94,21.93,24.73,4132728,ok
2020-04-07,26.26,26.57,24.46,24.67,3162238,ok
2020-04-08,25.1,25.86,24.49,25.53,3005044,ok
2020-04-09,26.24,27.1,25.56,25.74,4216498,ok
2020-04-13,26.06,26.48,24.5,26.16,2230838,ok
2020-04-14,26.31,27.29,26.25,27.19,3187726,ok
2020-04-15,25.61,26.64,25.45,26.47,2523594,ok
2020-04-16,26.24,26.59,25.48,26.05,3187715,ok
2020-04-17,27.33,28.05,26.64,26.98,3917337,ok
2020-04-20,26.09,26.615,25.46,25.52,2923794,ok
2020-04-21,24.55,25.685,24.27,25.51,2277907,ok
2020-04-22,26.11,26.39,25.28,25.65,2426878,ok
2020-04-23,25.77,27.11,25.67,26.65,2859369,ok
2020-04-24,27.32,27.32,26.29,27.08,2519161,ok
2020-04-27,27.2,28.305,26.91,28.06,3104472,ok
2020-04-28,29.06,29.31,28.225,28.55,2548424,ok
2020-04-29,29.39,30.15,29.17,29.67,2244192,ok
2020-04-30,29.19,29.27,28.425,28.57,3390670,ok
2020-05-01,27.83,27.96,26.69,27.16,2448677,ok
2020-05-04,26.66,27.28,26.38,27.02,2580283,ok
2020-05-05,27.65,28.11,26.89,26.96,2626985,ok
2020-05-06,28.65,28.65,27.15,28.07,9996113,ok
2020-05-07,28.84,29.61,27.73,27.84,4936192,ok
2020-05-08,28.54,29.5,28.39,29.39,3957200,ok
2020-05-11,28.95,29.51,28.35,29.26,5458037,ok
2020-05-12,29.5,29.74,28.21,28.22,2980147,ok
2020-05-13,28.07,28.17,25.95,26.34,3866026,ok
2020-05-14,25.48,27.83,25.17,27.81,6106700,ok
2020-05-15,27.43,27.93,27.22,27.77,3626190,ok
2020-05-18,29.1,29.84,28.8,29.54,2355021,ok
2020-05-19,29.47,29.89,28.88,28.89,3253792,ok
2020-05-20,29.57,30.005,29.32,29.75,3517121,ok
2020-05-21,29.71,30.18,29.29,29.9,2793973,ok
2020-05-22,30.17,30.22,29.15,29.84,3759510,ok
2020-05-26,31.24,31.825,31.07,31.52,4117104,ok
2020-05-27,32.35,32.7,31.59,32.54,5023975,ok
2020-05-28,32.81,32.91,31.71,32.1,4094721,ok
2020-05-29,31.58,32.24,31.04,32.15,4547321,ok
2020-06-01,32.42,33.87,32.13,33.26,2985887,ok
2020-06-02,33.75,34.01,32.98,33.94,3813258,ok
2020-06-03,34.63,35.33,34.22,34.33,4235985,ok
2020-06-04,33.98,34.97,33.66,34.97,3548667,ok
2020-06-05,37.1,37.745,36.38,37.29,5171748,ok
2020-06-08,37.81,38.1,37.275,37.52,2944626,ok
2020-06-09,36.48,37.205,36.04,36.65,3044124,ok
2020-06-10,36.59,36.6,35.38,35.57,3069172,ok
2020-06-11,33.64,34.28,32.4,32.66,3323214,ok
2020-06-12,34.44,34.5,32.68,33.55,3084086,ok
2020-06-15,32.24,33.927,31.873,33.86,2575315,ok
2020-06-16,35.18,35.24,33.2601,33.6,5756731,ok
2020-06-17,33.61,34.49,33.11,33.34,2855393,ok
2020-06-18,32.87,33.76,32.6,33.25,2584553,ok
2020-06-19,34.1,34.59,33.38,34.24,5361694,ok
2020-06-22,34.13,34.5982,33.63,34.28,2392809,ok
2020-06-23,34.97,35.66,34.385,35.42,4147283,ok
2020-06-24,35.0,35.0,33.08,33.18,2242084,ok
2020-06-25,32.89,33.59,32.32,33.5,2321755,ok
2020-06-26,33.46,33.48,32.74,33.23,3111483,ok
2020-06-29,33.64,35.14,33.45,35.08,2494559,ok
2020-06-30,34.79,35.62,34.42,35.3,2938818,ok
2020-07-01,35.29,35.68,34.04,34.24,2593309,ok
2020-07-02,35.21,35.96,34.785,35.19,2545943,ok
2020-07-06,36.0,36.15,34.8,35.35,2171341,ok
2020-07-07,35.01,35.365,34.87,35.04,2129613,ok
2020-07-08,34.81,35.3,34.57,34.93,1947423,ok
2020-07-09,35.14,35.14,33.741,34.4,1653258,ok
2020-07-10,34.55,35.51,34.39,35.51,2332498,ok
2020-07-13,36.0,36.2,35.11,35.25,2891871,ok
2020-07-14,35.37,36.31,35.01,36.28,2022014,ok
2020-07-15,37.0,37.825,36.01,37.56,2891542,ok
2020-07-16,37.15,38.06,36.93,37.77,2303529,ok
2020-07-17,37.99,38.03,37.12,37.49,4694366,ok
2020-07-20,37.36,38.015,37.34,37.77,3128129,ok
2020-07-21,38.19,38.4,37.63,37.7,3139390,ok
2020-07-22,37.55,38.54,37.44,38.31,1687546,ok
2020-07-23,38.54,39.01,38.0,38.73,3269781,ok
