Date,Open,High,Low,Close,Volume,Status
2020-01-02,50.92,51.01,49.475,50.09,2730572,ok
2020-01-03,49.32,49.8,49.14,49.36,1876264,ok
2020-01-06,49.26,49.82,48.9321,49.77,2410243,ok
2020-01-07,49.61,49.99,49.33,49.79,1820327,ok
2020-01-08,49.68,50.31,49.255,50.06,1727067,ok
2020-01-09,50.2,50.435,49.67,50.3,1746997,ok
2020-01-10,50.4,50.72,49.88,50.63,2298202,ok
2020-01-13,50.53,50.56,49.8,50.44,2526564,ok
2020-01-14,50.94,52.46,50.94,52.45,3186256,ok
2020-01-15,52.27,54.12,52.035,53.81,4023233,ok
2020-01-16,54.17,54.52,53.61,54.42,2710293,ok
2020-01-17,54.53,54.64,53.63,53.93,2566369,ok
2020-01-21,53.89,54.4,53.5,54.01,1874033,ok
2020-01-22,54.37,55.49,54.22,55.32,3059842,ok
2020-01-23,55.21,55.22,54.54,54.87,3333079,ok
2020-01-24,54.95,54.95,52.745,53.82,2107212,ok
2020-01-27,52.85,53.585,52.02,53.38,2511403,ok
2020-01-28,53.76,54.08,53.15,53.8,2089198,ok
2020-01-29,53.93,54.4,53.41,53.74,1748602,ok
2020-01-30,53.49,53.87,52.51,53.29,1919723,ok
2020-01-31,53.0,53.17,50.9,51.21,7692221,ok
2020-02-03,51.43,52.18,51.09,51.26,1905524,ok
2020-02-04,52.06,52.68,51.54,51.59,3443814,ok
2020-02-05,52.09,53.45,52.035,52.68,5655776,ok
2020-02-06,57.55,59.8,56.84,58.26,6735054,ok
2020-02-07,59.09,60.48,57.74,58.24,4384691,ok
2020-02-10,58.25,59.7,58.0,59.19,3616679,ok
2020-02-11,59.25,59.47,58.35,59.41,2611267,ok
2020-02-12,60.0,60.69,59.69,60.13,2290779,ok
2020-02-13,59.54,60.32,59.37,59.4,1953266,ok
2020-02-14,59.19,59.79,57.61,59.62,3284861,ok
2020-02-18,59.6,59.99,58.78,59.01,2276473,ok
2020-02-19,58.9,59.37,58.66,59.35,1896891,ok
2020-02-20,59.09,60.53,58.7627,60.42,2688023,ok
2020-02-21,60.17,60.39,59.5,59.72,2275376,ok
2020-02-24,58.21,58.94,57.91,58.14,2105470,ok
2020-02-25,58.5,58.8,55.261,55.44,2764399,ok
2020-02-26,55.45,56.745,54.99,55.01,3160696,ok
2020-02-27,54.24,55.38,52.24,52.25,4825718,ok
2020-02-28,50.58,52.15,49.49,52.12,6367000,ok
2020-03-02,52.31,54.02,51.77,54.02,4630343,ok
2020-03-03,53.98,54.89,51.51,52.96,3434729,ok
2020-03-04,54.79,56.09,53.23,54.63,4431322,ok
2020-03-05,53.21,54.16,51.82,52.48,3369949,ok
2020-03-06,50.86,52.17,50.03,51.27,2889201,ok
2020-03-09,48.0,49.74,47.11,47.93,4876911,ok
2020-03-10,49.2,49.82,46.895,49.71,3013703,ok
2020-03-11,48.46,49.33,47.61,48.65,3576313,ok
