Date,Open,High,Low,Close,Volume,Status
2020-01-02,73.45,73.69,72.81,73.62,2393503,ok
2020-01-03,72.82,73.88,72.81,73.83,1451600,ok
2020-01-06,73.36,74.05,73.2,73.99,1617090,ok
2020-01-07,73.76,73.76,72.98,73.02,957113,ok
2020-01-08,73.24,73.83,73.04,73.445,1920948,ok
2020-01-09,73.8,74.3,73.0,73.76,1624862,ok
2020-01-10,74.01,74.09,73.275,73.48,1214593,ok
2020-01-13,73.48,73.89,72.76,73.07,2012234,ok
2020-01-14,72.97,74.24,72.75,74.21,1546983,ok
2020-01-15,73.69,75.19,72.85,74.69,1542282,ok
2020-01-16,74.8,75.81,74.34,75.58,1519761,ok
2020-01-17,75.87,75.94,75.28,75.86,1285274,ok
2020-01-21,75.46,75.97,75.31,75.81,1349001,ok
2020-01-22,75.96,76.32,75.47,75.52,1368578,ok
2020-01-23,75.37,75.76,74.54,75.68,1371741,ok
2020-01-24,75.6,75.6,74.14,74.46,957441,ok
2020-01-27,73.38,74.27,73.16,73.41,1311105,ok
2020-01-28,73.77,74.22,73.35,73.5,1678695,ok
2020-01-29,73.6,73.6,72.24,72.28,1788006,ok
2020-01-30,71.91,72.8175,71.36,72.78,1270634,ok
2020-01-31,72.7,73.07,71.46,71.83,1414467,ok
2020-02-03,72.24,73.31,72.05,73.17,2504586,ok
2020-02-04,74.03,74.96,73.71,74.22,2209038,ok
2020-02-05,76.99,80.9,75.75,78.595,6326573,ok
2020-02-06,78.79,79.93,78.54,78.95,2311738,ok
2020-02-07,78.79,79.49,78.52,78.93,1137107,ok
2020-02-10,78.47,79.67,78.1,79.62,1686204,ok
2020-02-11,80.0,80.55,79.2,80.23,3098988,ok
2020-02-12,80.515,80.515,76.36,76.68,2907231,ok
2020-02-13,76.12,76.92,75.91,76.49,2038296,ok
2020-02-14,76.34,77.26,76.19,77.07,3081393,ok
2020-02-18,77.12,77.8,76.67,76.78,1910011,ok
2020-02-19,76.94,77.27,76.34,76.76,1880240,ok
2020-02-20,76.79,77.02,75.76,76.71,1555973,ok
2020-02-21,76.47,76.76,75.71,76.07,1992209,ok
2020-02-24,74.41,75.82,73.37,73.38,2780137,ok
2020-02-25,73.92,73.99,72.19,72.41,3071348,ok
2020-02-26,72.9,74.075,72.18,72.41,2981590,ok
2020-02-27,71.52,72.6,69.83,69.89,3146174,ok
2020-02-28,68.04,69.34,67.53,69.27,5167164,ok
2020-03-02,69.51,72.59,69.22,72.55,3180106,ok
2020-03-03,72.67,73.96,70.33,71.1,3217451,ok
2020-03-04,72.36,73.55,71.81,73.49,2404507,ok
2020-03-05,71.56,73.53,71.04,72.57,2442263,ok
2020-03-06,70.45,73.72,70.26,73.36,3283864,ok
2020-03-09,69.52,71.81,69.441,70.26,4415581,ok
2020-03-10,71.43,71.86,66.75,69.14,3588010,ok
2020-03-11,67.47,69.01,66.595,68.35,3955151,ok
2020-03-12,65.01,68.09,64.535,64.68,4706983,ok
2020-03-13,66.71,67.51,60.68,64.43,6424411,ok
2020-03-16,59.92,61.71,58.11,60.53,5019166,ok
2020-03-17,60.98,64.308,57.98,62.37,4572148,ok
2020-03-18,59.94,61.76,54.54,59.87,3462685,ok
2020-03-19,59.72,62.55,58.065,59.49,3370893,ok
2020-03-20,59.92,60.9327,56.08,56.55,5137669,ok
2020-03-23,55.98,56.845,53.08,54.7,3695354,ok
2020-03-24,57.15,59.74,56.11,58.42,4148336,ok
2020-03-25,58.42,59.93,56.76,58.04,3125047,ok
2020-03-26,57.82,61.79,57.82,61.04,3454317,ok
2020-03-27,58.89,62.06,58.11,60.01,2771051,ok
2020-03-30,61.27,64.49,60.9,64.24,2909523,ok
2020-03-31,64.97,64.97,62.64,62.99,2837493,ok
2020-04-01,60.89,61.96,59.85,60.71,2199737,ok
2020-04-02,60.3,63.25,59.605,61.96,1624393,ok
2020-04-03,61.36,62.525,61.14,62.27,2223376,ok
2020-04-06,63.38,64.26,62.0,63.96,2520330,ok
2020-04-07,64.9,65.99,63.9,64.26,2277467,ok
2020-04-08,63.95,66.77,63.3,66.41,2201160,ok
2020-04-09,67.41,68.83,67.07,68.38,2314409,ok
2020-04-13,67.88,68.11,64.28,65.72,2004230,ok
2020-04-14,66.61,69.39,66.53,68.95,2416126,ok
2020-04-15,66.68,69.29,66.68,68.21,2412676,ok
2020-04-16,68.64,69.09,67.33,68.64,2004786,ok
2020-04-17,70.27,70.27,68.71,70.01,2524779,ok
2020-04-20,68.82,71.76,68.76,70.25,2086594,ok
2020-04-21,69.07,70.05,67.75,68.59,2497111,ok
2020-04-22,70.16,71.38,69.6,70.78,2329092,ok
2020-04-23,71.33,71.78,70.52,71.15,1759862,ok
2020-04-24,71.83,72.93,70.89,72.75,1632475,ok
2020-04-27,73.3,74.415,72.47,73.3,1470292,ok
2020-04-28,73.98,74.88,70.53,71.76,3120720,ok
2020-04-29,72.1,72.97,68.95,71.01,3581402,ok
2020-04-30,70.25,70.93,69.03,69.39,2115711,ok
2020-05-01,67.81,68.155,66.15,66.71,2079771,ok
2020-05-04,66.32,67.12,65.55,67.06,2219045,ok
2020-05-05,67.2,69.47,67.2,68.47,2373088,ok
2020-05-06,68.75,69.055,66.83,66.89,1962958,ok
2020-05-07,67.51,67.635,66.67,66.99,1993037,ok
2020-05-08,68.37,68.93,67.37,68.75,1675070,ok
2020-05-11,68.46,69.515,68.1402,68.44,1606528,ok
2020-05-12,68.28,68.48,66.22,66.22,2673695,ok
2020-05-13,66.04,66.3831,64.43,64.95,1600427,ok
2020-05-14,64.36,65.73,63.11,65.59,2258920,ok
2020-05-15,65.6726,65.9904,64.47,65.11,4334667,ok
2020-05-18,66.38,68.62,66.31,68.38,2209864,ok
2020-05-19,68.5,68.78,67.77,67.78,1449920,ok
2020-05-20,68.02,68.49,67.51,67.79,1129448,ok
2020-05-21,67.97,68.25,67.05,67.12,1266829,ok
2020-05-22,67.14,67.42,66.59,67.28,945891,ok
2020-05-26,68.98,68.98,67.29,67.39,1614392,ok
2020-05-27,67.35,68.53,66.74,68.31,1659439,ok
2020-05-28,68.98,71.65,68.18,70.87,2432420,ok
2020-05-29,70.92,72.98,69.97,72.9,3779822,ok
2020-06-01,72.43,73.04,71.97,72.59,1994261,ok
2020-06-02,72.5,73.25,72.0,73.16,2848104,ok
2020-06-03,73.74,73.94,72.72,73.51,1710692,ok
2020-06-04,72.21,73.3,70.655,71.37,2080081,ok
2020-06-05,71.72,73.99,71.06,73.01,2293230,ok
2020-06-08,72.79,74.04,72.41,73.85,1359316,ok
2020-06-09,73.73,73.84,71.63,71.88,1374742,ok
2020-06-10,72.12,72.13,70.65,71.87,1878440,ok
2020-06-11,71.49,71.49,67.16,67.4,2404471,ok
2020-06-12,67.57,68.69,66.13,66.96,1677227,ok
2020-06-15,65.9,68.01,65.14,67.89,2645526,ok
2020-06-16,68.71,70.62,68.6,69.44,2646601,ok
2020-06-17,69.86,70.48,69.41,69.61,1885818,ok
2020-06-18,69.46,69.96,68.81,69.72,2066445,ok
2020-06-19,70.63,73.18,69.53,73.18,7307337,ok
2020-06-22,72.27,72.545,70.93,71.2,2596224,ok
2020-06-23,71.48,72.21,70.56,71.05,1733014,ok
