Date,Open,High,Low,Close,Volume,Status
2020-01-02,70.38,70.71,69.66,70.03,1424290,ok
2020-01-03,69.6,70.42,69.54,70.27,1224237,ok
2020-01-06,70.43,70.92,70.17,70.54,1541866,ok
2020-01-07,70.16,70.37,69.3,69.86,1583783,ok
2020-01-08,69.88,69.88,68.94,69.23,1699249,ok
2020-01-09,69.22,70.19,69.13,69.75,1363952,ok
2020-01-10,69.73,70.37,69.36,70.1,1061280,ok
2020-01-13,70.22,71.215,70.14,70.82,1172675,ok
2020-01-14,70.81,71.21,70.62,71.17,1766794,ok
2020-01-15,71.33,72.35,71.33,71.84,1228007,ok
2020-01-16,71.95,72.345,71.62,71.68,1680216,ok
2020-01-17,71.76,72.22,71.66,72.0,2043876,ok
2020-01-21,72.0,72.57,71.79,72.5,1951060,ok
2020-01-22,72.63,72.65,72.09,72.22,1456612,ok
2020-01-23,72.14,72.7302,70.94,70.98,2276843,ok
2020-01-24,71.24,71.92,70.94,71.31,2362298,ok
2020-01-27,71.0,72.79,70.285,72.38,2708677,ok
2020-01-28,72.14,72.76,71.52,72.02,1685402,ok
2020-01-29,72.08,73.1,71.7,72.7,1269646,ok
2020-01-30,72.9,73.09,71.93,72.78,2903460,ok
2020-01-31,74.54,77.24,74.07,74.22,3679441,ok
2020-02-03,74.73,76.3799,74.585,75.11,2354602,ok
2020-02-04,75.13,75.74,74.61,74.74,2475137,ok
2020-02-05,74.79,74.99,74.16,74.26,1507673,ok
2020-02-06,74.3,74.73,73.84,73.96,916865,ok
2020-02-07,74.3,74.677,73.8,74.49,1170022,ok
2020-02-10,74.58,75.665,74.58,75.55,939876,ok
2020-02-11,75.35,75.74,74.58,74.78,990915,ok
2020-02-12,74.55,75.92,74.55,75.68,1644243,ok
2020-02-13,75.49,76.43,75.425,75.72,948119,ok
2020-02-14,75.89,76.46,75.69,76.43,884789,ok
2020-02-18,76.54,76.85,75.9,76.15,1436075,ok
2020-02-19,76.09,76.42,75.66,75.78,1048131,ok
2020-02-20,75.96,76.79,75.36,76.31,2126147,ok
2020-02-21,76.06,76.87,76.06,76.61,953642,ok
2020-02-24,76.39,77.0,75.39,75.51,1363360,ok
2020-02-25,75.33,76.01,74.22,74.76,1455127,ok
2020-02-26,74.73,75.535,74.28,74.43,1586408,ok
2020-02-27,74.43,74.83,71.39,71.86,2229319,ok
2020-02-28,70.21,70.98,68.05,69.52,3499096,ok
2020-03-02,69.83,75.04,69.53,74.96,3901275,ok
2020-03-03,75.0,75.91,72.42,73.06,2257613,ok
2020-03-04,74.39,76.55,73.91,76.47,1907722,ok
2020-03-05,75.23,75.65,73.81,75.03,1634561,ok
2020-03-06,73.16,75.19,72.685,74.68,2370960,ok
2020-03-09,70.99,73.1,70.18,70.74,1976722,ok
2020-03-10,72.14,73.21,70.0108,72.77,2095534,ok
2020-03-11,71.15,71.88,68.0,68.41,2680861,ok
2020-03-12,63.91,69.97,61.0,63.41,3918325,ok
2020-03-13,65.95,66.04,62.11,63.29,4123645,ok
2020-03-16,50.02,64.42,47.98,60.43,3875277,ok
2020-03-17,61.88,71.87,61.7,68.69,3965129,ok
2020-03-18,65.88,71.72,65.71,69.38,3034814,ok
