Date,Open,High,Low,Close,Volume,Status
2020-01-02,201.11,202.05,200.58,201.85,1464894,ok
2020-01-03,201.16,205.0458,201.1,204.55,1184920,ok
2020-01-06,205.09,206.29,203.67,205.39,1329834,ok
2020-01-07,205.5,206.01,202.94,204.99,968038,ok
2020-01-08,205.56,208.38,205.56,206.1,1512422,ok
2020-01-09,206.19,210.25,205.58,208.47,1667156,ok
2020-01-10,208.4,208.885,204.69,205.09,1838244,ok
2020-01-13,204.6,205.1247,202.84,204.14,1245691,ok
2020-01-14,204.53,204.95,203.03,203.56,1260596,ok
2020-01-15,204.66,206.78,203.01,205.01,1184982,ok
2020-01-16,205.38,207.22,205.29,207.15,1008412,ok
2020-01-17,207.28,208.6,205.765,206.86,1262957,ok
2020-01-21,207.46,209.2848,206.58,206.86,1183940,ok
2020-01-22,207.39,208.48,206.37,207.48,952532,ok
2020-01-23,207.69,209.14,206.59,208.24,1101592,ok
2020-01-24,208.79,209.79,208.19,209.24,1245526,ok
2020-01-27,208.88,214.19,208.37,212.99,1720279,ok
2020-01-28,213.01,213.86,211.9317,213.21,1406830,ok
2020-01-29,213.78,215.17,211.65,213.58,921140,ok
2020-01-30,213.16,218.88,213.05,218.78,1559246,ok
2020-01-31,218.04,220.35,216.18,217.11,1634635,ok
2020-02-03,218.0,218.44,214.16,214.57,1661805,ok
2020-02-04,216.48,218.44,214.79,215.54,1649252,ok
2020-02-05,216.22,216.9,211.39,213.43,1870362,ok
2020-02-06,213.17,214.57,210.28,212.63,1279969,ok
2020-02-07,212.75,215.26,212.66,213.2,1163114,ok
2020-02-10,213.7,215.0,212.14,213.37,1042738,ok
2020-02-11,213.59,215.14,211.3,211.65,1270272,ok
2020-02-12,208.1,210.0,204.01,207.64,2374361,ok
2020-02-13,207.7,210.25,206.87,208.31,1094153,ok
2020-02-14,208.22,213.24,208.02,213.13,1054480,ok
2020-02-18,210.15,214.15,210.15,213.37,1240529,ok
2020-02-19,213.5,214.32,207.35,207.5,1854530,ok
2020-02-20,207.98,209.29,204.69,209.0,1604230,ok
2020-02-21,208.78,210.64,207.5,208.83,2869537,ok
2020-02-24,207.28,212.22,206.2506,209.3,2604798,ok
2020-02-25,209.66,211.22,206.89,208.32,2754088,ok
2020-02-26,212.96,222.29,211.66,220.18,4405090,ok
2020-02-27,220.4,225.36,210.23,210.39,3940868,ok
2020-02-28,206.16,208.825,195.925,198.82,4751275,ok
2020-03-02,198.46,210.33,198.37,209.4,3768457,ok
2020-03-03,209.39,218.79,208.71,216.07,3753770,ok
2020-03-04,217.7,224.56,214.81,223.63,2348398,ok
2020-03-05,219.0,223.82,216.66,221.82,2800817,ok
2020-03-06,217.46,220.49,212.74,216.26,2771281,ok
2020-03-09,203.44,212.86,202.3093,204.91,3294463,ok
2020-03-10,208.4,212.48,199.72,207.01,2730779,ok
2020-03-11,201.4,203.04,192.36,194.68,2817316,ok
2020-03-12,178.41,187.85,171.25,172.31,4187546,ok
2020-03-13,180.27,184.16,164.76,182.01,4385807,ok
2020-03-16,163.0,168.46,148.37,148.54,5752382,ok
2020-03-17,153.77,168.43,149.9,166.02,3602635,ok
2020-03-18,156.0,159.1,137.49,142.97,4677348,ok
2020-03-19,145.46,158.33,131.8,155.22,4223838,ok
2020-03-20,155.16,163.87,140.19,158.41,5123422,ok
2020-03-23,157.82,157.82,136.72,139.54,3848569,ok
2020-03-24,147.2,153.255,144.67,152.26,3172297,ok
2020-03-25,152.0,160.59,146.35,156.33,4155593,ok
2020-03-26,158.0,176.98,157.01,174.84,3594384,ok
2020-03-27,167.0,178.33,164.16,171.34,2339166,ok
2020-03-30,174.9,176.9,170.88,173.99,2299669,ok
2020-03-31,172.14,174.81,166.86,172.91,2546337,ok
2020-04-01,164.47,167.62,162.55,166.2,2333315,ok
2020-04-02,166.53,169.48,162.81,168.57,2335411,ok
2020-04-03,167.02,174.88,166.1,173.74,1747171,ok
2020-04-06,179.77,184.0,178.38,182.44,2359708,ok
2020-04-07,187.33,189.48,176.22,176.81,2448741,ok
2020-04-08,179.87,181.86,176.18,180.97,1685097,ok
2020-04-09,181.87,191.04,181.87,190.16,3187736,ok
2020-04-13,187.58,188.58,181.22,182.68,1290250,ok
2020-04-14,183.72,189.15,183.72,188.07,1905478,ok
2020-04-15,183.94,186.99,183.44,184.98,1648023,ok
2020-04-16,186.5,188.24,184.21,187.34,1200618,ok
2020-04-17,189.47,192.26,188.0,191.62,1597098,ok
