Date,Open,High,Low,Close,Volume,Status
2020-01-02,839.97,859.19,837.53,858.19,487299,ok
2020-01-03,853.24,870.9359,853.24,865.13,422890,ok
2020-01-06,862.0,862.8,854.0,858.02,405321,ok
2020-01-07,863.0,863.0,854.392,860.08,247075,ok
2020-01-08,856.15,867.0,856.15,856.73,262965,ok
2020-01-09,866.86,877.0,859.47,862.67,457710,ok
2020-01-10,866.0,866.57,853.09,857.77,302038,ok
2020-01-13,856.13,869.77,851.405,863.0,304580,ok
2020-01-14,861.85,863.6225,853.7158,859.22,239367,ok
2020-01-15,860.06,869.46,858.9035,865.09,278113,ok
2020-01-16,868.78,870.83,865.98,870.24,240382,ok
2020-01-17,874.65,879.0,867.07,878.15,361185,ok
2020-01-21,878.7,887.6,869.11,870.73,299147,ok
2020-01-22,877.95,882.97,873.2,879.18,259550,ok
2020-01-23,873.89,884.0,873.2,879.84,242063,ok
2020-01-24,885.0,885.0,861.58,869.71,323418,ok
2020-01-27,861.5,868.0,855.81,865.03,259262,ok
2020-01-28,867.22,882.22,867.22,877.82,350755,ok
2020-01-29,878.33,884.25,875.51,879.3,183525,ok
2020-01-30,878.49,888.581,873.56,879.95,251226,ok
2020-01-31,879.51,885.04,865.0,866.76,385803,ok
2020-02-03,868.0,880.0,866.68,867.33,458326,ok
2020-02-04,876.01,890.17,873.64,884.82,982218,ok
2020-02-05,892.0,893.02,851.3641,854.01,1034712,ok
2020-02-06,858.18,863.53,846.92,857.0,689944,ok
2020-02-07,858.46,865.875,850.0,864.22,573695,ok
2020-02-10,861.31,891.44,859.6,890.51,512118,ok
2020-02-11,893.0,899.0,890.12,890.75,334798,ok
2020-02-12,890.64,901.49,887.285,900.37,397701,ok
2020-02-13,898.3,914.98,898.01,912.95,422876,ok
2020-02-14,912.94,923.495,908.58,921.94,366822,ok
2020-02-18,924.09,934.0,922.315,927.56,369686,ok
2020-02-19,934.02,938.88,931.085,933.84,318240,ok
2020-02-20,926.05,940.2824,916.75,927.59,362751,ok
2020-02-21,926.35,929.76,915.86,920.14,302590,ok
2020-02-24,897.42,900.05,883.93,885.0,662316,ok
2020-02-25,890.0,891.91,851.44,856.01,736121,ok
2020-02-26,855.38,868.79,842.52,847.29,570927,ok
2020-02-27,811.39,815.73,750.7264,755.55,1351489,ok
2020-02-28,734.5,774.8399,702.95,773.58,1505876,ok
