Date,Open,High,Low,Close,Volume,Status
2020-01-02,27.33,27.34,26.69,26.95,3385818,ok
2020-01-03,26.77,26.94,26.725,26.79,3405430,ok
2020-01-06,26.77,27.0,26.68,26.75,3516065,ok
2020-01-07,26.76,26.88,26.37,26.87,4252205,ok
2020-01-08,26.92,26.94,26.62,26.64,5922605,ok
2020-01-09,26.61,26.61,26.31,26.45,5709500,ok
2020-01-10,26.43,26.44,25.9,26.3,8430688,ok
2020-01-13,26.3,26.48,26.195,26.28,4303647,ok
2020-01-14,26.58,26.82,26.45,26.66,4837220,ok
2020-01-15,26.7,27.11,26.66,27.0,3302810,ok
2020-01-16,27.09,27.17,26.775,27.05,4761392,ok
2020-01-17,27.06,27.2,26.9,27.05,4882448,ok
2020-01-21,27.07,27.17,26.81,27.01,5347742,ok
2020-01-22,27.07,27.27,26.165,26.18,11147607,ok
2020-01-23,26.15,26.97,26.11,26.93,5030521,ok
2020-01-24,26.87,26.87,26.26,26.46,6227444,ok
2020-01-27,26.45,26.63,26.14,26.21,4298491,ok
2020-01-28,26.28,26.45,26.06,26.31,4442150,ok
2020-01-29,26.33,26.66,26.31,26.58,3266435,ok
2020-01-30,26.56,26.73,26.425,26.67,2631467,ok
2020-01-31,26.63,26.7,26.2,26.48,5125358,ok
2020-02-03,26.53,26.76,26.33,26.34,5998611,ok
2020-02-04,26.31,26.735,26.23,26.52,5840769,ok
2020-02-05,26.53,26.94,26.42,26.75,4011887,ok
2020-02-06,26.75,26.94,26.57,26.86,4190389,ok
2020-02-07,26.91,26.91,26.655,26.72,4284661,ok
2020-02-10,26.72,27.4,26.565,26.86,3708693,ok
2020-02-11,26.95,27.15,26.91,27.03,2050978,ok
2020-02-12,27.03,27.185,26.94,27.12,2535080,ok
2020-02-13,27.01,27.25,27.0,27.18,2565670,ok
2020-02-14,27.3,27.53,27.105,27.18,3707623,ok
2020-02-18,27.18,27.37,26.955,27.08,5284771,ok
2020-02-19,26.74,26.86,26.235,26.43,6321008,ok
2020-02-20,26.33,26.39,25.53,25.72,9634507,ok
2020-02-21,25.62,25.78,25.23,25.27,13501852,ok
2020-02-24,25.07,25.3,24.74,25.22,6522783,ok
2020-02-25,25.23,25.45,24.45,24.49,6731368,ok
2020-02-26,24.5,24.745,24.04,24.08,5898577,ok
2020-02-27,24.11,25.33,23.6,24.16,12105527,ok
2020-02-28,23.74,23.79,22.48,23.02,12507089,ok
2020-03-02,23.08,23.75,22.79,23.75,7324576,ok
2020-03-03,23.64,24.18,22.8,23.1,10594041,ok
2020-03-04,23.27,23.95,22.9642,23.82,6441580,ok
2020-03-05,23.43,23.47,22.49,22.67,9387450,ok
2020-03-06,22.0,22.11,20.93,21.55,11016933,ok
2020-03-09,20.64,21.55,17.16,18.03,11313732,ok
2020-03-10,18.63,18.81,17.42,18.71,14277218,ok
2020-03-11,18.12,18.25,16.965,17.66,16348938,ok
2020-03-12,16.34,16.4,14.63,14.87,13138119,ok
2020-03-13,15.57,15.735,14.0,15.55,11802129,ok
2020-03-16,14.21,14.45,12.35,12.48,12262417,ok
2020-03-17,12.75,14.66,12.21,14.65,12252316,ok
2020-03-18,13.66,13.86,11.67,12.47,9909666,ok
2020-03-19,12.35,12.74,11.58,12.23,6883796,ok
2020-03-20,12.49,13.73,11.68,12.48,16152247,ok
2020-03-23,12.37,12.86,11.93,12.1,7791015,ok
2020-03-24,13.1,13.87,12.895,13.63,6956767,ok
2020-03-25,13.98,15.75,13.07,15.13,10463367,ok
2020-03-26,15.17,16.23,15.02,15.89,9138008,ok
2020-03-27,15.22,17.025,15.08,16.3,9872319,ok
