Date,Open,High,Low,Close,Volume,Status
2020-01-02,103.41,103.62,102.3,103.61,1603049,ok
2020-01-03,101.98,102.515,101.315,102.0,1450089,ok
2020-01-06,100.88,101.13,100.06,101.08,1526273,ok
2020-01-07,100.2,100.7,99.825,100.08,1979263,ok
2020-01-08,100.51,101.55,100.2718,101.14,2194646,ok
2020-01-09,101.99,102.78,101.42,102.51,1825537,ok
2020-01-10,102.45,102.62,101.16,101.55,1167898,ok
2020-01-13,101.69,102.05,101.3,101.91,1159926,ok
2020-01-14,101.9,103.57,101.855,102.56,2251912,ok
2020-01-15,101.78,102.82,101.445,102.34,1745405,ok
2020-01-16,102.99,103.48,102.32,102.92,4126513,ok
2020-01-17,103.1,104.47,103.01,104.13,2680051,ok
2020-01-21,103.3,103.74,102.19,102.19,3077431,ok
2020-01-22,105.0,107.59,104.55,106.76,5725708,ok
2020-01-23,106.42,106.55,105.2,106.03,2110757,ok
2020-01-24,105.38,105.96,103.39,104.3,2528082,ok
2020-01-27,101.43,102.11,100.59,101.16,2447794,ok
2020-01-28,102.09,103.33,101.34,102.04,1990474,ok
2020-01-29,102.36,102.83,101.13,101.2,1883903,ok
2020-01-30,100.16,102.29,99.61,102.17,2176690,ok
2020-01-31,101.28,101.69,99.21,99.8,2637314,ok
2020-02-03,100.57,101.7,99.46,99.75,2113505,ok
2020-02-04,101.58,102.55,101.38,101.7,1556868,ok
2020-02-05,103.1,104.84,103.1,104.74,2396416,ok
2020-02-06,105.53,106.0,103.42,103.52,1807705,ok
2020-02-07,102.38,102.87,101.53,101.8,1640613,ok
2020-02-10,101.29,101.95,100.9,101.95,1433987,ok
2020-02-11,102.6,103.74,102.31,102.4,2132055,ok
2020-02-12,103.23,103.615,102.48,102.8,1767925,ok
2020-02-13,102.65,102.99,102.03,102.78,2019537,ok
2020-02-14,102.87,103.23,102.22,102.64,1271687,ok
2020-02-18,102.13,103.275,101.81,103.03,2009906,ok
2020-02-19,103.39,104.36,102.84,104.14,2059616,ok
2020-02-20,101.25,104.61,101.25,103.54,2262928,ok
2020-02-21,102.51,102.81,100.72,101.15,2764513,ok
2020-02-24,97.57,99.085,97.0,98.24,2522818,ok
2020-02-25,98.52,98.54,92.18,92.78,4499708,ok
2020-02-26,94.27,95.25,92.78,92.82,2762349,ok
2020-02-27,90.03,93.106,88.59,89.17,4273518,ok
2020-02-28,85.84,88.3,84.62,88.26,6114270,ok
2020-03-02,88.56,91.52,86.93,91.47,4111779,ok
2020-03-03,90.9,92.55,85.31,86.42,4685818,ok
2020-03-04,87.96,89.48,85.76,89.33,2888092,ok
2020-03-05,86.01,87.05,83.9,85.08,3484997,ok
2020-03-06,81.67,83.39,80.56,82.29,4155224,ok
2020-03-09,75.17,77.14,71.06,73.07,4879502,ok
2020-03-10,76.52,78.35,73.62,78.35,6218225,ok
2020-03-11,75.96,76.37,70.59,71.42,5370946,ok
2020-03-12,65.96,68.32,61.08,63.63,7039824,ok
2020-03-13,69.0,72.99,66.29,72.84,5763903,ok
2020-03-16,61.01,64.15,55.44,55.45,6562322,ok
2020-03-17,56.44,57.15,51.3101,53.92,10475224,ok
2020-03-18,49.69,50.34,38.0,44.3,12148679,ok
2020-03-19,43.08,47.83,39.78,46.26,9057920,ok
2020-03-20,48.0,48.3,43.59,45.01,8038271,ok
2020-03-23,43.39,44.94,42.03,42.87,6720901,ok
2020-03-24,46.46,51.34,46.01,50.91,5553281,ok
2020-03-25,52.61,55.0,50.0494,52.34,5469144,ok
2020-03-26,55.57,61.4,54.46,57.87,6026677,ok
2020-03-27,54.62,57.08,52.69,55.3,4392250,ok
2020-03-30,54.59,54.99,52.3168,53.87,3843584,ok
2020-03-31,52.97,53.77,50.0,50.42,5285523,ok
2020-04-01,46.43,46.63,44.0,44.68,7349305,ok
2020-04-02,43.75,45.86,43.075,43.93,5459501,ok
2020-04-03,43.78,43.89,39.9,42.27,6421507,ok
2020-04-06,46.28,50.17,45.79,49.42,5842652,ok
2020-04-07,54.69,58.37,52.75,52.91,6081256,ok
2020-04-08,54.41,57.08,53.63,56.72,5221213,ok
2020-04-09,60.76,62.98,59.22,60.11,7633832,ok
2020-04-13,60.0,60.05,55.68,56.5,4653514,ok
2020-04-14,58.0,58.65,54.25,55.34,4794171,ok
2020-04-15,51.51,52.85,49.77,52.6,6020399,ok
2020-04-16,52.34,52.34,49.41,50.01,4931397,ok
2020-04-17,52.97,55.16,52.8,54.63,5264259,ok
2020-04-20,52.38,55.51,51.44,53.87,3987772,ok
2020-04-21,51.39,53.43,50.8406,51.16,5193193,ok
2020-04-22,53.16,53.4299,51.01,51.52,4832245,ok
2020-04-23,51.5,53.55,51.5,52.61,5260085,ok
2020-04-24,54.78,57.28,54.01,56.15,9181574,ok
2020-04-27,56.88,59.46,56.88,59.19,6070433,ok
2020-04-28,62.89,64.92,62.16,63.75,7833370,ok
2020-04-29,69.62,71.47,67.04,69.75,13346997,ok
2020-04-30,67.16,68.27,64.71,64.76,8421666,ok
2020-05-01,62.17,62.17,60.16,61.58,6249219,ok
2020-05-04,59.5,62.38,58.27,61.59,8373657,ok
2020-05-05,64.38,64.93,60.57,60.96,8940156,ok
2020-05-06,61.52,61.88,58.3,58.49,4269044,ok
2020-05-07,59.6,62.53,59.6,60.82,4218897,ok
2020-05-08,61.92,62.47,61.1,62.2,3004700,ok
2020-05-11,61.01,61.01,58.53,59.5,4423512,ok
2020-05-12,60.0,61.2182,58.03,58.1,5475920,ok
2020-05-13,57.02,57.39,53.63,53.97,5644401,ok
2020-05-14,52.6,59.16,51.91,59.16,8392975,ok
2020-05-15,58.13,59.45,57.25,58.03,3359995,ok
2020-05-18,62.41,63.98,61.52,63.4,4733522,ok
2020-05-19,62.52,63.01,60.17,60.25,4657459,ok
2020-05-20,61.75,62.85,60.91,61.48,4952598,ok
2020-05-21,61.39,62.04,60.3405,60.92,2788612,ok
2020-05-22,60.82,61.3555,59.62,60.21,3645771,ok
2020-05-26,64.25,66.746,63.57,65.8,5172145,ok
2020-05-27,70.27,71.37,67.82,70.88,5951529,ok
2020-05-28,71.92,72.04,67.88,68.54,6160854,ok
2020-05-29,67.0,69.0,65.82,68.04,9177147,ok
2020-06-01,68.59,70.28,67.875,68.99,4604015,ok
2020-06-02,70.21,72.48,69.34,70.9,5559613,ok
2020-06-03,72.97,75.17,72.3596,74.34,5698013,ok
2020-06-04,73.97,77.16,72.72,77.15,4369156,ok
2020-06-05,84.87,85.215,78.3,79.02,7549498,ok
2020-06-08,81.23,82.15,78.94,80.0,7022222,ok
2020-06-09,77.01,79.34,76.45,78.47,3873031,ok
2020-06-10,77.83,78.38,71.8,71.8,7791132,ok
2020-06-11,66.71,70.16,66.02,66.12,6429500,ok
2020-06-12,70.26,70.7,67.0803,70.63,5173016,ok
2020-06-15,66.5,72.2,66.15,71.17,4045291,ok
2020-06-16,75.08,75.36,70.42,73.6,5360606,ok
2020-06-17,73.58,73.9499,71.22,71.47,2951734,ok
2020-06-18,70.47,71.67,69.42,69.98,3582128,ok
2020-06-19,71.68,71.68,67.31,68.07,6015784,ok
2020-06-22,68.58,70.15,67.9,68.3,3798346,ok
2020-06-23,69.57,70.19,68.825,69.57,2367093,ok
2020-06-24,68.44,68.44,64.99,65.46,3729038,ok
2020-06-25,64.86,67.3899,64.04,67.04,4257402,ok
2020-06-26,65.54,65.54,60.84,61.16,8718678,ok
2020-06-29,61.84,62.98,60.76,62.38,3461848,ok
2020-06-30,62.08,63.37,61.65,62.59,4061746,ok
2020-07-01,62.85,64.25,60.17,60.7,3404534,ok
2020-07-02,62.27,63.25,60.72,61.15,3376375,ok
2020-07-06,63.08,63.54,61.593,62.65,2644826,ok
2020-07-07,61.91,61.91,59.74,59.91,3036423,ok
2020-07-08,59.76,61.46,59.2,61.39,3087778,ok
2020-07-09,60.99,61.2,57.3,58.35,4076375,ok
2020-07-10,58.18,60.84,57.87,60.8,3138017,ok
2020-07-13,61.58,63.11,59.76,61.56,3808685,ok
2020-07-14,61.17,61.96,60.06,60.68,4071657,ok
2020-07-15,62.41,63.81,61.58,63.68,3185349,ok
2020-07-16,62.76,64.54,62.4101,63.36,2960319,ok
2020-07-17,63.36,63.39,61.66,61.99,2490059,ok
2020-07-20,61.42,61.99,60.47,60.84,3063371,ok
2020-07-21,61.51,63.06,61.2,62.87,4421996,ok
2020-07-22,60.49,64.96,60.3,64.05,10854667,ok
2020-07-23,63.65,66.04,63.355,65.4,4594607,ok
2020-07-24,65.41,65.78,64.72,65.06,2194849,ok
2020-07-27,64.48,65.98,63.06,65.74,3736607,ok
2020-07-28,65.02,65.805,63.96,64.1,3132299,ok
2020-07-29,64.12,66.41,63.64,66.38,1800780,ok
2020-07-30,64.52,65.21,63.44,64.84,1915867,ok
2020-07-31,64.79,64.79,62.745,63.8,1992527,ok
2020-08-03,63.93,64.51,63.2,63.49,1792499,ok
2020-08-04,63.2,63.74,62.65,63.24,1828693,ok
2020-08-05,63.98,64.88,63.445,64.67,2172855,ok
2020-08-06,64.01,65.31,63.31,63.55,2880812,ok
2020-08-07,62.92,66.04,62.26,65.75,3832733,ok
2020-08-10,66.1,67.94,66.0,67.41,2711173,ok
2020-08-11,69.59,71.88,69.37,69.63,3146373,ok
2020-08-12,71.0,71.9,67.02,68.15,2595563,ok
