Date,Open,High,Low,Close,Volume,Status
2020-01-02,65.28,65.68,64.85,65.46,4123124,ok
2020-01-03,67.04,67.13,65.067,65.7,6334244,ok
2020-01-06,66.28,66.94,65.88,66.48,8829435,ok
2020-01-07,66.44,66.49,65.74,66.48,5982076,ok
2020-01-08,66.45,66.63,64.52,64.94,6470305,ok
2020-01-09,64.57,66.15,64.29,66.07,6005716,ok
2020-01-10,65.86,66.2,65.33,65.42,7233215,ok
2020-01-13,65.36,65.51,64.88,65.13,3675516,ok
2020-01-14,65.22,65.33,64.66,65.14,6119455,ok
2020-01-15,65.0,65.33,64.44,65.0,3933291,ok
2020-01-16,65.39,65.615,64.755,65.07,4315229,ok
2020-01-17,65.28,65.43,64.84,65.07,4765539,ok
2020-01-21,64.57,64.85,63.94,64.03,6974018,ok
2020-01-22,63.8,63.8,62.83,63.01,6755778,ok
2020-01-23,62.01,63.355,61.6218,63.14,6199850,ok
2020-01-24,62.7,62.7,62.05,62.62,5689585,ok
2020-01-27,61.37,61.83,60.84,61.04,7321369,ok
2020-01-28,61.61,61.68,60.9,61.18,4824981,ok
2020-01-29,61.59,61.68,60.27,60.49,4102475,ok
2020-01-30,59.75,60.99,59.59,60.89,6931500,ok
2020-01-31,60.0,60.41,59.115,59.43,7673016,ok
2020-02-03,59.41,60.34,58.86,59.18,7016036,ok
2020-02-04,58.93,59.82,56.43,56.49,13402954,ok
2020-02-05,57.28,58.95,56.82,58.78,12891934,ok
2020-02-06,59.07,59.07,57.93,58.41,5901913,ok
2020-02-07,57.81,58.37,57.56,57.99,5081817,ok
2020-02-10,57.46,58.138,57.21,57.87,6756299,ok
2020-02-11,58.85,59.01,58.21,58.71,6143314,ok
2020-02-12,59.9,61.15,59.54,59.76,5906772,ok
2020-02-13,59.09,59.45,58.6,58.82,5995649,ok
2020-02-14,58.87,59.095,58.18,58.62,4204529,ok
2020-02-18,58.41,58.57,57.71,58.3,3938161,ok
2020-02-19,58.75,59.36,58.6842,59.26,5267411,ok
2020-02-20,59.25,59.55,58.58,58.88,5755134,ok
2020-02-21,58.32,58.605,57.77,58.44,5216418,ok
2020-02-24,56.15,56.94,55.99,56.38,10350167,ok
2020-02-25,56.52,56.685,53.54,53.83,10447903,ok
2020-02-26,54.02,54.25,51.11,51.17,11647437,ok
2020-02-27,49.6,49.6102,47.13,47.13,14676126,ok
2020-02-28,45.42,48.44,45.12,48.42,16559107,ok
2020-03-02,49.32,49.38,46.88,49.23,10672955,ok
2020-03-03,49.53,51.49,47.45,48.12,11785601,ok
2020-03-04,48.75,49.55,47.74,49.43,8924530,ok
2020-03-05,47.98,48.64,46.78,47.7,9603759,ok
2020-03-06,45.98,46.49,44.68,45.33,14504778,ok
2020-03-09,33.95,36.2,32.0,34.07,29828634,ok
2020-03-10,36.64,37.42,33.0,34.88,20329906,ok
2020-03-11,33.59,33.945,31.509,32.56,18460935,ok
2020-03-12,30.34,31.41,27.82,28.2,16581680,ok
2020-03-13,30.6,31.74,27.585,31.38,17506905,ok
2020-03-16,27.49,31.15,25.91,26.08,13774149,ok
2020-03-17,26.36,26.85,24.39,26.25,18693192,ok
2020-03-18,24.25,25.6,20.84,22.67,17039701,ok
2020-03-19,23.13,25.99,21.0,25.59,15655071,ok
2020-03-20,27.06,28.39,25.89,26.84,23790610,ok
2020-03-23,26.75,26.97,23.35,24.55,16239416,ok
2020-03-24,26.45,30.87,26.45,30.74,16724435,ok
2020-03-25,31.23,32.56,29.49,30.94,14295901,ok
2020-03-26,31.12,32.4582,30.3978,32.09,13577607,ok
2020-03-27,30.12,30.27,28.8,29.25,10647227,ok
2020-03-30,28.51,30.14,27.52,29.29,11089570,ok
2020-03-31,30.03,31.92,29.71,30.8,13487040,ok
2020-04-01,29.32,30.53,28.825,29.62,11101366,ok
2020-04-02,31.25,35.42,30.71,33.86,14693161,ok
2020-04-03,34.61,34.98,31.6144,32.91,11504950,ok
2020-04-06,33.48,33.8,31.79,32.8,13532885,ok
2020-04-07,34.88,35.94,33.02,33.27,11704205,ok
2020-04-08,34.05,35.89,33.865,35.68,8171141,ok
2020-04-09,37.93,37.98,33.2879,34.73,14200217,ok
2020-04-13,35.94,35.98,33.77,34.3,10221957,ok
2020-04-14,34.37,34.47,33.67,34.08,11082188,ok
2020-04-15,32.17,33.0,30.73,32.2,11354743,ok
2020-04-16,31.84,32.23,30.52,31.07,13220644,ok
2020-04-17,31.98,35.365,31.85,35.26,13162636,ok
2020-04-20,32.47,35.67,32.4,34.57,13226406,ok
2020-04-21,32.95,34.13,32.61,33.19,13639499,ok
2020-04-22,35.2,35.53,34.54,34.98,12049942,ok
2020-04-23,36.61,37.1966,35.37,36.18,9849555,ok
2020-04-24,36.97,37.3,35.78,36.09,8686357,ok
2020-04-27,35.87,37.41,34.68,37.15,8302505,ok
2020-04-28,37.89,38.99,37.56,38.48,9445657,ok
2020-04-29,40.07,42.545,39.64,42.21,12958092,ok
2020-04-30,42.58,43.58,40.84,42.1,11760719,ok
2020-05-01,40.54,41.3,38.71,39.14,9256689,ok
2020-05-04,38.62,40.4,38.15,40.36,12515610,ok
2020-05-05,43.1,43.57,40.655,40.92,10096694,ok
2020-05-06,41.09,41.83,39.82,40.49,8212987,ok
2020-05-07,42.0,43.35,41.91,42.42,9521420,ok
2020-05-08,43.12,43.35,42.06,43.08,6975560,ok
2020-05-11,42.23,43.28,42.08,42.27,7076751,ok
2020-05-12,42.62,43.1487,41.53,41.58,7375857,ok
2020-05-13,41.02,41.18,39.54,39.89,7666364,ok
2020-05-14,38.93,40.46,37.78,39.93,6718736,ok
2020-05-15,39.87,41.55,39.72,40.87,7242459,ok
2020-05-18,43.45,44.61,43.165,43.6,9049922,ok
2020-05-19,43.7,43.8798,42.61,42.67,6126664,ok
2020-05-20,43.59,44.8,43.3,44.15,7202999,ok
2020-05-21,44.39,44.87,43.62,43.72,6645950,ok
2020-05-22,42.91,43.36,42.3,43.28,4674290,ok
2020-05-26,44.81,45.12,43.495,43.67,7702634,ok
2020-05-27,44.34,44.6814,42.96,44.67,5768125,ok
2020-05-28,44.72,44.72,42.775,43.01,5872707,ok
2020-05-29,42.61,42.775,41.67,42.18,10178389,ok
2020-06-01,42.26,43.7,41.64,43.39,6344659,ok
2020-06-02,44.02,44.685,43.7,44.2,5858261,ok
2020-06-03,45.11,45.23,44.02,45.12,8024180,ok
2020-06-04,44.68,45.13,44.175,44.71,5577016,ok
2020-06-05,47.39,48.775,47.03,48.59,11578758,ok
2020-06-08,50.21,50.79,48.81,50.31,10242182,ok
2020-06-09,48.25,49.19,47.88,48.63,8203631,ok
2020-06-10,48.04,48.29,45.87,45.91,7882295,ok
2020-06-11,42.08,44.25,41.8,42.12,8435227,ok
2020-06-12,45.31,45.41,42.11,43.73,8928420,ok
2020-06-15,41.07,43.91,40.85,43.35,7992465,ok
2020-06-16,45.3,45.68,43.595,45.11,6932844,ok
2020-06-17,44.99,45.1,43.91,44.02,5967202,ok
2020-06-18,43.53,44.84,43.18,44.45,7293697,ok
2020-06-19,45.9,45.9,43.38,43.7,13702798,ok
2020-06-22,43.24,43.9799,42.66,43.56,5009137,ok
2020-06-23,44.12,44.53,43.59,43.81,4962346,ok
2020-06-24,43.0,43.17,40.93,40.99,7137181,ok
2020-06-25,40.66,42.12,40.51,42.06,5981014,ok
2020-06-26,41.57,41.62,40.16,40.35,8399757,ok
2020-06-29,40.4,41.35,39.92,41.3,5764753,ok
2020-06-30,40.87,42.34,40.285,42.02,6313917,ok
2020-07-01,42.35,42.83,40.68,40.74,5600006,ok
2020-07-02,41.82,42.51,41.58,41.78,4774995,ok
2020-07-06,42.63,42.87,41.36,41.63,5825058,ok
2020-07-07,41.15,41.63,40.57,40.64,5995458,ok
2020-07-08,40.58,41.57,40.3,41.04,4896775,ok
