Date,Open,High,Low,Close,Volume,Status
2020-01-02,29.81,29.81,28.72,28.74,6861168,ok
2020-01-03,28.42,28.9,28.36,28.4,5611370,ok
2020-01-06,28.08,28.501,27.975,28.36,6978014,ok
2020-01-07,28.31,28.72,28.17,28.47,6014824,ok
2020-01-08,28.5,28.78,28.1,28.7,3684516,ok
2020-01-09,28.8,28.85,28.38,28.73,3703180,ok
2020-01-10,28.81,28.93,28.32,28.35,4498835,ok
2020-01-13,28.34,28.6,28.155,28.58,4735076,ok
2020-01-14,28.56,28.79,28.3,28.64,5370642,ok
2020-01-15,28.65,28.89,28.475,28.68,6336849,ok
2020-01-16,28.77,29.26,28.525,29.22,5848065,ok
2020-01-17,28.46,28.63,27.63,28.3,8668631,ok
2020-01-21,28.06,28.35,27.71,27.82,5514022,ok
2020-01-22,27.82,28.25,27.5,28.16,8672917,ok
2020-01-23,28.01,28.51,27.51,28.45,4139576,ok
2020-01-24,28.31,28.355,27.71,27.95,4996225,ok
2020-01-27,27.23,27.53,26.97,27.16,4195039,ok
2020-01-28,27.3,27.58,27.0,27.56,5618817,ok
2020-01-29,27.55,27.99,27.51,27.8,3499636,ok
2020-01-30,27.94,29.4465,27.6,29.24,9762210,ok
2020-01-31,28.78,29.15,28.46,28.92,6788289,ok
2020-02-03,29.06,30.26,28.82,30.12,9448596,ok
2020-02-04,30.61,31.11,30.045,30.95,5853577,ok
2020-02-05,30.32,31.71,29.69,31.71,5745328,ok
2020-02-06,32.0,32.07,31.3,31.59,6383642,ok
2020-02-07,31.41,31.43,30.795,31.04,3716132,ok
2020-02-10,30.74,31.015,30.465,30.6,3416571,ok
2020-02-11,30.66,31.35,30.41,30.51,3705408,ok
2020-02-12,30.74,31.09,30.65,30.94,3023394,ok
2020-02-13,30.68,31.04,30.455,30.6,4542977,ok
2020-02-14,30.66,30.93,30.58,30.71,3895593,ok
2020-02-18,30.68,31.48,30.61,31.4,3524721,ok
2020-02-19,31.4,31.8,31.22,31.52,3042661,ok
2020-02-20,31.37,32.08,31.32,31.57,2460271,ok
2020-02-21,31.35,31.67,31.18,31.22,3955168,ok
