Date,Open,High,Low,Close,Volume,Status
2020-01-02,74.65,74.7,73.53,74.16,5023063,ok
2020-01-03,73.22,74.06,73.07,73.57,4454077,ok
2020-01-06,73.12,73.94,73.06,73.86,4620878,ok
2020-01-07,73.61,73.665,72.66,73.58,6192982,ok
2020-01-08,72.5,73.09,71.6,72.66,8311401,ok
2020-01-09,73.0,73.26,72.67,72.86,5427251,ok
2020-01-10,73.31,73.3606,71.82,72.11,5210661,ok
2020-01-13,72.29,72.99,71.625,72.76,6662479,ok
2020-01-14,72.53,73.93,72.52,73.83,6486587,ok
2020-01-15,73.99,75.62,73.94,75.27,8102755,ok
2020-01-16,75.63,76.1698,75.28,76.05,6902349,ok
2020-01-17,76.11,76.44,75.83,76.02,5500438,ok
2020-01-21,76.0,76.01,74.35,74.59,8662842,ok
2020-01-22,74.16,74.62,73.91,74.01,4201424,ok
2020-01-23,73.76,73.88,72.48,73.53,8602660,ok
2020-01-24,73.64,73.65,70.17,71.43,10126004,ok
2020-01-27,69.9,71.21,69.36,70.97,6403328,ok
2020-01-28,71.25,72.138,71.1208,71.82,5039134,ok
2020-01-29,72.11,72.11,70.45,70.55,6285773,ok
2020-01-30,70.09,70.21,68.38,69.71,8430506,ok
2020-01-31,69.35,69.35,67.4,67.82,9869656,ok
2020-02-03,68.4,68.6135,66.79,66.93,7695951,ok
2020-02-04,67.31,68.46,67.3,67.88,7525123,ok
2020-02-05,68.78,70.7775,68.56,70.54,6609760,ok
2020-02-06,71.0,71.59,70.41,70.84,6514430,ok
2020-02-07,71.05,72.09,71.0,71.56,6611271,ok
2020-02-10,71.55,73.325,71.26,73.25,8760186,ok
2020-02-11,73.81,74.13,73.425,73.85,7933579,ok
2020-02-12,74.68,75.25,72.64,73.75,13500750,ok
2020-02-13,73.45,74.1,71.94,72.0,8553932,ok
2020-02-14,71.98,72.03,70.265,71.37,7655114,ok
2020-02-18,71.19,72.0,70.9,72.0,4844594,ok
2020-02-19,72.31,72.56,71.66,71.78,4831645,ok
2020-02-20,71.5,72.23,70.56,71.94,5719329,ok
2020-02-21,71.55,71.8,71.01,71.51,5186151,ok
2020-02-24,69.43,69.94,67.72,67.92,9637628,ok
2020-02-25,68.24,68.37,64.0863,64.33,15062288,ok
2020-02-26,64.65,65.2,62.55,62.65,16876112,ok
2020-02-27,61.5,61.5,59.33,59.33,22059877,ok
2020-02-28,57.29,59.34,57.1,59.18,23729478,ok
2020-03-02,60.67,64.07,59.86,64.03,15909467,ok
2020-03-03,64.57,65.65,61.36,62.54,14989698,ok
2020-03-04,66.6,66.98,64.83,66.04,14690660,ok
2020-03-05,63.94,65.44,63.63,64.36,8581836,ok
2020-03-06,62.57,65.09,62.2,64.15,11683722,ok
2020-03-09,59.75,63.1483,59.6,61.3,13484475,ok
2020-03-10,62.76,63.36,59.06,62.6,13274265,ok
2020-03-11,61.22,63.0,59.98,61.31,12100900,ok
2020-03-12,57.13,57.98,53.5,54.6,16856728,ok
2020-03-13,57.46,59.8,54.46,59.64,15473525,ok
2020-03-16,53.68,56.89,52.21,52.3,13566014,ok
2020-03-17,53.63,59.25,52.6395,58.0,15473698,ok
2020-03-18,54.35,59.64,53.06,57.18,17953662,ok
2020-03-19,56.8,59.11,54.14,55.38,16247074,ok
2020-03-20,55.81,56.78,53.53,54.7,15682303,ok
2020-03-23,53.86,54.97,52.04,53.09,16336824,ok
2020-03-24,55.13,55.64,52.86,54.35,19331513,ok
2020-03-25,54.4,57.53,52.71,53.64,19601465,ok
2020-03-26,53.65,58.45,52.28,58.31,23198310,ok
2020-03-27,56.75,59.78,55.82,58.6,15034010,ok
2020-03-30,58.92,60.4,57.78,59.68,12939175,ok
2020-03-31,59.18,59.84,58.18,59.33,11023179,ok
2020-04-01,57.75,58.87,57.2,58.34,11474397,ok
2020-04-02,56.77,56.98,54.07,55.41,16796352,ok
2020-04-03,55.22,56.6,54.35,55.72,8792991,ok
2020-04-06,57.77,57.92,55.78,56.22,11833778,ok
2020-04-07,57.9,58.52,56.16,56.87,12324060,ok
2020-04-08,57.33,59.82,56.8486,59.41,8559753,ok
2020-04-09,59.52,61.45,59.32,60.47,9169438,ok
2020-04-13,60.5,61.2641,58.12,58.96,9990309,ok
2020-04-14,59.88,61.67,59.67,61.56,8254165,ok
2020-04-15,60.65,60.928,59.45,60.56,9272759,ok
2020-04-16,60.84,62.8927,60.43,62.56,11098643,ok
2020-04-17,64.01,64.25,62.3531,63.36,8006340,ok
2020-04-20,62.75,63.685,62.16,62.34,8217900,ok
2020-04-21,61.51,61.71,59.97,60.25,8569679,ok
2020-04-22,60.79,60.99,60.08,60.35,5742170,ok
2020-04-23,60.89,62.23,60.86,61.28,6053368,ok
2020-04-24,61.34,62.7,60.98,62.31,6098308,ok
2020-04-27,62.98,63.83,62.81,63.5,6728239,ok
2020-04-28,65.0,65.0,62.78,63.24,7346584,ok
2020-04-29,63.52,64.05,62.5201,62.61,7689346,ok
2020-04-30,62.35,62.68,61.41,61.55,7361358,ok
2020-05-01,60.79,60.8,59.27,59.7,7715807,ok
2020-05-04,59.16,60.13,58.9402,59.95,6371984,ok
2020-05-05,60.63,61.61,60.35,61.21,7846516,ok
2020-05-06,63.43,63.49,60.26,60.41,16385984,ok
2020-05-07,61.36,61.7916,60.85,61.45,9783735,ok
2020-05-08,62.16,63.23,61.76,63.12,7322623,ok
2020-05-11,62.71,64.079,62.68,63.84,6912066,ok
2020-05-12,64.2,64.57,63.05,63.35,10781909,ok
2020-05-13,63.28,63.4999,60.755,61.15,10931407,ok
2020-05-14,62.31,62.41,60.34,62.31,8854939,ok
2020-05-15,61.77,63.3,61.71,63.19,10420602,ok
2020-05-18,64.47,64.86,63.67,63.73,6820251,ok
2020-05-19,63.3,64.18,62.865,63.61,5061128,ok
2020-05-20,64.1,64.33,62.99,63.22,7046547,ok
2020-05-21,62.95,63.93,62.73,63.34,5484094,ok
2020-05-22,63.42,63.49,62.89,63.33,3495887,ok
2020-05-26,64.47,65.6,64.33,64.64,7974432,ok
2020-05-27,64.97,66.0,63.85,65.97,7118418,ok
2020-05-28,66.7,67.73,66.41,66.56,6604269,ok
