Date,Open,High,Low,Close,Volume,Status
2020-01-02,58.93,59.39,58.45,59.04,4459843,ok
2020-01-03,57.5,58.12,56.91,58.06,9079746,ok
2020-01-06,56.99,57.76,56.66,57.66,5504424,ok
2020-01-07,57.91,58.07,57.47,57.61,5635790,ok
2020-01-08,57.75,59.4,57.73,58.85,8519684,ok
2020-01-09,59.26,59.47,58.58,58.96,5336915,ok
2020-01-10,59.25,59.49,58.62,59.24,8282229,ok
2020-01-13,59.03,59.7,59.03,59.49,8452039,ok
2020-01-14,62.04,62.25,60.86,61.45,16460976,ok
2020-01-15,61.54,61.94,61.03,61.62,7953423,ok
2020-01-16,62.06,62.48,61.63,61.88,4950458,ok
2020-01-17,62.13,62.48,61.865,62.03,5770008,ok
2020-01-21,61.25,61.61,58.43,60.34,16591969,ok
2020-01-22,60.63,60.72,59.56,59.64,7096446,ok
2020-01-23,59.19,60.375,58.19,60.27,7774547,ok
2020-01-24,60.1,60.21,57.84,58.81,10989505,ok
2020-01-27,56.49,57.18,55.62,56.83,13090189,ok
2020-01-28,57.55,57.97,56.75,57.48,6343686,ok
2020-01-29,57.64,57.8,56.57,56.65,5663665,ok
2020-01-30,55.65,57.18,55.65,57.1,5980732,ok
2020-01-31,56.7,57.08,55.43,55.74,9320794,ok
2020-02-03,56.2,57.25,56.0,56.04,7498975,ok
2020-02-04,57.2,58.4,57.15,57.93,6880807,ok
2020-02-05,58.97,59.2993,58.5998,58.89,6067216,ok
2020-02-06,59.8,60.03,58.02,58.18,5210207,ok
2020-02-07,57.96,58.25,57.52,57.92,3836844,ok
2020-02-10,57.54,58.12,57.43,57.71,4541102,ok
2020-02-11,58.1,59.1,57.97,58.66,4566462,ok
2020-02-12,59.29,59.915,59.18,59.47,5227469,ok
2020-02-13,58.75,59.21,58.35,59.13,4353149,ok
2020-02-14,59.24,59.47,58.58,58.9,3810080,ok
2020-02-18,58.87,59.47,58.41,58.72,5691853,ok
2020-02-19,58.49,58.58,58.03,58.51,4399855,ok
2020-02-20,58.2,58.99,58.12,58.38,5239459,ok
2020-02-21,57.96,58.02,56.87,57.87,6296079,ok
2020-02-24,54.83,55.375,53.335,54.23,17983124,ok
2020-02-25,54.54,54.71,50.75,50.89,15836504,ok
2020-02-26,51.44,51.77,49.0,49.59,15994706,ok
2020-02-27,46.72,50.98,45.03,48.19,21949062,ok
2020-02-28,46.02,47.7899,45.1352,46.13,19860957,ok
2020-03-02,46.22,47.25,44.33,47.16,20098724,ok
2020-03-03,49.81,49.97,46.04,46.18,26344102,ok
