Date,Open,High,Low,Close,Volume,Status
2020-01-02,38.22,38.25,36.6,36.7,1784775,ok
2020-01-03,36.11,37.699,35.9584,37.42,1573566,ok
2020-01-06,37.51,40.07,37.38,39.9,5565682,ok
2020-01-07,39.95,41.54,39.2,40.06,4079920,ok
2020-01-08,40.3,41.08,39.15,39.95,1958317,ok
2020-01-09,40.45,40.965,39.88,40.21,1630376,ok
2020-01-10,40.55,40.88,39.8417,40.16,1675832,ok
2020-01-13,40.72,43.52,40.6,40.94,5302350,ok
2020-01-14,41.16,41.3992,38.82,39.27,2403957,ok
2020-01-15,39.57,41.49,39.4,40.23,2098295,ok
2020-01-16,40.74,41.7772,39.96,40.61,2021217,ok
2020-01-17,41.2,41.72,40.61,41.19,1377612,ok
2020-01-21,41.18,42.2749,40.47,41.13,2192131,ok
2020-01-22,41.48,42.67,41.2552,42.24,1167468,ok
2020-01-23,42.33,43.25,40.93,42.81,1799947,ok
2020-01-24,43.49,44.03,40.81,42.05,2572285,ok
2020-01-27,40.0,41.33,39.25,41.255,2053832,ok
2020-01-28,41.58,42.21,40.58,42.16,1229611,ok
2020-01-29,42.9,44.99,42.16,43.92,2818084,ok
2020-01-30,43.49,47.2,43.0811,47.04,2830758,ok
2020-01-31,47.13,47.26,45.7387,46.21,1708920,ok
2020-02-03,46.62,47.48,43.51,45.26,2275921,ok
2020-02-04,46.21,48.49,45.73,47.6,1780497,ok
2020-02-05,48.88,49.0762,43.77,45.73,2455196,ok
2020-02-06,45.75,46.3,44.101,46.05,1081525,ok
2020-02-07,46.5,47.98,46.15,47.18,1765853,ok
2020-02-10,47.52,49.0,47.5,47.95,1537097,ok
2020-02-11,48.62,49.42,47.34,47.81,1884386,ok
2020-02-12,48.25,50.12,48.05,50.01,2199441,ok
2020-02-13,49.35,49.47,47.71,48.5,3361781,ok
2020-02-14,45.91,48.69,44.25,47.03,8374759,ok
2020-02-18,47.29,48.58,46.605,47.08,3049789,ok
2020-02-19,47.2,47.86,46.41,47.3,2877410,ok
2020-02-20,45.68,47.03,44.08,45.99,5201779,ok
2020-02-21,45.64,45.79,43.724,45.68,2696208,ok
2020-02-24,43.0,45.35,42.33,44.96,3187413,ok
2020-02-25,45.4,45.602,43.0,44.31,4406094,ok
2020-02-26,44.06,45.39,43.5,43.91,2819511,ok
2020-02-27,42.12,46.58,41.72,45.89,7190094,ok
2020-02-28,43.8,45.84,43.5,45.15,4483196,ok
2020-03-02,45.0,45.78,43.61,44.79,5881164,ok
2020-03-03,44.8,44.86,42.36,43.4,4483680,ok
2020-03-04,44.33,44.9,43.13,44.525,2239971,ok
2020-03-05,43.31,48.12,43.31,47.3,5074317,ok
2020-03-06,46.01,46.44,43.08,43.62,3987390,ok
2020-03-09,38.78,40.0,37.37,38.82,9150122,ok
2020-03-10,39.75,39.85,36.45,38.0,13106274,ok
2020-03-11,37.31,37.71,34.79,35.56,6249069,ok
2020-03-12,32.46,34.93,31.0,33.1,6687304,ok
2020-03-13,36.0,36.6,32.0,35.26,5704742,ok
2020-03-16,32.0,33.18,28.88,28.96,4915538,ok
2020-03-17,29.53,34.44,29.31,34.12,4476827,ok
2020-03-18,30.85,33.88,30.46,32.08,3134164,ok
2020-03-19,32.0,33.77,31.3,33.1,4076217,ok
2020-03-20,33.54,35.12,33.01,33.38,5349735,ok
2020-03-23,34.1,34.1,30.63,32.9,4407902,ok
2020-03-24,34.05,35.39,33.75,34.49,3495732,ok
2020-03-25,34.11,36.89,33.6,33.69,3049103,ok
2020-03-26,34.07,35.93,33.41,34.3,4155146,ok
2020-03-27,34.29,35.24,33.1424,34.55,2892455,ok
2020-03-30,35.45,35.655,33.75,34.75,2321368,ok
2020-03-31,34.5,36.54,34.36,35.98,3222255,ok
2020-04-01,34.83,37.0,34.31,34.88,2855247,ok
2020-04-02,34.9,35.87,33.6201,34.6,1865959,ok
2020-04-03,34.5,35.344,33.04,34.69,2627168,ok
2020-04-06,35.44,36.45,35.1,36.28,2187606,ok
2020-04-07,37.0,37.24,35.01,35.9,2920789,ok
2020-04-08,36.1,37.89,35.4,37.15,4113152,ok
2020-04-09,37.0,37.49,36.35,36.95,2737154,ok
2020-04-13,37.69,38.35,37.42,37.87,3050737,ok
2020-04-14,38.57,39.1159,38.25,38.91,2726005,ok
2020-04-15,38.58,39.36,38.02,38.74,2956205,ok
2020-04-16,39.1,39.92,38.72,39.64,2895817,ok
2020-04-17,40.0,40.6686,38.55,40.4,3179990,ok
2020-04-20,39.97,42.5851,39.97,40.99,2934331,ok
2020-04-21,41.03,41.6837,38.14,40.0,3063302,ok
2020-04-22,40.56,41.43,40.26,40.29,1886353,ok
2020-04-23,40.01,41.0,38.68,40.15,1540703,ok
2020-04-24,40.89,42.1,40.23,41.81,2781973,ok
2020-04-27,42.25,43.43,42.0,43.23,1619726,ok
2020-04-28,43.56,44.23,41.8,43.6,2260345,ok
2020-04-29,43.85,45.14,43.74,44.65,1961155,ok
2020-04-30,44.93,45.28,44.44,45.12,1734659,ok
2020-05-01,44.0,45.47,43.133,44.98,2091955,ok
2020-05-04,44.9,46.13,43.81,45.83,2499311,ok
2020-05-05,46.33,47.34,46.01,46.6,3277065,ok
2020-05-06,47.0,47.28,46.01,46.56,2195565,ok
2020-05-07,47.5,50.09,47.26,49.61,4854477,ok
2020-05-08,51.325,52.2356,49.58,51.73,5233363,ok
2020-05-11,52.99,57.18,52.6,55.69,10262785,ok
2020-05-12,61.87,70.12,61.05,68.86,24947327,ok
2020-05-13,66.64,72.15,64.6131,69.99,13535327,ok
2020-05-14,66.38,67.25,62.12,65.19,13375032,ok
2020-05-15,65.0,69.22,64.94,67.16,6688476,ok
2020-05-18,69.0,69.77,66.86,67.41,4062797,ok
2020-05-19,67.75,71.42,67.4601,70.06,4009379,ok
2020-05-20,71.01,71.79,69.26,70.7,3189666,ok
2020-05-21,70.0,70.98,68.45,69.89,2329398,ok
2020-05-22,70.05,74.0,70.0,73.04,4724399,ok
2020-05-26,74.59,75.0,67.51,71.0,5207838,ok
2020-05-27,69.85,70.1319,62.5,66.82,6837153,ok
2020-05-28,64.9,70.2,64.6,67.13,4244831,ok
2020-05-29,68.76,71.47,67.5,71.27,12946333,ok
2020-06-01,70.61,72.16,69.25,69.49,5487725,ok
2020-06-02,69.49,72.09,67.18,70.81,4859499,ok
2020-06-03,70.78,73.48,69.31,72.89,3133183,ok
2020-06-04,73.13,73.7,69.44,71.76,5502505,ok
2020-06-05,69.95,72.08,68.21,70.66,3433710,ok
2020-06-08,71.38,77.69,70.08,76.54,5918736,ok
2020-06-09,76.39,78.49,73.58,73.74,4048412,ok
2020-06-10,75.72,79.18,75.32,78.26,3476796,ok
2020-06-11,76.12,79.4,75.18,76.05,3803601,ok
2020-06-12,77.9,80.62,76.27,78.05,3672897,ok
2020-06-15,78.15,83.2,77.63,81.52,4513988,ok
2020-06-16,82.04,84.45,80.55,81.99,4656786,ok
2020-06-17,83.37,84.99,82.25,83.04,4969476,ok
2020-06-18,83.88,87.115,82.12,86.65,6667680,ok
2020-06-19,88.25,89.57,85.2,86.79,8109076,ok
2020-06-22,87.67,89.6,87.08,89.01,4979785,ok
2020-06-23,90.0,93.0,87.89,89.69,6748404,ok
2020-06-24,90.06,92.89,86.451,88.5,4140682,ok
2020-06-25,88.14,91.552,86.69,89.6,3215068,ok
2020-06-26,90.56,91.08,83.8,84.5,14063118,ok
2020-06-29,85.02,85.24,80.09,83.72,4920944,ok
2020-06-30,84.29,87.17,83.77,86.95,2752208,ok
2020-07-01,87.19,89.75,86.01,89.38,2447299,ok
2020-07-02,90.5,91.07,88.34,89.59,4516665,ok
2020-07-06,91.35,92.6,88.02,88.96,5769351,ok
2020-07-07,90.01,92.17,88.55,90.09,2898141,ok
2020-07-08,91.85,96.84,91.0,96.13,3914872,ok
2020-07-09,97.99,98.99,93.17,96.1,4841179,ok
2020-07-10,96.82,98.14,95.125,96.41,4140959,ok
2020-07-13,97.77,98.64,85.665,86.66,5577929,ok
2020-07-14,87.6,90.83,83.0,88.89,3781106,ok
2020-07-15,88.97,90.93,85.49,88.48,3155644,ok
2020-07-16,87.65,87.9,83.38,85.315,3390448,ok
2020-07-17,85.6,87.86,85.31,87.3,3224951,ok
2020-07-20,88.31,93.14,88.1,92.14,3425599,ok
2020-07-21,92.77,93.0,89.34,90.72,4407092,ok
2020-07-22,90.88,92.36,88.53,89.5,1578511,ok
2020-07-23,88.85,91.3,83.5705,85.22,3378937,ok
2020-07-24,83.4,86.7499,81.5413,84.84,2244202,ok
2020-07-27,86.2,88.58,85.675,87.83,1782489,ok
2020-07-28,87.72,89.72,87.06,88.28,1311166,ok
2020-07-29,89.22,90.87,87.28,90.13,1968244,ok
2020-07-30,89.79,94.07,89.79,92.76,2349409,ok
2020-07-31,94.7881,95.0,91.2,93.86,2430564,ok
2020-08-03,95.82,96.67,93.67,95.67,4632820,ok
2020-08-04,95.76,96.15,92.13,94.22,2848109,ok
2020-08-05,94.31,95.36,91.7,94.32,2906196,ok
2020-08-06,92.72,93.37,87.315,90.01,8160562,ok
2020-08-07,82.6,83.75,74.11,75.28,18906504,ok
2020-08-10,77.61,78.96,72.6,76.365,7820066,ok
2020-08-11,75.31,78.76,75.0,75.68,6876443,ok
2020-08-12,76.0,78.65,75.91,76.61,3854286,ok
2020-08-13,77.84,84.5701,76.92,82.42,10101658,ok
2020-08-14,83.0,84.2699,79.82,81.24,2984739,ok
2020-08-17,81.61,83.75,81.16,83.45,3218799,ok
2020-08-18,83.09,83.89,81.6038,83.46,3403927,ok
2020-08-19,83.05,83.56,81.43,82.47,2405904,ok
2020-08-20,82.26,86.6,82.0,85.78,3341541,ok
2020-08-21,85.52,86.7,84.66,86.12,2487232,ok
2020-08-24,87.01,87.26,82.06,84.34,2701970,ok
2020-08-25,83.67,84.75,82.17,83.77,2164321,ok
2020-08-26,85.77,89.47,85.101,86.28,4652805,ok
2020-08-27,86.28,86.468,82.03,83.54,3295848,ok
2020-08-28,82.7414,86.25,81.53,82.98,4285308,ok
2020-08-31,83.49,83.72,81.56,83.55,4829077,ok
2020-09-01,83.99,87.49,82.5,85.77,4395591,ok
2020-09-02,87.91,88.0,81.78,84.19,3767494,ok
2020-09-03,81.5,81.78,76.28,80.1,7202825,ok
2020-09-04,78.5,80.46,75.55,79.57,4659988,ok
2020-09-08,77.0,81.46,75.7512,79.98,3848680,ok
2020-09-09,81.53,83.37,79.51,81.98,3190831,ok
2020-09-10,82.2,84.55,80.29,80.67,2952078,ok
2020-09-11,81.5,83.2985,78.61,80.36,4335389,ok
2020-09-14,81.44,84.85,80.3355,84.39,4202090,ok
2020-09-15,85.06,89.43,85.03,88.54,5935530,ok
2020-09-16,88.2,92.75,88.1768,89.38,5167845,ok
2020-09-17,85.56,88.29,85.49,87.25,3831727,ok
