Date,Open,High,Low,Close,Volume,Status
2020-01-02,156.95,157.12,155.24,156.54,1847729,ok
2020-01-03,155.3,156.36,154.66,155.39,1715458,ok
2020-01-06,154.41,154.72,152.1,154.54,2295596,ok
2020-01-07,154.19,154.76,152.14,152.21,2845830,ok
2020-01-08,152.0,152.63,151.13,151.55,3208434,ok
2020-01-09,151.8,153.755,151.78,152.58,2832636,ok
2020-01-10,153.17,154.12,152.49,153.22,2747909,ok
2020-01-13,151.96,154.83,151.43,154.12,2011834,ok
2020-01-14,155.07,158.96,155.07,157.98,2837185,ok
2020-01-15,155.34,157.34,155.2103,156.59,2638045,ok
2020-01-16,157.53,158.53,156.92,158.27,1472828,ok
2020-01-17,158.63,160.41,157.53,157.99,1486809,ok
2020-01-21,157.35,158.7,157.23,157.54,1381612,ok
2020-01-22,157.95,158.32,154.19,154.5,1458674,ok
2020-01-23,153.85,155.5072,153.38,155.14,1283380,ok
2020-01-24,154.92,155.0,153.41,154.34,1050705,ok
2020-01-27,153.11,156.905,152.62,155.86,1539839,ok
2020-01-28,156.42,157.64,155.87,156.66,1117980,ok
2020-01-29,157.0,157.43,155.71,155.75,719977,ok
2020-01-30,154.96,157.0,154.3702,156.99,1528107,ok
2020-01-31,157.04,157.29,152.91,153.41,1974995,ok
2020-02-03,154.28,157.14,154.0,154.77,1109796,ok
2020-02-04,155.91,157.62,155.63,155.99,1429524,ok
2020-02-05,156.6,157.76,156.465,157.26,1037451,ok
2020-02-06,157.76,157.97,155.19,155.47,1118562,ok
2020-02-07,155.3,155.76,154.02,154.97,814484,ok
2020-02-10,154.08,155.65,153.83,155.59,1102471,ok
2020-02-11,156.22,156.66,155.52,155.95,916896,ok
2020-02-12,156.5,158.94,155.635,158.66,1093784,ok
2020-02-13,158.43,160.24,157.77,159.85,984143,ok
2020-02-14,159.31,160.12,157.46,158.03,1434040,ok
2020-02-18,158.3,162.35,157.75,161.71,1604180,ok
2020-02-19,162.02,164.38,161.575,163.79,1540340,ok
2020-02-20,163.79,166.03,163.16,165.73,1101628,ok
2020-02-21,165.89,167.04,165.03,166.88,1455114,ok
2020-02-24,163.53,166.51,163.53,164.86,2282333,ok
2020-02-25,165.67,166.9,161.05,161.5,2335923,ok
2020-02-26,162.05,164.49,161.21,162.67,2126949,ok
2020-02-27,161.15,162.505,157.44,157.66,3595999,ok
2020-02-28,155.73,156.22,147.5569,150.3,3858851,ok
2020-03-02,150.36,159.75,150.25,159.6,2581634,ok
2020-03-03,159.52,163.28,154.36,156.42,2573767,ok
2020-03-04,157.89,160.51,156.51,160.16,1664747,ok
2020-03-05,158.28,161.02,155.5,157.48,1970603,ok
2020-03-06,154.26,158.92,152.17,158.38,1836996,ok
2020-03-09,150.79,162.04,150.05,159.28,3253590,ok
2020-03-10,162.63,167.44,160.12,166.25,3791561,ok
2020-03-11,163.09,165.73,156.685,157.63,3850768,ok
2020-03-12,152.01,157.07,140.15,141.97,6710462,ok
2020-03-13,148.71,148.99,138.49,145.81,6267024,ok
2020-03-16,134.19,139.6,125.0,136.1,3806802,ok
2020-03-17,137.9,156.475,137.59,154.53,4964691,ok
2020-03-18,145.5,157.65,137.9,148.74,4848522,ok
2020-03-19,149.17,151.3,141.44,143.0,4064373,ok
2020-03-20,142.39,144.91,135.04,140.13,4530692,ok
2020-03-23,139.88,145.29,137.02,139.87,2985116,ok
2020-03-24,145.17,149.67,137.71,141.82,3252125,ok
