Date,Open,High,Low,Close,Volume,Status
2020-01-02,106.76,106.815,104.97,105.73,976998,ok
2020-01-03,104.27,105.7,104.0925,105.11,679132,ok
2020-01-06,104.85,105.74,104.72,105.68,505731,ok
2020-01-07,104.4,104.81,103.99,104.47,629369,ok
2020-01-08,104.0,105.41,103.365,104.9,700894,ok
2020-01-09,105.52,106.36,104.91,106.19,652883,ok
2020-01-10,106.24,106.93,105.72,106.85,671700,ok
2020-01-13,106.33,107.01,106.21,106.56,512524,ok
2020-01-14,106.48,106.77,105.11,106.5,733519,ok
2020-01-15,106.42,107.65,106.16,106.73,666363,ok
2020-01-16,107.26,107.805,106.89,107.11,495624,ok
2020-01-17,106.93,107.1,105.72,107.06,1328961,ok
2020-01-21,106.83,107.67,106.64,107.34,958419,ok
2020-01-22,107.78,108.7,107.36,108.54,684502,ok
2020-01-23,108.41,108.43,107.12,107.99,650034,ok
2020-01-24,108.25,108.26,106.51,107.79,764688,ok
2020-01-27,106.96,109.65,106.75,109.47,1517022,ok
2020-01-28,109.63,110.99,108.94,110.82,999875,ok
2020-01-29,110.7,111.61,110.26,110.67,1505489,ok
2020-01-30,112.73,112.89,109.56,112.0,1454816,ok
2020-01-31,111.51,112.29,109.9,110.67,1060333,ok
2020-02-03,111.19,111.93,110.05,111.83,731673,ok
2020-02-04,112.4,113.0,111.17,111.26,1006667,ok
2020-02-05,111.73,113.0,111.5,111.98,1064699,ok
2020-02-06,112.59,113.0,111.1,111.69,660675,ok
2020-02-07,111.84,112.23,111.29,111.45,471500,ok
2020-02-10,111.3,111.65,110.765,111.62,677570,ok
2020-02-11,112.09,112.975,111.55,112.35,840634,ok
2020-02-12,112.52,112.92,110.93,111.15,1466485,ok
2020-02-13,110.83,112.74,110.62,112.16,953509,ok
2020-02-14,112.28,112.85,111.71,112.85,670765,ok
2020-02-18,112.69,112.85,111.49,112.59,903505,ok
2020-02-19,113.0,113.97,112.7133,113.48,840463,ok
2020-02-20,113.07,113.32,112.23,112.84,520549,ok
2020-02-21,112.84,113.58,112.21,113.15,970588,ok
2020-02-24,111.81,113.11,111.4481,112.34,956709,ok
2020-02-25,112.73,112.89,109.965,110.4,913794,ok
2020-02-26,111.09,111.81,109.93,109.93,1092921,ok
2020-02-27,109.02,113.25,108.76,110.97,2098326,ok
2020-02-28,109.28,109.3,103.62,106.06,2707525,ok
2020-03-02,106.98,112.21,106.4893,112.11,1841302,ok
2020-03-03,112.29,112.955,107.42,108.65,1605030,ok
2020-03-04,110.38,115.49,110.38,115.48,2082523,ok
2020-03-05,118.3,118.58,114.11,115.68,3935965,ok
