Date,Open,High,Low,Close,Volume,Status
2020-01-02,55.17,55.53,53.65,53.75,2039069,ok
2020-01-03,53.14,53.58,52.41,52.42,2038627,ok
2020-01-06,52.32,52.87,52.0,52.21,1693145,ok
2020-01-07,52.29,53.05,51.99,52.19,1776972,ok
2020-01-08,52.41,53.16,51.93,52.73,1018486,ok
2020-01-09,52.75,52.94,51.83,52.19,684186,ok
2020-01-10,52.87,52.87,51.41,51.5,1002360,ok
2020-01-13,51.5,52.4,51.47,52.35,778229,ok
2020-01-14,52.1,52.97,51.95,52.24,1246136,ok
2020-01-15,52.19,52.63,51.7,52.27,719755,ok
2020-01-16,52.58,52.87,52.21,52.48,1351118,ok
2020-01-17,52.55,53.36,52.43,53.34,1370485,ok
2020-01-21,53.08,53.09,52.2,52.6,1179387,ok
2020-01-22,52.73,52.73,50.69,50.87,1515386,ok
2020-01-23,50.22,50.73,49.18,50.25,1459889,ok
2020-01-24,49.9,49.9,48.05,48.49,1316732,ok
2020-01-27,47.2,47.54,46.64,47.18,1219082,ok
2020-01-28,47.4,47.72,47.03,47.16,1264492,ok
2020-01-29,49.18,49.95,48.63,49.67,1879084,ok
2020-01-30,48.25,48.98,47.66,48.47,1811833,ok
2020-01-31,47.69,47.8,45.925,46.07,1788302,ok
2020-02-03,46.31,46.97,45.74,46.74,2087317,ok
2020-02-04,47.65,48.37,47.45,48.05,1649319,ok
2020-02-05,48.88,49.74,48.53,49.61,1757978,ok
2020-02-06,49.61,49.66,48.56,49.2,1969316,ok
2020-02-07,48.47,48.5,47.45,48.03,1059704,ok
2020-02-10,47.98,48.72,47.91,48.19,733469,ok
2020-02-11,48.54,50.01,48.53,48.79,806405,ok
2020-02-12,49.73,50.34,48.99,49.38,960285,ok
2020-02-13,48.9,48.99,48.03,48.3,894402,ok
2020-02-14,48.51,48.94,48.38,48.63,1237594,ok
2020-02-18,48.19,48.5,47.239,47.74,1010154,ok
2020-02-19,47.82,48.29,47.42,47.56,1219491,ok
2020-02-20,47.52,48.81,47.45,48.76,1193982,ok
2020-02-21,48.68,48.77,48.08,48.3,1268196,ok
2020-02-24,46.61,47.04,45.8,46.24,1427651,ok
2020-02-25,46.5,46.52,43.61,43.95,1782015,ok
2020-02-26,44.45,44.88,43.02,43.05,1583231,ok
2020-02-27,41.33,41.44,39.5,39.55,2467439,ok
2020-02-28,38.13,40.49,38.08,40.41,2996697,ok
2020-03-02,41.09,41.42,39.79,41.42,2516062,ok
2020-03-03,41.35,42.68,39.75,40.56,2303117,ok
2020-03-04,41.47,41.96,40.24,41.91,1572146,ok
2020-03-05,40.0,40.6,39.66,40.1,1852182,ok
2020-03-06,38.91,39.68,38.31,38.97,2051365,ok
2020-03-09,34.8,34.85,30.43,30.53,5166403,ok
2020-03-10,32.51,33.33,29.32,31.4,3347250,ok
2020-03-11,30.3,30.3,27.86,27.99,3588696,ok
2020-03-12,25.46,26.36,22.39,23.67,4296686,ok
2020-03-13,27.94,28.0,22.6,25.69,4467265,ok
2020-03-16,23.5,25.4,21.95,22.0,3468593,ok
2020-03-17,25.68,27.52,22.74,26.6,4608326,ok
2020-03-18,24.78,28.26,24.52,26.44,3377839,ok
2020-03-19,26.28,31.34,25.95,28.12,2874532,ok
2020-03-20,28.59,29.68,26.6,27.44,3671515,ok
