Date,Open,High,Low,Close,Volume,Status
2020-01-02,109.8,112.26,109.39,112.26,2745683,ok
2020-01-03,111.56,112.515,110.88,112.38,1371309,ok
2020-01-06,112.12,113.15,111.63,113.12,1595894,ok
2020-01-07,112.21,113.48,111.73,112.15,1902025,ok
2020-01-08,112.25,114.07,111.82,113.85,1675750,ok
2020-01-09,113.42,115.5,112.65,114.39,1906729,ok
2020-01-10,114.58,114.83,113.56,114.55,1146069,ok
2020-01-13,114.55,114.89,113.05,113.25,1517359,ok
2020-01-14,112.84,112.84,111.66,112.21,2080711,ok
2020-01-15,112.21,112.64,111.25,111.29,1511297,ok
2020-01-16,111.12,113.85,110.731,113.01,2681665,ok
2020-01-17,113.28,113.75,112.96,113.52,1050185,ok
2020-01-21,113.11,114.69,113.01,114.55,1502803,ok
2020-01-22,114.82,115.45,114.635,114.98,1423122,ok
2020-01-23,114.95,117.72,114.7,117.62,1525137,ok
2020-01-24,117.75,117.77,116.56,117.09,1080163,ok
2020-01-27,115.9,116.99,115.8839,116.38,1133454,ok
2020-01-28,116.84,117.87,116.63,117.45,1391838,ok
2020-01-29,117.81,119.59,116.44,119.21,1124650,ok
2020-01-30,118.47,118.57,116.33,118.21,1336146,ok
2020-01-31,118.3,118.485,115.83,116.43,1081682,ok
2020-02-03,117.13,117.13,114.88,114.92,1343574,ok
2020-02-04,115.89,116.74,115.55,115.56,1511709,ok
2020-02-05,115.91,117.63,115.55,117.48,1700832,ok
2020-02-06,117.98,121.8,117.86,121.5,2089356,ok
2020-02-07,121.5,121.95,120.21,120.71,1555404,ok
2020-02-10,120.62,121.9699,120.24,121.79,979768,ok
2020-02-11,121.89,122.42,120.67,122.23,1565050,ok
2020-02-12,122.65,124.01,122.24,122.45,1150496,ok
2020-02-13,122.12,122.43,121.27,122.27,1081069,ok
2020-02-14,122.48,122.63,121.33,121.71,737088,ok
2020-02-18,121.16,121.41,119.01,120.49,1062835,ok
2020-02-19,120.81,121.22,119.96,120.68,905259,ok
2020-02-20,120.4,121.0,119.42,120.68,757396,ok
2020-02-21,119.98,121.39,119.96,121.1,1372213,ok
2020-02-24,119.09,119.77,117.34,117.89,1177462,ok
2020-02-25,118.44,118.44,111.6607,111.75,1481562,ok
2020-02-26,111.9,112.51,107.04,107.07,2085431,ok
2020-02-27,104.25,104.51,99.3,99.36,3097020,ok
2020-02-28,96.52,100.76,94.23,97.5,2593100,ok
2020-03-02,97.75,98.87,95.56,98.8,2405305,ok
2020-03-03,98.47,100.4,94.46,95.31,1693861,ok
2020-03-04,96.55,96.94,93.43,95.06,1789170,ok
2020-03-05,94.41,94.41,87.38,87.95,2700383,ok
2020-03-06,84.47,90.51,83.79,88.15,2449396,ok
2020-03-09,82.07,82.63,77.23,77.43,2492466,ok
2020-03-10,80.86,82.69,76.365,82.6,2301336,ok
2020-03-11,79.05,79.29,69.7,70.21,3773145,ok
2020-03-12,62.97,67.35,57.27,59.17,4079109,ok
2020-03-13,63.96,65.4,59.29,65.32,4062367,ok
2020-03-16,58.24,58.36,46.17,49.21,4490209,ok
2020-03-17,49.9,50.16,35.94,41.93,9908460,ok
2020-03-18,37.17,39.07,26.15,34.16,8833558,ok
2020-03-19,33.73,46.54,30.5,42.42,10989693,ok
2020-03-20,45.5,45.82,37.055,39.0,8879181,ok
2020-03-23,39.88,42.24,37.15,41.03,7799015,ok
2020-03-24,45.13,55.2,45.0,53.89,8707565,ok
2020-03-25,56.66,67.715,54.0,58.45,7946577,ok
2020-03-26,58.48,62.44,56.3,60.56,4744837,ok
2020-03-27,56.57,57.7099,52.5,54.66,6019771,ok
2020-03-30,53.04,57.84,51.02,56.85,4062593,ok
2020-03-31,56.9,59.0,53.11,54.46,6169145,ok
2020-04-01,50.3,51.15,45.0,46.02,6602873,ok
2020-04-02,46.28,49.65,43.11,44.31,4708158,ok
2020-04-03,44.24,46.39,43.18,45.48,3640591,ok
2020-04-06,49.2,55.88,49.0,52.4,4857917,ok
2020-04-07,57.64,63.34,56.6,58.96,6526175,ok
2020-04-08,62.16,65.35,59.38,63.57,4056577,ok
2020-04-09,67.97,69.17,62.13,64.34,4873158,ok
2020-04-13,65.0,65.19,59.801,60.89,2192051,ok
2020-04-14,63.37,64.7,60.72,61.15,3110780,ok
2020-04-15,57.86,59.67,57.07,58.79,3735842,ok
2020-04-16,58.69,59.99,56.51,57.98,2995485,ok
2020-04-17,63.78,65.43,60.34,63.35,4037505,ok
2020-04-20,61.34,64.55,61.01,61.79,2397671,ok
2020-04-21,62.6,63.74,61.32,63.32,7066029,ok
2020-04-22,64.98,69.46,64.97,68.3,6673477,ok
