Date,Open,High,Low,Close,Volume,Status
2020-01-02,25.6653,25.7338,25.101,25.254,5047066,ok
2020-01-03,25.9492,25.9835,25.3813,25.5576,6984169,ok
2020-01-06,25.7828,25.9982,25.5429,25.8611,4389707,ok
2020-01-07,25.7045,26.0178,25.5576,25.9395,6462429,ok
2020-01-08,25.9003,25.9395,24.6861,25.019,8227487,ok
2020-01-09,25.3519,25.396,24.6763,25.3128,7500190,ok
2020-01-10,25.1659,25.1659,24.4951,24.5784,5205875,ok
2020-01-13,24.4902,24.9015,24.1279,24.8329,4745173,ok
2020-01-14,24.9798,25.8122,24.8427,25.6849,6388516,ok
2020-01-15,25.4596,25.7142,25.3225,25.6946,5669161,ok
2020-01-16,25.9395,26.4193,25.8366,25.8905,6293543,ok
2020-01-17,26.008,26.008,25.1855,25.3128,5842579,ok
2020-01-21,25.1169,25.2344,24.4608,24.4706,5810070,ok
2020-01-22,24.2258,24.3335,23.6775,23.795,8146489,ok
2020-01-23,23.5404,24.0789,23.1095,23.8929,5921408,ok
2020-01-24,23.8341,23.8439,23.0704,23.4522,5564879,ok
2020-01-27,22.7178,22.9333,21.9736,22.1499,6349022,ok
2020-01-28,22.4241,22.4975,22.0715,22.2478,5050190,ok
2020-01-29,22.473,22.5971,21.6603,21.7288,5954024,ok
2020-01-30,21.3665,22.0715,21.2098,22.0226,5609178,ok
2020-01-31,21.4938,21.5917,20.828,21.2686,7340524,ok
2020-02-03,21.249,21.3371,20.7055,20.7398,5867440,ok
2020-02-04,21.298,21.8659,21.2196,21.4057,6171026,ok
2020-02-05,22.0128,23.1193,21.9345,22.9235,6787524,ok
2020-02-06,22.992,23.0606,22.4632,22.6493,5152786,ok
2020-02-07,22.2576,22.6101,22.0324,22.4926,3338514,ok
2020-02-10,22.2282,22.3653,21.8659,22.0715,3741446,ok
2020-02-11,22.522,22.6689,22.194,22.2282,3700773,ok
2020-02-12,22.8647,23.2956,22.6346,22.7766,4484131,ok
2020-02-13,22.4926,22.8794,22.3164,22.8158,5176490,ok
2020-02-14,22.9529,23.0997,22.0911,22.3457,7211001,ok
2020-02-18,22.0324,22.0911,21.5526,21.6994,9685350,ok
2020-02-19,22.052,22.5514,21.6994,22.2478,10966686,ok
2020-02-20,21.8659,22.1499,21.6015,21.6897,7706528,ok
2020-02-21,21.249,21.2784,20.4167,20.5342,9273967,ok
2020-02-24,19.5158,19.5158,18.703,18.7814,10968812,ok
2020-02-25,18.8108,18.9528,17.2391,17.4105,10388934,ok
2020-02-26,17.4986,17.5574,16.3431,16.3725,10340357,ok
2020-02-27,15.501,16.3823,15.0799,15.3443,13203419,ok
2020-02-28,14.6197,15.9759,14.4826,15.9025,13850497,ok
2020-03-02,16.1865,16.3236,15.0897,15.971,11011963,ok
2020-03-03,15.8829,16.4606,15.1583,15.4618,11433168,ok
2020-03-04,15.8143,16.206,15.3639,15.9221,8787214,ok
2020-03-05,15.3052,15.7654,15.1387,15.6185,9800306,ok
2020-03-06,14.8449,14.9037,12.7396,13.0921,13648390,ok
2020-03-09,8.9598,9.567,7.8631,8.196,24783079,ok
2020-03-10,9.1851,9.2046,7.6576,8.8227,20127665,ok
2020-03-11,8.245,8.7542,7.9219,8.2352,15483944,ok
2020-03-12,7.5987,7.9268,6.8643,7.1189,14551025,ok
2020-03-13,7.961,8.529,7.0406,8.5192,18626639,ok
2020-03-16,6.9524,8.1862,6.3649,7.4127,14135811,ok
2020-03-17,7.4421,7.7015,6.2278,6.3257,13441316,ok
2020-03-18,5.7578,5.8361,4.6023,5.2976,14374573,ok
2020-03-19,5.3955,6.4139,5.1507,6.4139,14057907,ok
2020-03-20,6.5999,7.1875,5.8166,5.9536,18814854,ok
2020-03-23,5.8949,6.453,5.5815,6.0516,13426513,ok
2020-03-24,6.6587,7.4714,6.2376,7.256,14859806,ok
2020-03-25,7.2266,7.6281,6.502,7.0112,12033096,ok
2020-03-26,7.1581,7.4371,6.6097,7.207,13401283,ok
2020-03-27,6.7958,6.8153,6.0809,6.1593,13563137,ok
2020-03-30,6.032,6.3845,5.3465,6.218,19194775,ok
2020-03-31,6.5412,7.2934,6.5412,6.7664,14607579,ok
2020-04-01,6.4335,6.7958,6.0952,6.6489,16931549,ok
2020-04-02,7.1385,8.8521,6.9231,7.6281,24076444,ok
2020-04-03,8.1275,8.3899,7.4048,8.2058,17941902,ok
2020-04-06,8.2842,8.7052,8.0296,8.6171,13542083,ok
2020-04-07,9.3907,9.8705,8.4555,8.529,14770885,ok
2020-04-08,8.8423,9.2438,8.4408,9.2144,11611266,ok
2020-04-09,9.8901,10.3405,8.671,9.469,24421246,ok
2020-04-13,10.0468,10.1251,9.234,9.5082,11422381,ok
2020-04-14,9.2242,9.518,8.6808,8.9207,11435582,ok
2020-04-15,8.1765,8.5486,7.8827,8.4898,10246919,ok
2020-04-16,8.4213,8.4506,7.9121,7.9219,6949219,ok
2020-04-17,8.01,9.0578,7.961,9.0284,12742929,ok
2020-04-20,8.2156,9.3809,8.1275,8.9696,12798875,ok
2020-04-21,8.5094,9.0724,8.4017,8.8619,14497626,ok
2020-04-22,9.3809,9.6159,9.1361,9.5376,7396721,ok
2020-04-23,9.9195,10.7714,9.8411,10.3503,12396426,ok
2020-04-24,10.6735,10.9917,9.9782,10.3014,16018609,ok
2020-04-27,10.0859,10.6637,9.6747,10.5364,7466844,ok
2020-04-28,10.8008,11.0162,10.4384,10.742,8856029,ok
2020-04-29,11.2708,12.6319,11.1092,12.3675,11865381,ok
2020-04-30,12.5438,12.5829,11.6527,12.2108,10380981,ok
2020-05-01,11.6723,11.9415,10.8106,10.9183,7152088,ok
2020-05-04,10.6343,11.1924,10.4189,11.1827,6554265,ok
2020-05-05,11.9073,11.9954,10.8791,10.9476,8942299,ok
2020-05-06,11.6527,11.7996,11.0162,11.2512,10874267,ok
2020-05-07,11.7016,12.1677,11.6659,11.7604,8928829,ok
2020-05-08,12.064,12.4556,11.9954,12.4361,7419138,ok
2020-05-11,12.2402,12.5144,11.9905,12.201,8113498,ok
2020-05-12,12.3773,12.8082,12.1423,12.1423,8833999,ok
2020-05-13,11.9954,12.015,11.0554,11.2904,9738795,ok
2020-05-14,10.977,11.8045,10.5657,11.4177,7713914,ok
2020-05-15,11.3687,12.0839,11.2708,11.7016,8335831,ok
2020-05-18,12.5927,13.0823,12.3675,12.8473,10694598,ok
2020-05-19,12.8669,12.8865,12.0444,12.0542,9861117,ok
2020-05-20,12.3577,12.6025,12.1031,12.1619,10717339,ok
2020-05-21,12.2304,12.3479,11.7947,12.0346,8138896,ok
2020-05-22,11.8975,11.9954,11.5499,11.8877,8327756,ok
2020-05-26,12.4752,12.5242,11.8583,12.0542,9076912,ok
2020-05-27,12.2402,12.2402,11.5352,12.1717,9418862,ok
2020-05-28,12.1325,12.1423,11.3295,11.4177,11209815,ok
2020-05-29,11.261,11.3198,10.5462,10.5853,43105622,ok
2020-06-01,10.5755,11.6282,10.3993,11.4568,12175335,ok
2020-06-02,11.6331,11.966,11.6086,11.9073,8460765,ok
2020-06-03,12.1423,12.3283,11.8289,12.2598,8261420,ok
2020-06-04,12.0933,12.5536,11.8299,12.4556,10409225,ok
2020-06-05,13.2292,14.5903,13.2194,14.2966,15550339,ok
2020-06-08,15.3247,15.4325,14.2378,15.4325,13064247,ok
2020-06-09,14.6883,14.7176,13.9245,14.2476,10895947,ok
2020-06-10,13.8559,14.1987,13.0725,13.3859,12575589,ok
2020-06-11,11.9465,12.9452,11.6726,11.9465,9180422,ok
2020-06-12,12.7592,12.8179,11.8583,12.534,8107056,ok
2020-06-15,11.7604,12.8179,11.5753,12.6221,7488220,ok
2020-06-16,13.5817,13.5915,12.534,13.0236,10075498,ok
2020-06-17,12.9257,13.0334,12.3381,12.3675,7580321,ok
2020-06-18,12.1815,12.8669,12.1129,12.6809,6610960,ok
2020-06-19,13.1411,13.3761,12.4605,12.6711,15559675,ok
2020-06-22,12.6417,12.7102,12.2941,12.4361,6084872,ok
