Date,Open,High,Low,Close,Volume,Status
2020-01-02,54.64,55.6575,53.42185,54.845,3410316,ok
2020-01-03,54.1975,54.88125,53.8025,54.675,2171312,ok
2020-01-06,54.48,56.79375,54.1875,56.4975,2699572,ok
2020-01-07,56.2525,58.6075,56.2525,57.8625,5361696,ok
2020-01-08,57.695,58.9399,57.2025,58.3075,2939596,ok
2020-01-09,58.7525,60.19605,57.78,59.8175,3836920,ok
2020-01-10,60.36,60.535,58.9775,59.325,2511396,ok
2020-01-13,58.75,59.02,56.0025,58.96,6299940,ok
2020-01-14,59.0375,60.48875,58.435,58.765,3297412,ok
2020-01-15,58.86,58.9375,57.325,58.585,3788672,ok
2020-01-16,58.68,59.4075,57.555,58.6025,2803872,ok
2020-01-17,59.0475,59.2025,57.565,57.6975,2123188,ok
2020-01-21,57.675,58.9925,57.45,57.905,4197972,ok
2020-01-22,58.4325,59.830325,58.4325,58.885,2098408,ok
2020-01-23,59.0075,59.4475,57.9225,58.9,2331580,ok
2020-01-24,59.4425,59.675,58.27135,58.485,2135768,ok
2020-01-27,57.2525,59.10625,56.68125,58.8625,2235256,ok
2020-01-28,58.9625,59.4425,58.46,58.735,2875948,ok
2020-01-29,59.0675,60.05375,58.145,59.635,2550840,ok
2020-01-30,59.4625,59.9425,58.0,59.7325,1839228,ok
2020-01-31,59.705,61.835,59.5025,60.1875,4000584,ok
2020-02-03,60.26,60.96,59.1125,59.2725,2550756,ok
2020-02-04,59.7275,61.315,59.4175,60.925,2741896,ok
2020-02-05,61.085,61.085,59.25,59.635,2302716,ok
2020-02-06,60.43,60.605,59.285,59.75,1912212,ok
2020-02-07,59.8325,60.2475,58.7525,60.055,2103292,ok
2020-02-10,60.1475,61.8575,60.0164,61.73,2284744,ok
2020-02-11,61.7725,62.01,60.6351,61.98,2068520,ok
2020-02-12,62.0025,62.67,60.86,61.5,3147476,ok
2020-02-13,61.005,63.675,60.5675,63.0525,4499776,ok
2020-02-14,70.95,73.75,68.975875,70.9775,13438520,ok
2020-02-18,71.1,74.5,70.345,74.0,6973732,ok
2020-02-19,74.565,75.4175,72.12125,72.92,5973408,ok
2020-02-20,73.0825,76.6775,71.8075,75.6275,8677044,ok
2020-02-21,76.46,76.4925,71.565,72.8125,5545140,ok
2020-02-24,69.5475,73.7577,68.75,73.5125,5070016,ok
2020-02-25,74.36,75.4575,69.6775,70.99,4467696,ok
2020-02-26,71.1775,74.46,68.775,69.5625,5276512,ok
2020-02-27,68.385,73.4925,67.50275,70.37,4965440,ok
2020-02-28,69.1825,69.685,66.666925,69.0,6956660,ok
2020-03-02,69.525,71.625,69.275,71.4325,6134072,ok
2020-03-03,71.585,72.220875,67.05,68.22,4651192,ok
2020-03-04,69.455,71.05,68.25,70.9675,3989636,ok
2020-03-05,70.485,72.9637,69.805,71.7425,3045188,ok
2020-03-06,71.41,71.9675,69.09,71.64,3361984,ok
2020-03-09,65.445,69.745,65.0,66.63,5024716,ok
2020-03-10,67.9125,70.45,65.885,69.795,6060096,ok
2020-03-11,67.8275,68.25,61.255,63.105,8123360,ok
2020-03-12,54.6275,63.75,53.75,61.91,6877756,ok
2020-03-13,64.08,64.75,55.0,61.005,6397148,ok
2020-03-16,53.75,54.725,50.5,50.575,7910548,ok
2020-03-17,51.3125,51.8025,45.5175,49.685,10212776,ok
2020-03-18,47.3825,56.25,46.75,47.79,6797476,ok
2020-03-19,47.805,54.9125,47.79,51.56,5675140,ok
2020-03-20,52.0775,55.8325,50.83,52.375,5764004,ok
2020-03-23,52.3875,55.3725,49.14125,52.575,5452036,ok
2020-03-24,54.1925,59.8015,54.0,59.0525,5225844,ok
2020-03-25,59.9175,63.5,59.2525,59.8325,4184776,ok
2020-03-26,60.9875,63.375,59.802575,62.5525,6229392,ok
2020-03-27,61.5075,67.5,60.1525,65.74,6058964,ok
2020-03-30,66.3275,70.242375,63.7675,69.5,5031648,ok
2020-03-31,68.1575,69.269475,65.7575,67.3175,8011800,ok
2020-04-01,63.8775,65.985,63.044975,63.7025,4367888,ok
2020-04-02,62.5,67.7425,62.5,66.595,4554084,ok
2020-04-03,65.905,68.119375,64.2675,65.1875,4325260,ok
2020-04-06,68.0925,68.0925,65.25,67.3275,10063712,ok
2020-04-07,68.2425,70.0,62.5025,62.6775,5384844,ok
2020-04-08,63.845,65.0975,62.565,64.5025,4570892,ok
2020-04-09,64.9875,69.15375,64.65,68.8175,4666740,ok
2020-04-13,69.97,71.4475,67.5275,68.315,4760340,ok
2020-04-14,69.1975,71.3125,68.513725,70.1675,5362984,ok
2020-04-15,69.725,75.0,69.4075,72.9225,5067276,ok
2020-04-16,73.75,77.2725,73.75,76.56875,6234480,ok
2020-04-17,77.7175,82.3975,75.8325,80.85,15599620,ok
2020-04-20,80.7175,82.1325,79.0,80.8175,5177032,ok
2020-04-21,80.1025,80.73,76.75,77.0975,5571736,ok
2020-04-22,77.8725,80.8875,77.835,80.1575,2858748,ok
2020-04-23,79.6425,82.225,79.285,80.51,3442376,ok
2020-04-24,81.8575,83.5675,81.12205,83.11,4242384,ok
2020-04-27,85.885,86.1375,82.5,83.7625,6521040,ok
2020-04-28,83.7525,84.5,78.0375,78.3825,7284928,ok
2020-04-29,85.0,86.5525,82.0901,86.3675,8519760,ok
2020-04-30,85.75,87.7425,83.75,83.8,5655268,ok
2020-05-01,82.75,85.8175,82.09895,85.38,4036104,ok
2020-05-04,85.765,88.21,84.8575,88.1275,4112712,ok
2020-05-05,89.9875,93.6025,87.773075,91.07,5600520,ok
2020-05-06,92.81,95.344375,91.380375,91.63,5258112,ok
2020-05-07,97.9575,102.1225,97.2525,101.09,15353184,ok
2020-05-08,101.775,103.6575,99.554275,101.375,14541940,ok
2020-05-11,101.0125,107.0,100.9,105.34,94684052,ok
2020-05-12,105.075,105.4425,102.525,102.7,12266388,ok
2020-05-13,103.2325,103.6325,100.5,101.8,8064484,ok
2020-05-14,100.3875,102.1775,99.18,100.7625,6081792,ok
2020-05-15,99.7625,104.745,99.2125,104.4325,4948856,ok
2020-05-18,106.255,107.1475,103.30875,103.61,4483908,ok
2020-05-19,102.98,104.52125,99.9225,101.1425,5815592,ok
2020-05-20,102.4475,102.74625,98.783725,99.99,4648264,ok
2020-05-21,99.8275,100.8025,97.7125,99.8425,3317536,ok
2020-05-22,99.185,101.385,96.78,101.3125,2915880,ok
2020-05-26,102.1225,102.9375,95.02,95.4475,6440124,ok
2020-05-27,95.05,95.05,84.065,89.9075,11752144,ok
2020-05-28,90.155,94.6725,89.90875,90.4575,6292304,ok
2020-05-29,91.87,94.7725,91.0,94.5775,5297712,ok
2020-06-01,95.625,95.969375,93.03,94.675,3110280,ok
2020-06-02,94.0025,95.1875,92.1025,93.9375,3030932,ok
2020-06-03,93.5,94.185,90.0075,91.465,4510156,ok
2020-06-04,90.915,91.2075,85.085,86.2125,8408020,ok
2020-06-05,85.0125,91.85375,84.005,91.1225,8621248,ok
2020-06-08,90.5625,92.56,88.0675,92.155,5318356,ok
2020-06-09,93.25,97.33125,93.25,95.125,6551360,ok
2020-06-10,96.305,96.9275,92.965,96.2925,4283684,ok
2020-06-11,94.5,95.3925,90.2295,90.6775,5179288,ok
2020-06-12,92.149725,96.4725,90.7425,92.5575,5254092,ok
2020-06-15,90.75,99.885,89.67,99.6875,6767928,ok
2020-06-16,100.5,100.8425,96.570025,98.25,4917332,ok
2020-06-17,99.63,101.835,98.917775,100.795,4578308,ok
2020-06-18,101.2775,101.8525,99.78,100.4775,2978640,ok
2020-06-19,101.2875,103.0625,100.78,102.34,6790788,ok
2020-06-22,103.7575,103.8725,101.195,101.5825,3402820,ok
2020-06-23,101.8425,103.6425,101.25,101.725,2950904,ok
2020-06-24,101.44,102.93,96.755,98.575,4059072,ok
2020-06-25,98.8025,99.6725,95.01695,99.5225,4168168,ok
2020-06-26,99.985,101.14,93.81,95.765,11697128,ok
2020-06-29,96.9225,99.6375,94.22,99.55,3956368,ok
2020-06-30,99.45,102.185,97.95625,101.35,4586680,ok
2020-07-01,102.24,102.24,98.825,100.0525,3970976,ok
2020-07-02,100.555,103.86875,99.515,101.8375,4328504,ok
2020-07-06,103.05,108.22405,102.2025,105.795,4970820,ok
2020-07-07,106.85,109.8725,106.045,106.465,4130836,ok
2020-07-08,107.315,108.85,106.5225,108.7775,3596432,ok
2020-07-09,108.95,111.38,107.125,110.125,4274900,ok
2020-07-10,109.8325,110.6825,108.25,109.91,4420064,ok
2020-07-13,110.3575,111.625,100.6125,101.0575,6191748,ok
2020-07-14,99.14,102.83,95.28,102.585,6109328,ok
2020-07-15,103.75,104.9975,101.8075,104.485,3248180,ok
2020-07-16,103.2825,104.055,100.1775,103.305,2219984,ok
2020-07-17,104.165,107.4375,103.3125,106.1075,3280804,ok
2020-07-20,107.69,109.25,106.8475,108.0925,2920392,ok
2020-07-21,108.0925,108.75,105.095025,107.255,2441548,ok
2020-07-22,107.705,108.685,104.42,106.5375,1804728,ok
2020-07-23,106.815,109.4175,104.01,105.0025,2974696,ok
2020-07-24,105.115,106.219275,100.6625,105.4375,2516796,ok
2020-07-27,107.04,107.04,102.895,105.8575,3272228,ok
2020-07-28,105.7925,107.88375,104.15,104.4475,4552436,ok
2020-07-29,107.4575,111.18,102.92,106.77,7468292,ok
2020-07-30,105.8375,108.0575,104.06,107.84,3395584,ok
2020-07-31,108.695,110.53165,106.2525,108.885,3460508,ok
2020-08-03,110.155,112.361925,108.0975,110.9175,3381868,ok
2020-08-04,110.52375,110.705,108.65875,110.4725,2577476,ok
2020-08-05,110.4375,113.75,109.15125,112.9475,2858564,ok
2020-08-06,113.1025,113.2225,107.39,109.75,3342708,ok
2020-08-07,110.22,114.0575,108.755,110.175,3715268,ok
2020-08-10,109.8275,109.9575,101.553475,105.305,4454632,ok
2020-08-11,103.7525,104.8025,100.7875,102.7875,3274052,ok
2020-08-12,103.05,107.605,103.05,106.9725,2465504,ok
2020-08-13,108.2,109.99705,107.685,108.82,2423292,ok
2020-08-14,109.125,110.1125,105.77585,106.29,1898212,ok
2020-08-17,107.2425,110.46,106.8564,110.23,2132536,ok
2020-08-18,111.2898,111.57775,108.520725,109.305,2031884,ok
2020-08-19,109.68,110.32,107.26,108.22,1865228,ok
2020-08-20,107.9775,110.265,107.875,107.97,1940728,ok
2020-08-21,108.22,108.70125,106.0,106.725,2338612,ok
2020-08-24,106.934225,107.2475,103.625025,105.6975,2129832,ok
2020-08-25,102.8525,107.675,102.773075,107.5175,2025660,ok
2020-08-26,106.41,108.38,105.7575,106.4225,2261688,ok
2020-08-27,106.3175,107.805,103.255,106.9375,2635260,ok
2020-08-28,107.08,107.755,104.45,104.7375,2009108,ok
2020-08-31,104.51,106.9575,103.150225,106.3525,2669780,ok
2020-09-01,105.755,107.8225,104.976375,105.5475,2497976,ok
2020-09-02,105.9775,112.495,103.255,111.9275,6223232,ok
2020-09-03,109.0,111.615,102.25,103.2375,6118880,ok
2020-09-04,103.16,103.705,94.3375,99.56,5035320,ok
2020-09-08,97.7225,99.044875,95.795,97.2975,2913204,ok
2020-09-09,99.6125,100.965,97.56,100.42,3026220,ok
2020-09-10,101.3325,101.4175,97.1375,97.505,3157400,ok
2020-09-11,99.0125,99.85125,94.4525,95.865,2412212,ok
2020-09-14,96.5525,99.9325,96.525,98.4025,2465116,ok
2020-09-15,99.645,100.12125,97.995825,99.4925,1778628,ok
2020-09-16,99.9575,100.9925,97.88,98.48,2566532,ok
2020-09-17,95.655,97.4,93.905,96.5525,4666028,ok
2020-09-18,97.705,100.265,95.2525,97.3275,6378520,ok
2020-09-21,96.25,98.3025,95.41375,97.9225,2671392,ok
2020-09-22,98.045,99.6575,95.430025,99.5325,2636316,ok
2020-09-23,98.7775,99.6275,95.655,96.5175,2174268,ok
2020-09-24,95.25,96.94725,94.2025,95.5075,1695836,ok
2020-09-25,94.9459,100.6325,94.1925,100.59,2830680,ok
2020-09-28,99.75,100.375,96.7525,100.0475,4324604,ok
