Date,Open,High,Low,Close,Volume,Status
2020-01-02,107.94,108.35,106.76,107.34,1896563,ok
2020-01-03,105.58,107.7458,105.12,107.2,1840440,ok
2020-01-06,106.95,109.31,106.63,108.78,2934184,ok
2020-01-07,109.0,109.25,107.73,108.39,1694875,ok
2020-01-08,108.18,110.0,107.775,109.49,2651579,ok
2020-01-09,110.0,110.34,108.27,109.36,1818631,ok
2020-01-10,109.2,109.27,108.2,108.59,1756079,ok
2020-01-13,109.05,110.0668,108.62,109.82,1858712,ok
2020-01-14,109.66,110.17,108.71,109.58,1723409,ok
2020-01-15,109.79,110.445,109.14,109.61,1479099,ok
2020-01-16,110.0,111.29,109.946,111.26,2108561,ok
2020-01-17,112.37,112.99,111.55,112.93,3053254,ok
2020-01-21,112.55,112.97,111.77,112.41,2164968,ok
2020-01-22,112.77,114.04,112.68,113.09,2423116,ok
2020-01-23,112.92,113.73,112.0,113.48,1564885,ok
2020-01-24,114.02,114.13,111.63,112.33,2304177,ok
2020-01-27,110.24,111.19,109.95,110.56,2175505,ok
2020-01-28,111.29,112.88,111.06,111.9,2961856,ok
2020-01-29,112.51,112.96,111.24,112.21,2464719,ok
2020-01-30,111.43,111.885,110.31,111.64,3838545,ok
2020-01-31,110.75,110.75,105.5,107.92,6996154,ok
2020-02-03,107.93,109.45,104.4,105.04,4155951,ok
2020-02-04,106.44,107.42,105.33,107.07,4190905,ok
2020-02-05,108.62,108.96,107.12,107.82,2895699,ok
2020-02-06,108.8,110.35,108.405,110.0,2500746,ok
2020-02-07,109.17,110.955,108.74,109.09,2231256,ok
2020-02-10,109.02,109.76,108.23,108.7,2170799,ok
2020-02-11,108.95,109.23,107.94,109.04,1195348,ok
2020-02-12,109.67,109.98,108.59,109.72,1567210,ok
2020-02-13,109.15,109.34,107.97,108.84,1627014,ok
2020-02-14,108.9,109.89,108.75,109.69,1227518,ok
2020-02-18,109.09,109.83,108.7,109.46,2171412,ok
2020-02-19,110.1,110.9,109.4,109.78,1539982,ok
2020-02-20,108.72,109.37,107.445,109.2,4034215,ok
2020-02-21,108.49,108.94,106.8,108.01,2546911,ok
2020-02-24,105.05,107.93,105.02,107.03,2817317,ok
2020-02-25,107.72,109.22,105.235,105.38,3651288,ok
2020-02-26,106.36,108.26,105.6,106.54,2858165,ok
2020-02-27,104.35,106.4,102.72,102.74,4906228,ok
2020-02-28,100.29,101.89,98.59,101.37,6853693,ok
2020-03-02,101.92,106.93,101.71,106.89,4291754,ok
2020-03-03,106.73,109.71,105.38,106.7,3984827,ok
