Date,Open,High,Low,Close,Volume,Status
2020-01-02,36.41,36.5,36.14,36.3,4979348,ok
2020-01-03,35.92,36.1,35.78,35.96,3960887,ok
2020-01-06,35.78,35.82,35.46,35.78,5866016,ok
2020-01-07,35.67,35.7,35.35,35.62,6868280,ok
2020-01-08,35.71,36.08,35.57,35.595,6072582,ok
2020-01-09,35.14,35.45,34.97,35.18,10787739,ok
2020-01-10,35.21,35.23,34.79,34.89,5664374,ok
2020-01-13,34.85,34.89,34.56,34.73,7988734,ok
2020-01-14,34.67,35.37,34.51,35.35,7227472,ok
2020-01-15,35.43,35.72,35.045,35.33,10966043,ok
2020-01-16,35.39,35.995,35.27,35.92,6955922,ok
2020-01-17,35.32,35.9,35.28,35.82,12082467,ok
2020-01-21,35.6,35.86,35.47,35.72,6925480,ok
2020-01-22,35.81,36.07,35.625,35.89,8023517,ok
2020-01-23,35.82,35.98,35.545,35.61,7980240,ok
2020-01-24,35.79,35.79,35.1,35.36,9243579,ok
2020-01-27,34.79,35.74,34.75,35.48,10529174,ok
2020-01-28,35.61,36.45,35.485,36.21,15161775,ok
2020-01-29,35.055,35.53,34.345,34.58,21463618,ok
2020-01-30,34.36,35.14,34.25,35.06,12420060,ok
2020-01-31,34.86,35.03,33.53,33.56,18541265,ok
2020-02-03,33.75,34.53,33.71,34.39,14939947,ok
2020-02-04,35.1,39.25,34.33,37.41,46298187,ok
2020-02-05,36.86,37.45,36.6102,37.125,25896732,ok
2020-02-06,37.73,39.04,37.53,38.0,24981566,ok
2020-02-07,35.83,36.87,35.8,36.2,18990660,ok
2020-02-10,36.18,36.23,35.49,36.02,11638086,ok
2020-02-11,36.2,36.675,36.06,36.435,9380297,ok
2020-02-12,36.64,37.5,36.61,37.15,11499278,ok
2020-02-13,37.05,37.27,36.7,37.19,7317878,ok
2020-02-14,37.57,38.225,37.31,38.14,10998700,ok
2020-02-18,38.28,38.63,37.76,37.87,15224169,ok
2020-02-19,38.03,38.05,37.52,37.53,7598473,ok
2020-02-20,37.34,37.87,37.215,37.69,8940335,ok
2020-02-21,37.34,38.94,37.15,38.2,14697287,ok
2020-02-24,37.63,37.87,36.97,37.26,18961746,ok
2020-02-25,37.31,37.625,36.39,36.46,15856600,ok
2020-02-26,36.81,37.18,36.4202,36.69,11918253,ok
2020-02-27,36.15,36.45,35.01,35.04,16142639,ok
2020-02-28,34.09,34.77,33.71,34.64,16824887,ok
2020-03-02,34.62,35.965,34.275,35.96,13131255,ok
2020-03-03,35.73,37.42,35.66,36.72,18838655,ok
2020-03-04,37.32,38.54,37.14,38.49,13445437,ok
2020-03-05,37.48,38.215,37.07,37.22,11816775,ok
2020-03-06,35.71,36.79,35.585,36.39,12849857,ok
2020-03-09,34.02,36.13,33.64,35.52,15593959,ok
2020-03-10,36.49,36.61,35.0,36.04,15419023,ok
2020-03-11,35.15,35.74,34.36,34.83,13056788,ok
2020-03-12,32.74,35.04,32.5146,33.03,17224840,ok
2020-03-13,34.55,34.81,32.99,33.99,20972148,ok
2020-03-16,30.88,33.35,30.58,32.24,17099763,ok
2020-03-17,32.76,33.94,32.32,33.28,14020415,ok
2020-03-18,31.62,32.855,30.2,31.3,20304824,ok
2020-03-19,31.47,31.49,29.445,29.6,19461376,ok
2020-03-20,29.5,30.2,27.205,27.58,24947130,ok
2020-03-23,27.25,27.64,26.02,26.34,18502766,ok
