Date,Open,High,Low,Close,Volume,Status
2020-01-02,140.67,142.58,139.49,142.39,786984,ok
2020-01-03,140.19,143.05,140.19,142.87,710600,ok
2020-01-06,142.11,143.53,141.705,143.48,729424,ok
2020-01-07,143.58,143.81,142.36,143.21,578110,ok
2020-01-08,143.56,147.24,143.51,146.28,1165609,ok
2020-01-09,147.08,148.26,146.55,147.98,703112,ok
2020-01-10,148.31,148.31,146.48,146.72,591164,ok
2020-01-13,146.81,148.85,146.81,148.59,571345,ok
2020-01-14,148.25,148.705,147.11,147.18,662865,ok
2020-01-15,147.24,150.17,146.73,149.77,681059,ok
2020-01-16,150.81,151.1799,149.4,151.02,560931,ok
2020-01-17,151.42,153.62,150.4611,153.03,836683,ok
2020-01-21,152.53,154.48,151.76,154.34,910009,ok
2020-01-22,154.68,155.425,153.72,154.75,678100,ok
2020-01-23,154.09,155.04,152.63,154.95,473983,ok
2020-01-24,155.32,155.4,153.2,154.01,589022,ok
2020-01-27,151.62,153.51,150.4,153.03,476919,ok
2020-01-28,153.56,155.245,153.03,154.65,1033424,ok
2020-01-29,155.25,155.7,154.04,154.42,487849,ok
2020-01-30,153.31,154.19,151.01,152.73,760028,ok
2020-01-31,151.62,152.44,148.98,149.9,751423,ok
2020-02-03,150.7,152.51,150.535,152.27,527391,ok
2020-02-04,154.19,155.82,153.74,155.34,579640,ok
2020-02-05,156.42,157.09,155.1,155.89,493016,ok
2020-02-06,156.89,156.95,155.75,155.97,472866,ok
2020-02-07,155.53,156.21,155.2,155.61,479893,ok
2020-02-10,155.08,155.685,153.68,154.72,606928,ok
2020-02-11,155.99,155.99,153.21,153.31,571010,ok
2020-02-12,153.22,154.96,151.62,154.52,1285626,ok
2020-02-13,155.86,164.77,153.52,162.26,1751954,ok
2020-02-14,163.0,164.385,162.05,162.96,900208,ok
2020-02-18,162.6,162.6,159.29,159.63,923145,ok
2020-02-19,160.12,162.29,159.77,161.88,789804,ok
2020-02-20,161.56,162.09,159.2,161.43,565613,ok
2020-02-21,160.48,161.315,158.78,159.53,786579,ok
2020-02-24,154.95,157.929,154.41,155.7,988488,ok
2020-02-25,156.74,157.0,150.76,152.19,951297,ok
2020-02-26,153.35,155.56,151.6,153.39,873187,ok
2020-02-27,150.56,152.085,145.01,145.09,1002959,ok
2020-02-28,139.94,143.53,138.495,142.04,1611480,ok
2020-03-02,143.97,151.03,143.05,150.87,1219985,ok
2020-03-03,150.33,154.37,148.9,151.27,1529149,ok
2020-03-04,153.97,163.04,152.6,162.87,1500742,ok
2020-03-05,158.93,161.03,155.68,158.25,1703331,ok
2020-03-06,153.42,155.97,149.36,154.18,1496701,ok
2020-03-09,144.27,148.32,141.24,141.69,1331818,ok
2020-03-10,145.77,152.87,143.06,152.86,1249722,ok
2020-03-11,148.44,152.03,140.99,145.48,1627192,ok
2020-03-12,134.6,139.76,129.44,135.47,2160057,ok
2020-03-13,140.42,142.42,130.71,140.71,1713366,ok
2020-03-16,128.68,131.74,120.68,128.93,1559285,ok
2020-03-17,131.81,136.34,128.97,134.0,1668984,ok
2020-03-18,123.85,127.17,107.81,124.11,1862176,ok
2020-03-19,122.7,122.7,107.22,115.41,1724655,ok
2020-03-20,117.0,118.0,105.35,105.65,1240361,ok
2020-03-23,104.6,110.98,103.01,104.62,1525652,ok
2020-03-24,108.38,114.93,107.15,113.66,1390933,ok
2020-03-25,113.34,119.47,108.31,115.72,1392280,ok
2020-03-26,117.42,122.21,117.025,121.65,902569,ok
2020-03-27,118.19,123.22,117.07,119.55,749917,ok
2020-03-30,120.71,124.61,119.6245,122.1,940930,ok
2020-03-31,121.24,122.91,119.04,119.45,1161842,ok
