Date,Open,High,Low,Close,Volume,Status
2020-01-02,80.4,80.4,78.565,78.67,1152812,ok
2020-01-03,77.4,77.58,75.93,75.95,1461474,ok
2020-01-06,75.64,76.84,75.4,75.51,1275553,ok
2020-01-07,74.62,75.78,74.18,74.98,1434061,ok
2020-01-08,75.14,75.49,74.27,75.2,965865,ok
2020-01-09,75.25,75.68,74.36,75.37,1013914,ok
2020-01-10,75.49,76.05,74.65,74.79,707487,ok
2020-01-13,75.1,76.305,74.86,76.19,828833,ok
2020-01-14,76.59,77.4144,76.12,76.53,1172131,ok
2020-01-15,75.83,76.66,75.66,76.2,604101,ok
2020-01-16,76.46,76.94,75.97,76.93,713919,ok
2020-01-17,77.13,77.65,76.6822,77.45,1342988,ok
2020-01-21,76.99,77.06,75.22,75.71,715853,ok
2020-01-22,75.66,75.96,73.43,73.54,1213791,ok
2020-01-23,72.98,74.17,71.62,74.06,1355986,ok
2020-01-24,74.15,74.15,72.9,73.17,1472461,ok
2020-01-27,71.09,71.49,69.81,69.83,1960371,ok
2020-01-28,70.29,70.81,69.75,70.15,1576171,ok
2020-01-29,70.51,71.64,70.46,70.83,1315326,ok
2020-01-30,69.83,69.92,68.58,69.55,2051759,ok
2020-01-31,69.69,73.17,69.64,71.27,2693151,ok
2020-02-03,71.65,72.75,71.17,72.2,1431049,ok
2020-02-04,73.35,74.19,72.81,73.08,1198465,ok
2020-02-05,73.96,75.51,73.62,75.47,1485078,ok
2020-02-06,75.8,75.88,73.31,73.91,1113694,ok
2020-02-07,73.0,73.73,72.115,72.38,891941,ok
2020-02-10,72.08,73.4,71.9,73.13,1079539,ok
2020-02-11,73.73,75.43,73.54,74.3,703315,ok
2020-02-12,75.5,76.76,75.0,75.68,772195,ok
2020-02-13,75.09,75.72,74.445,75.03,654889,ok
2020-02-14,75.09,75.17,73.745,74.73,799805,ok
2020-02-18,73.9,74.17,71.78,72.7,1439666,ok
2020-02-19,73.0,73.43,72.39,73.16,801159,ok
2020-02-20,73.19,74.49,73.08,74.13,664172,ok
2020-02-21,73.54,73.93,73.11,73.6,679530,ok
2020-02-24,71.06,71.58,70.4,71.04,1511585,ok
2020-02-25,71.36,71.36,66.19,66.57,1417170,ok
2020-02-26,67.15,67.9,65.75,65.81,1106109,ok
2020-02-27,64.21,65.97,62.48,62.48,2797220,ok
2020-02-28,60.42,62.03,59.31,61.51,3081259,ok
2020-03-02,62.21,63.01,60.14,62.93,2238710,ok
