Date,Open,High,Low,Close,Volume,Status
2020-01-02,214.12,216.43,213.38,216.31,229584,ok
2020-01-03,213.7,217.76,212.94,217.4,216468,ok
2020-01-06,214.39,215.0,212.0,214.2,497454,ok
2020-01-07,214.1,216.82,212.7,215.61,159617,ok
2020-01-08,215.39,221.7,214.31,221.38,333886,ok
2020-01-09,222.98,224.215,221.24,223.29,183540,ok
2020-01-10,223.82,224.71,222.41,223.08,214383,ok
2020-01-13,225.04,229.13,224.5774,228.56,186617,ok
2020-01-14,228.33,229.93,226.465,227.17,349571,ok
2020-01-15,228.15,231.21,228.11,228.71,148630,ok
2020-01-16,230.45,233.84,229.85,233.71,217277,ok
2020-01-17,233.83,233.88,229.685,232.43,266308,ok
2020-01-21,230.98,233.37,230.43,231.81,306013,ok
2020-01-22,232.82,236.04,232.49,232.51,355649,ok
2020-01-23,232.09,232.6,230.28,230.3,237103,ok
2020-01-24,231.67,232.513,226.11,227.57,210244,ok
2020-01-27,221.69,227.29,220.02,226.84,311545,ok
2020-01-28,228.58,234.4,227.71,233.33,185357,ok
2020-01-29,234.04,235.81,233.43,233.43,181291,ok
2020-01-30,231.07,233.56,229.355,231.92,191050,ok
2020-01-31,231.0,231.28,226.5,228.14,205010,ok
2020-02-03,228.893,235.18,228.893,234.25,223289,ok
2020-02-04,234.75,240.46,234.74,238.6,198941,ok
2020-02-05,242.09,242.09,230.1,232.1,328533,ok
2020-02-06,233.82,236.4,232.675,234.78,157953,ok
2020-02-07,233.45,234.17,231.42,233.02,127001,ok
2020-02-10,232.16,235.525,232.16,235.33,178460,ok
2020-02-11,236.81,236.99,231.28,231.47,207399,ok
2020-02-12,232.57,233.56,228.31,232.35,394111,ok
2020-02-13,231.23,234.68,231.1,232.95,286341,ok
2020-02-14,233.75,236.94,232.28,236.75,243913,ok
2020-02-18,236.25,237.44,233.39,237.0,458864,ok
2020-02-19,237.0,240.77,237.0,240.0,325960,ok
2020-02-20,245.0,248.27,235.0,238.05,682824,ok
2020-02-21,236.74,237.97,228.85,231.36,384480,ok
2020-02-24,221.5,227.55,218.97,226.03,411448,ok
2020-02-25,226.99,227.576,215.65,216.96,361999,ok
2020-02-26,217.47,224.77,217.15,221.89,479736,ok
2020-02-27,219.34,225.805,216.6262,220.84,536872,ok
2020-02-28,214.16,223.37,212.4623,223.2,613897,ok
2020-03-02,224.02,229.87,217.99,229.87,402180,ok
2020-03-03,230.39,231.99,221.05,225.0,343345,ok
2020-03-04,229.31,236.0,226.04,235.95,199028,ok
2020-03-05,231.36,236.65,231.36,232.44,332985,ok
2020-03-06,226.39,227.69,219.675,226.4,683362,ok
2020-03-09,211.14,215.33,204.03,206.47,602915,ok
2020-03-10,211.81,219.42,209.06,218.32,546839,ok
2020-03-11,213.34,216.06,196.98,202.71,505200,ok
2020-03-12,188.75,188.75,161.97,163.44,835551,ok
2020-03-13,181.55,192.36,173.691,192.0,983821,ok
2020-03-16,167.48,181.91,158.25,160.13,799511,ok
2020-03-17,163.21,184.97,158.3701,184.08,574399,ok
2020-03-18,173.86,176.65,160.0,167.77,709861,ok
2020-03-19,164.97,168.63,151.97,165.26,343703,ok
2020-03-20,169.0,179.0,165.5,168.07,783518,ok
2020-03-23,164.74,173.535,160.57,168.01,808244,ok
2020-03-24,180.0,185.85,171.76,178.31,449359,ok
2020-03-25,180.27,184.42,170.33,175.05,341369,ok
2020-03-26,177.03,185.47,173.67,185.47,406554,ok
2020-03-27,179.97,184.5294,173.93,175.22,446607,ok
2020-03-30,176.5,189.45,176.3336,188.22,443472,ok
2020-03-31,186.86,195.75,183.24,185.66,586454,ok
2020-04-01,179.1,182.1,174.1,176.16,251245,ok
2020-04-02,173.48,178.23,167.8,172.02,530196,ok
2020-04-03,170.15,171.14,158.83,161.57,474306,ok
2020-04-06,169.85,185.74,167.395,184.43,511554,ok
2020-04-07,193.14,193.9872,183.0701,184.98,278587,ok
2020-04-08,190.0,190.0,183.51,187.86,260617,ok
2020-04-09,190.0,196.89,188.24,192.29,380813,ok
2020-04-13,193.0,198.035,187.23,197.14,436859,ok
2020-04-14,200.0,207.69,199.05,200.62,463561,ok
2020-04-15,197.0,207.94,193.4,206.53,548592,ok
2020-04-16,207.64,208.44,198.81,199.13,346754,ok
2020-04-17,205.04,211.47,202.44,209.94,337532,ok
2020-04-20,208.38,211.03,203.6,206.66,238245,ok
2020-04-21,204.49,206.935,193.22,193.98,401507,ok
2020-04-22,199.79,203.14,195.85,200.81,309063,ok
2020-04-23,203.12,209.56,203.12,204.75,283075,ok
2020-04-24,200.05,203.67,195.39,203.03,413847,ok
2020-04-27,204.01,206.95,201.89,205.78,338906,ok
2020-04-28,208.91,212.7099,207.79,208.55,335707,ok
2020-04-29,212.72,224.2,212.345,223.43,263754,ok
2020-04-30,220.79,226.05,219.13,220.89,370305,ok
2020-05-01,216.96,219.38,213.51,216.33,220873,ok
2020-05-04,214.57,217.61,213.1205,216.21,231473,ok
2020-05-05,218.4,225.27,217.36,221.89,310885,ok
2020-05-06,222.94,225.87,220.93,222.97,510109,ok
2020-05-07,224.0,234.41,222.581,227.01,507089,ok
2020-05-08,227.05,234.41,222.01,223.3,366537,ok
2020-05-11,221.53,230.92,221.53,228.03,408722,ok
2020-05-12,229.0,230.91,221.26,221.26,246297,ok
2020-05-13,220.78,222.9,208.78,212.02,446717,ok
2020-05-14,209.5,209.5,203.32,209.03,571637,ok
2020-05-15,206.49,218.78,205.24,216.97,358031,ok
2020-05-18,219.22,226.49,219.22,221.93,276073,ok
2020-05-19,222.65,225.34,218.52,218.64,284606,ok
2020-05-20,221.97,224.49,221.16,223.96,242612,ok
2020-05-21,223.37,227.47,222.38,223.86,282188,ok
2020-05-22,225.0,225.075,221.87,223.45,308079,ok
2020-05-26,228.0,228.51,222.98,223.93,338687,ok
2020-05-27,225.0,225.0,217.18,223.93,514370,ok
2020-05-28,222.2,235.03,222.2,228.07,513957,ok
2020-05-29,228.0,234.29,226.7,230.64,529628,ok
2020-06-01,230.0,234.8858,229.15,233.86,152305,ok
2020-06-02,234.21,234.36,226.45,232.63,223934,ok
2020-06-03,232.84,234.5,228.26,228.91,301355,ok
2020-06-04,227.33,229.435,221.41,224.39,294791,ok
2020-06-05,226.59,241.6165,226.59,238.05,716899,ok
2020-06-08,240.0,240.495,230.485,237.98,476548,ok
2020-06-09,237.18,238.09,233.0,235.0,403688,ok
2020-06-10,237.7,241.79,234.34,239.8,305546,ok
2020-06-11,233.16,236.8242,229.18,232.15,512167,ok
2020-06-12,237.21,238.115,228.71,235.0,461058,ok
2020-06-15,229.95,234.76,225.7,234.55,448885,ok
2020-06-16,239.49,241.16,234.3,235.83,323268,ok
2020-06-17,236.05,243.91,236.05,242.21,234130,ok
2020-06-18,241.86,242.86,239.99,242.18,194828,ok
2020-06-19,246.03,252.72,243.87,252.32,913657,ok
2020-06-22,252.3,254.955,249.1656,251.15,495991,ok
2020-06-23,252.7,257.98,249.47,253.68,393119,ok
2020-06-24,252.29,254.0,243.96,247.5,330132,ok
2020-06-25,248.0,251.14,245.665,250.99,354196,ok
2020-06-26,250.99,252.45,243.68,244.38,793932,ok
2020-06-29,245.0,247.58,239.61,246.09,238388,ok
2020-06-30,245.87,252.18,245.65,252.01,332433,ok
2020-07-01,252.75,254.68,249.26,252.96,275820,ok
2020-07-02,254.42,255.865,249.98,250.16,257981,ok
2020-07-06,253.78,257.73,252.84,253.2,446923,ok
2020-07-07,251.93,258.98,251.26,252.25,263861,ok
2020-07-08,254.24,257.62,253.3,255.66,274882,ok
2020-07-09,258.03,262.51,255.19,262.1,254802,ok
2020-07-10,260.71,263.355,258.31,261.14,165305,ok
2020-07-13,262.52,266.06,250.86,252.54,386803,ok
2020-07-14,250.46,254.22,246.01,253.61,290673,ok
2020-07-15,257.28,260.275,255.34,260.07,139762,ok
2020-07-16,258.16,260.21,255.665,258.22,264359,ok
2020-07-17,260.82,265.16,259.48,264.69,190891,ok
2020-07-20,265.12,280.39,264.8901,278.86,408197,ok
2020-07-21,278.95,282.5575,276.82,278.52,605702,ok
2020-07-22,278.8,280.09,275.72,278.13,241957,ok
2020-07-23,279.15,283.39,273.62,278.22,200704,ok
2020-07-24,275.27,276.39,271.0,274.1,231829,ok
2020-07-27,275.0,282.09,274.5,280.05,237433,ok
2020-07-28,279.34,280.32,274.73,276.93,261165,ok
2020-07-29,278.76,284.68,278.76,284.51,402704,ok
2020-07-30,281.42,287.63,279.52,287.05,250134,ok
2020-07-31,287.59,290.12,281.0,290.08,385444,ok
2020-08-03,291.98,294.98,288.88,291.75,212005,ok
2020-08-04,291.17,292.1128,288.27,291.47,211459,ok
2020-08-05,293.25,295.595,289.53,294.11,398547,ok
2020-08-06,296.35,304.8,286.8973,297.48,360880,ok
2020-08-07,298.21,306.41,296.62,298.0,351565,ok
2020-08-10,296.81,299.56,291.509,298.73,188709,ok
2020-08-11,297.65,299.09,294.25,295.94,256273,ok
2020-08-12,305.0,314.315,303.338,312.2,358689,ok
2020-08-13,311.21,314.7412,307.725,308.72,324240,ok
2020-08-14,308.81,311.41,306.585,307.97,132669,ok
2020-08-17,310.0,313.2225,307.99,308.38,200018,ok
2020-08-18,307.71,310.0,300.96,304.05,428636,ok
2020-08-19,304.34,307.3,302.23,303.76,177747,ok
2020-08-20,301.07,304.99,301.0,302.79,363419,ok
2020-08-21,304.0,309.99,302.24,308.56,239553,ok
2020-08-24,310.0,315.67,310.0,313.43,279226,ok
2020-08-25,315.0,320.09,314.95,319.3,267112,ok
2020-08-26,320.0,325.92,319.26,323.01,307166,ok
2020-08-27,324.88,326.93,321.58,323.73,305937,ok
2020-08-28,325.0,328.58,325.0,326.28,315765,ok
2020-08-31,327.34,328.96,325.0,327.1,236670,ok
2020-09-01,327.13,335.72,327.03,334.78,267812,ok
2020-09-02,336.0,338.91,330.9,337.74,334987,ok
2020-09-03,334.4,334.4,319.4,324.5,345000,ok
2020-09-04,322.67,322.9,303.43,316.3,409397,ok
2020-09-08,305.01,314.03,301.67,309.35,365917,ok
2020-09-09,315.02,321.891,312.9665,318.92,315761,ok
2020-09-10,322.5,327.48,317.785,318.47,358319,ok
2020-09-11,319.43,319.75,312.14,314.95,244787,ok
