Date,Open,High,Low,Close,Volume,Status
2020-01-02,81.32,81.48,79.35,79.77,1797768,ok
2020-01-03,79.45,80.92,79.41,80.8,1326653,ok
2020-01-06,80.64,81.45,80.17,81.03,1764282,ok
2020-01-07,79.86,80.86,79.51,79.83,1194829,ok
2020-01-08,79.92,80.45,79.64,80.0,2388899,ok
2020-01-09,79.93,80.485,79.77,80.41,892804,ok
2020-01-10,80.58,81.3,80.16,81.26,1290997,ok
2020-01-13,81.06,82.31,81.06,82.28,1397514,ok
2020-01-14,81.89,82.0,80.68,81.16,1223474,ok
2020-01-15,81.63,82.25,81.24,82.07,1228056,ok
2020-01-16,82.19,82.53,81.63,82.51,1021590,ok
2020-01-17,82.45,82.79,81.99,82.5,1797376,ok
2020-01-21,82.94,83.32,82.38,83.3,1577335,ok
2020-01-22,83.63,83.78,82.1,82.39,1427405,ok
2020-01-23,82.42,83.11,82.05,83.08,1308475,ok
2020-01-24,83.25,83.28,82.27,82.76,1117913,ok
2020-01-27,82.45,83.01,82.12,82.34,1198930,ok
2020-01-28,82.48,83.07,82.23,82.72,1473476,ok
2020-01-29,86.2,87.53,81.21,82.27,2311017,ok
2020-01-30,81.96,83.99,81.83,83.97,1820328,ok
2020-01-31,83.99,84.24,82.88,83.08,1514218,ok
2020-02-03,83.35,83.87,82.66,82.84,1560519,ok
2020-02-04,83.0,83.99,82.96,83.64,815069,ok
2020-02-05,83.56,84.21,83.03,83.31,976527,ok
2020-02-06,83.52,84.04,83.47,83.87,1141503,ok
2020-02-07,84.12,84.45,83.82,84.2,1517544,ok
2020-02-10,84.74,84.97,84.34,84.94,1477786,ok
2020-02-11,84.85,85.29,84.5,84.79,1265248,ok
2020-02-12,84.65,85.265,84.23,84.79,1418230,ok
2020-02-13,84.62,85.42,84.62,85.22,1202459,ok
2020-02-14,85.57,86.46,85.45,86.46,939223,ok
2020-02-18,86.68,86.86,85.44,86.27,879840,ok
2020-02-19,86.19,86.2699,85.325,85.34,1068522,ok
2020-02-20,85.4,86.47,85.083,86.4,1023789,ok
2020-02-21,86.18,87.14,86.1,87.01,1517417,ok
2020-02-24,86.37,87.19,85.73,85.79,1058987,ok
2020-02-25,86.04,86.21,83.39,83.51,1270545,ok
2020-02-26,83.92,84.575,83.35,83.36,1997257,ok
2020-02-27,82.4,83.365,78.45,78.46,2179536,ok
2020-02-28,77.16,77.16,73.3,75.1,3257545,ok
2020-03-02,75.56,79.1,75.23,79.07,2325393,ok
2020-03-03,79.09,81.07,78.0,78.56,2805441,ok
2020-03-04,79.69,81.18,78.835,81.03,2379570,ok
2020-03-05,79.92,80.46,78.22,79.37,1623649,ok
2020-03-06,77.3,78.2,75.33,77.64,2233463,ok
2020-03-09,73.15,75.58,73.1,74.47,3436039,ok
2020-03-10,76.15,79.93,75.13,79.93,4259790,ok
2020-03-11,78.01,78.03,74.67,75.1,3700882,ok
2020-03-12,70.36,75.93,68.3,70.01,5119199,ok
2020-03-13,74.0,74.22,69.29,73.61,4670841,ok
2020-03-16,68.57,68.84,61.1,61.16,4111774,ok
2020-03-17,63.06,66.88,60.85,66.46,3220814,ok
2020-03-18,62.2,64.71,58.605,60.87,3663651,ok
2020-03-19,60.5,62.93,59.01,60.61,3510893,ok
2020-03-20,60.29,61.21,54.62,55.29,3495123,ok
2020-03-23,55.29,55.395,49.62,51.39,3681983,ok
2020-03-24,53.09,54.45,50.64,52.15,3835083,ok
2020-03-25,51.68,57.88,50.18,54.57,3843943,ok
2020-03-26,54.57,59.38,53.34,59.23,3252425,ok
2020-03-27,57.28,64.43,57.01,62.68,2830571,ok
2020-03-30,63.49,63.89,59.34,62.58,3550714,ok
2020-03-31,61.71,62.52,59.04,61.71,5240444,ok
2020-04-01,59.07,59.96,54.88,57.7,2907289,ok
2020-04-02,56.26,58.0558,53.24,54.57,3175690,ok
2020-04-03,53.97,55.42,52.79,54.26,2757933,ok
2020-04-06,57.1,60.47,56.48,60.11,2530820,ok
2020-04-07,62.55,63.75,60.59,60.68,2742403,ok
2020-04-08,61.33,65.79,60.66,65.25,3264670,ok
2020-04-09,66.27,70.61,66.27,69.42,3805979,ok
2020-04-13,68.62,68.935,66.14,66.5,1482713,ok
2020-04-14,68.27,69.89,67.86,68.92,1580578,ok
2020-04-15,66.86,67.9699,65.06,65.99,2252266,ok
2020-04-16,66.09,67.06,64.57,65.23,2300546,ok
2020-04-17,66.84,70.15,66.33,69.79,1790388,ok
2020-04-20,68.51,69.28,65.54,65.61,2056061,ok
2020-04-21,63.55,65.46,63.52,63.81,2757688,ok
2020-04-22,64.97,66.13,64.6,65.66,1703458,ok
2020-04-23,65.83,65.93,63.28,63.81,1989112,ok
2020-04-24,62.02,64.58,61.15,63.99,2210617,ok
2020-04-27,64.85,65.705,64.15,65.3,1375576,ok
2020-04-28,67.07,67.4907,64.36,64.87,1962107,ok
2020-04-29,65.69,67.08,64.55,65.82,2046979,ok
2020-04-30,65.09,65.22,63.56,65.06,1843114,ok
2020-05-01,63.34,64.09,62.06,62.31,2073119,ok
2020-05-04,61.56,62.55,60.15,62.5,2262577,ok
2020-05-05,63.21,63.56,62.04,62.41,2763307,ok
