Date,Open,High,Low,Close,Volume,Status
2020-01-02,85.03,85.03,83.08,83.23,3173615,ok
2020-01-03,83.13,83.51,82.7,82.86,2199106,ok
2020-01-06,83.05,83.75,83.0,83.31,2718639,ok
2020-01-07,83.3,83.3,82.09,82.68,2432858,ok
2020-01-08,82.61,83.17,82.34,82.75,1548931,ok
2020-01-09,82.55,83.52,82.54,83.4,1372097,ok
2020-01-10,83.64,84.56,83.64,84.41,2028497,ok
2020-01-13,84.49,85.33,84.41,85.15,1691142,ok
2020-01-14,85.26,85.91,85.15,85.85,2317871,ok
2020-01-15,86.2,87.73,86.145,87.32,2197166,ok
2020-01-16,87.19,87.81,87.19,87.76,1908692,ok
2020-01-17,87.9,88.82,87.4,88.73,2209620,ok
2020-01-21,88.93,89.85,88.6,89.8,2227733,ok
2020-01-22,89.37,90.26,88.65,89.95,1521372,ok
2020-01-23,90.02,91.27,89.92,91.24,1809777,ok
2020-01-24,91.01,92.13,90.95,91.81,2008431,ok
2020-01-27,91.68,92.14,91.14,91.37,1727066,ok
2020-01-28,91.52,92.08,91.08,91.79,1743609,ok
2020-01-29,91.87,92.52,91.41,92.39,1376172,ok
2020-01-30,92.25,93.29,92.095,93.21,1508332,ok
2020-01-31,93.22,93.56,92.01,92.44,4749769,ok
2020-02-03,92.64,92.77,91.85,92.41,1399163,ok
2020-02-04,92.02,92.28,90.44,90.6,2599035,ok
2020-02-05,90.37,90.59,89.78,90.49,2131982,ok
2020-02-06,90.82,91.33,90.6,90.87,1286170,ok
2020-02-07,91.11,91.23,90.42,90.58,1243858,ok
2020-02-10,90.7,91.37,90.6,91.37,1246204,ok
2020-02-11,91.43,91.75,91.09,91.18,940792,ok
2020-02-12,90.78,91.68,90.62,91.26,1267056,ok
2020-02-13,91.36,92.55,91.0,92.48,1426387,ok
2020-02-14,92.79,93.81,92.79,93.66,1160261,ok
2020-02-18,94.13,94.9,93.75,94.81,1628380,ok
2020-02-19,94.84,94.93,94.3,94.3,1695022,ok
2020-02-20,97.07,99.42,94.77,95.65,2063157,ok
2020-02-21,95.72,97.24,95.46,95.96,2462337,ok
2020-02-24,95.87,96.44,95.105,95.21,2160428,ok
2020-02-25,95.31,96.17,93.09,93.38,2102468,ok
