Date,Open,High,Low,Close,Volume,Status
2020-01-02,95.24,95.88,94.24,95.87,2203938,ok
2020-01-03,94.23,95.24,93.71,95.16,1557897,ok
2020-01-06,94.54,95.43,94.27,95.34,3665159,ok
2020-01-07,94.16,94.995,94.01,94.84,2632362,ok
2020-01-08,94.84,95.56,94.65,95.13,2480492,ok
2020-01-09,95.61,95.64,94.82,95.19,2736940,ok
2020-01-10,95.52,95.61,94.7,94.98,2213033,ok
2020-01-13,94.63,95.03,94.25,94.86,1638280,ok
2020-01-14,95.05,95.19,93.99,94.1,2349912,ok
2020-01-15,93.55,94.29,93.34,93.9,2653192,ok
2020-01-16,94.71,94.84,93.98,94.82,1677013,ok
2020-01-17,94.79,95.95,94.62,95.68,2978620,ok
2020-01-21,95.35,95.49,94.32,94.52,3505271,ok
2020-01-22,98.32,99.82,96.59,97.16,5604149,ok
2020-01-23,96.33,97.97,95.41,97.9,3081270,ok
2020-01-24,98.26,98.31,96.43,96.84,2626023,ok
2020-01-27,94.86,95.15,93.96,94.64,2194436,ok
2020-01-28,94.84,97.02,94.68,96.27,3394249,ok
2020-01-29,96.87,97.48,96.12,96.87,2108130,ok
2020-01-30,95.62,97.41,95.49,97.23,2680516,ok
2020-01-31,96.38,96.86,94.025,94.47,4701832,ok
2020-02-03,95.06,96.81,94.95,95.49,2745651,ok
2020-02-04,97.97,101.54,97.86,100.91,4735385,ok
2020-02-05,102.32,103.205,101.675,102.34,3339436,ok
2020-02-06,103.5,103.5,101.86,102.48,2507867,ok
2020-02-07,101.9,102.94,101.13,101.96,3063989,ok
2020-02-10,101.84,102.93,101.5,102.91,2039630,ok
2020-02-11,103.42,104.39,103.01,103.53,2481266,ok
2020-02-12,104.5,104.97,103.8,104.03,2006249,ok
2020-02-13,103.41,103.98,102.82,102.89,2059513,ok
2020-02-14,102.96,103.6,102.51,103.55,1991932,ok
2020-02-18,104.03,104.64,103.52,104.47,2298410,ok
2020-02-19,104.5,104.98,104.16,104.31,1873054,ok
2020-02-20,104.26,105.78,104.095,105.1,1755692,ok
2020-02-21,104.23,105.14,103.8061,104.93,2465728,ok
2020-02-24,101.67,102.65,101.12,101.65,4178141,ok
2020-02-25,101.95,102.46,98.1,98.21,4140859,ok
2020-02-26,98.89,99.7407,96.58,96.58,4108627,ok
2020-02-27,94.34,96.63,92.63,93.24,5546358,ok
2020-02-28,90.82,92.1,89.08,90.72,6790079,ok
2020-03-02,91.5,95.75,91.01,95.68,5188931,ok
2020-03-03,96.27,99.26,92.49,92.85,5114596,ok
2020-03-04,94.71,98.2,94.425,98.12,4268982,ok
2020-03-05,94.92,96.395,93.32,93.66,3980361,ok
2020-03-06,90.31,93.93,90.08,92.77,4760047,ok
2020-03-09,85.09,86.47,78.0,83.13,5205877,ok
2020-03-10,86.23,89.52,84.63,89.06,4973962,ok
2020-03-11,86.41,87.5,83.11,84.37,4422864,ok
2020-03-12,78.25,80.49,75.01,75.92,5814852,ok
2020-03-13,80.82,87.04,78.19,85.56,5712266,ok
2020-03-16,75.81,81.28,74.87,75.32,4825509,ok
2020-03-17,76.9,77.98,70.28,73.74,5774007,ok
2020-03-18,68.13,69.44,58.72,68.82,5784857,ok
2020-03-19,67.52,72.68,62.1,72.45,4599012,ok
2020-03-20,73.86,73.86,64.475,64.93,4540884,ok
2020-03-23,63.83,64.31,56.415,57.77,6097249,ok
2020-03-24,61.64,72.41,61.165,71.21,5155932,ok
2020-03-25,72.09,79.31,69.412,74.6,5259105,ok
2020-03-26,76.29,78.96,73.82,78.25,3073456,ok
2020-03-27,73.03,76.51,71.92,74.54,2621388,ok
2020-03-30,74.42,78.71,74.0,78.32,2873415,ok
2020-03-31,77.67,79.04,75.87,77.69,5641240,ok
2020-04-01,72.57,74.035,71.13,73.14,3769692,ok
2020-04-02,72.44,75.09,71.58,73.59,3162497,ok
2020-04-03,74.12,74.12,70.34,71.25,2606693,ok
2020-04-06,75.21,77.89,75.13,77.4,3109271,ok
2020-04-07,81.17,82.25,75.935,76.16,3372098,ok
2020-04-08,77.24,80.7,76.13,80.14,3272812,ok
2020-04-09,80.69,84.835,80.5,81.44,4472118,ok
2020-04-13,79.4,79.93,76.7385,78.39,2238205,ok
2020-04-14,80.51,81.24,78.68,79.84,1943416,ok
2020-04-15,77.76,78.01,75.39,75.74,2040536,ok
2020-04-16,75.6,76.24,74.35,75.82,2960974,ok
2020-04-17,78.58,80.88,78.12,79.26,2450924,ok
2020-04-20,77.53,79.45,76.71,77.89,2181204,ok
2020-04-21,76.71,77.86,75.8,76.91,2400334,ok
2020-04-22,78.92,79.68,77.495,77.65,2639352,ok
2020-04-23,78.78,80.29,78.03,78.15,2289281,ok
2020-04-24,78.98,79.3809,77.7,78.86,2085053,ok
2020-04-27,79.29,83.23,79.29,82.54,1992281,ok
2020-04-28,84.53,85.45,82.63,83.1,2249204,ok
2020-04-29,84.99,86.77,84.3,85.78,2563586,ok
2020-04-30,85.31,85.49,82.67,83.5,3597945,ok
2020-05-01,82.0,82.89,79.87,82.07,2505796,ok
2020-05-04,80.47,81.14,78.095,79.32,2839853,ok
2020-05-05,81.05,82.3599,80.5,80.8,2260095,ok
2020-05-06,80.77,81.65,79.92,79.92,1825490,ok
2020-05-07,81.26,81.57,79.87,80.26,2219287,ok
2020-05-08,81.5,82.4,81.09,82.25,1555139,ok
2020-05-11,81.44,81.79,80.185,81.08,1786775,ok
2020-05-12,81.47,82.09,77.27,77.46,1996443,ok
2020-05-13,76.43,76.6,73.06,73.87,2336713,ok
2020-05-14,71.91,74.99,70.54,74.91,2734043,ok
2020-05-15,74.22,75.215,73.12,73.71,2661181,ok
2020-05-18,77.0,79.0,76.64,78.27,1916472,ok
2020-05-19,77.77,78.46,76.26,76.34,2356168,ok
2020-05-20,77.68,78.62,76.56,77.93,1905104,ok
2020-05-21,77.64,78.6724,77.47,78.29,2130067,ok
2020-05-22,78.41,78.755,77.06,78.67,1784379,ok
2020-05-26,80.23,82.45,80.17,81.92,2683100,ok
2020-05-27,84.28,86.47,83.91,86.28,3191019,ok
2020-05-28,86.96,87.1,84.635,85.13,3491155,ok
2020-05-29,84.31,85.16,83.06,84.9,3361668,ok
2020-06-01,84.67,85.36,84.18,84.66,1584138,ok
2020-06-02,85.14,85.62,84.24,85.62,1741342,ok
2020-06-03,86.9,89.5467,86.65,89.33,1819516,ok
2020-06-04,88.47,92.04,87.94,91.99,3069596,ok
2020-06-05,96.59,98.46,95.16,95.43,3398101,ok
2020-06-08,94.76,96.31,94.66,95.67,2574156,ok
2020-06-09,93.87,96.49,93.25,95.42,2260669,ok
2020-06-10,95.0,95.42,91.98,91.98,2023642,ok
2020-06-11,88.16,88.42,84.97,85.13,2069804,ok
2020-06-12,88.45,88.66,83.95,86.01,1788060,ok
2020-06-15,83.33,87.86,82.98,86.69,2651619,ok
2020-06-16,90.01,90.97,87.25,88.94,2000571,ok
2020-06-17,89.63,89.63,87.66,88.84,2027450,ok
2020-06-18,88.1,88.83,87.155,87.53,1932044,ok
2020-06-19,89.48,89.48,86.8,89.34,6551268,ok
2020-06-22,88.75,88.75,86.43,87.08,2600267,ok
2020-06-23,88.0,88.21,87.09,87.12,1841403,ok
2020-06-24,86.31,86.45,83.88,84.01,2500893,ok
2020-06-25,83.57,85.64,82.44,85.47,2502301,ok
2020-06-26,85.24,85.96,84.67,85.5,3696068,ok
2020-06-29,86.34,87.74,85.75,86.91,1690803,ok
2020-06-30,86.47,87.93,86.12,87.48,1910093,ok
2020-07-01,87.91,88.3,86.535,87.1,2183173,ok
2020-07-02,88.72,89.98,88.09,88.24,1587747,ok
2020-07-06,89.82,90.15,88.195,88.88,1516411,ok
2020-07-07,88.37,88.575,87.12,87.4,1499633,ok
2020-07-08,87.62,88.38,86.54,87.34,1561777,ok
2020-07-09,87.1,87.52,85.05,85.64,2132438,ok
2020-07-10,85.86,86.5,84.87,86.44,1380131,ok
2020-07-13,87.01,89.165,86.63,87.43,1557049,ok
2020-07-14,87.52,90.98,86.75,90.67,2221703,ok
2020-07-15,92.3,93.84,91.26,93.4,2711575,ok
2020-07-16,92.94,94.74,92.55,93.56,1397144,ok
2020-07-17,94.14,95.25,93.6305,94.57,1791929,ok
2020-07-20,94.05,94.155,92.43,92.78,1419165,ok
2020-07-21,93.4,94.6,93.0,93.56,1303372,ok
2020-07-22,93.16,94.42,93.12,93.97,903887,ok
2020-07-23,94.03,94.34,93.38,93.83,1200441,ok
2020-07-24,93.97,94.5,93.05,93.61,1004114,ok
2020-07-27,93.38,95.4,92.585,95.23,1265121,ok
2020-07-28,94.76,95.18,93.3,93.34,1374036,ok
2020-07-29,95.55,97.53,93.84,96.89,1964093,ok
2020-07-30,95.3,95.3,93.39,94.46,1396255,ok
2020-07-31,94.14,94.17,91.72,93.13,1664194,ok
2020-08-03,93.82,95.49,93.26,94.87,1278546,ok
2020-08-04,94.19,94.8,93.26,94.65,945629,ok
2020-08-05,95.43,96.8,95.3,96.34,1355713,ok
2020-08-06,96.17,96.765,95.54,96.51,960680,ok
2020-08-07,96.71,97.85,95.9601,97.76,1139960,ok
2020-08-10,97.92,99.96,97.58,99.76,1574474,ok
2020-08-11,100.28,103.73,100.28,102.18,2442787,ok
2020-08-12,103.43,103.45,102.11,102.55,2671218,ok
2020-08-13,101.11,101.92,100.6065,101.43,1803229,ok
2020-08-14,100.48,101.84,100.35,100.89,1192240,ok
2020-08-17,101.27,102.2,100.31,100.9,1513145,ok
2020-08-18,100.69,101.365,100.045,100.71,1205295,ok
2020-08-19,100.34,101.51,99.53,100.48,1365747,ok
2020-08-20,99.34,100.19,99.055,99.47,1209740,ok
2020-08-21,99.58,101.185,99.324,100.59,1658149,ok
2020-08-24,101.39,102.89,100.76,102.88,1595761,ok
2020-08-25,103.6,103.8164,101.82,102.82,1250067,ok
2020-08-26,102.44,102.82,101.315,102.4,1127353,ok
2020-08-27,102.88,103.26,101.4671,102.09,947961,ok
2020-08-28,102.49,103.57,101.51,103.51,1049714,ok
2020-08-31,103.07,103.4999,101.76,102.1,1690130,ok
2020-09-01,101.75,103.52,101.32,103.43,1256948,ok
2020-09-02,103.5,106.07,103.085,105.57,1393762,ok
2020-09-03,105.5,105.84,101.5,102.15,3002817,ok
2020-09-04,103.87,104.55,101.81,102.58,1545524,ok
2020-09-08,101.59,102.18,99.87,100.48,1450901,ok
2020-09-09,101.76,103.7,101.2,102.56,1346318,ok
2020-09-10,103.0,103.98,100.64,101.0,1299285,ok
2020-09-11,101.66,103.41,101.08,102.52,1049887,ok
2020-09-14,103.31,103.92,102.63,103.18,1686231,ok
2020-09-15,103.89,104.56,102.79,102.88,1490022,ok
2020-09-16,103.68,105.385,103.0,104.39,1897510,ok
2020-09-17,103.31,105.47,102.09,105.01,1384766,ok
2020-09-18,104.77,105.89,103.08,103.4,2613141,ok
2020-09-21,101.07,101.52,96.24,97.38,2353575,ok
2020-09-22,97.57,99.5583,97.02,99.31,1730477,ok
