Date,Open,High,Low,Close,Volume,Status
2020-01-02,9.29,9.42,9.19,9.42,43432239,ok
2020-01-03,9.31,9.37,9.15,9.21,45059915,ok
2020-01-06,9.1,9.17,9.06,9.16,43380677,ok
2020-01-07,9.2,9.25,9.12,9.25,45334552,ok
2020-01-08,9.23,9.3,9.17,9.25,46003049,ok
2020-01-09,9.3,9.31,9.18,9.26,51905116,ok
2020-01-10,9.27,9.36,9.25,9.25,39819244,ok
2020-01-13,9.25,9.26,9.11,9.24,48562151,ok
2020-01-14,9.22,9.33,9.21,9.29,42936052,ok
2020-01-15,9.27,9.3,9.18,9.19,55923869,ok
2020-01-16,9.23,9.28,9.15,9.17,44310388,ok
2020-01-17,9.19,9.23,9.13,9.16,41644871,ok
2020-01-21,9.15,9.22,9.1,9.21,49556423,ok
2020-01-22,9.22,9.25,9.15,9.16,39914759,ok
2020-01-23,9.14,9.16,8.93,9.14,75848669,ok
2020-01-24,9.11,9.12,8.96,9.0,68100949,ok
2020-01-27,8.88,8.96,8.78,8.89,60769335,ok
2020-01-28,8.94,9.0,8.86,8.97,85163404,ok
2020-01-29,8.85,8.955,8.84,8.86,59070709,ok
2020-01-30,8.81,8.84,8.73,8.84,42827802,ok
2020-01-31,8.78,8.84,8.74,8.82,59813731,ok
2020-02-03,8.85,9.14,8.85,8.98,71432659,ok
2020-02-04,9.08,9.24,9.07,9.18,86196417,ok
2020-02-05,8.41,8.48,8.26,8.31,145792527,ok
2020-02-06,8.37,8.38,8.25,8.25,68823367,ok
2020-02-07,8.21,8.21,8.02,8.11,98256476,ok
2020-02-10,8.15,8.15,8.05,8.06,71834905,ok
2020-02-11,8.1,8.15,8.08,8.1,80164532,ok
2020-02-12,8.14,8.33,8.13,8.24,111536751,ok
2020-02-13,8.21,8.36,8.21,8.25,67648837,ok
2020-02-14,8.27,8.27,8.08,8.1,46359668,ok
2020-02-18,8.12,8.1499,8.02,8.06,65207478,ok
2020-02-19,8.06,8.1,8.0,8.0,69668178,ok
2020-02-20,8.0,8.07,7.99,8.03,52318244,ok
2020-02-21,8.02,8.03,7.89,7.89,58326329,ok
2020-02-24,7.7,7.7197,7.55,7.57,110048156,ok
2020-02-25,7.68,7.68,7.22,7.23,108888298,ok
2020-02-26,7.3,7.46,7.21,7.21,92524842,ok
2020-02-27,7.13,7.28,6.92,6.97,118642394,ok
2020-02-28,6.84,6.96,6.67,6.96,116546727,ok
2020-03-02,7.11,7.23,6.88,7.2,96766032,ok
2020-03-03,7.29,7.34,6.89,6.97,97457775,ok
2020-03-04,7.09,7.09,6.92,7.08,70588065,ok
2020-03-05,6.96,6.97,6.71,6.74,78070888,ok
2020-03-06,6.6,6.68,6.4,6.49,109932196,ok
2020-03-09,5.97,6.14,5.87,5.9,103901655,ok
2020-03-10,6.26,6.29,5.8,6.26,101873628,ok
2020-03-11,6.06,6.11,5.88,5.9,98639098,ok
2020-03-12,5.38,5.69,5.2,5.35,89453102,ok
2020-03-13,5.87,5.9,5.12,5.63,125375287,ok
2020-03-16,5.04,5.22,5.0,5.01,110310935,ok
2020-03-17,5.08,5.14,4.7,5.01,104233465,ok
2020-03-18,4.75,4.84,4.1,4.5,125954745,ok
2020-03-19,4.33,4.58,4.1,4.47,126603765,ok
2020-03-20,4.54,4.75,4.25,4.33,129378586,ok
2020-03-23,4.27,4.52,3.96,4.01,134925017,ok
2020-03-24,4.47,4.99,4.26,4.95,146192141,ok
2020-03-25,5.77,5.87,5.12,5.39,198999447,ok
2020-03-26,5.36,5.65,5.16,5.25,138297998,ok
2020-03-27,5.07,5.3,4.91,5.19,106324033,ok
2020-03-30,5.11,5.1197,4.93,5.03,97879666,ok
2020-03-31,5.03,5.19,4.75,4.83,231800752,ok
2020-04-01,4.63,4.77,4.36,4.4,119174506,ok
2020-04-02,4.39,4.57,4.25,4.36,90891690,ok
2020-04-03,4.4,4.42,4.17,4.24,85659866,ok
2020-04-06,4.54,4.67,4.41,4.53,102205319,ok
2020-04-07,4.85,5.03,4.63,4.71,115150448,ok
2020-04-08,4.86,5.09,4.8,5.03,117022189,ok
2020-04-09,5.51,5.75,5.24,5.37,175833664,ok
2020-04-13,5.43,5.43,5.02,5.16,99320002,ok
2020-04-14,5.27,5.44,5.16,5.29,74877032,ok
2020-04-15,5.06,5.14,4.95,5.03,74727746,ok
2020-04-16,5.06,5.0697,4.89,4.94,58951213,ok
2020-04-17,5.17,5.28,5.03,5.12,91989318,ok
2020-04-20,5.01,5.09,4.91,4.98,71079442,ok
2020-04-21,4.89,4.92,4.72,4.77,82400209,ok
2020-04-22,4.87,4.89,4.75,4.77,62398608,ok
2020-04-23,4.8,4.98,4.77,4.89,61959760,ok
2020-04-24,4.93,4.96,4.8,4.87,54352479,ok
2020-04-27,4.91,5.19,4.88,5.17,91082846,ok
2020-04-28,5.49,5.54,5.215,5.38,106222815,ok
2020-04-29,5.33,5.5,5.2104,5.26,126393015,ok
2020-04-30,5.16,5.24,5.06,5.09,93437941,ok
2020-05-01,5.02,5.05,4.9,4.92,82660057,ok
2020-05-04,4.88,4.97,4.77,4.86,84214747,ok
2020-05-05,4.99,5.09,4.94,4.97,96301286,ok
2020-05-06,5.05,5.09,4.82,4.87,89390419,ok
2020-05-07,4.9,4.98,4.85,4.87,67222935,ok
2020-05-08,4.96,5.25,4.95,5.24,101333782,ok
2020-05-11,5.18,5.19,5.05,5.12,75734000,ok
2020-05-12,5.15,5.22,4.97,4.98,70965193,ok
2020-05-13,5.0,5.01,4.66,4.72,100192290,ok
2020-05-14,4.645,4.92,4.52,4.89,108061111,ok
2020-05-15,4.8,4.94,4.75,4.9,80544650,ok
2020-05-18,5.12,5.33,5.12,5.31,136241424,ok
2020-05-19,5.27,5.45,5.15,5.3,94836282,ok
2020-05-20,5.38,5.54,5.37,5.49,87685371,ok
2020-05-21,5.45,5.69,5.44,5.63,87098219,ok
2020-05-22,5.68,5.73,5.5,5.65,76656465,ok
2020-05-26,5.92,5.99,5.82,5.84,86046301,ok
2020-05-27,6.01,6.09,5.84,6.03,110413883,ok
2020-05-28,6.05,6.07,5.81,5.85,77126187,ok
2020-05-29,5.75,5.8,5.57,5.71,93039226,ok
2020-06-01,5.73,5.88,5.67,5.87,61938822,ok
2020-06-02,5.96,6.0,5.83,5.9,80046000,ok
2020-06-03,5.99,6.27,5.92,6.19,98876582,ok
2020-06-04,6.2,6.58,6.12,6.57,115798591,ok
2020-06-05,7.24,7.5,7.02,7.34,208648166,ok
