Date,Open,High,Low,Close,Volume,Status
2020-01-02,13.35,13.45,13.13,13.2,22717949,ok
2020-01-03,13.0,13.09,12.79,12.8,20404973,ok
2020-01-06,12.63,12.93,12.53,12.85,19146281,ok
2020-01-07,12.94,13.185,12.835,13.05,20929125,ok
2020-01-08,13.13,13.31,12.98,13.18,17485164,ok
2020-01-09,13.22,13.22,12.85,12.96,16543264,ok
2020-01-10,12.9,13.05,12.88,12.9,12266086,ok
2020-01-13,13.03,13.635,12.95,13.53,28783718,ok
2020-01-14,13.34,13.58,13.18,13.21,26546447,ok
2020-01-15,13.06,13.13,12.85,12.98,20449805,ok
2020-01-16,13.05,13.225,12.85,12.85,16999152,ok
2020-01-17,12.98,13.08,12.81,12.87,20145206,ok
2020-01-21,12.63,12.64,12.12,12.27,28941636,ok
2020-01-22,12.37,12.45,12.12,12.32,20845920,ok
2020-01-23,11.44,12.02,11.22,11.97,57230676,ok
2020-01-24,11.87,11.91,11.65,11.84,29554005,ok
2020-01-27,11.37,11.37,10.83,10.9,44484930,ok
2020-01-28,11.09,11.44,10.93,11.3,47002016,ok
2020-01-29,11.44,11.45,11.085,11.29,22385382,ok
2020-01-30,11.08,11.36,10.96,11.32,33247604,ok
2020-01-31,11.12,11.21,10.9,11.1,30504978,ok
2020-02-03,11.19,11.545,11.18,11.44,29629401,ok
2020-02-04,11.87,12.14,11.79,12.04,34272403,ok
2020-02-05,12.32,12.48,12.11,12.41,32753809,ok
2020-02-06,12.4,12.47,12.25,12.32,23101046,ok
2020-02-07,11.99,12.04,11.67,11.8,25463569,ok
2020-02-10,11.7,12.19,11.65,12.17,20093403,ok
2020-02-11,12.4,12.85,12.35,12.4,29614029,ok
2020-02-12,12.8,12.86,12.52,12.67,20173345,ok
2020-02-13,12.64,12.69,12.465,12.61,21059469,ok
2020-02-14,12.5,12.58,12.01,12.24,30484273,ok
2020-02-18,12.04,12.095,11.88,12.02,16416672,ok
2020-02-19,12.08,12.12,12.015,12.1,16686627,ok
2020-02-20,12.03,12.5,12.02,12.08,21147984,ok
2020-02-21,12.01,12.01,11.72,11.94,18502791,ok
2020-02-24,11.25,11.31,11.015,11.24,24486910,ok
