Date,Open,High,Low,Close,Volume,Status
2020-01-02,268.66,270.18,266.6,268.73,312922,ok
2020-01-03,265.92,269.38,264.87,268.67,237385,ok
2020-01-06,266.86,267.3,263.75,267.16,349970,ok
2020-01-07,267.0,270.35,266.19,267.03,237239,ok
2020-01-08,267.14,270.38,267.05,269.09,288587,ok
2020-01-09,270.68,272.48,268.42,268.79,434428,ok
2020-01-10,269.11,269.11,264.61,264.88,376920,ok
2020-01-13,264.92,268.72,264.92,266.99,364252,ok
2020-01-14,266.49,270.0,266.485,268.18,298476,ok
2020-01-15,268.08,272.25,268.08,271.51,270816,ok
2020-01-16,273.24,276.59,272.944,276.39,259515,ok
2020-01-17,277.06,278.04,274.86,275.72,241200,ok
2020-01-21,274.2,280.49,274.2,276.8,342816,ok
2020-01-22,278.3,281.93,278.3,279.24,256095,ok
2020-01-23,277.49,280.63,276.8756,280.11,227923,ok
2020-01-24,281.13,281.64,275.41,276.56,200857,ok
2020-01-27,272.37,276.55,271.49,274.27,272438,ok
2020-01-28,275.32,280.33,271.54,278.44,392971,ok
2020-01-29,279.95,288.94,279.71,287.6,548416,ok
2020-01-30,287.61,290.58,284.405,290.47,399073,ok
2020-01-31,289.47,291.96,284.74,286.11,971405,ok
2020-02-03,286.84,290.58,286.75,289.98,284179,ok
2020-02-04,292.5,297.02,292.5,295.07,271771,ok
2020-02-05,297.67,299.275,288.07,290.11,382977,ok
2020-02-06,290.86,293.1,288.565,289.92,312906,ok
2020-02-07,289.08,289.28,285.61,286.41,290870,ok
2020-02-10,285.4,290.81,285.0,290.07,344194,ok
2020-02-11,291.13,293.25,289.81,292.3,245856,ok
2020-02-12,293.36,295.58,290.815,293.26,241358,ok
2020-02-13,292.36,297.79,292.0,296.83,289735,ok
2020-02-14,297.33,300.57,296.83,299.54,190614,ok
2020-02-18,299.07,303.99,299.07,302.93,196250,ok
2020-02-19,304.88,310.25,304.88,308.66,300720,ok
2020-02-20,308.45,308.45,298.29,302.65,274818,ok
