Date,Open,High,Low,Close,Volume,Status
2020-01-02,152.42,155.1,151.6001,155.1,2924449,ok
2020-01-03,152.5,153.34,151.84,153.18,2218066,ok
2020-01-06,151.25,153.55,150.17,153.3,2390922,ok
2020-01-07,153.36,155.22,152.3396,154.8,2152799,ok
2020-01-08,154.57,157.75,153.93,157.13,3053816,ok
2020-01-09,157.95,158.3149,156.59,158.05,2240318,ok
2020-01-10,158.07,158.4256,156.14,156.63,2449562,ok
2020-01-13,156.72,159.53,156.71,159.28,1985446,ok
2020-01-14,159.15,164.5,158.62,162.13,5079642,ok
2020-01-15,163.02,163.02,158.67,159.15,2971759,ok
2020-01-16,160.59,161.47,158.84,159.54,2343849,ok
2020-01-17,159.39,161.18,158.555,159.98,1846149,ok
2020-01-21,159.1,159.16,156.81,157.53,2460352,ok
2020-01-22,157.49,158.8485,155.47,155.54,1911072,ok
2020-01-23,155.0,155.34,152.729,154.88,2059099,ok
2020-01-24,155.64,155.64,152.31,154.07,1973550,ok
2020-01-27,150.11,150.18,147.51,148.49,3368402,ok
2020-01-28,149.75,149.95,147.11,148.4,2189970,ok
2020-01-29,149.16,150.07,147.91,148.06,2524115,ok
2020-01-30,146.0,148.4,143.36,148.26,3380173,ok
2020-01-31,147.1,147.2886,143.585,144.64,3286187,ok
2020-02-03,145.5,147.4,143.6,143.84,1988791,ok
2020-02-04,146.37,148.24,146.0,147.51,2573855,ok
2020-02-05,149.5,150.85,148.82,149.95,2013840,ok
2020-02-06,151.38,151.38,148.49,148.63,1706790,ok
2020-02-07,147.3,157.44,146.417,155.66,6532572,ok
2020-02-10,158.8,160.29,156.2,156.78,3948585,ok
2020-02-11,158.27,159.56,156.871,158.0,2016806,ok
2020-02-12,159.2,159.81,157.23,158.51,1607548,ok
2020-02-13,157.79,161.83,156.48,161.47,2624570,ok
2020-02-14,160.46,161.29,158.0,158.62,1679023,ok
2020-02-18,159.31,160.91,156.3921,158.57,1924077,ok
2020-02-19,159.0,161.69,158.83,161.14,1699254,ok
2020-02-20,161.07,165.25,159.5,164.91,2602941,ok
2020-02-21,163.26,164.1431,161.69,163.25,1645324,ok
2020-02-24,156.26,157.715,152.62,154.85,3116493,ok
2020-02-25,155.66,155.8,144.81,145.6,4224244,ok
2020-02-26,147.42,149.39,143.56,144.53,2767399,ok
2020-02-27,140.76,145.49,136.48,138.76,3534997,ok
2020-02-28,135.0,141.195,134.055,141.17,4395611,ok
2020-03-02,142.18,142.52,135.28,139.75,4418592,ok
2020-03-03,140.0,142.17,132.56,133.09,4373332,ok
2020-03-04,135.06,136.46,132.1848,136.41,2854702,ok
2020-03-05,132.01,133.14,128.75,129.93,3150049,ok
2020-03-06,125.75,130.65,123.79,127.68,3886348,ok
2020-03-09,120.4,121.58,113.85,115.7,4048083,ok
2020-03-10,120.14,121.75,113.87,120.67,3564910,ok
2020-03-11,117.39,118.303,108.53,111.01,4758296,ok
2020-03-12,103.2,105.18,96.2,97.0,5156535,ok
2020-03-13,102.46,106.68,96.0,106.63,4274965,ok
2020-03-16,92.0,99.87,90.49,90.49,4417391,ok
2020-03-17,92.9,100.15,88.69,94.96,5548740,ok
2020-03-18,90.39,100.7,89.802,99.68,6997651,ok
2020-03-19,98.85,116.155,97.3712,111.68,4646855,ok
2020-03-20,113.88,118.7,106.59,111.06,4479231,ok
2020-03-23,110.94,115.0542,107.25,111.76,3933899,ok
2020-03-24,118.0,121.8,115.43,120.04,3014374,ok
2020-03-25,121.36,126.94,114.93,118.31,4133236,ok
2020-03-26,119.36,127.0,119.01,125.6,2714418,ok
2020-03-27,120.05,124.345,116.0,120.58,2619719,ok
2020-03-30,122.38,125.61,119.25,124.31,2281016,ok
2020-03-31,122.5,124.85,119.2619,121.26,2645622,ok
2020-04-01,116.01,118.75,112.3,113.48,2569879,ok
2020-04-02,112.53,117.3,111.59,116.64,2336099,ok
2020-04-03,115.24,116.0,107.69,109.22,3205226,ok
2020-04-06,113.04,119.81,113.01,119.02,3512611,ok
2020-04-07,124.91,125.48,115.75,115.95,3189340,ok
2020-04-08,123.0,127.23,119.92,125.54,5576525,ok
2020-04-09,129.61,130.0,120.16,122.29,4750452,ok
2020-04-13,125.19,125.19,121.74,123.53,2821781,ok
2020-04-14,125.74,126.98,122.0516,125.08,3084173,ok
2020-04-15,121.69,121.69,118.15,119.9,2944986,ok
2020-04-16,119.73,121.0,117.12,119.08,2238739,ok
2020-04-17,121.0,124.96,120.73,124.85,2463987,ok
2020-04-20,122.53,125.67,121.83,122.64,2241964,ok
2020-04-21,120.63,122.1754,119.62,120.48,1605823,ok
2020-04-22,122.52,122.965,118.4526,118.54,2085775,ok
2020-04-23,118.64,122.42,118.5001,120.88,2021396,ok
2020-04-24,121.41,123.19,119.48,123.06,2111604,ok
2020-04-27,124.16,128.5,122.315,127.29,2396049,ok
2020-04-28,129.81,129.89,125.16,127.74,2738959,ok
2020-04-29,130.0,131.8,128.46,129.48,2172469,ok
2020-04-30,127.93,127.93,125.75,126.77,1970365,ok
2020-05-01,124.52,124.56,117.5,118.2,3141832,ok
2020-05-04,117.12,117.56,114.61,115.85,2410818,ok
2020-05-05,117.83,120.12,117.13,117.67,1703140,ok
2020-05-06,118.89,119.42,115.08,115.12,1917077,ok
2020-05-07,116.94,118.87,116.15,116.74,1842638,ok
2020-05-08,118.25,120.89,118.18,120.44,1771658,ok
2020-05-11,118.39,119.37,116.28,117.56,1863500,ok
2020-05-12,118.0,118.11,113.08,113.14,1979407,ok
2020-05-13,113.08,113.15,108.25,109.34,2905946,ok
2020-05-14,107.36,109.18,103.4001,109.11,3254675,ok
2020-05-15,107.54,108.9596,106.25,107.52,2940043,ok
2020-05-18,113.49,120.0,112.7948,119.19,3603931,ok
2020-05-19,119.0,119.4,114.65,114.79,2484558,ok
2020-05-20,116.8,119.48,115.83,117.01,2604080,ok
2020-05-21,116.58,118.43,115.53,115.77,1740279,ok
2020-05-22,115.75,117.5563,114.92,117.0,2245903,ok
2020-05-26,122.99,126.74,121.94,124.81,3822989,ok
2020-05-27,128.0,130.78,125.5,130.43,3203049,ok
2020-05-28,131.0,133.91,129.3,131.15,3238881,ok
2020-05-29,130.19,130.89,126.44,130.56,3410065,ok
2020-06-01,129.05,130.46,127.46,129.71,1990588,ok
2020-06-02,130.83,134.5938,130.705,134.2,2522007,ok
2020-06-03,137.0,139.88,136.53,138.08,2729150,ok
2020-06-04,137.3,139.25,135.65,139.21,2001344,ok
2020-06-05,143.0,145.77,142.0,142.21,3583908,ok
2020-06-08,144.94,149.99,144.14,149.38,2709941,ok
2020-06-09,145.88,145.93,142.0957,144.69,2253078,ok
2020-06-10,144.0,144.41,140.32,140.4,2079582,ok
2020-06-11,133.95,134.47,127.81,128.81,4389256,ok
2020-06-12,134.59,135.0,129.14,132.72,2272897,ok
2020-06-15,128.42,134.63,127.29,133.68,1836992,ok
2020-06-16,138.15,139.3708,133.0,135.54,1654069,ok
2020-06-17,136.71,137.395,134.8718,135.66,1214489,ok
2020-06-18,134.92,139.34,134.5,138.39,2416243,ok
2020-06-19,140.76,140.88,135.615,137.63,2827671,ok
2020-06-22,136.55,137.745,135.2,137.38,1448152,ok
2020-06-23,138.55,139.8384,137.38,139.07,1385168,ok
2020-06-24,137.65,138.0,134.13,135.09,2357313,ok
2020-06-25,133.72,136.28,132.225,136.11,2310868,ok
2020-06-26,135.2,135.38,129.28,130.08,3282011,ok
2020-06-29,131.3,134.73,130.12,134.55,2336249,ok
2020-06-30,136.22,140.75,134.92,140.22,6473321,ok
2020-07-01,158.85,163.65,155.76,156.66,17967540,ok
2020-07-02,158.6,159.7225,155.28,155.48,4046921,ok
2020-07-06,157.9,158.4,153.6625,156.27,3015750,ok
2020-07-07,154.27,159.95,154.13,158.54,2583112,ok
2020-07-08,158.12,159.38,156.27,158.56,2110946,ok
2020-07-09,158.0,158.75,155.32,155.74,2238292,ok
2020-07-10,156.2,159.01,155.97,158.59,1746204,ok
2020-07-13,160.0,160.22,155.66,156.23,1736054,ok
2020-07-14,156.23,158.92,155.53,158.5,1641132,ok
2020-07-15,160.42,162.53,159.04,161.25,3333046,ok
2020-07-16,161.77,167.1,160.4689,166.1,4099971,ok
2020-07-17,167.28,168.12,164.91,165.98,2048506,ok
2020-07-20,164.89,165.55,162.81,164.13,1593586,ok
2020-07-21,165.1,167.56,164.41,165.5,1731912,ok
2020-07-22,164.64,165.94,163.44,165.14,1231859,ok
2020-07-23,165.41,167.39,164.65,165.99,1387204,ok
2020-07-24,164.69,166.88,164.19,165.04,1546235,ok
2020-07-27,165.0,170.72,163.86,170.64,2926388,ok
2020-07-28,169.42,170.3299,166.711,166.93,2374595,ok
2020-07-29,167.1,171.37,167.01,169.55,4623873,ok
2020-07-30,174.15,174.5,169.8601,172.71,5407268,ok
2020-07-31,172.0,172.71,167.99,168.4,2488103,ok
2020-08-03,169.55,170.585,168.53,169.22,1503570,ok
2020-08-04,169.22,171.48,169.2,170.66,1264202,ok
2020-08-05,171.85,172.4233,170.2442,171.7,1309963,ok
2020-08-06,172.0,173.48,171.32,172.24,1364902,ok
2020-08-07,172.47,183.88,172.47,183.53,6311099,ok
2020-08-10,188.16,200.46,187.34,199.98,10815110,ok
2020-08-11,199.99,203.585,195.14,196.45,5998248,ok
2020-08-12,200.0,206.24,199.015,201.96,6239385,ok
2020-08-13,200.68,204.79,199.61,203.86,3663846,ok
2020-08-14,202.07,209.6412,201.86,208.6,4632952,ok
2020-08-17,210.0,211.56,206.0373,206.64,2662020,ok
2020-08-18,206.37,208.43,204.18,206.97,3040684,ok
2020-08-19,206.84,210.94,206.84,207.88,2217960,ok
2020-08-20,206.23,209.2,205.06,208.82,1532805,ok
2020-08-21,209.16,212.94,208.5,210.49,2034054,ok
2020-08-24,212.96,217.95,211.99,217.4,3393717,ok
2020-08-25,219.17,219.58,213.22,214.31,2160235,ok
2020-08-26,215.73,217.12,214.08,215.77,1518191,ok
2020-08-27,216.1,218.875,215.08,218.21,2014856,ok
2020-08-28,218.23,223.66,218.01,221.9,2996129,ok
2020-08-31,221.8,224.2,219.8,219.84,1839581,ok
2020-09-01,219.99,226.55,219.1406,225.46,1904774,ok
2020-09-02,227.12,229.0,223.07,227.91,1680746,ok
2020-09-03,228.13,231.58,218.59,220.97,4003783,ok
2020-09-04,222.46,228.236,217.398,226.12,2879820,ok
2020-09-08,223.79,225.7478,219.72,221.05,2121067,ok
2020-09-09,226.0,228.845,224.12,225.75,3222696,ok
2020-09-10,229.49,229.49,222.89,224.44,2443294,ok
2020-09-11,226.44,233.67,225.47,232.79,4865220,ok
2020-09-14,240.99,241.0,232.5701,236.34,6583670,ok
2020-09-15,234.99,239.85,230.51,236.67,9847346,ok
2020-09-16,253.03,256.18,246.3,250.3,17082179,ok
2020-09-17,242.63,249.8,242.11,244.08,4254299,ok
2020-09-18,242.97,248.2,241.95,242.78,4348747,ok
2020-09-21,237.95,239.19,230.27,238.74,4109508,ok
2020-09-22,239.51,243.78,235.63,243.42,2651668,ok
2020-09-23,244.99,250.5104,241.04,241.42,3083045,ok
2020-09-24,244.01,247.2,239.5,244.22,3048346,ok
2020-09-25,241.68,251.8994,241.47,250.17,3212430,ok
2020-09-28,255.27,259.95,254.08,254.44,3309826,ok
2020-09-29,254.99,258.2,249.12,253.5,2204308,ok
2020-09-30,253.47,257.5061,249.5,251.52,2506013,ok
2020-10-01,255.26,257.79,252.88,254.08,2862287,ok
2020-10-02,250.55,258.55,250.0,255.2,3015325,ok
