Date,Open,High,Low,Close,Volume,Status
2020-01-02,289.88,291.41,286.73,287.74,783631,ok
2020-01-03,284.17,291.67,283.87,290.81,859077,ok
2020-01-06,289.21,290.48,287.61,289.19,988342,ok
2020-01-07,289.28,295.09,289.1,291.75,1574677,ok
2020-01-08,292.91,299.14,292.12,297.02,1058191,ok
2020-01-09,298.93,300.33,292.395,298.51,955560,ok
2020-01-10,300.15,300.15,291.825,292.4,983731,ok
2020-01-13,291.88,301.325,291.02,299.4,1359345,ok
2020-01-14,299.39,299.97,295.63,296.18,936606,ok
2020-01-15,297.02,305.43,296.57,303.08,988218,ok
2020-01-16,304.68,309.69,303.83,308.97,1001744,ok
2020-01-17,309.8,310.64,307.1165,310.04,1005553,ok
2020-01-21,310.03,313.86,309.19,310.98,820135,ok
2020-01-22,313.81,319.39,312.52,318.3,826817,ok
2020-01-23,318.29,318.955,314.85,316.7,649553,ok
2020-01-24,317.5,320.96,316.37,320.63,731609,ok
2020-01-27,315.64,318.6,312.61,313.25,593918,ok
2020-01-28,314.9,318.82,314.46,317.45,499446,ok
2020-01-29,318.03,322.29,317.12,319.55,367100,ok
2020-01-30,317.7,321.42,316.64,321.18,498859,ok
2020-01-31,320.87,322.375,315.21,315.23,897181,ok
2020-02-03,317.25,321.84,315.43,319.08,650921,ok
2020-02-04,322.99,325.73,322.29,323.93,478446,ok
2020-02-05,326.46,327.48,323.55,326.87,571647,ok
2020-02-06,327.66,329.85,326.86,328.85,582186,ok
2020-02-07,310.01,310.04,302.37,306.76,2258019,ok
2020-02-10,305.62,313.95,304.62,313.68,1084780,ok
2020-02-11,315.24,317.78,311.2901,315.75,919203,ok
2020-02-12,315.63,317.22,314.24,316.38,657900,ok
2020-02-13,314.63,320.205,314.01,317.58,655725,ok
2020-02-14,317.99,320.04,315.28,318.43,830008,ok
2020-02-18,318.0,323.6,317.465,320.57,756075,ok
2020-02-19,321.04,325.525,320.8,321.11,854316,ok
2020-02-20,320.77,322.26,312.99,317.39,1047550,ok
2020-02-21,315.0,315.22,306.44,308.92,905299,ok
2020-02-24,298.78,303.31,295.13,298.42,832571,ok
2020-02-25,299.29,299.46,286.83,288.38,961970,ok
2020-02-26,290.66,296.7,284.1,284.2,1079833,ok
2020-02-27,278.23,280.03,265.4,265.67,2044278,ok
2020-02-28,255.55,268.79,253.84,265.79,1680329,ok
2020-03-02,267.44,282.9,267.44,282.04,1452747,ok
2020-03-03,281.1,283.38,264.49,266.41,1444684,ok
2020-03-04,270.9,272.58,264.27,268.25,1213660,ok
2020-03-05,260.72,261.45,251.38,252.72,1250713,ok
2020-03-06,244.98,249.82,242.15,249.16,1936226,ok
2020-03-09,228.98,234.785,220.0,222.59,2406427,ok
2020-03-10,229.32,237.92,221.11,237.67,2659195,ok
2020-03-11,230.82,233.4,218.28,222.47,1452765,ok
2020-03-12,208.54,223.97,204.26,214.43,2677154,ok
2020-03-13,227.99,236.82,214.79,235.46,1779560,ok
2020-03-16,210.0,214.12,200.22,210.91,1759868,ok
2020-03-17,214.78,225.73,198.631,224.34,1767950,ok
2020-03-18,207.17,220.41,169.2423,200.51,1920998,ok
2020-03-19,197.39,209.56,183.9,193.3,1441859,ok
2020-03-20,197.7,210.15,185.72,187.03,1591637,ok
2020-03-23,186.0,186.225,168.51,171.72,1289891,ok
