Date,Open,High,Low,Close,Volume,Status
2020-01-02,100.37,101.4,99.45,99.88,1019703,ok
2020-01-03,98.5,99.42,98.32,99.23,835068,ok
2020-01-06,98.6,98.91,97.83,98.36,804898,ok
2020-01-07,98.92,101.25,98.29,100.15,1462872,ok
2020-01-08,100.33,100.72,98.8535,100.45,1433456,ok
2020-01-09,100.85,101.44,99.245,99.52,925461,ok
2020-01-10,99.79,99.79,97.47,98.0,734241,ok
2020-01-13,98.06,98.9,97.82,98.87,1020833,ok
2020-01-14,98.78,99.14,98.16,98.28,731158,ok
2020-01-15,98.87,99.225,97.99,98.51,629492,ok
2020-01-16,98.86,99.62,98.525,99.59,485918,ok
2020-01-17,99.75,100.0,98.78,100.0,943235,ok
2020-01-21,99.28,99.48,98.12,98.15,872222,ok
2020-01-22,98.29,98.31,97.465,97.6,650109,ok
2020-01-23,96.65,97.28,94.86,96.83,905690,ok
2020-01-24,97.07,97.3,95.21,95.68,591000,ok
2020-01-27,93.47,94.51,92.7,93.82,889356,ok
2020-01-28,94.25,95.31,93.79,95.09,694932,ok
2020-01-29,95.33,96.56,95.22,96.37,854351,ok
2020-01-30,95.31,96.625,94.93,96.05,703725,ok
2020-01-31,95.16,96.04,94.75,95.59,919478,ok
2020-02-03,96.07,98.095,95.58,97.61,930361,ok
2020-02-04,98.7,99.245,97.39,98.98,1044789,ok
2020-02-05,99.84,102.0,99.39,101.82,1366060,ok
2020-02-06,103.48,108.77,102.1,107.92,2297561,ok
2020-02-07,107.06,107.55,103.73,105.14,1393477,ok
2020-02-10,104.86,105.52,104.24,104.86,619950,ok
2020-02-11,105.22,106.72,104.87,105.25,1018332,ok
2020-02-12,106.09,106.99,105.28,106.44,681344,ok
2020-02-13,105.77,106.09,104.01,105.43,813407,ok
2020-02-14,105.37,106.88,104.78,105.47,588658,ok
2020-02-18,105.2,105.84,104.59,105.79,644255,ok
2020-02-19,106.0,107.27,105.8032,106.45,599693,ok
2020-02-20,106.46,108.59,106.34,108.29,848118,ok
2020-02-21,107.47,107.84,106.1,106.58,631665,ok
2020-02-24,103.04,103.315,101.41,102.4,1062699,ok
2020-02-25,102.94,103.22,97.33,97.74,913525,ok
2020-02-26,98.56,99.7,96.85,96.89,813856,ok
2020-02-27,94.0,96.705,92.34,92.36,976947,ok
2020-02-28,89.3,93.41,88.7,93.1,1861511,ok
2020-03-02,93.6,96.96,91.085,96.91,1207045,ok
2020-03-03,96.14,98.67,92.63,94.59,896334,ok
2020-03-04,96.1,99.41,94.8,99.35,928805,ok
2020-03-05,96.6,97.16,93.68,94.83,798549,ok
2020-03-06,91.86,92.44,88.3,90.53,1127656,ok
2020-03-09,84.5,85.43,79.02,79.24,1560269,ok
2020-03-10,82.86,86.99,81.77,86.98,1456713,ok
2020-03-11,84.5,85.66,82.03,83.26,1023296,ok
2020-03-12,77.49,79.53,74.3751,77.44,1594763,ok
2020-03-13,83.53,88.23,78.21,88.05,1719077,ok
2020-03-16,76.07,80.19,61.85,71.01,1827731,ok
2020-03-17,72.38,72.52,67.72,68.64,1613200,ok
2020-03-18,64.49,65.195,56.77,59.82,2340474,ok
2020-03-19,59.04,72.25,57.08,67.51,1568473,ok
2020-03-20,68.46,71.4205,63.7,65.32,1741960,ok
2020-03-23,64.82,66.99,62.69,64.18,1204396,ok
2020-03-24,68.4,72.73,66.25,68.72,1463298,ok
2020-03-25,69.16,77.2,67.96,73.66,1738533,ok
2020-03-26,75.26,81.87,74.0,80.21,1609410,ok
2020-03-27,76.83,78.635,75.26,76.62,1033404,ok
2020-03-30,75.9,83.24,75.39,82.64,1614140,ok
2020-03-31,82.5,84.99,80.54,81.69,2046536,ok
2020-04-01,78.03,79.82,75.18,76.97,1644987,ok
2020-04-02,77.52,80.63,73.395,74.18,1591000,ok
2020-04-03,74.28,76.78,70.5,70.88,1562322,ok
2020-04-06,75.2,79.1698,73.935,78.03,992266,ok
2020-04-07,82.0,84.31,79.29,79.44,1603256,ok
2020-04-08,80.3,83.96,78.98,82.87,1045438,ok
2020-04-09,85.6,91.01,83.51,90.0,1543523,ok
2020-04-13,88.78,89.66,84.1,86.63,883022,ok
2020-04-14,88.21,89.3,86.46,86.67,940884,ok
2020-04-15,82.85,85.39,80.79,84.04,991353,ok
2020-04-16,83.47,84.58,81.58,83.33,654313,ok
2020-04-17,86.01,87.715,84.86,86.1,863366,ok
2020-04-20,84.62,86.25,83.65,84.56,763660,ok
2020-04-21,82.5,84.745,81.82,83.59,791593,ok
2020-04-22,85.41,86.16,83.1683,84.11,571392,ok
2020-04-23,85.51,88.94,85.5,87.37,836824,ok
2020-04-24,88.25,90.75,87.52,88.2,901123,ok
2020-04-27,88.65,91.08,88.115,90.38,677099,ok
2020-04-28,92.64,92.89,90.64,90.89,745389,ok
2020-04-29,93.72,95.72,92.845,95.02,669258,ok
2020-04-30,93.81,94.19,91.82,91.9,1130050,ok
2020-05-01,90.1,91.12,88.385,89.92,808748,ok
2020-05-04,88.27,89.85,87.75,89.64,693002,ok
2020-05-05,90.75,92.56,89.1,89.5,1179118,ok
2020-05-06,89.96,93.0,87.29,91.98,1228825,ok
2020-05-07,94.24,96.88,93.43,94.11,829035,ok
2020-05-08,95.41,96.38,93.38,93.48,982250,ok
2020-05-11,91.73,92.52,90.42,91.5,730438,ok
2020-05-12,91.51,92.63,89.1,89.14,927785,ok
2020-05-13,88.9,89.675,86.6228,88.77,770894,ok
2020-05-14,87.38,89.07,85.58,88.61,959114,ok
2020-05-15,88.14,88.62,87.45,88.02,784211,ok
2020-05-18,92.04,93.065,90.79,90.83,740923,ok
2020-05-19,90.72,91.41,89.11,89.18,732857,ok
2020-05-20,90.72,93.64,90.21,93.07,506173,ok
2020-05-21,92.74,93.24,91.4,91.87,442528,ok
2020-05-22,91.43,93.39,91.17,93.3,500412,ok
2020-05-26,96.22,97.045,94.54,94.82,629846,ok
2020-05-27,96.44,96.97,94.46,96.22,690443,ok
2020-05-28,97.28,98.49,95.51,97.65,752155,ok
2020-05-29,97.33,98.69,96.34,98.41,681805,ok
2020-06-01,98.22,99.805,97.77,98.88,686969,ok
2020-06-02,99.46,101.04,98.2,100.91,573013,ok
2020-06-03,102.01,104.29,101.36,101.91,763478,ok
2020-06-04,101.32,101.44,98.74,99.8,968206,ok
2020-06-05,102.46,104.98,101.78,103.21,846167,ok
2020-06-08,103.1,105.76,102.56,104.59,1012843,ok
2020-06-09,104.31,105.52,102.45,104.24,777397,ok
2020-06-10,104.59,104.97,102.55,102.82,443872,ok
2020-06-11,99.02,100.09,94.34,94.89,1021542,ok
2020-06-12,98.43,98.74,95.69,97.34,696078,ok
2020-06-15,94.67,99.07,93.52,98.33,716230,ok
2020-06-16,101.86,102.6,98.39,100.42,807440,ok
2020-06-17,101.34,102.0,100.04,100.58,502985,ok
2020-06-18,99.93,100.56,98.54,98.99,527647,ok
2020-06-19,100.92,101.63,99.05,100.46,1274082,ok
2020-06-22,99.67,100.88,98.6,100.36,497883,ok
