Date,Open,High,Low,Close,Volume,Status
2020-01-02,117.89,118.22,116.73,117.98,1019972,ok
2020-01-03,116.7,117.81,116.39,117.67,526771,ok
2020-01-06,116.38,116.57,115.36,116.22,1297990,ok
2020-01-07,115.8,116.56,115.48,115.62,686196,ok
2020-01-08,115.75,116.82,115.52,116.09,979867,ok
2020-01-09,116.16,117.1,115.71,115.75,1297440,ok
2020-01-10,115.75,115.885,113.97,114.3,1623946,ok
2020-01-13,114.45,115.5,113.58,115.45,1609396,ok
2020-01-14,119.01,122.34,118.45,120.75,2439917,ok
2020-01-15,118.0,118.425,116.64,117.38,2617624,ok
2020-01-16,118.0,119.07,117.71,119.07,1901282,ok
2020-01-17,119.81,119.81,118.0,118.18,1624480,ok
2020-01-21,117.41,118.26,117.0,117.12,1407728,ok
2020-01-22,117.17,118.17,116.385,117.34,1232631,ok
2020-01-23,116.85,117.29,115.85,115.91,1186088,ok
2020-01-24,115.79,116.48,113.16,113.75,1254020,ok
2020-01-27,111.36,112.61,111.34,111.99,1525694,ok
2020-01-28,112.73,114.06,112.34,113.61,1234663,ok
2020-01-29,113.39,113.89,111.85,112.07,630895,ok
2020-01-30,111.09,113.13,111.02,112.98,954730,ok
2020-01-31,111.98,112.23,110.54,110.88,1242906,ok
2020-02-03,111.92,113.0,111.6,112.28,892422,ok
2020-02-04,114.27,115.33,114.18,114.39,1009962,ok
2020-02-05,115.65,116.82,115.55,116.63,567920,ok
2020-02-06,117.33,117.5,116.14,116.22,720264,ok
2020-02-07,115.49,115.938,114.28,115.01,983509,ok
2020-02-10,114.4,116.11,114.4,115.89,819237,ok
2020-02-11,116.48,117.725,116.21,117.17,606894,ok
2020-02-12,118.0,118.8,117.42,117.93,719263,ok
2020-02-13,117.4,118.36,117.18,118.11,520227,ok
2020-02-14,117.89,118.17,116.92,117.73,487186,ok
2020-02-18,117.12,117.565,116.295,116.81,1125163,ok
2020-02-19,117.24,118.26,116.865,117.27,667272,ok
2020-02-20,116.94,118.71,116.94,117.69,649504,ok
2020-02-21,116.92,117.33,115.04,116.62,914447,ok
2020-02-24,113.5,114.74,112.405,114.34,865629,ok
2020-02-25,114.67,114.83,109.72,109.97,1151064,ok
2020-02-26,110.86,111.3,107.5235,107.82,940416,ok
2020-02-27,105.4,110.66,104.5894,104.59,1096679,ok
2020-02-28,101.46,102.845,98.83,100.57,2213974,ok
2020-03-02,100.41,105.74,99.36,105.68,1655577,ok
2020-03-03,105.14,106.87,100.38,101.76,1665347,ok
2020-03-04,102.17,104.81,100.33,104.71,1348846,ok
2020-03-05,101.04,101.93,98.54,99.87,1233712,ok
2020-03-06,95.44,97.93,92.78,94.91,1890606,ok
2020-03-09,86.52,90.0,84.9,86.35,2050000,ok
2020-03-10,90.73,92.29,86.62,92.13,5448758,ok
2020-03-11,89.45,91.62,87.3,89.22,1670598,ok
2020-03-12,81.21,93.31,81.21,87.43,2607346,ok
2020-03-13,93.03,97.15,89.17,96.81,2495909,ok
2020-03-16,85.81,91.03,82.53,82.92,2368921,ok
2020-03-17,83.63,93.71,82.52,93.6,2565133,ok
2020-03-18,86.11,91.89,82.225,85.35,1943600,ok
2020-03-19,84.29,92.78,81.9351,90.06,1812246,ok
2020-03-20,90.51,91.7734,77.56,79.57,2644348,ok
2020-03-23,79.5,80.09,70.06,75.6,2090476,ok
2020-03-24,79.56,83.54,77.61,82.79,1606791,ok
2020-03-25,82.36,88.135,79.75,84.45,1834509,ok
2020-03-26,84.76,87.77,80.92,81.39,3816432,ok
2020-03-27,78.45,85.0,77.58,82.34,2908689,ok
2020-03-30,82.37,87.2,80.98,86.4,1796865,ok
2020-03-31,85.92,86.55,81.49,82.28,1921213,ok
2020-04-01,80.08,82.78,78.31,81.66,1769823,ok
2020-04-02,80.87,84.74,80.5951,83.96,2242387,ok
2020-04-03,82.76,85.34,80.62,81.78,1435081,ok
2020-04-06,85.68,89.96,84.77,88.57,1715523,ok
2020-04-07,92.56,93.545,89.03,90.19,1300621,ok
2020-04-08,90.19,94.1,89.225,93.4,1098056,ok
2020-04-09,95.3,100.14,95.3,99.5,1708650,ok
2020-04-13,97.38,98.98,92.48,93.41,1172482,ok
2020-04-14,97.15,100.52,95.6,99.59,1589348,ok
2020-04-15,95.93,97.21,93.2,94.53,1809097,ok
2020-04-16,95.0,95.32,92.99,95.19,986063,ok
2020-04-17,98.01,101.1,97.7,100.02,1163033,ok
2020-04-20,97.82,101.67,96.01,100.42,1587498,ok
2020-04-21,97.41,100.24,97.0,97.73,888004,ok
2020-04-22,99.13,100.08,97.5,98.12,751272,ok
2020-04-23,98.44,100.06,97.93,99.08,576711,ok
2020-04-24,100.01,100.62,98.11,100.05,649018,ok
2020-04-27,101.4,105.19,100.73,104.71,948209,ok
2020-04-28,107.95,108.82,104.51,105.26,779553,ok
2020-04-29,106.29,108.46,105.64,106.83,1033877,ok
2020-04-30,104.1,104.73,102.88,104.29,1309594,ok
2020-05-01,102.16,102.36,99.33,100.59,853700,ok
2020-05-04,98.99,99.65,98.15,99.0,1047898,ok
2020-05-05,100.6,101.8,99.43,99.76,668318,ok
2020-05-06,100.46,100.5364,98.54,99.56,667347,ok
2020-05-07,100.88,103.235,100.88,101.88,900960,ok
2020-05-08,103.74,104.63,102.83,103.91,784085,ok
2020-05-11,102.36,103.64,101.47,102.68,727803,ok
2020-05-12,103.43,103.43,98.9,98.95,1022090,ok
2020-05-13,98.33,99.72,94.29,95.71,1456292,ok
2020-05-14,94.21,97.44,92.13,96.18,1314187,ok
2020-05-15,95.2,96.62,94.31,95.91,875087,ok
2020-05-18,99.74,101.77,99.44,101.08,1824497,ok
2020-05-19,99.94,101.055,97.49,97.61,701669,ok
2020-05-20,99.45,100.33,98.23,98.78,1477051,ok
2020-05-21,98.47,99.36,97.93,98.55,1215283,ok
2020-05-22,99.24,99.3999,96.39,97.3,749487,ok
2020-05-26,100.83,105.7,99.97,104.56,1460364,ok
2020-05-27,109.21,111.9,106.99,111.77,1707745,ok
2020-05-28,113.21,114.03,108.58,108.88,1027256,ok
2020-05-29,107.21,109.73,106.88,108.17,1548864,ok
2020-06-01,109.38,110.85,108.28,108.8,885487,ok
2020-06-02,110.02,111.28,107.945,109.34,711814,ok
2020-06-03,112.04,114.9,111.07,114.29,1138824,ok
2020-06-04,114.1,118.01,113.275,117.95,1065432,ok
2020-06-05,125.12,125.12,119.51,120.11,1470146,ok
2020-06-08,122.05,123.325,116.83,118.33,1280454,ok
