Date,Open,High,Low,Close,Volume,Status
2020-01-02,177.45,179.04,176.92,178.43,1373344,ok
2020-01-03,178.0,180.43,178.0,180.18,1662342,ok
2020-01-06,181.55,182.98,181.0048,182.09,1958569,ok
2020-01-07,180.42,181.63,179.75,180.02,1470889,ok
2020-01-08,180.2,181.94,179.6,180.48,1226453,ok
2020-01-09,181.0,182.91,180.96,181.61,1582245,ok
2020-01-10,181.51,181.79,179.41,179.51,831847,ok
2020-01-13,180.24,182.09,180.04,181.13,898041,ok
2020-01-14,181.0,181.53,179.66,180.97,917883,ok
2020-01-15,181.07,182.96,181.07,181.61,1174680,ok
2020-01-16,181.53,183.07,181.11,182.4,1289909,ok
2020-01-17,182.78,183.12,181.48,181.89,1820104,ok
2020-01-21,181.46,184.56,180.815,183.29,2074863,ok
2020-01-22,183.86,185.58,183.09,183.1,1058679,ok
2020-01-23,182.87,185.47,182.05,184.62,1146749,ok
2020-01-24,185.23,185.81,184.33,185.07,925535,ok
2020-01-27,182.36,183.73,181.59,182.57,1132390,ok
2020-01-28,183.08,184.68,180.76,183.63,1534073,ok
2020-01-29,183.92,184.42,179.61,183.47,2033164,ok
2020-01-30,182.3,183.49,179.72,181.23,1842749,ok
2020-01-31,180.24,180.905,174.79,175.44,2365852,ok
2020-02-03,177.16,178.615,175.19,176.62,1605371,ok
2020-02-04,179.24,180.66,179.0,179.53,1882518,ok
2020-02-05,181.01,184.46,180.08,183.97,1273270,ok
2020-02-06,185.65,187.31,185.2,186.13,1319635,ok
2020-02-07,185.78,188.3,185.59,186.74,1715396,ok
2020-02-10,186.51,188.47,185.34,186.25,1239910,ok
2020-02-11,186.93,188.38,185.38,186.94,1599101,ok
2020-02-12,187.36,188.75,186.441,188.75,1448043,ok
2020-02-13,187.82,190.08,187.5822,189.43,1546010,ok
2020-02-14,189.36,189.399,186.62,188.06,1351868,ok
2020-02-18,187.16,188.73,186.69,188.14,1139870,ok
2020-02-19,188.23,188.69,186.33,186.55,1191255,ok
2020-02-20,186.07,187.35,184.425,185.95,1247887,ok
2020-02-21,184.91,187.86,183.6137,187.6,1416928,ok
2020-02-24,183.11,185.65,182.0832,184.61,1857850,ok
2020-02-25,184.95,185.64,173.27,173.92,2780129,ok
2020-02-26,175.25,176.8447,171.22,171.55,2737409,ok
2020-02-27,169.18,172.69,165.53,166.14,2809533,ok
2020-02-28,160.58,163.69,155.47,159.69,3829145,ok
2020-03-02,160.56,165.23,157.605,165.03,2233308,ok
2020-03-03,164.89,170.1908,160.73,161.05,2418311,ok
2020-03-04,163.44,169.72,161.21,168.28,2694732,ok
2020-03-05,164.66,167.93,161.64,163.36,2951551,ok
2020-03-06,159.35,164.19,157.1098,163.03,1879412,ok
2020-03-09,152.04,157.12,146.59,150.02,3241817,ok
2020-03-10,155.01,155.64,149.61,155.3,2606861,ok
2020-03-11,150.63,154.2999,147.14,148.45,2753289,ok
2020-03-12,137.64,139.46,128.53,132.23,5116173,ok
2020-03-13,139.14,141.57,131.62,139.64,4187722,ok
2020-03-16,126.26,137.1,126.26,126.7,3951441,ok
2020-03-17,128.17,131.94,125.4,131.59,3327582,ok
2020-03-18,123.39,126.32,115.71,121.11,2779973,ok
2020-03-19,120.01,120.01,110.02,118.03,3248291,ok
2020-03-20,118.19,121.84,113.28,113.99,3390521,ok
2020-03-23,112.16,113.0,100.55,106.6,3724510,ok
2020-03-24,112.21,116.03,110.58,114.21,3280783,ok
2020-03-25,116.5,125.7073,114.52,122.0,3310341,ok
2020-03-26,124.47,134.88,124.14,133.16,2842417,ok
2020-03-27,129.48,133.59,128.0,130.07,2431452,ok
2020-03-30,130.0,134.46,127.08,133.6,1881072,ok
2020-03-31,132.5,134.57,131.13,132.31,1703400,ok
2020-04-01,126.71,129.0,125.19,127.4,1439055,ok
2020-04-02,125.9,130.265,124.9,127.92,1426521,ok
