Date,Open,High,Low,Close,Volume,Status
2020-01-02,89.84,95.64,89.84,95.44,10941736.125,ok
2020-01-03,92.56,96.0,92.24,95.76,10739648.625,ok
2020-01-06,94.72,97.68,94.72,97.12,13996427.875,ok
2020-01-07,97.2,97.88,95.36,96.4,8882022.75,ok
2020-01-08,95.92,96.4,94.96,95.52,6934099.75,ok
2020-01-09,96.56,96.72,94.64,95.28,4923547.0,ok
2020-01-10,94.72,95.28,92.72,93.36,7334001.375,ok
2020-01-13,93.92,97.2,93.44,96.96,8276205.25,ok
2020-01-14,97.28,97.52,95.92,96.24,5634154.5,ok
2020-01-15,96.16,96.16,94.64,94.96,5756378.625,ok
2020-01-16,95.52,95.84,94.56,94.72,4584198.875,ok
2020-01-17,94.8,95.44,94.08,94.48,5822591.375,ok
2020-01-21,93.92,94.4,92.88,93.28,5467273.25,ok
2020-01-22,93.68,93.68,90.8,90.96,7743479.125,ok
2020-01-23,93.84,94.8,92.76,94.16,9145361.75,ok
2020-01-24,95.04,95.12,92.96,93.68,7421970.875,ok
2020-01-27,91.6,92.696,91.04,91.52,5982820.75,ok
2020-01-28,92.16,94.56,91.76,93.84,7866076.25,ok
2020-01-29,100.56,104.0,99.92,103.52,27601891.625,ok
2020-01-30,103.12,103.92,100.0,101.84,11933663.75,ok
2020-01-31,101.44,101.92,98.72,99.6,9748000.25,ok
2020-02-03,99.68,101.44,98.0,98.08,6299908.75,ok
2020-02-04,99.92,100.96,99.1184,100.64,5548151.125,ok
2020-02-05,102.08,102.88,100.56,102.88,6259243.5,ok
2020-02-06,103.52,104.0,102.64,103.6,7951735.5,ok
2020-02-07,104.16,104.72,102.48,102.64,8329579.25,ok
2020-02-10,102.72,103.76,102.16,103.28,4186936.875,ok
2020-02-11,103.6,103.84,102.24,102.8,5110287.0,ok
2020-02-12,103.6,106.08,103.04,105.28,8214110.375,ok
2020-02-13,104.64,105.28,103.2,103.52,6376542.375,ok
2020-02-14,103.76,104.52,102.0,102.64,4620888.125,ok
2020-02-18,101.68,103.6,101.36,102.0,5502895.25,ok
2020-02-19,101.6,103.52,100.68,100.88,6859783.875,ok
2020-02-20,101.1928,101.44,99.28,100.24,4945239.375,ok
2020-02-21,99.6,99.68,97.76,98.0,5365155.625,ok
2020-02-24,93.52,96.48,92.8,94.88,8872251.125,ok
2020-02-25,95.76,96.0,89.44,90.56,10135925.875,ok
2020-02-26,90.96,92.32,86.36,87.6,11646422.125,ok
2020-02-27,84.96,87.56,82.48,83.12,11781311.625,ok
2020-02-28,79.6,89.48,78.88,87.04,18921655.375,ok
2020-03-02,89.68,90.72,86.08,89.68,15600275.875,ok
2020-03-03,90.0,91.04,85.36,87.04,13656152.25,ok
2020-03-04,88.48,88.96,85.6,87.6,10382886.625,ok
2020-03-05,84.8,85.84,79.6,80.64,13510906.0,ok
2020-03-06,77.92,78.08,73.44,75.2,18557942.125,ok
2020-03-09,66.64,69.32,64.88,65.68,15300085.25,ok
2020-03-10,70.24,70.8,65.28,70.8,12367360.625,ok
2020-03-11,68.96,69.28,65.28,65.68,12942551.75,ok
2020-03-12,57.84,62.24,54.64,57.84,19677010.0,ok
2020-03-13,62.4,64.32,57.52,62.8,13768078.875,ok
2020-03-16,55.92,57.2,53.2,53.28,14488840.875,ok
2020-03-17,55.28,58.64,50.4,56.64,15028255.625,ok
2020-03-18,52.08,54.4,47.2,52.8,17365875.875,ok
2020-03-19,51.2,55.28,49.2,51.84,12374218.0,ok
2020-03-20,56.08,56.4,51.6,52.16,15766082.125,ok
2020-03-23,51.6,53.04,48.24,48.88,13203892.125,ok
2020-03-24,53.28,56.48,51.76,56.08,14936729.125,ok
2020-03-25,59.6,64.0,55.68,60.48,17235807.25,ok
2020-03-26,61.04,66.4,60.08,64.96,15409823.625,ok
2020-03-27,61.44,62.96,60.32,60.96,11662377.375,ok
2020-03-30,60.32,63.52,58.8,63.12,10856273.0,ok
2020-03-31,62.96,65.44,62.52,63.52,15143736.125,ok
2020-04-01,60.16,60.4,56.0,56.32,12444609.5,ok
2020-04-02,56.16,59.12,54.16,55.2,12187297.5,ok
2020-04-03,56.24,56.4,52.64,53.84,12225407.125,ok
2020-04-06,56.56,58.4,55.52,57.84,12256078.375,ok
2020-04-07,61.52,62.0,56.0,56.24,12010973.0,ok
2020-04-08,57.44,59.04,56.48,58.4,11581338.625,ok
2020-04-09,59.6,60.32,56.72,57.12,16045222.125,ok
2020-04-13,57.04,57.04,54.08,56.16,11759310.875,ok
2020-04-14,56.8,57.92,54.72,55.44,13383399.125,ok
2020-04-15,53.84,53.84,50.8,52.0,17277604.25,ok
2020-04-16,51.84,52.32,49.6,49.92,20709776.5,ok
2020-04-17,51.76,55.52,50.72,54.72,20738479.25,ok
2020-04-20,52.88,54.0,51.68,52.08,12461451.75,ok
2020-04-21,51.12,52.64,50.4,51.84,9681632.75,ok
2020-04-22,52.72,53.12,51.2,51.44,9605512.375,ok
2020-04-23,51.68,53.92,51.44,52.16,10349513.875,ok
2020-04-24,52.72,52.8,50.0,50.08,19497096.125,ok
2020-04-27,51.04,51.76,50.64,51.44,13379773.625,ok
2020-04-28,52.56,55.36,52.56,54.4,17583574.125,ok
2020-04-29,53.44,55.2,52.16,52.64,28153498.75,ok
2020-04-30,52.48,54.56,51.28,54.4,21963889.25,ok
2020-05-01,53.36,53.92,51.28,52.0,15047062.75,ok
2020-05-04,50.4,50.48,49.2,49.68,17106543.875,ok
2020-05-05,50.24,51.68,49.28,49.6,14624808.875,ok
2020-05-06,49.6,50.0,47.76,47.84,14656694.75,ok
2020-05-07,48.48,50.08,48.48,48.88,12582907.625,ok
2020-05-08,49.68,50.64,49.28,50.32,11741821.0,ok
2020-05-11,49.92,50.0,49.04,49.52,8980373.75,ok
2020-05-12,49.76,50.24,48.0,48.0,11956519.125,ok
